PRCP       010670 19050901 20180131 missing_value=99999.9 LAKE CARMODY                              
19410501 19410531    45.3
19410601 19410630    45.7
19410701 19410731    50.2
19410801 19410831    35.2
19410901 19410930    35.9
19411001 19411031    56.6
19411101 19411130     3.8
19411201 19411231    11.4
19420101 19420131     0.0
19420201 19420228    14.9
19420301 19420331    93.4
19420401 19420430    77.2
19420501 19420531    31.7
19420601 19420630    30.9
19420701 19420731    55.2
19420801 19420831    53.4
19420901 19420930    27.6
19421001 19421031    12.7
19421101 19421130     0.0
19421201 19421231    56.1
19430101 19430131    30.5
19430201 19430228    66.4
19430301 19430331    45.5
19430401 19430430    42.0
19430501 19430531    15.7
19430601 19430630    47.2
19430701 19430731    35.1
19430801 19430831    40.0
19430901 19430930    31.9
19431001 19431031     0.0
19431101 19431130     0.0
19431201 19431231    23.6
19440101 19440131     0.0
19440201 19440229    14.0
19440301 19440331     3.0
19440401 19440430     4.3
19440501 19440531     4.8
19440601 19440630    11.9
19440701 19440731    45.3
19440801 19440831    64.0
19440901 19440930     8.9
19441001 19441031     0.0
19441101 19441130     0.0
19441201 19441231     0.0
19450101 19450131     6.1
19450201 19450228     0.0
19450301 19450331    14.0
19450401 19450430     3.8
19450501 19450531    38.6
19450601 19450630   129.6
19450701 19450731    44.0
19450801 19450831    74.9
19450901 19450930    16.5
19451001 19451031     7.6
19451101 19451130     0.0
19451201 19451231     0.0
19460101 19460131     3.6
19460201 19460228     8.6
19460301 19460331     0.0
19460401 19460430     8.9
19460501 19460531    20.7
19460601 19460630    58.7
19460701 19460731   107.1
19460801 19460831    46.3
19460901 19460930    29.5
19461001 19461031     0.0
19461101 19461130    28.2
19461201 19461231     0.0
19470101 19470131     0.0
19470201 19470228    13.2
19470301 19470331    10.2
19470401 19470430    43.5
19470501 19470531    29.7
19470601 19470630    37.0
19470701 19470731    36.6
19470801 19470831    19.8
19470901 19470930     8.2
19471001 19471031    36.0
19471101 19471130    12.4
19471201 19471231     0.0
19480101 19480131     2.3
19480201 19480229     3.8
19480301 19480331    12.9
19480401 19480430     0.0
19480501 19480531    13.5
19480601 19480630    35.3
19480701 19480731    28.7
19480801 19480831    41.0
19480901 19480930    45.7
19481001 19481031    20.1
19481101 19481130    10.2
19481201 19481231     0.0
19490101 19490131     0.0
19490201 19490228     1.8
19490301 19490331    10.2
19490401 19490430     5.1
19490501 19490531     9.2
19490601 19490630    48.6
19490701 19490731    68.6
19490801 19490831    60.5
19490901 19490930    24.0
19491001 19491031    20.4
19491101 19491130    35.7
19491201 19491231     3.8
19500101 19500131     5.3
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    97.4
19500601 19500630    25.9
19500701 19500731    32.3
19500801 19500831    38.4
19500901 19500930    22.9
19501001 19501031    16.7
19501101 19501130     6.1
19501201 19501231     0.5
19510101 19510131     9.4
19510201 19510228    89.1
19510301 19510331     8.7
19510401 19510430    34.2
19510501 19510531     7.7
19510601 19510630    62.4
19510701 19510731    18.4
19510801 19510831    36.4
19510901 19510930    11.3
19511001 19511031    15.2
19511101 19511130    10.1
19511201 19511231    26.1
19520101 19520131    17.0
19520201 19520229     0.0
19520301 19520331    13.5
19520401 19520430     4.0
19520501 19520531    29.7
19520601 19520630    26.3
19520701 19520731    35.1
19520801 19520831     7.1
19520901 19520930    34.6
19521001 19521031    24.5
19521101 19521130    28.7
19521201 19521231    18.6
19530101 19530131     0.0
19530201 19530228     5.6
19530301 19530331    85.2
19530401 19530430     9.7
19530501 19530531    79.1
19530601 19530630    65.3
19530701 19530731    40.3
19530801 19530831    34.1
19530901 19530930    26.2
19531001 19531031    43.1
19531101 19531130     6.9
19531201 19531231     0.0
19540101 19540131     4.1
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     1.8
19540501 19540531    57.7
19540601 19540630    26.6
19540701 19540731    37.5
19540801 19540831    32.6
19540901 19540930     7.1
19541001 19541031    15.0
19541101 19541130     7.4
19541201 19541231     2.8
19550101 19550131     4.3
19550201 19550228   170.0
19550301 19550331    38.6
19550401 19550430    59.3
19550501 19550531    34.7
19550601 19550630     9.5
19550701 19550731    28.6
19550801 19550831    78.0
19550901 19550930    76.2
19551001 19551031    17.9
19551101 19551130     1.5
19551201 19551231     1.3
19560101 19560131     0.5
19560201 19560229     1.3
19560301 19560331     3.0
19560401 19560430    20.5
19560501 19560531    29.3
19560601 19560630    33.4
19560701 19560731    51.6
19560801 19560831     2.3
19560901 19560930    22.0
19561001 19561031    20.8
19561101 19561130    28.2
19561201 19561231     0.0
19570101 19570131    38.1
19570201 19570228     1.5
19570301 19570331    24.5
19570401 19570430    11.0
19570501 19570531    29.0
19570601 19570630   117.8
19570701 19570731    16.0
19570801 19570831    24.1
19570901 19570930    11.0
19571001 19571031     4.8
19571101 19571130     0.5
19571201 19571231     0.0
19580101 19580131    66.0
19580201 19580228     1.5
19580301 19580331     1.3
19580401 19580430     3.3
19580501 19580531    50.3
19580601 19580630    26.9
19580701 19580731   111.3
19580801 19580831    14.5
19580901 19580930    32.6
19581001 19581031    31.8
19581101 19581130    16.2
19581201 19581231    21.1
19590101 19590131     3.5
19590201 19590228    24.8
19590301 19590331     4.3
19590401 19590430    26.5
19590501 19590531     5.7
19590601 19590630   106.1
19590701 19590731    10.2
19590801 19590831    29.1
19590901 19590930    48.5
19591001 19591031    17.2
19591101 19591130    22.2
19591201 19591231    14.7
19600101 19600131    39.0
19600201 19600229     5.4
19600301 19600331    71.3
19600401 19600430    21.4
19600501 19600531    57.9
19600601 19600630    21.9
19600701 19600731    91.6
19600801 19600831    20.8
19600901 19600930    35.5
19601001 19601031     1.6
19601101 19601130     6.1
19601201 19601231    33.0
19610101 19610131    57.9
19610201 19610228    12.8
19610301 19610331    12.7
19610401 19610430    60.7
19610501 19610531     5.1
19610601 19610630    38.9
19610701 19610731    38.7
19610801 19610831    31.0
19610901 19610930    15.4
19611001 19611031     3.9
19611101 19611130     0.0
19611201 19611231     8.2
19620101 19620131    49.1
19620201 19620228    30.5
19620301 19620331    13.7
19620401 19620430     0.5
19620501 19620531    81.2
19620601 19620630    51.3
19620701 19620731    25.8
19620801 19620831    29.4
19620901 19620930    27.7
19621001 19621031    16.5
19621101 19621130     7.1
19621201 19621231    51.1
19630101 19630131    56.8
19630201 19630228    62.9
19630301 19630331    31.6
19630401 19630430    30.0
19630501 19630531    96.8
19630601 19630630    85.9
19630701 19630731    69.8
19630801 19630831    62.3
19630901 19630930    14.6
19631001 19631031    24.0
19631101 19631130    17.0
19631201 19631231     6.6
19640101 19640131    11.0
19640201 19640229     9.5
19640301 19640331    20.8
19640401 19640430    54.8
19640501 19640531     6.1
19640601 19640630    64.0
19640701 19640731    88.7
19640801 19640831    54.1
19640901 19640930    34.5
19641001 19641031    30.4
19641101 19641130    10.9
19641201 19641231     3.5
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     8.6
19650401 19650430     9.5
19650501 19650531    86.8
19650601 19650630    77.8
19650701 19650731    55.4
19650801 19650831    54.9
19650901 19650930    20.2
19651001 19651031    39.2
19651101 19651130    15.1
19651201 19651231     4.3
19660101 19660131    67.6
19660201 19660228    15.4
19660301 19660331     0.0
19660401 19660430    43.1
19660501 19660531     3.6
19660601 19660630    79.3
19660701 19660731    67.9
19660801 19660831    15.2
19660901 19660930    33.8
19661001 19661031    36.0
19661101 19661130     0.0
19661201 19661231     5.6
19670101 19670131     8.4
19670201 19670228     2.5
19670301 19670331     1.4
19670401 19670430    10.2
19670501 19670531    90.9
19670601 19670630    27.8
19670701 19670731    43.5
19670801 19670831    21.9
19670901 19670930     6.8
19671001 19671031    45.9
19671101 19671130     1.1
19671201 19671231     7.3
19680101 19680131    48.6
19680201 19680229    18.3
19680301 19680331    74.3
19680401 19680430    37.1
19680501 19680531    14.2
19680601 19680630   146.9
19680701 19680731    50.9
19680801 19680831    32.1
19680901 19680930    27.2
19681001 19681031    15.6
19681101 19681130     4.6
19681201 19681231     9.4
19690101 19690131    14.2
19690201 19690228    15.0
19690301 19690331    17.8
19690401 19690430    27.5
19690501 19690531    14.3
19690601 19690630    52.0
19690701 19690731    18.3
19690801 19690831    10.7
19690901 19690930    28.8
19691001 19691031     5.1
19691101 19691130    11.7
19691201 19691231     7.6
19700101 19700131     0.0
19700201 19700228   119.9
19700301 19700331     2.4
19700401 19700430    33.8
19700501 19700531    26.6
19700601 19700630    53.6
19700701 19700731    16.0
19700801 19700831    15.5
19700901 19700930    65.5
19701001 19701031    13.2
19701101 19701130     4.9
