PRCP       009557 19070101 20100930 missing_value=99999.9 HOPETOUN POST OFFICE                      
19381101 19381130     7.4
19381201 19381231    19.5
19390101 19390131    80.5
19390201 19390228    42.2
19390301 19390331    26.2
19390401 19390430    48.1
19390501 19390531    72.5
19390601 19390630    54.6
19390701 19390731   109.9
19390801 19390831    98.5
19390901 19390930    13.7
19391001 19391031    68.6
19391101 19391130    69.4
19391201 19391231     0.5
19400101 19400131    20.1
19400201 19400229     3.1
19400301 19400331     2.7
19400401 19400430    50.7
19400501 19400531    32.7
19400601 19400630    41.1
19400701 19400731    68.7
19400801 19400831    40.0
19400901 19400930    82.8
19401001 19401031    26.4
19401101 19401130    32.3
19401201 19401231    38.5
19410101 19410131     4.4
19410201 19410228     2.1
19410301 19410331    44.3
19410401 19410430    16.5
19410501 19410531    24.1
19410601 19410630    43.5
19410701 19410731    36.1
19410801 19410831    21.9
19410901 19410930    62.8
19411001 19411031    41.6
19411101 19411130    22.4
19411201 19411231    19.0
19420101 19420131    17.1
19420201 19420228    19.8
19420301 19420331    36.0
19420401 19420430    55.3
19420501 19420531    52.4
19420601 19420630    73.5
19420701 19420731    54.2
19420801 19420831    68.1
19420901 19420930    34.1
19421001 19421031    56.5
19421101 19421130    16.9
19421201 19421231    45.0
19430101 19430131    16.0
19430201 19430228    47.5
19430301 19430331    27.2
19430401 19430430    81.0
19430501 19430531    55.6
19430601 19430630    59.2
19430701 19430731    76.7
19430801 19430831    51.3
19430901 19430930    29.0
19431001 19431031    12.7
19431101 19431130    22.6
19431201 19431231    22.4
19440101 19440131    15.5
19440201 19440229     7.1
19440301 19440331    12.2
19440401 19440430    25.9
19440501 19440531    72.9
19440601 19440630    30.0
19440701 19440731    65.8
19440801 19440831    87.8
19440901 19440930    55.4
19441001 19441031    17.3
19441101 19441130     0.8
19441201 19441231    23.9
19450101 19450131     6.6
19450201 19450228     5.6
19450301 19450331    32.5
19450401 19450430    20.3
19450501 19450531    68.0
19450601 19450630    67.7
19450701 19450731   109.9
19450801 19450831    70.7
19450901 19450930    67.3
19451001 19451031    19.2
19451101 19451130     6.9
19451201 19451231    29.2
19460101 19460131     2.3
19460201 19460228     5.8
19460301 19460331     6.7
19460401 19460430     6.8
19460501 19460531    37.8
19460601 19460630    75.7
19460701 19460731    41.9
19460801 19460831    29.4
19460901 19460930    33.5
19461001 19461031    27.7
19461101 19461130    40.6
19461201 19461231    26.3
19470101 19470131     2.6
19470201 19470228    12.1
19470301 19470331    19.6
19470401 19470430    52.4
19470501 19470531    61.4
19470601 19470630    41.9
19470701 19470731    40.6
19470801 19470831    35.8
19470901 19470930    34.5
19471001 19471031    66.0
19471101 19471130    84.1
19471201 19471231     0.0
19480101 19480131     8.4
19480201 19480229     7.1
19480301 19480331     6.8
19480401 19480430    36.1
19480501 19480531    25.8
19480601 19480630    40.8
19480701 19480731    38.5
19480801 19480831    43.9
19480901 19480930    51.2
19481001 19481031    54.6
19481101 19481130    54.6
19481201 19481231     6.4
19490101 19490131     1.1
19490201 19490228     6.2
19490301 19490331    13.7
19490401 19490430    20.3
19490501 19490531    44.4
19490601 19490630    41.1
19490701 19490731    87.9
19490801 19490831    32.0
19490901 19490930    62.4
19491001 19491031   112.0
19491101 19491130    46.7
19491201 19491231     1.0
19500101 19500131     4.0
19500201 19500228     0.5
19500301 19500331     0.0
19500401 19500430     3.3
19500501 19500531   189.2
19500601 19500630    38.1
19500701 19500731    52.1
19500801 19500831    21.5
19500901 19500930    91.2
19501001 19501031    28.1
19501101 19501130     8.9
19501201 19501231     6.3
19510101 19510131    20.3
19510201 19510228    53.8
19510301 19510331     3.0
19510401 19510430    74.4
19510501 19510531   131.6
19510601 19510630    82.0
19510701 19510731    27.7
19510801 19510831    67.3
19510901 19510930   107.1
19511001 19511031    26.6
19511101 19511130     2.8
19511201 19511231    38.9
19520101 19520131    42.9
19520201 19520229     7.4
19520301 19520331    17.9
19520401 19520430    22.7
19520501 19520531    36.2
19520601 19520630    82.4
19520701 19520731    57.1
19520801 19520831    29.6
19520901 19520930    57.7
19521001 19521031    73.4
19521101 19521130    40.0
19521201 19521231    35.1
19530101 19530131     2.8
19530201 19530228    23.9
19530301 19530331    15.7
19530401 19530430    34.3
19530501 19530531   100.5
19530601 19530630    65.5
19530701 19530731    34.2
19530801 19530831    55.9
19530901 19530930    58.9
19531001 19531031    30.8
19531101 19531130    24.6
19531201 19531231    14.0
19540101 19540131     7.4
19540201 19540228     0.9
19540301 19540331     2.2
19540401 19540430    31.2
19540501 19540531    41.7
19540601 19540630    35.4
19540701 19540731    35.5
19540801 19540831    73.2
19540901 19540930    26.1
19541001 19541031    50.6
19541101 19541130    39.1
19541201 19541231    38.9
19550101 19550131     8.3
19550201 19550228   200.1
19550301 19550331     9.4
19550401 19550430   101.0
19550501 19550531    42.2
19550601 19550630    85.1
19550701 19550731    46.2
19550801 19550831    49.0
19550901 19550930    67.9
19551001 19551031    60.7
19551101 19551130     6.9
19551201 19551231    11.0
19560101 19560131     0.6
19560201 19560229     2.0
19560301 19560331    18.5
19560401 19560430    20.2
19560501 19560531    51.3
19560601 19560630    86.0
19560701 19560731    61.3
19560801 19560831    51.5
19560901 19560930    24.6
19561001 19561031    58.8
19561101 19561130    26.9
19561201 19561231    14.8
19570101 19570131    10.5
19570201 19570228    13.8
19570301 19570331    17.5
19570401 19570430    23.1
19570501 19570531    19.6
19570601 19570630    60.6
19570701 19570731    60.7
19570801 19570831    49.1
19570901 19570930    43.1
19571001 19571031    30.0
19571101 19571130     8.1
19571201 19571231     6.6
19580101 19580131     9.5
19580201 19580228   107.1
19580301 19580331    17.3
19580401 19580430    12.3
19580501 19580531    31.0
19580601 19580630    48.3
19580701 19580731    65.2
19580801 19580831    53.1
19580901 19580930    93.4
19581001 19581031    90.2
19581101 19581130    28.9
19581201 19581231    30.7
19590101 19590131     3.8
19590201 19590228    30.0
19590301 19590331    14.7
19590401 19590430    12.8
19590501 19590531    16.5
19590601 19590630    86.5
19590701 19590731    58.5
19590801 19590831    71.5
19590901 19590930   195.8
19591001 19591031    58.1
19591101 19591130   113.7
19591201 19591231    31.8
19600101 19600131    58.2
19600201 19600229    11.2
19600301 19600331    35.1
19600401 19600430    46.8
19600501 19600531    76.5
19600601 19600630    43.6
19600701 19600731    81.7
19600801 19600831   116.5
19600901 19600930    72.8
19601001 19601031    15.8
19601101 19601130     5.9
19601201 19601231    23.6
19610101 19610131    42.4
19610201 19610228    28.0
19610301 19610331    20.8
19610401 19610430    95.4
19610501 19610531     7.1
19610601 19610630    66.8
19610701 19610731    90.5
19610801 19610831    64.2
19610901 19610930    27.0
19611001 19611031    20.4
19611101 19611130     3.9
19611201 19611231    44.2
19620101 19620131    10.2
19620201 19620228    17.4
19620301 19620331    10.4
19620401 19620430    13.8
19620501 19620531    85.8
19620601 19620630    38.3
19620701 19620731    37.0
19620801 19620831    57.6
19620901 19620930    37.4
19621001 19621031    34.8
19621101 19621130     6.6
19621201 19621231     6.4
19630101 19630131    12.6
19630201 19630228    51.6
19630301 19630331    22.4
19630401 19630430    69.4
19630501 19630531    56.1
19630601 19630630    66.7
19630701 19630731    64.3
19630801 19630831    45.8
19630901 19630930    45.5
19631001 19631031    24.5
19631101 19631130    16.3
19631201 19631231     0.0
19640101 19640131    49.5
19640201 19640229    22.1
19640301 19640331    27.2
19640401 19640430    63.6
19640501 19640531    17.3
19640601 19640630    58.6
19640701 19640731    47.3
19640801 19640831    53.7
19640901 19640930    70.2
19641001 19641031    69.5
19641101 19641130    21.8
19641201 19641231    31.0
19650101 19650131     8.4
19650201 19650228     6.9
19650301 19650331    19.5
19650401 19650430    11.6
19650501 19650531   102.7
19650601 19650630    35.7
19650701 19650731    65.8
19650801 19650831    90.1
19650901 19650930    40.2
19651001 19651031    76.2
19651101 19651130    78.4
19651201 19651231    16.1
19660101 19660131    55.6
19660201 19660228     3.5
19660301 19660331     0.8
19660401 19660430    50.8
19660501 19660531    64.0
19660601 19660630   128.7
19660701 19660731    42.7
19660801 19660831    47.2
19660901 19660930    70.4
19661001 19661031    55.3
19661101 19661130     9.2
19661201 19661231    15.2
19670101 19670131    11.4
19670201 19670228     0.8
19670301 19670331    20.6
19670401 19670430    71.8
19670501 19670531    50.7
19670601 19670630    45.7
19670701 19670731    89.2
19670801 19670831   111.9
19670901 19670930    41.9
19671001 19671031    59.9
19671101 19671130     0.0
19671201 19671231    11.6
19680101 19680131    25.7
19680201 19680229    18.0
19680301 19680331   109.0
19680401 19680430    58.7
19680501 19680531    46.7
19680601 19680630   124.6
19680701 19680731    33.9
19680801 19680831    80.6
19680901 19680930    73.8
19681001 19681031    17.3
19681101 19681130    24.3
19681201 19681231    10.3
19690101 19690131     2.0
19690201 19690228    68.1
19690301 19690331    31.7
19690401 19690430    17.6
19690501 19690531    57.8
19690601 19690630    51.6
19690701 19690731    60.7
19690801 19690831    77.6
19690901 19690930    80.7
19691001 19691031    18.5
19691101 19691130    17.5
19691201 19691231    16.8
19700101 19700131     2.6
19700201 19700228    58.4
19700301 19700331     9.4
19700401 19700430    60.9
19700501 19700531    15.6
19700601 19700630    28.9
19700701 19700731    10.3
19700801 19700831    76.6
19700901 19700930    85.1
19701001 19701031    15.1
19701101 19701130    24.2
19701201 19701231    16.1
19710101 19710131    11.2
19710201 19710228    11.2
19710301 19710331    84.4
19710401 19710430    70.0
19710501 19710531   164.5
19710601 19710630    43.7
19710701 19710731    27.9
19710801 19710831    53.4
19710901 19710930    45.9
19711001 19711031    95.6
19711101 19711130   150.1
19711201 19711231     5.9
19720101 19720131     7.9
19720201 19720229     6.3
19720301 19720331    23.9
19720401 19720430    42.3
19720501 19720531     7.3
19720601 19720630    90.4
19720701 19720731    79.8
19720801 19720831    38.7
19720901 19720930    19.6
19721001 19721031    46.3
19721101 19721130    22.1
19721201 19721231     1.8
19730101 19730131     6.2
19730201 19730228     4.9
19730301 19730331     9.4
19730401 19730430    51.0
19730501 19730531    25.4
19730601 19730630    63.7
19730701 19730731    39.8
19730801 19730831    56.8
19730901 19730930    56.2
19731001 19731031    82.9
19731101 19731130    20.4
19731201 19731231    37.1
19740101 19740131     2.0
19740201 19740228     1.9
19740301 19740331    43.2
19740401 19740430    60.2
19740501 19740531   100.0
19740601 19740630    37.6
19740701 19740731    39.4
19740801 19740831    28.1
19740901 19740930    44.9
19741001 19741031    39.8
19741101 19741130    75.8
19741201 19741231     3.0
19750101 19750131     8.7
19750201 19750228     8.9
19750301 19750331     5.0
19750401 19750430   108.4
19750501 19750531    70.4
19750601 19750630    25.4
19750701 19750731    69.4
19750801 19750831    60.8
19750901 19750930    39.3
19751001 19751031    65.6
19751101 19751130    65.5
19751201 19751231    12.0
19760101 19760131    58.2
19760201 19760229    20.8
19760301 19760331    26.1
19760401 19760430    35.8
19760501 19760531    42.0
19760601 19760630   102.3
19760701 19760731    86.4
19760801 19760831   124.0
19760901 19760930    57.9
19761001 19761031    32.1
19761101 19761130    55.9
19761201 19761231     0.8
19770101 19770131    15.0
19770201 19770228    17.7
19770301 19770331     5.4
19770401 19770430    30.2
19770501 19770531   128.1
19770601 19770630    35.7
19770701 19770731    23.3
19770801 19770831    60.1
19770901 19770930    80.5
19771001 19771031   170.5
19771101 19771130    12.8
19771201 19771231    17.4
19780101 19780131    18.6
19780201 19780228    41.1
19780301 19780331     7.6
19780401 19780430     7.7
19780501 19780531    83.5
19780601 19780630   144.2
19780701 19780731   152.8
19780801 19780831    67.0
19780901 19780930    66.3
19781001 19781031    25.0
19781101 19781130    19.6
19781201 19781231    13.8
19790101 19790131    11.7
19790201 19790228    32.6
19790301 19790331     7.4
19790401 19790430    30.3
19790501 19790531   120.8
19790601 19790630    82.4
19790701 19790731    69.3
19790801 19790831   109.7
19790901 19790930    59.4
19791001 19791031    12.8
19791101 19791130    23.0
19791201 19791231     3.8
19800101 19800131    20.0
19800201 19800229    48.0
19800301 19800331     2.2
19800401 19800430    39.1
19800501 19800531    36.1
19800601 19800630    65.6
19800701 19800731    18.6
19800801 19800831    31.2
19800901 19800930    20.6
19801001 19801031    45.8
19801101 19801130    12.2
19801201 19801231    37.0
19810101 19810131    26.5
19810201 19810228    32.8
19810301 19810331     3.9
19810401 19810430    26.8
19810501 19810531    69.2
19810601 19810630   129.4
19810701 19810731    82.8
19810801 19810831    26.4
19810901 19810930    15.0
19811001 19811031    23.3
19811101 19811130    56.6
19811201 19811231     6.6
19820101 19820131    77.6
19820201 19820228     7.4
19820301 19820331    28.4
19820401 19820430    74.5
19820501 19820531    51.2
19820601 19820630    40.8
19820701 19820731    62.3
19820801 19820831    68.2
19820901 19820930    26.0
19821001 19821031    12.3
19821101 19821130    15.0
19821201 19821231     5.0
19830101 19830131    13.9
19830201 19830228    34.9
19830301 19830331    48.9
19830401 19830430    20.2
19830501 19830531    27.3
19830601 19830630   137.4
19830701 19830731    77.3
19830801 19830831    24.0
19830901 19830930    49.8
19831001 19831031    27.6
19831101 19831130    54.2
19831201 19831231    78.8
19840101 19840131    29.4
