PRCP       018063 19070101 20180131 missing_value=99999.9 PENONG                                    
19510301 19510331    18.8
19510401 19510430    36.7
19510501 19510531    64.1
19510601 19510630    54.0
19510701 19510731   131.0
19510801 19510831    72.6
19510901 19510930    10.1
19511001 19511031    24.6
19511101 19511130     0.8
19511201 19511231    10.0
19520101 19520131    23.4
19520201 19520229     5.9
19520301 19520331     6.3
19520401 19520430    55.6
19520501 19520531    92.1
19520601 19520630    21.7
19520701 19520731    34.8
19520801 19520831    31.0
19520901 19520930    15.8
19521001 19521031    47.2
19521101 19521130    31.9
19521201 19521231     3.6
19530101 19530131     7.7
19530201 19530228    46.8
19530301 19530331     4.9
19530401 19530430    13.2
19530501 19530531    13.0
19530601 19530630    83.0
19530701 19530731    30.0
19530801 19530831    61.6
19530901 19530930    18.4
19531001 19531031    25.6
19531101 19531130     9.9
19531201 19531231    58.5
19540101 19540131    18.8
19540201 19540228     2.0
19540301 19540331     3.6
19540401 19540430    53.5
19540501 19540531    26.1
19540601 19540630   103.1
19540701 19540731    21.0
19540801 19540831    22.3
19540901 19540930    21.4
19541001 19541031    29.4
19541101 19541130     8.7
19541201 19541231    34.2
19550101 19550131     3.3
19550201 19550228    41.6
19550301 19550331     6.6
19550401 19550430    16.0
19550501 19550531    64.6
19550601 19550630    92.2
19550701 19550731    30.5
19550801 19550831    48.6
19550901 19550930    14.7
19551001 19551031    25.5
19551101 19551130    43.0
19551201 19551231     5.1
19560101 19560131     3.3
19560201 19560229     0.0
19560301 19560331     1.5
19560401 19560430    83.1
19560501 19560531   112.3
19560601 19560630    81.0
19560701 19560731    66.4
19560801 19560831    39.3
19560901 19560930    26.9
19561001 19561031    76.1
19561101 19561130     7.9
19561201 19561231     8.6
19570101 19570131     0.8
19570201 19570228     5.8
19570301 19570331     5.1
19570401 19570430     6.3
19570501 19570531    13.0
19570601 19570630    62.0
19570701 19570731    62.9
19570801 19570831    30.6
19570901 19570930    26.8
19571001 19571031     3.6
19571101 19571130     2.0
19571201 19571231    55.6
19580101 19580131     0.0
19580201 19580228     0.0
19580301 19580331    46.1
19580401 19580430     9.9
19580501 19580531    60.3
19580601 19580630    16.5
19580701 19580731    36.0
19580801 19580831    70.4
19580901 19580930    62.5
19581001 19581031    50.1
19581101 19581130    24.9
19581201 19581231    16.5
19590101 19590131     0.0
19590201 19590228    10.7
19590301 19590331     6.0
19590401 19590430     6.1
19590501 19590531    12.8
19590601 19590630    10.9
19590701 19590731    40.9
19590801 19590831     7.7
19590901 19590930    24.6
19591001 19591031    14.2
19591101 19591130    22.8
19591201 19591231    18.8
19600101 19600131    40.3
19600201 19600229    55.9
19600301 19600331     3.8
19600401 19600430    67.2
19600501 19600531    42.0
19600601 19600630    25.6
19600701 19600731    49.7
19600801 19600831    34.8
19600901 19600930    86.5
19601001 19601031     5.4
19601101 19601130    20.0
19601201 19601231     4.3
19610101 19610131     0.0
19610201 19610228     8.9
19610301 19610331     5.6
19610401 19610430    37.6
19610501 19610531     7.6
19610601 19610630    44.9
19610701 19610731    44.0
19610801 19610831    44.3
19610901 19610930    13.2
19611001 19611031     5.6
19611101 19611130    21.3
19611201 19611231     3.8
19620101 19620131     0.0
19620201 19620228     3.0
19620301 19620331    17.2
19620401 19620430     1.0
19620501 19620531    72.1
19620601 19620630     9.4
19620701 19620731    38.6
19620801 19620831    33.2
19620901 19620930    37.9
19621001 19621031    51.3
19621101 19621130     3.8
19621201 19621231     2.3
19630101 19630131     9.4
19630201 19630228     9.7
19630301 19630331     2.5
19630401 19630430    29.9
19630501 19630531    40.0
19630601 19630630    64.6
19630701 19630731    84.1
19630801 19630831    38.7
19630901 19630930     8.6
19631001 19631031     0.0
19631101 19631130     0.8
19631201 19631231     0.5
19640101 19640131     5.3
19640201 19640229     6.1
19640301 19640331     1.3
19640401 19640430    33.0
19640501 19640531    72.3
19640601 19640630    31.0
19640701 19640731    45.7
19640801 19640831    29.9
19640901 19640930    71.3
19641001 19641031    23.3
19641101 19641130    39.1
19641201 19641231     0.0
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.8
19650401 19650430     5.3
19650501 19650531    30.6
19650601 19650630    17.1
19650701 19650731    40.4
19650801 19650831    47.1
19650901 19650930    21.8
19651001 19651031    11.2
19651101 19651130     6.9
19651201 19651231     5.3
19660101 19660131     0.0
19660201 19660228    24.1
19660301 19660331    40.7
19660401 19660430     6.6
19660501 19660531    59.7
19660601 19660630    42.5
19660701 19660731    25.5
19660801 19660831    34.3
19660901 19660930    50.5
19661001 19661031    64.4
19661101 19661130    26.2
19661201 19661231    83.6
19670101 19670131    36.3
19670201 19670228    20.3
19670301 19670331     1.6
19670401 19670430     2.6
19670501 19670531     8.4
19670601 19670630    19.8
19670701 19670731    57.2
19670801 19670831    39.1
19670901 19670930    11.9
19671001 19671031     3.8
19671101 19671130     6.6
19671201 19671231     2.8
19680101 19680131    32.8
19680201 19680229    10.7
19680301 19680331   107.7
19680401 19680430    31.7
19680501 19680531    62.6
19680601 19680630    73.7
19680701 19680731    43.2
19680801 19680831    88.2
19680901 19680930    22.8
19681001 19681031    19.2
19681101 19681130    18.3
19681201 19681231    36.1
19690101 19690131    11.9
19690201 19690228    41.2
19690301 19690331    60.6
19690401 19690430    10.4
19690501 19690531    64.6
19690601 19690630    56.2
19690701 19690731    32.5
19690801 19690831    23.3
19690901 19690930    40.9
19691001 19691031     1.3
19691101 19691130     2.8
19691201 19691231     3.8
19700101 19700131     4.1
19700201 19700228     0.3
19700301 19700331     1.6
19700401 19700430     6.7
19700501 19700531    37.7
19700601 19700630    21.3
19700701 19700731    22.1
19700801 19700831    62.4
19700901 19700930    48.4
19701001 19701031     9.4
19701101 19701130     9.4
19701201 19701231     3.6
19710101 19710131     5.6
19710201 19710228     1.8
19710301 19710331    49.8
19710401 19710430   117.8
19710501 19710531    33.0
19710601 19710630    43.4
19710701 19710731    41.4
19710801 19710831    62.4
19710901 19710930    18.3
19711001 19711031     6.8
19711101 19711130    70.8
19711201 19711231    19.8
19720101 19720131    16.6
19720201 19720229    10.7
19720301 19720331     0.0
19720401 19720430    10.0
19720501 19720531     7.1
19720601 19720630    23.1
19720701 19720731    56.7
19720801 19720831    96.8
19720901 19720930    10.5
19721001 19721031    22.4
19721101 19721130     9.7
19721201 19721231     2.3
19730101 19730131    15.0
19730201 19730228     3.3
19730301 19730331    77.3
19730401 19730430    22.6
19730501 19730531    33.0
19730601 19730630    39.7
19730701 19730731    59.2
19730801 19730831   123.3
19730901 19730930    44.6
19731001 19731031    24.5
19731101 19731130    18.1
19731201 19731231    41.2
19740101 19740131     3.2
19740201 19740228     6.0
19740301 19740331     4.2
19740401 19740430    58.8
19740501 19740531    63.4
19740601 19740630    28.4
19740701 19740731    56.6
19740801 19740831    30.0
