PRCP       047045 19001101 20180131 missing_value=99999.9 WENTWORTH (WILLOW POINT)                  
19360401 19360430     8.1
19360501 19360531    46.0
19360601 19360630    22.7
19360701 19360731    35.1
19360801 19360831     8.7
19360901 19360930     4.6
19361001 19361031     6.9
19361101 19361130     6.9
19361201 19361231    85.8
19370101 19370131    99.3
19370201 19370228     4.5
19370301 19370331    11.4
19370401 19370430    14.0
19370501 19370531    13.0
19370601 19370630    55.2
19370701 19370731     9.4
19370801 19370831    43.9
19370901 19370930     0.8
19371001 19371031    31.0
19371101 19371130     6.9
19371201 19371231    49.1
19380101 19380131     4.9
19380201 19380228     5.1
19380301 19380331     0.0
19380401 19380430     1.3
19380501 19380531     0.8
19380601 19380630     5.6
19380701 19380731    21.8
19380801 19380831    15.1
19380901 19380930     3.3
19381001 19381031    68.2
19381101 19381130     3.3
19381201 19381231     0.0
19390101 19390131     0.0
19390201 19390228   103.2
19390301 19390331    13.0
19390401 19390430    40.1
19390501 19390531    21.0
19390601 19390630    32.3
19390701 19390731     2.0
19390801 19390831    17.0
19390901 19390930     6.4
19391001 19391031    28.5
19391101 19391130    43.7
19391201 19391231     0.0
19400101 19400131     8.9
19400201 19400229     0.0
19400301 19400331     0.3
19400401 19400430     3.1
19400501 19400531     5.6
19400601 19400630     0.8
19400701 19400731     6.4
19400801 19400831     2.6
19400901 19400930    19.8
19401001 19401031     3.3
19401101 19401130     1.0
19401201 19401231     4.6
19410101 19410131   114.9
19410201 19410228     4.3
19410301 19410331    13.2
19410401 19410430     0.0
19410501 19410531     3.1
19410601 19410630    21.2
19410701 19410731    24.3
19410801 19410831     9.6
19410901 19410930     9.9
19411001 19411031    15.4
19411101 19411130    11.8
19411201 19411231    27.4
19420101 19420131    11.9
19420201 19420228     9.2
19420301 19420331     2.0
19420401 19420430    18.5
19420501 19420531    33.4
19420601 19420630    55.4
19420701 19420731    17.1
19420801 19420831    17.3
19420901 19420930     7.7
19421001 19421031    50.8
19421101 19421130     3.5
19421201 19421231     2.3
19430101 19430131     0.0
19430201 19430228     5.8
19430301 19430331     0.0
19430401 19430430    19.3
19430501 19430531     1.6
19430601 19430630     0.5
19430701 19430731    10.6
19430801 19430831    25.4
19430901 19430930     7.4
19431001 19431031    23.6
19431101 19431130     4.8
19431201 19431231     0.0
19440101 19440131     0.3
19440201 19440229     3.5
19440301 19440331     3.6
19440401 19440430     1.3
19440501 19440531    17.6
19440601 19440630     0.0
19440701 19440731     6.7
19440801 19440831     3.8
19440901 19440930     0.3
19441001 19441031    19.3
19441101 19441130     7.9
19441201 19441231    21.4
19450101 19450131     0.0
19450201 19450228     3.6
19450301 19450331     0.0
19450401 19450430     2.8
19450501 19450531     5.3
19450601 19450630    25.2
19450701 19450731    44.3
19450801 19450831    24.5
19450901 19450930     4.6
19451001 19451031     8.4
19451101 19451130     9.9
19451201 19451231    15.8
19460101 19460131    64.8
19460201 19460228    69.4
19460301 19460331     9.6
19460401 19460430    15.3
19460501 19460531     6.3
19460601 19460630    47.6
19460701 19460731    15.0
19460801 19460831     2.1
19460901 19460930     1.8
19461001 19461031     9.6
19461101 19461130    35.0
19461201 19461231    12.2
19470101 19470131     0.0
19470201 19470228   123.2
19470301 19470331    54.6
19470401 19470430     8.4
19470501 19470531     3.0
19470601 19470630    20.1
19470701 19470731    16.2
19470801 19470831    15.3
19470901 19470930    32.0
19471001 19471031    29.3
19471101 19471130    41.6
19471201 19471231     6.6
19480101 19480131     0.0
19480201 19480229     2.8
19480301 19480331     0.0
19480401 19480430    17.1
19480501 19480531     5.9
19480601 19480630    36.9
19480701 19480731    10.9
19480801 19480831    16.6
19480901 19480930     8.2
19481001 19481031    19.5
19481101 19481130     6.6
19481201 19481231    37.1
19490101 19490131     1.8
19490201 19490228    41.4
19490301 19490331    64.3
19490401 19490430     6.6
19490501 19490531    66.2
19490601 19490630     2.5
19490701 19490731    11.7
19490801 19490831     2.4
19490901 19490930    42.2
19491001 19491031    25.2
19491101 19491130     8.4
19491201 19491231    11.2
19500101 19500131     0.0
19500201 19500228   112.0
19500301 19500331    81.8
19500401 19500430     0.0
19500501 19500531    30.6
19500601 19500630     7.2
19500701 19500731    36.9
19500801 19500831     4.3
19500901 19500930     4.6
19501001 19501031    17.8
19501101 19501130    21.8
19501201 19501231     9.4
19510101 19510131     2.5
19510201 19510228     9.3
19510301 19510331     1.8
19510401 19510430     5.1
19510501 19510531    13.2
19510601 19510630    98.5
19510701 19510731    14.0
19510801 19510831    31.0
19510901 19510930    25.0
19511001 19511031    25.4
19511101 19511130     9.7
19511201 19511231     8.9
19520101 19520131    31.8
19520201 19520229     7.7
19520301 19520331    17.3
19520401 19520430    33.6
19520501 19520531    64.7
19520601 19520630    24.6
19520701 19520731     5.2
19520801 19520831    13.6
19520901 19520930     9.2
19521001 19521031    58.3
19521101 19521130    22.9
19521201 19521231     0.8
19530101 19530131    40.7
19530201 19530228    12.2
19530301 19530331     1.3
19530401 19530430     5.3
19530501 19530531     1.8
19530601 19530630    10.5
19530701 19530731     9.7
19530801 19530831    30.2
19530901 19530930    42.8
19531001 19531031    29.2
19531101 19531130     7.9
19531201 19531231     3.8
19540101 19540131    20.6
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    48.8
19540501 19540531     4.6
19540601 19540630     5.6
19540701 19540731     8.6
19540801 19540831    33.1
19540901 19540930     5.9
19541001 19541031    23.4
19541101 19541130    20.5
19541201 19541231   150.4
19550101 19550131     5.1
19550201 19550228    44.5
19550301 19550331    23.9
19550401 19550430    15.5
19550501 19550531    46.4
19550601 19550630    35.3
19550701 19550731     4.9
19550801 19550831    37.9
19550901 19550930    51.6
19551001 19551031     8.7
19551101 19551130    36.8
19551201 19551231     0.0
19560101 19560131    34.9
19560201 19560229     1.3
19560301 19560331   111.8
19560401 19560430    11.7
19560501 19560531    81.9
19560601 19560630    35.0
19560701 19560731    54.0
19560801 19560831     6.3
19560901 19560930    38.4
19561001 19561031    47.2
19561101 19561130    11.0
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228    44.9
19570301 19570331    48.0
19570401 19570430     3.6
19570501 19570531     9.9
19570601 19570630    47.2
19570701 19570731    16.2
19570801 19570831     6.6
19570901 19570930     2.5
19571001 19571031    17.2
19571101 19571130     0.0
19571201 19571231    28.7
19580101 19580131    30.0
19580201 19580228     8.9
19580301 19580331    24.0
19580401 19580430    17.8
19580501 19580531     8.1
19580601 19580630     0.0
19580701 19580731    32.5
19580801 19580831    62.8
19580901 19580930    13.5
19581001 19581031    71.6
19581101 19581130    82.4
19581201 19581231     3.8
19590101 19590131    27.6
19590201 19590228     2.6
19590301 19590331    15.2
19590401 19590430     0.8
19590501 19590531    14.0
19590601 19590630     2.3
19590701 19590731    13.5
19590801 19590831     8.5
19590901 19590930     7.1
19591001 19591031    33.5
19591101 19591130     4.4
19591201 19591231     4.6
19600101 19600131    52.9
19600201 19600229    19.1
19600301 19600331    11.9
19600401 19600430    17.3
19600501 19600531    55.4
19600601 19600630    13.6
19600701 19600731    39.8
19600801 19600831    18.9
19600901 19600930    26.4
19601001 19601031     3.6
19601101 19601130    49.1
19601201 19601231     2.3
19610101 19610131    33.8
19610201 19610228     9.4
19610301 19610331    11.0
19610401 19610430    21.8
19610501 19610531     3.8
19610601 19610630    10.4
19610701 19610731    25.5
19610801 19610831    12.7
19610901 19610930    21.8
19611001 19611031    19.1
19611101 19611130    65.0
19611201 19611231    18.2
19620101 19620131    81.6
19620201 19620228     0.8
19620301 19620331    12.3
19620401 19620430     0.0
19620501 19620531    40.8
19620601 19620630     5.9
19620701 19620731     5.3
19620801 19620831    15.5
19620901 19620930     1.0
19621001 19621031    12.7
19621101 19621130     1.5
19621201 19621231   113.4
19630101 19630131    50.6
19630201 19630228     1.3
19630301 19630331     9.6
19630401 19630430    30.3
19630501 19630531    32.0
19630601 19630630    48.2
19630701 19630731    25.2
19630801 19630831    55.9
19630901 19630930     4.4
19631001 19631031    20.5
19631101 19631130     6.4
19631201 19631231    28.3
19640101 19640131     4.6
19640201 19640229     0.8
19640301 19640331     0.5
19640401 19640430    41.1
19640501 19640531     9.7
19640601 19640630    13.9
19640701 19640731    14.6
19640801 19640831    26.7
19640901 19640930    76.0
19641001 19641031    20.2
19641101 19641130     3.6
19641201 19641231    24.6
19650101 19650131     0.5
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     2.0
19650501 19650531    18.8
19650601 19650630    24.5
19650701 19650731    21.6
19650801 19650831    60.8
19650901 19650930    31.4
19651001 19651031     7.1
19651101 19651130    17.1
19651201 19651231     7.8
19660101 19660131     9.9
19660201 19660228    10.2
19660301 19660331    20.0
19660401 19660430     2.3
19660501 19660531    32.5
19660601 19660630    17.6
19660701 19660731    24.3
19660801 19660831    14.8
19660901 19660930    12.4
19661001 19661031    34.4
19661101 19661130    31.2
19661201 19661231    50.0
19670101 19670131     3.3
19670201 19670228    41.2
19670301 19670331     8.6
19670401 19670430     0.0
19670501 19670531     8.9
19670601 19670630     4.3
19670701 19670731     3.1
19670801 19670831    26.7
19670901 19670930     9.4
19671001 19671031    17.1
19671101 19671130     0.0
19671201 19671231     0.0
19680101 19680131    98.1
19680201 19680229     0.0
19680301 19680331     1.9
19680401 19680430    32.7
19680501 19680531    52.9
19680601 19680630    38.9
19680701 19680731    24.6
19680801 19680831    16.7
19680901 19680930     2.8
19681001 19681031    14.2
19681101 19681130    16.5
19681201 19681231    25.9
19690101 19690131     7.0
19690201 19690228    65.7
19690301 19690331   105.9
19690401 19690430     0.5
19690501 19690531    32.2
19690601 19690630     6.7
19690701 19690731    29.5
19690801 19690831     1.6
19690901 19690930    34.2
19691001 19691031     7.9
19691101 19691130    11.9
19691201 19691231     3.3
19700101 19700131    22.9
19700201 19700228     1.5
19700301 19700331    10.2
19700401 19700430    34.9
19700501 19700531     4.7
19700601 19700630     5.9
19700701 19700731     4.1
19700801 19700831    44.5
19700901 19700930    60.4
19701001 19701031     4.3
19701101 19701130    16.2
19701201 19701231     5.9
19710101 19710131     4.3
19710201 19710228    55.1
19710301 19710331    13.5
19710401 19710430    81.8
19710501 19710531     8.6
19710601 19710630    11.5
19710701 19710731    31.2
19710801 19710831    12.5
19710901 19710930    13.8
19711001 19711031     0.8
19711101 19711130    27.8
19711201 19711231     6.6
19720101 19720131    78.9
19720201 19720229     1.6
19720301 19720331     0.8
19720401 19720430    17.0
19720501 19720531    12.9
19720601 19720630     4.1
19720701 19720731     6.4
19720801 19720831    36.2
19720901 19720930     4.5
19721001 19721031    16.4
19721101 19721130     3.3
19721201 19721231     9.9
19730101 19730131    12.8
19730201 19730228    41.3
19730301 19730331    48.3
19730401 19730430    22.1
19730501 19730531    12.2
19730601 19730630    38.2
19730701 19730731    32.6
19730801 19730831    99.6
19730901 19730930    12.2
19731001 19731031    68.3
19731101 19731130    56.1
19731201 19731231    38.2
19740101 19740131    76.4
19740201 19740228    57.2
19740301 19740331    17.0
19740401 19740430    98.2
19740501 19740531    84.4
19740601 19740630     8.4
19740701 19740731    27.1
19740801 19740831    23.0
19740901 19740930    46.8
19741001 19741031    55.8
19741101 19741130    20.8
19741201 19741231    10.0
19750101 19750131     3.4
19750201 19750228    12.0
19750301 19750331    10.0
19750401 19750430     1.2
19750501 19750531    16.4
19750601 19750630     2.8
19750701 19750731    24.4
19750801 19750831    34.6
19750901 19750930    39.4
19751001 19751031    66.8
19751101 19751130     6.3
19751201 19751231   128.6
19760101 19760131    54.4
19760201 19760229    32.6
19760301 19760331     1.6
19760401 19760430    30.8
19760501 19760531     0.2
19760601 19760630     7.0
19760701 19760731    22.6
19760801 19760831     8.2
19760901 19760930    16.0
19761001 19761031    87.2
19761101 19761130    29.0
19761201 19761231     2.2
19770101 19770131     2.4
19770201 19770228     9.4
19770301 19770331     0.8
19770401 19770430     1.2
19770501 19770531    16.6
19770601 19770630    21.8
19770701 19770731     3.2
19770801 19770831     0.0
19770901 19770930     7.8
19771001 19771031    20.8
19771101 19771130    20.4
19771201 19771231     1.0
19780101 19780131     2.2
19780201 19780228     0.0
19780301 19780331    29.4
19780401 19780430     1.2
19780501 19780531    32.8
19780601 19780630    38.8
19780701 19780731    37.8
19780801 19780831    38.4
19780901 19780930    32.8
19781001 19781031    25.4
19781101 19781130    42.4
19781201 19781231     1.0
19790101 19790131    34.4
19790201 19790228    30.2
19790301 19790331     4.6
19790401 19790430    41.6
19790501 19790531    74.0
19790601 19790630     5.6
19790701 19790731     2.4
19790801 19790831    16.2
19790901 19790930    32.2
19791001 19791031    25.2
19791101 19791130    11.0
19791201 19791231     0.6
19800101 19800131    20.0
19800201 19800229    23.0
19800301 19800331     0.4
19800401 19800430   141.8
19800501 19800531    23.6
19800601 19800630    38.4
19800701 19800731    21.8
19800801 19800831    22.8
19800901 19800930     3.0
19801001 19801031    25.4
19801101 19801130     3.8
19801201 19801231    16.4
19810101 19810131    35.8
19810201 19810228    10.4
19810301 19810331     3.2
19810401 19810430     2.4
19810501 19810531    46.2
19810601 19810630    25.8
19810701 19810731    65.4
19810801 19810831     8.0
19810901 19810930    19.8
19811001 19811031    19.8
19811101 19811130    20.0
19811201 19811231     3.2
19820101 19820131    24.4
19820201 19820228     0.2
19820301 19820331     8.6
19820401 19820430    10.4
19820501 19820531     0.8
19820601 19820630    10.2
19820701 19820731     6.4
19820801 19820831     0.2
19820901 19820930    28.2
19821001 19821031     0.6
19821101 19821130     0.0
19821201 19821231     0.0
19830101 19830131     3.0
19830201 19830228     5.6
19830301 19830331    36.3
19830401 19830430    11.8
19830501 19830531     2.6
19830601 19830630     2.4
19830701 19830731    38.2
19830801 19830831    37.0
19830901 19830930    17.0
19831001 19831031    22.0
19831101 19831130    36.2
19831201 19831231    62.0
19840101 19840131    79.0
19840201 19840229     1.2
19840301 19840331    27.0
19840401 19840430    49.0
19840501 19840531     0.0
19840601 19840630     0.6
19840701 19840731    44.6
19840801 19840831    50.0
19840901 19840930    27.8
19841001 19841031    23.2
19841101 19841130     4.6
19841201 19841231     2.2
19850101 19850131     7.6
19850201 19850228     2.0
19850301 19850331     5.0
19850401 19850430     0.4
19850501 19850531    36.2
19850601 19850630    12.4
19850701 19850731     4.6
19850801 19850831    43.0
19850901 19850930     9.2
19851001 19851031    25.4
19851101 19851130    16.4
19851201 19851231    16.8
19860101 19860131     0.0
19860201 19860228     3.4
19860301 19860331     0.0
19860401 19860430     1.8
19860501 19860531    22.4
19860601 19860630     3.2
19860701 19860731    24.6
19860801 19860831    31.6
19860901 19860930    27.0
19861001 19861031    58.2
19861101 19861130    12.6
19861201 19861231    59.2
19870101 19870131    11.0
19870201 19870228     5.6
19870301 19870331    26.4
19870401 19870430     4.2
19870501 19870531    23.0
19870601 19870630    29.8
19870701 19870731    22.4
19870801 19870831    24.0
19870901 19870930    21.0
19871001 19871031    11.8
19871101 19871130     4.0
19871201 19871231    40.4
19880101 19880131    21.8
19880201 19880229    13.6
19880301 19880331    32.6
19880401 19880430    20.0
19880501 19880531    51.0
19880601 19880630    29.4
19880701 19880731    25.4
19880801 19880831     6.2
19880901 19880930    26.8
19881001 19881031     3.4
19881101 19881130    21.0
19881201 19881231    95.0
19890101 19890131    13.4
19890201 19890228     0.6
19890301 19890331   131.0
19890401 19890430    56.0
19890501 19890531    58.8
19890601 19890630    19.0
19890701 19890731    35.8
19890801 19890831    14.4
19890901 19890930     9.8
19891001 19891031    10.0
19891101 19891130     8.2
19891201 19891231    10.2
19900101 19900131     8.4
19900201 19900228    10.8
19900301 19900331     0.4
19900401 19900430    22.0
19900501 19900531    60.6
19900601 19900630    15.6
19900701 19900731    22.2
19900801 19900831    24.2
19900901 19900930    13.0
19901001 19901031     2.6
19901101 19901130     7.0
19901201 19901231     1.6
19910101 19910131   158.4
19910201 19910228     0.0
19910301 19910331     0.0
19910401 19910430     9.4
19910501 19910531     8.8
19910601 19910630    56.8
19910701 19910731    23.6
19910801 19910831     8.8
19910901 19910930     6.6
19911001 19911031     0.0
19911101 19911130    12.2
19911201 19911231     0.6
19920101 19920131     2.8
19920201 19920229    10.0
19920301 19920331     0.4
19920401 19920430    14.0
19920501 19920531    44.4
19920601 19920630    17.2
19920701 19920731    12.2
19920801 19920831    63.4
19920901 19920930    85.6
19921001 19921031    63.2
19921101 19921130    52.6
19921201 19921231   108.8
19930101 19930131   114.8
19930201 19930228    18.8
19930301 19930331     5.2
19930401 19930430     0.6
19930501 19930531    15.2
19930601 19930630     4.6
19930701 19930731    24.8
19930801 19930831     9.4
19930901 19930930    70.2
19931001 19931031   120.8
19931101 19931130     5.4
19931201 19931231    43.8
19940101 19940131     4.4
19940201 19940228   100.2
19940301 19940331     0.0
19940401 19940430     0.8
19940501 19940531     0.0
19940601 19940630    27.8
19940701 19940731     9.0
19940801 19940831     0.8
19940901 19940930    23.8
19941001 19941031     1.8
19941101 19941130     5.6
19941201 19941231     1.2
19950101 19950131    24.8
19950201 19950228    17.8
19950301 19950331     0.4
19950401 19950430     4.8
19950501 19950531    58.6
19950601 19950630    45.8
19950701 19950731    27.4
19950801 19950831     0.2
19950901 19950930    17.2
19951001 19951031    69.8
19951101 19951130    13.4
19951201 19951231     7.4
19960101 19960131    24.0
19960201 19960229    14.0
19960301 19960331    14.8
19960401 19960430     1.2
19960501 19960531     2.4
19960601 19960630    24.8
19960701 19960731    47.8
19960801 19960831    36.4
19960901 19960930    23.0
19961001 19961031    12.2
19961101 19961130    11.0
19961201 19961231     2.2
19970101 19970131    29.0
