PRCP       042003 18800101 20110131 missing_value=99999.9 CHERITON                                  
19350101 19350131    54.9
19350201 19350228     1.8
19350301 19350331     0.0
19350401 19350430     6.1
19350501 19350531     1.0
19350601 19350630    10.9
19350701 19350731    23.4
19350801 19350831     9.1
19350901 19350930    77.4
19351001 19351031    21.2
19351101 19351130    14.5
19351201 19351231    26.6
19360101 19360131    59.4
19360201 19360229    52.8
19360301 19360331    37.2
19360401 19360430     3.0
19360501 19360531    19.6
19360601 19360630    14.0
19360701 19360731    56.7
19360801 19360831    22.6
19360901 19360930    11.6
19361001 19361031    18.1
19361101 19361130     5.1
19361201 19361231   141.6
19370101 19370131    49.2
19370201 19370228    90.0
19370301 19370331   186.7
19370401 19370430     1.8
19370501 19370531     1.0
19370601 19370630    29.5
19370701 19370731    19.3
19370801 19370831     5.1
19370901 19370930    12.1
19371001 19371031    19.3
19371101 19371130    81.1
19371201 19371231     5.6
19380101 19380131    24.8
19380201 19380228    18.5
19380301 19380331     4.8
19380401 19380430    25.4
19380501 19380531    47.5
19380601 19380630    32.7
19380701 19380731     4.5
19380801 19380831    27.2
19380901 19380930    28.7
19381001 19381031    47.0
19381101 19381130    81.3
19381201 19381231     0.0
19390101 19390131    51.9
19390201 19390228     5.3
19390301 19390331   131.5
19390401 19390430    40.5
19390501 19390531    11.9
19390601 19390630    30.9
19390701 19390731    29.2
19390801 19390831    37.9
19390901 19390930    11.4
19391001 19391031    10.4
19391101 19391130    39.0
19391201 19391231    13.7
19400101 19400131     9.9
19400201 19400229    92.4
19400301 19400331    87.7
19400401 19400430     9.4
19400501 19400531    17.0
19400601 19400630     3.3
19400701 19400731     0.0
19400801 19400831     1.8
19400901 19400930    28.5
19401001 19401031    15.2
19401101 19401130     6.1
19401201 19401231   132.2
19410101 19410131   289.3
19410201 19410228    10.6
19410301 19410331   178.4
19410401 19410430     3.3
19410501 19410531     8.4
19410601 19410630    18.7
19410701 19410731     4.1
19410801 19410831     3.8
19410901 19410930     2.8
19411001 19411031    26.4
19411101 19411130    51.6
19411201 19411231     3.8
19420101 19420131    50.6
19420201 19420228    24.7
19420301 19420331    14.7
19420401 19420430     3.5
19420501 19420531    15.2
19420601 19420630     9.9
19420701 19420731    34.3
19420801 19420831     5.1
19420901 19420930     3.9
19421001 19421031    44.0
19421101 19421130    58.7
19421201 19421231   220.8
19430101 19430131    55.1
19430201 19430228     6.4
19430301 19430331     9.1
19430401 19430430    31.7
19430501 19430531    19.3
19430601 19430630    16.5
19430701 19430731    17.0
19430801 19430831    41.4
19430901 19430930    20.0
19431001 19431031    17.0
19431101 19431130    54.0
19431201 19431231    32.8
19440101 19440131    31.3
19440201 19440229     3.6
19440301 19440331    12.7
19440401 19440430     0.0
19440501 19440531    17.8
19440601 19440630    18.3
19440701 19440731    49.7
19440801 19440831    56.1
19440901 19440930    15.7
19441001 19441031     5.8
19441101 19441130    14.0
19441201 19441231     2.0
19450101 19450131    78.6
19450201 19450228   106.0
19450301 19450331     1.8
19450401 19450430    15.5
19450501 19450531    37.6
19450601 19450630    40.7
19450701 19450731    38.4
19450801 19450831    36.6
19450901 19450930     0.8
19451001 19451031     5.1
19451101 19451130    20.4
19451201 19451231    37.9
19460101 19460131    71.8
19460201 19460228     8.4
19460301 19460331    14.8
19460401 19460430    27.0
19460501 19460531     0.0
19460601 19460630     2.5
19460701 19460731     1.0
19460801 19460831     0.0
19460901 19460930    81.3
19461001 19461031     3.8
19461101 19461130    60.4
19461201 19461231    67.0
19470101 19470131    26.9
19470201 19470228   170.3
19470301 19470331   197.8
19470401 19470430    12.7
19470501 19470531    24.9
19470601 19470630    15.7
19470701 19470731    10.7
19470801 19470831    95.7
19470901 19470930    46.6
19471001 19471031    58.9
19471101 19471130   163.2
19471201 19471231   122.9
19480101 19480131    62.3
19480201 19480229    10.7
19480301 19480331    85.8
19480401 19480430    10.4
19480501 19480531    87.1
19480601 19480630    65.3
19480701 19480731    29.2
19480801 19480831     4.1
19480901 19480930    28.1
19481001 19481031     5.1
19481101 19481130    18.1
19481201 19481231    65.8
19490101 19490131    32.3
19490201 19490228    92.5
19490301 19490331    50.1
19490401 19490430    22.4
19490501 19490531     4.3
19490601 19490630    43.2
19490701 19490731     0.0
19490801 19490831     6.9
19490901 19490930    94.2
19491001 19491031   106.2
19491101 19491130    71.6
19491201 19491231    12.2
19500101 19500131    50.3
19500201 19500228    83.2
19500301 19500331    40.7
19500401 19500430    72.2
19500501 19500531    28.9
19500601 19500630    72.1
19500701 19500731   254.0
19500801 19500831    10.7
19500901 19500930    34.6
19501001 19501031   100.2
19501101 19501130   196.1
19501201 19501231    13.5
19510101 19510131   138.5
19510201 19510228    27.1
19510301 19510331    53.5
19510401 19510430    11.9
19510501 19510531    18.8
19510601 19510630    31.8
19510701 19510731     0.0
19510801 19510831    25.7
19510901 19510930    28.4
19511001 19511031    32.5
19511101 19511130    17.5
19511201 19511231    29.7
19520101 19520131     7.1
19520201 19520229    86.1
19520301 19520331    81.8
19520401 19520430    31.7
19520501 19520531    61.3
19520601 19520630    25.2
19520701 19520731    45.0
19520801 19520831    29.2
19520901 19520930     8.4
19521001 19521031   136.3
19521101 19521130     9.4
19521201 19521231    20.0
19530101 19530131    21.0
19530201 19530228   342.2
19530301 19530331    31.0
19530401 19530430    33.0
19530501 19530531    65.4
19530601 19530630     0.0
19530701 19530731     9.9
19530801 19530831    57.0
19530901 19530930     1.0
19531001 19531031    82.5
19531101 19531130    60.4
19531201 19531231     1.3
19540101 19540131    66.9
19540201 19540228   119.2
19540301 19540331     0.0
19540401 19540430     0.5
19540501 19540531     3.1
19540601 19540630    20.5
19540701 19540731   146.4
19540801 19540831    12.8
19540901 19540930    30.3
19541001 19541031   215.6
19541101 19541130    98.6
19541201 19541231    42.6
19550101 19550131   207.6
19550201 19550228    73.0
19550301 19550331    21.6
19550401 19550430    98.1
19550501 19550531    40.4
19550601 19550630     4.1
19550701 19550731    50.1
19550801 19550831    29.1
19550901 19550930    10.7
19551001 19551031    47.3
19551101 19551130    22.7
19551201 19551231    64.5
19560101 19560131   115.4
19560201 19560229   101.8
19560301 19560331   110.2
19560401 19560430    64.7
19560501 19560531    61.9
19560601 19560630    76.5
19560701 19560731    35.7
19560801 19560831     0.0
19560901 19560930    35.2
19561001 19561031    23.3
19561101 19561130    36.6
19561201 19561231    81.6
19570101 19570131    73.0
19570201 19570228    25.3
19570301 19570331    44.3
19570401 19570430    36.3
19570501 19570531     0.0
19570601 19570630    48.6
19570701 19570731     6.3
19570801 19570831     1.3
19570901 19570930     0.5
19571001 19571031    19.6
19571101 19571130    11.6
19571201 19571231    14.2
19580101 19580131    62.7
19580201 19580228    59.9
19580301 19580331   104.6
19580401 19580430    53.7
19580501 19580531     3.8
19580601 19580630   145.2
19580701 19580731     1.5
19580801 19580831    35.0
19580901 19580930    30.7
19581001 19581031    23.0
19581101 19581130    17.2
19581201 19581231    74.8
19590101 19590131   172.1
19590201 19590228   162.6
19590301 19590331    35.6
19590401 19590430     4.9
19590501 19590531    34.0
19590601 19590630     5.6
19590701 19590731    58.2
19590801 19590831     0.8
19590901 19590930     7.2
19591001 19591031    74.9
19591101 19591130    65.3
19591201 19591231    31.0
19600101 19600131    52.8
19600201 19600229    43.5
19600301 19600331    49.3
19600401 19600430    16.9
19600501 19600531    38.6
19600601 19600630    15.0
19600701 19600731    31.5
19600801 19600831    28.4
19600901 19600930    18.5
19601001 19601031    28.2
19601101 19601130    38.3
19601201 19601231    30.5
19610101 19610131    29.8
19610201 19610228    74.2
