PRCP       069018 18750701 20180131 missing_value=99999.9 MORUYA HEADS PILOT STATION                
19040601 19040630     2.6
19040701 19040731   247.9
19040801 19040831     9.6
19040901 19040930     8.6
19041001 19041031    45.3
19041101 19041130     9.2
19041201 19041231    28.1
19050101 19050131    48.5
19050201 19050228    97.8
19050301 19050331    39.1
19050401 19050430    93.5
19050501 19050531    55.9
19050601 19050630    39.9
19050701 19050731    10.0
19050801 19050831    38.4
19050901 19050930     5.9
19051001 19051031    81.4
19051101 19051130    15.1
19051201 19051231    65.7
19060101 19060131    30.6
19060201 19060228    24.7
19060301 19060331   350.5
19060401 19060430    11.9
19060501 19060531    58.8
19060601 19060630     2.1
19060701 19060731     4.3
19060801 19060831    82.3
19060901 19060930    54.8
19061001 19061031    39.6
19061101 19061130    46.5
19061201 19061231    27.7
19070101 19070131    93.8
19070201 19070228    39.8
19070301 19070331    74.8
19070401 19070430   104.3
19070501 19070531    28.4
19070601 19070630   176.3
19070701 19070731     2.8
19070801 19070831    14.4
19070901 19070930     3.1
19071001 19071031    11.2
19071101 19071130    29.9
19071201 19071231    22.1
19080101 19080131    28.4
19080201 19080229   129.5
19080301 19080331    30.2
19080401 19080430   140.4
19080501 19080531    22.9
19080601 19080630    22.1
19080701 19080731    21.9
19080801 19080831   153.2
19080901 19080930    35.1
19081001 19081031    24.2
19081101 19081130    45.2
19081201 19081231     0.8
19090101 19090131    88.6
19090201 19090228   146.0
19090301 19090331     9.9
19090401 19090430     7.6
19090501 19090531     0.0
19090601 19090630   134.9
19090701 19090731   100.1
19090801 19090831    12.5
19090901 19090930    12.2
19091001 19091031    40.9
19091101 19091130    13.0
19091201 19091231    72.2
19100101 19100131   344.5
19100201 19100228     6.7
19100301 19100331    77.5
19100401 19100430    15.3
19100501 19100531     2.1
19100601 19100630    39.1
19100701 19100731    63.8
19100801 19100831     2.6
19100901 19100930    23.8
19101001 19101031    42.0
19101101 19101130    60.0
19101201 19101231   103.1
19110101 19110131   450.0
19110201 19110228    26.5
19110301 19110331   142.2
19110401 19110430     6.1
19110501 19110531   174.0
19110601 19110630    27.4
19110701 19110731    35.2
19110801 19110831    76.6
19110901 19110930    65.2
19111001 19111031    32.9
19111101 19111130    46.8
19111201 19111231    27.3
19120101 19120131    29.2
19120201 19120229    71.4
19120301 19120331   229.6
19120401 19120430    29.0
19120501 19120531    62.5
19120601 19120630    88.5
19120701 19120731   218.8
19120801 19120831     8.6
19120901 19120930    11.3
19121001 19121031    14.8
19121101 19121130    86.2
19121201 19121231    22.4
19130101 19130131     7.3
19130201 19130228     9.2
19130301 19130331   120.7
19130401 19130430   127.0
19130501 19130531   165.2
19130601 19130630   345.6
19130701 19130731    39.1
19130801 19130831     3.8
19130901 19130930    93.3
19131001 19131031    58.4
19131101 19131130    16.4
19131201 19131231    16.0
