PRCP       018058 19101001 20170930 missing_value=99999.9 MULLAQUANA                                
19450301 19450331     0.0
19450401 19450430     1.0
19450501 19450531    18.2
19450601 19450630    20.8
19450701 19450731     6.6
19450801 19450831    10.9
19450901 19450930    21.8
19451001 19451031    36.8
19451101 19451130    18.8
19451201 19451231    21.3
19460101 19460131    31.8
19460201 19460228   238.3
19460301 19460331    10.7
19460401 19460430     8.2
19460501 19460531    16.1
19460601 19460630     5.8
19460701 19460731     5.9
19460801 19460831    13.5
19460901 19460930    24.8
19461001 19461031     3.5
19461101 19461130    57.5
19461201 19461231    20.8
19470101 19470131    11.2
19470201 19470228     0.0
19470301 19470331    67.4
19470401 19470430    27.9
19470501 19470531     3.0
19470601 19470630    18.1
19470701 19470731    25.3
19470801 19470831    12.7
19470901 19470930    39.6
19471001 19471031    52.1
19471101 19471130     3.9
19471201 19471231    14.0
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     0.0
19480401 19480430    15.8
19480501 19480531    16.8
19480601 19480630    11.7
19480701 19480731    18.0
19480801 19480831     4.4
19480901 19480930     0.0
19481001 19481031    22.4
19481101 19481130     8.6
19481201 19481231    46.7
19490101 19490131     0.0
19490201 19490228    27.4
19490301 19490331     0.0
19490401 19490430     2.3
19490501 19490531    47.2
19490601 19490630     9.4
19490701 19490731    27.7
19490801 19490831     7.3
19490901 19490930    42.7
19491001 19491031    48.7
19491101 19491130    30.8
19491201 19491231     3.0
19500101 19500131     0.0
19500201 19500228    32.5
19500301 19500331     4.3
19500401 19500430    27.2
19500501 19500531    38.6
19500601 19500630    12.9
19500701 19500731    15.7
19500801 19500831    22.1
19500901 19500930     5.7
19501001 19501031    27.1
19501101 19501130    10.7
19501201 19501231    14.3
19510101 19510131     0.0
19510201 19510228    12.7
19510301 19510331    18.4
19510401 19510430    11.5
19510501 19510531    23.0
19510601 19510630    50.7
19510701 19510731    39.5
19510801 19510831    26.5
19510901 19510930    11.2
19511001 19511031     5.6
19511101 19511130     0.0
