PRCP       063005 19080701 20180131 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
19430601 19430630    42.8
19430701 19430731    41.1
19430801 19430831    60.5
19430901 19430930   130.1
19431001 19431031    29.2
19431101 19431130   101.6
19431201 19431231    38.2
19440101 19440131    38.3
19440201 19440229     5.6
19440301 19440331    23.9
19440401 19440430    23.1
19440501 19440531    42.9
19440601 19440630     5.6
19440701 19440731    31.3
19440801 19440831    44.6
19440901 19440930    17.1
19441001 19441031    22.3
19441101 19441130    19.2
19441201 19441231     5.7
19450101 19450131    84.1
19450201 19450228   143.5
19450301 19450331    15.5
19450401 19450430    29.8
19450501 19450531    72.0
19450601 19450630   105.3
19450701 19450731    28.3
19450801 19450831    63.9
19450901 19450930    14.0
19451001 19451031    41.4
19451101 19451130    32.5
19451201 19451231    43.2
19460101 19460131    57.8
19460201 19460228    41.8
19460301 19460331    36.6
19460401 19460430    60.0
19460501 19460531    18.4
19460601 19460630    22.4
19460701 19460731    35.2
19460801 19460831    13.0
19460901 19460930    13.3
19461001 19461031    63.0
19461101 19461130    59.1
19461201 19461231    99.0
19470101 19470131     5.3
19470201 19470228    42.3
19470301 19470331    30.5
19470401 19470430    48.0
19470501 19470531    42.2
19470601 19470630    16.3
19470701 19470731    92.1
19470801 19470831    26.2
19470901 19470930    62.5
19471001 19471031    62.8
19471101 19471130    97.5
19471201 19471231   194.5
19480101 19480131    74.0
19480201 19480229    94.1
19480301 19480331    41.6
19480401 19480430    67.3
19480501 19480531    43.4
19480601 19480630    83.2
19480701 19480731    14.4
19480801 19480831    21.9
19480901 19480930    34.6
19481001 19481031    35.2
19481101 19481130    52.3
19481201 19481231    65.2
19490101 19490131    36.9
19490201 19490228    58.8
19490301 19490331    73.3
19490401 19490430    43.7
19490501 19490531    30.9
19490601 19490630    50.1
19490701 19490731    35.5
19490801 19490831    23.5
19490901 19490930    93.4
19491001 19491031    85.8
19491101 19491130    94.1
19491201 19491231    61.3
19500101 19500131   106.4
19500201 19500228   144.3
19500301 19500331   177.6
19500401 19500430    84.4
19500501 19500531    92.7
19500601 19500630   101.0
19500701 19500731   109.2
19500801 19500831    91.0
19500901 19500930    74.3
19501001 19501031   156.5
19501101 19501130   132.4
19501201 19501231     5.4
19510101 19510131    35.0
19510201 19510228    50.6
19510301 19510331    43.5
19510401 19510430    25.7
19510501 19510531    42.8
19510601 19510630    92.2
19510701 19510731    79.1
19510801 19510831    89.4
19510901 19510930    39.7
19511001 19511031    40.4
19511101 19511130    28.7
19511201 19511231    36.5
19520101 19520131    22.6
19520201 19520229    12.0
19520301 19520331    76.5
19520401 19520430   105.9
19520501 19520531    56.5
19520601 19520630    93.6
19520701 19520731    77.5
19520801 19520831    75.6
19520901 19520930    36.4
19521001 19521031    88.4
19521101 19521130    40.9
19521201 19521231    96.7
19530101 19530131    70.5
19530201 19530228    38.1
19530301 19530331    23.6
19530401 19530430    45.7
19530501 19530531    80.8
19530601 19530630    18.6
19530701 19530731     4.4
19530801 19530831    52.1
19530901 19530930    35.4
19531001 19531031    52.9
