PRCP       037043 18911101 20120831 missing_value=99999.9 URANDANGIE                                
19230601 19230630    48.0
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    13.4
19231101 19231130     0.0
19231201 19231231    30.8
19240101 19240131     0.0
19240201 19240229    67.6
19240301 19240331     0.0
19240401 19240430     1.5
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     5.6
19240801 19240831     0.0
19240901 19240930    10.2
19241001 19241031     0.0
19241101 19241130    56.4
19241201 19241231    28.7
19250101 19250131    64.6
19250201 19250228     1.5
19250301 19250331    36.1
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630     2.3
19250701 19250731     1.5
19250801 19250831     0.0
19250901 19250930    19.5
19251001 19251031     0.0
19251101 19251130     4.9
19251201 19251231     4.3
19260101 19260131    57.4
19260201 19260228     2.0
19260301 19260331    51.6
19260401 19260430     0.8
19260501 19260531    11.4
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    16.0
19261001 19261031    13.5
19261101 19261130    25.9
19261201 19261231     0.3
19270101 19270131    43.7
19270201 19270228    84.2
19270301 19270331     7.4
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630     0.0
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031    10.7
19271101 19271130     4.6
19271201 19271231    11.4
19280101 19280131    10.2
19280201 19280229     0.0
19280301 19280331     0.3
19280401 19280430     0.0
19280501 19280531     0.0
19280601 19280630     7.9
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130     4.3
19281201 19281231     6.8
19290101 19290131    36.8
19290201 19290228     9.1
19290301 19290331    60.4
19290401 19290430     1.0
19290501 19290531     0.0
19290601 19290630     4.8
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.3
19291101 19291130    23.9
19291201 19291231     4.9
19300101 19300131    27.9
19300201 19300228    62.9
19300301 19300331    45.4
19300401 19300430     0.0
19300501 19300531     3.3
19300601 19300630     0.0
19300701 19300731     7.6
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031   100.1
19301101 19301130    37.4
19301201 19301231    37.7
19310101 19310131    50.2
19310201 19310228     0.0
19310301 19310331    27.3
19310401 19310430    12.4
19310501 19310531    34.0
19310601 19310630     4.1
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930    18.8
19311001 19311031     0.3
19311101 19311130     7.9
19311201 19311231    26.4
19320101 19320131     8.7
19320201 19320229     5.3
19320301 19320331    39.2
19320401 19320430     2.5
19320501 19320531    56.8
19320601 19320630     9.1
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.8
19321001 19321031    27.7
19321101 19321130     5.6
19321201 19321231    11.7
19330101 19330131     8.6
19330201 19330228    77.3
19330301 19330331     5.6
19330401 19330430     0.0
19330501 19330531     1.8
19330601 19330630    14.8
19330701 19330731     0.0
19330801 19330831    26.2
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130    91.5
19331201 19331231     7.6
19340101 19340131    28.3
19340201 19340228    60.4
19340301 19340331     0.0
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630    21.6
19340701 19340731    39.3
19340801 19340831     0.8
19340901 19340930     0.5
19341001 19341031     7.4
19341101 19341130    24.7
19341201 19341231     0.0
19350101 19350131    43.7
19350201 19350228     0.0
19350301 19350331     2.3
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630    43.7
19350701 19350731     2.1
19350801 19350831     0.8
19350901 19350930     8.4
19351001 19351031     1.0
