PRCP       058012 18820101 20180131 missing_value=99999.9 YAMBA PILOT STATION                       
19361001 19361031    30.8
19361101 19361130    37.6
19361201 19361231   193.3
19370101 19370131    95.4
19370201 19370228   170.1
19370301 19370331   348.4
19370401 19370430    85.3
19370501 19370531    36.3
19370601 19370630   157.2
19370701 19370731   162.8
19370801 19370831   103.2
19370901 19370930     5.6
19371001 19371031    36.4
19371101 19371130   286.4
19371201 19371231   187.5
19380101 19380131   169.5
19380201 19380228    68.3
19380301 19380331   101.8
19380401 19380430   144.0
19380501 19380531   455.9
19380601 19380630    99.9
19380701 19380731   164.0
19380801 19380831    74.8
19380901 19380930    40.7
19381001 19381031    63.3
19381101 19381130    27.2
19381201 19381231    16.0
19390101 19390131   132.1
19390201 19390228    14.1
19390301 19390331   287.6
19390401 19390430   152.4
19390501 19390531   152.2
19390601 19390630    39.5
19390701 19390731    61.0
19390801 19390831    47.8
19390901 19390930    37.7
19391001 19391031   153.1
19391101 19391130    65.3
19391201 19391231    41.8
19400101 19400131   146.6
19400201 19400229    61.6
19400301 19400331   169.6
19400401 19400430   132.8
19400501 19400531    92.3
19400601 19400630   177.8
19400701 19400731    19.6
19400801 19400831    92.4
19400901 19400930    18.1
19401001 19401031    98.5
19401101 19401130    36.6
19401201 19401231   134.8
19410101 19410131   174.6
19410201 19410228   171.5
19410301 19410331   115.1
19410401 19410430   196.2
19410501 19410531   117.5
19410601 19410630   112.5
19410701 19410731    53.4
19410801 19410831     6.8
19410901 19410930    14.5
19411001 19411031     7.2
19411101 19411130   128.1
19411201 19411231    39.7
19420101 19420131    39.5
19420201 19420228   200.7
19420301 19420331    92.0
19420401 19420430   121.0
19420501 19420531    28.7
19420601 19420630   120.7
19420701 19420731    78.1
19420801 19420831    29.6
19420901 19420930     3.8
19421001 19421031   188.3
19421101 19421130    76.2
19421201 19421231   189.0
19430101 19430131    83.7
19430201 19430228   157.6
19430301 19430331    64.9
19430401 19430430    93.9
19430501 19430531   327.4
19430601 19430630    18.6
19430701 19430731     2.5
19430801 19430831    96.6
19430901 19430930    72.0
19431001 19431031    70.7
19431101 19431130   322.9
19431201 19431231   160.2
19440101 19440131   378.6
19440201 19440229    76.9
19440301 19440331   162.0
19440401 19440430    70.3
19440501 19440531    29.8
19440601 19440630    92.3
19440701 19440731   188.0
19440801 19440831   185.9
19440901 19440930    73.5
19441001 19441031    11.7
19441101 19441130    40.8
19441201 19441231    84.4
19450101 19450131    31.7
19450201 19450228   143.5
19450301 19450331    59.2
19450401 19450430   161.3
19450501 19450531   129.5
19450601 19450630   403.9
19450701 19450731   148.2
19450801 19450831    34.0
19450901 19450930    28.7
19451001 19451031    60.7
19451101 19451130    86.5
19451201 19451231    80.0
19460101 19460131   121.4
19460201 19460228   189.5
19460301 19460331   317.4
19460401 19460430   106.0
19460501 19460531    17.9
19460601 19460630    15.8
19460701 19460731     1.6
19460801 19460831    34.1
19460901 19460930    44.6
19461001 19461031    93.1
19461101 19461130    31.2
19461201 19461231   159.1
19470101 19470131   212.5
19470201 19470228   292.4
19470301 19470331   228.0
19470401 19470430   168.7
19470501 19470531   148.6
19470601 19470630    11.2
19470701 19470731     5.3
19470801 19470831    63.4
19470901 19470930    50.0
19471001 19471031    70.4
19471101 19471130   116.8
19471201 19471231   143.0
19480101 19480131   126.1
19480201 19480229    71.9
19480301 19480331   168.8
19480401 19480430   198.4
19480501 19480531   114.0
19480601 19480630   247.2
19480701 19480731    18.9
19480801 19480831    52.3
19480901 19480930    64.0
19481001 19481031     2.6
19481101 19481130    67.1
19481201 19481231    37.0
19490101 19490131   112.5
19490201 19490228   163.5
19490301 19490331   283.9
19490401 19490430   312.2
19490501 19490531   192.5
19490601 19490630    85.6
19490701 19490731    51.3
19490801 19490831    75.2
19490901 19490930    62.2
19491001 19491031   100.6
19491101 19491130    47.2
19491201 19491231    58.0
19500101 19500131    74.0
19500201 19500228   324.3
19500301 19500331   162.1
19500401 19500430   350.4
19500501 19500531   120.5
19500601 19500630   461.8
19500701 19500731   707.5
19500801 19500831   136.0
19500901 19500930    55.9
19501001 19501031   135.3
19501101 19501130   129.4
19501201 19501231    59.6
19510101 19510131   326.1
19510201 19510228   125.5
19510301 19510331   183.5
19510401 19510430    51.4
19510501 19510531   110.3
19510601 19510630   301.8
19510701 19510731    30.8
19510801 19510831    12.8
19510901 19510930    12.3
19511001 19511031    27.7
19511101 19511130    12.9
19511201 19511231    44.8
19520101 19520131    37.6
19520201 19520229   164.6
19520301 19520331   135.2
19520401 19520430   172.1
19520501 19520531    92.0
19520601 19520630   168.8
19520701 19520731    62.0
19520801 19520831   197.4
19520901 19520930    40.5
19521001 19521031   150.5
19521101 19521130    69.1
19521201 19521231    36.4
19530101 19530131   202.0
19530201 19530228   375.6
19530301 19530331   268.8
19530401 19530430    15.8
19530501 19530531    85.5
19530601 19530630     1.5
19530701 19530731    13.8
19530801 19530831    86.3
19530901 19530930    24.6
19531001 19531031    73.3
19531101 19531130    48.2
19531201 19531231    17.5
19540101 19540131    98.7
19540201 19540228   612.4
19540301 19540331    68.9
19540401 19540430   137.1
19540501 19540531   294.9
19540601 19540630    45.3
19540701 19540731   324.2
19540801 19540831    95.9
19540901 19540930   227.3
19541001 19541031    76.6
19541101 19541130   119.1
19541201 19541231    78.4
19550101 19550131   115.9
19550201 19550228    89.5
19550301 19550331   272.4
19550401 19550430   231.8
19550501 19550531   109.4
19550601 19550630    87.7
19550701 19550731    98.1
19550801 19550831     4.1
19550901 19550930    70.1
19551001 19551031    60.7
19551101 19551130    20.2
19551201 19551231   286.4
19560101 19560131   162.3
19560201 19560229   456.6
19560301 19560331   198.6
19560401 19560430   123.8
19560501 19560531   175.4
19560601 19560630   142.5
19560701 19560731    17.1
19560801 19560831    43.9
19560901 19560930    35.1
19561001 19561031    44.2
19561101 19561130    18.6
19561201 19561231    81.5
19570101 19570131    40.6
19570201 19570228   160.9
19570301 19570331   189.8
19570401 19570430    49.6
19570501 19570531     6.0
19570601 19570630    40.3
19570701 19570731   255.8
19570801 19570831   210.3
19570901 19570930     5.2
19571001 19571031    85.9
19571101 19571130     9.8
19571201 19571231    11.7
19580101 19580131    59.2
19580201 19580228   122.9
19580301 19580331    68.5
19580401 19580430   403.7
19580501 19580531    13.5
19580601 19580630   332.7
19580701 19580731    19.1
19580801 19580831   218.5
19580901 19580930    38.5
19581001 19581031    36.4
19581101 19581130    68.4
19581201 19581231   313.3
19590101 19590131   320.1
19590201 19590228   233.1
19590301 19590331   273.0
19590401 19590430    63.3
19590501 19590531    71.9
19590601 19590630   153.1
19590701 19590731   207.0
19590801 19590831   110.6
19590901 19590930   116.7
19591001 19591031    80.8
19591101 19591130   197.7
19591201 19591231   159.5
19600101 19600131    99.7
19600201 19600229   151.2
19600301 19600331   163.4
19600401 19600430    92.2
19600501 19600531    74.5
19600601 19600630   120.7
19600701 19600731    59.7
19600801 19600831    25.2
19600901 19600930    12.3
19601001 19601031    89.7
19601101 19601130    42.1
19601201 19601231    78.5
19610101 19610131   178.5
19610201 19610228   296.9
19610301 19610331   168.1
19610401 19610430   116.4
19610501 19610531   125.1
19610601 19610630    72.8
19610701 19610731    73.7
19610801 19610831   105.4
19610901 19610930    89.0
19611001 19611031   119.8
19611101 19611130   154.5
19611201 19611231   209.1
19620101 19620131   478.9
19620201 19620228   155.4
19620301 19620331   208.8
19620401 19620430   497.8
19620501 19620531   175.8
19620601 19620630    35.8
19620701 19620731   299.7
19620801 19620831   129.7
19620901 19620930    32.6
19621001 19621031    23.9
19621101 19621130    86.9
19621201 19621231   313.2
19630101 19630131   229.5
19630201 19630228    49.9
19630301 19630331   335.7
19630401 19630430   401.5
19630501 19630531   396.4
19630601 19630630   237.2
19630701 19630731     9.4
19630801 19630831    71.7
19630901 19630930    38.2
19631001 19631031   103.6
19631101 19631130   132.6
19631201 19631231   186.7
19640101 19640131   106.7
19640201 19640229   237.4
19640301 19640331   396.0
19640401 19640430   299.8
19640501 19640531   202.3
19640601 19640630    64.2
19640701 19640731    37.8
19640801 19640831    26.7
19640901 19640930    42.9
19641001 19641031    54.6
19641101 19641130    76.4
19641201 19641231    65.3
19650101 19650131    97.1
19650201 19650228    81.3
19650301 19650331    41.2
19650401 19650430   124.1
19650501 19650531    61.2
19650601 19650630   152.9
19650701 19650731   208.3
19650801 19650831   126.0
19650901 19650930    39.1
19651001 19651031    30.8
19651101 19651130   137.9
19651201 19651231   201.1
19660101 19660131    13.1
19660201 19660228   194.7
19660301 19660331   116.3
19660401 19660430   192.6
19660501 19660531   121.7
19660601 19660630   129.5
19660701 19660731     7.4
19660801 19660831   119.4
19660901 19660930    56.6
19661001 19661031    64.7
19661101 19661130   107.2
19661201 19661231    96.7
19670101 19670131   289.2
19670201 19670228    37.5
19670301 19670331   305.1
19670401 19670430   117.7
19670501 19670531   111.3
19670601 19670630   548.4
19670701 19670731    55.1
19670801 19670831   109.2
19670901 19670930    34.6
19671001 19671031   218.5
19671101 19671130    35.3
19671201 19671231    50.3
19680101 19680131    74.7
19680201 19680229   120.7
19680301 19680331    65.8
19680401 19680430    31.1
19680501 19680531    99.4
19680601 19680630    43.4
19680701 19680731    62.2
19680801 19680831   175.1
19680901 19680930    10.2
19681001 19681031    34.7
19681101 19681130    27.3
19681201 19681231    80.0
19690101 19690131    76.7
19690201 19690228   171.7
19690301 19690331    50.7
19690401 19690430    47.0
19690501 19690531   281.1
19690601 19690630   101.9
19690701 19690731    60.9
19690801 19690831   170.7
19690901 19690930    21.8
19691001 19691031   100.5
19691101 19691130   137.8
19691201 19691231    47.3
19700101 19700131   198.2
19700201 19700228   114.5
19700301 19700331   133.6
19700401 19700430    58.2
19700501 19700531    16.6
19700601 19700630    11.5
19700701 19700731     2.3
19700801 19700831    32.5
19700901 19700930    83.4
19701001 19701031    73.7
19701101 19701130   163.8
19701201 19701231   385.2
19710101 19710131   127.4
19710201 19710228   290.2
19710301 19710331   161.1
19710401 19710430   121.6
19710501 19710531    95.8
19710601 19710630   162.0
19710701 19710731    15.3
19710801 19710831    59.6
19710901 19710930    98.7
19711001 19711031    34.7
19711101 19711130    35.6
19711201 19711231   100.6
19720101 19720131   307.5
19720201 19720229   203.2
19720301 19720331   339.0
19720401 19720430    85.6
19720501 19720531   241.9
19720601 19720630   136.8
19720701 19720731     6.0
19720801 19720831    25.5
19720901 19720930    26.5
19721001 19721031   370.7
19721101 19721130   181.2
19721201 19721231    37.7
19730101 19730131   111.0
19730201 19730228   247.3
19730301 19730331   118.0
19730401 19730430   121.4
19730501 19730531    69.9
19730601 19730630    79.7
19730701 19730731   239.3
19730801 19730831    37.9
19730901 19730930    49.4
19731001 19731031   138.5
19731101 19731130    84.1
19731201 19731231   170.6
19740101 19740131   190.0
19740201 19740228   117.3
19740301 19740331   617.5
19740401 19740430   300.8
19740501 19740531   103.1
19740601 19740630   188.2
19740701 19740731    11.6
19740801 19740831    69.6
19740901 19740930    25.2
19741001 19741031    31.3
19741101 19741130   190.4
19741201 19741231    49.1
19750101 19750131    51.0
19750201 19750228   204.2
19750301 19750331   292.3
19750401 19750430   199.1
19750501 19750531    74.9
19750601 19750630   188.4
19750701 19750731    69.7
19750801 19750831    79.1
19750901 19750930    92.9
19751001 19751031   108.8
19751101 19751130   251.0
19751201 19751231   276.3
19760101 19760131    75.1
19760201 19760229   558.2
19760301 19760331   160.8
19760401 19760430   149.6
19760501 19760531   287.2
19760601 19760630   259.9
19760701 19760731    57.7
19760801 19760831    38.1
19760901 19760930    57.5
19761001 19761031    71.9
19761101 19761130   129.1
19761201 19761231    89.8
19770101 19770131    38.0
19770201 19770228   268.4
19770301 19770331   207.9
19770401 19770430   139.8
19770501 19770531   375.8
19770601 19770630    95.2
19770701 19770731    62.7
19770801 19770831     4.5
19770901 19770930    34.6
19771001 19771031    42.6
19771101 19771130    77.4
19771201 19771231    55.6
19780101 19780131   107.7
19780201 19780228    89.7
19780301 19780331   301.3
19780401 19780430   138.7
