PRCP       070027 18890701 20180131 missing_value=99999.9 DELEGATE (WEEWALLA)                       
19271201 19271231    33.8
19280101 19280131    51.7
19280201 19280229    93.3
19280301 19280331   149.3
19280401 19280430    45.8
19280501 19280531    33.8
19280601 19280630    61.3
19280701 19280731    10.8
19280801 19280831    14.7
19280901 19280930    35.8
19281001 19281031    55.6
19281101 19281130    19.8
19281201 19281231    23.6
19290101 19290131    40.2
19290201 19290228    91.9
19290301 19290331    17.8
19290401 19290430    43.1
19290501 19290531    46.4
19290601 19290630    26.6
19290701 19290731    18.5
19290801 19290831    79.3
19290901 19290930    28.3
19291001 19291031    37.0
19291101 19291130   124.7
19291201 19291231    94.6
19300101 19300131    16.0
19300201 19300228    70.8
19300301 19300331    52.7
19300401 19300430    18.6
19300501 19300531    41.7
19300601 19300630    95.8
19300701 19300731    14.0
19300801 19300831    47.8
19300901 19300930    35.2
19301001 19301031    55.6
19301101 19301130    36.2
19301201 19301231    87.8
19310101 19310131    31.2
19310201 19310228    49.5
19310301 19310331    46.3
19310401 19310430    55.1
19310501 19310531    41.6
19310601 19310630    75.1
19310701 19310731    35.6
19310801 19310831    26.3
19310901 19310930    29.3
19311001 19311031    53.5
19311101 19311130    86.8
19311201 19311231    13.6
19320101 19320131     3.6
19320201 19320229    52.2
19320301 19320331    65.2
19320401 19320430    50.5
19320501 19320531    24.8
19320601 19320630    16.5
19320701 19320731   116.6
19320801 19320831    64.1
19320901 19320930    61.6
19321001 19321031    44.5
19321101 19321130    29.0
19321201 19321231    39.4
19330101 19330131    61.0
19330201 19330228     3.9
19330301 19330331    25.5
19330401 19330430    20.1
19330501 19330531    33.8
19330601 19330630    93.7
19330701 19330731    72.6
19330801 19330831    31.1
19330901 19330930    44.2
19331001 19331031    66.1
19331101 19331130    72.9
19331201 19331231   130.6
19340101 19340131   241.3
19340201 19340228    75.8
19340301 19340331    48.0
19340401 19340430   109.1
19340501 19340531    12.3
19340601 19340630   104.6
19340701 19340731    84.9
19340801 19340831   107.6
19340901 19340930    22.1
19341001 19341031   108.4
19341101 19341130   130.2
19341201 19341231    60.4
19350101 19350131   114.6
19350201 19350228   122.2
19350301 19350331    19.6
19350401 19350430    87.0
19350501 19350531    17.0
19350601 19350630    18.2
19350701 19350731    15.1
19350801 19350831    34.2
19350901 19350930    24.2
19351001 19351031    57.8
19351101 19351130    67.2
19351201 19351231   101.3
19360101 19360131    61.9
19360201 19360229    69.7
19360301 19360331    53.0
19360401 19360430    68.9
19360501 19360531    16.5
19360601 19360630    90.4
19360701 19360731    45.9
19360801 19360831    41.4
19360901 19360930    17.0
19361001 19361031    16.3
19361101 19361130    43.0
19361201 19361231   118.3
19370101 19370131    54.0
19370201 19370228    25.3
19370301 19370331    59.6
19370401 19370430    11.9
19370501 19370531    22.9
19370601 19370630    61.2
19370701 19370731    23.6
19370801 19370831    36.4
19370901 19370930    70.6
19371001 19371031    93.0
19371101 19371130    48.5
19371201 19371231    71.6
19380101 19380131    90.5
19380201 19380228    50.5
19380301 19380331   106.1
19380401 19380430    25.9
19380501 19380531    19.2
19380601 19380630    24.2
19380701 19380731    56.3
19380801 19380831    60.6
19380901 19380930    38.4
19381001 19381031    27.9
19381101 19381130    43.4
19381201 19381231     5.1
19390101 19390131    62.7
19390201 19390228    55.0
19390301 19390331   110.2
19390401 19390430    55.0
19390501 19390531     9.3
19390601 19390630    36.1
19390701 19390731    20.9
19390801 19390831   113.5
19390901 19390930    21.9
19391001 19391031    62.1
19391101 19391130    71.6
19391201 19391231    49.8
19400101 19400131    43.3
19400201 19400229    15.8
19400301 19400331     0.5
19400401 19400430   106.6
19400501 19400531    37.4
19400601 19400630    34.1
19400701 19400731    10.3
19400801 19400831    22.6
19400901 19400930    76.2
19401001 19401031     7.6
19401101 19401130    78.0
19401201 19401231    84.1
19410101 19410131   142.2
19410201 19410228    19.0
19410301 19410331    66.1
19410401 19410430    39.5
19410501 19410531    13.9
19410601 19410630    40.0
19410701 19410731    24.1
19410801 19410831    47.6
19410901 19410930    25.5
19411001 19411031    15.6
19411101 19411130    27.5
19411201 19411231    39.0
19420101 19420131     5.8
19420201 19420228    55.7
19420301 19420331    74.8
19420401 19420430     3.8
19420501 19420531    35.3
19420601 19420630    33.4
19420701 19420731    21.6
19420801 19420831     8.9
19420901 19420930    23.7
19421001 19421031    50.9
19421101 19421130   115.9
19421201 19421231    31.6
19430101 19430131   108.8
19430201 19430228    31.5
