PRCP       017004 19100101 20160630 missing_value=99999.9 ANNA CREEK                                
19630701 19630731     5.9
19630801 19630831     0.5
19630901 19630930     0.0
19631001 19631031     1.3
19631101 19631130     0.0
19631201 19631231    25.9
19640101 19640131     1.3
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430    11.2
19640501 19640531     5.6
19640601 19640630     0.0
19640701 19640731     3.8
19640801 19640831     4.6
19640901 19640930    57.7
19641001 19641031    20.8
19641101 19641130     0.0
19641201 19641231     6.6
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     5.1
19650401 19650430     0.0
19650501 19650531     2.8
19650601 19650630     2.8
19650701 19650731     2.8
19650801 19650831    27.7
19650901 19650930     2.0
19651001 19651031     2.8
19651101 19651130     5.3
19651201 19651231    14.7
19660101 19660131    14.7
19660201 19660228    56.7
19660301 19660331     5.3
19660401 19660430     0.0
19660501 19660531     8.6
19660601 19660630    34.9
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     6.7
19661101 19661130     7.6
19661201 19661231    51.3
19670101 19670131     0.5
19670201 19670228    49.1
19670301 19670331     7.1
19670401 19670430     0.0
19670501 19670531     7.8
19670601 19670630     7.4
19670701 19670731     1.5
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     9.4
19671101 19671130     0.0
19671201 19671231     1.8
19680101 19680131    95.3
19680201 19680229     6.4
19680301 19680331     8.1
19680401 19680430    43.0
19680501 19680531    25.5
19680601 19680630     8.4
19680701 19680731    46.4
19680801 19680831     0.5
19680901 19680930     1.0
19681001 19681031     2.5
19681101 19681130    10.5
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228    16.5
19690301 19690331    43.5
19690401 19690430     0.0
19690501 19690531    20.1
19690601 19690630    21.1
19690701 19690731    53.8
19690801 19690831     7.9
19690901 19690930    46.3
19691001 19691031     0.0
19691101 19691130    12.0
19691201 19691231     3.0
19700101 19700131     0.0
19700201 19700228     0.0
19700301 19700331     0.0
19700401 19700430    42.7
19700501 19700531     1.3
19700601 19700630     0.5
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    35.1
19701001 19701031     3.6
19701101 19701130     8.2
19701201 19701231     5.6
19710101 19710131     0.0
19710201 19710228     0.0
19710301 19710331    39.7
19710401 19710430     6.1
19710501 19710531     0.0
19710601 19710630    31.7
19710701 19710731     0.0
19710801 19710831    11.2
