PRCP       035070 18850101 20180131 missing_value=99999.9 TAROOM POST OFFICE                        
19251001 19251031     2.8
19251101 19251130   111.2
19251201 19251231   156.2
19260101 19260131   141.5
19260201 19260228     9.5
19260301 19260331    38.7
19260401 19260430     2.0
19260501 19260531   149.3
19260601 19260630    25.0
19260701 19260731     3.8
19260801 19260831     8.2
19260901 19260930    42.4
19261001 19261031     0.0
19261101 19261130    17.2
19261201 19261231   174.3
19270101 19270131    91.9
19270201 19270228    34.3
19270301 19270331    71.7
19270401 19270430    44.7
19270501 19270531     7.6
19270601 19270630    48.0
19270701 19270731     5.1
19270801 19270831     4.8
19270901 19270930     7.1
19271001 19271031   103.6
19271101 19271130   118.7
19271201 19271231   186.9
19280101 19280131    84.3
19280201 19280229   145.3
19280301 19280331    21.8
19280401 19280430   163.9
19280501 19280531    13.7
19280601 19280630    60.2
19280701 19280731    24.4
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     7.6
19281101 19281130    96.8
19281201 19281231   108.8
19290101 19290131    28.4
19290201 19290228   194.6
19290301 19290331    60.2
19290401 19290430    79.7
19290501 19290531     0.0
19290601 19290630    18.3
19290701 19290731     2.0
19290801 19290831    11.2
19290901 19290930     0.0
19291001 19291031    57.4
19291101 19291130    49.9
19291201 19291231   272.2
19300101 19300131    61.2
19300201 19300228    31.6
19300301 19300331    37.3
19300401 19300430     7.1
19300501 19300531   169.1
19300601 19300630    65.5
19300701 19300731     4.3
19300801 19300831    18.9
19300901 19300930    16.8
19301001 19301031    20.3
19301101 19301130    85.1
19301201 19301231    16.3
19310101 19310131    34.3
19310201 19310228   114.0
19310301 19310331    40.3
19310401 19310430    48.5
19310501 19310531    18.3
19310601 19310630    26.7
19310701 19310731     8.4
19310801 19310831     2.0
19310901 19310930    22.7
19311001 19311031    49.8
19311101 19311130   149.7
19311201 19311231   179.1
19320101 19320131    26.7
19320201 19320229     7.4
19320301 19320331     2.0
19320401 19320430   148.8
19320501 19320531    48.3
19320601 19320630     6.3
19320701 19320731    11.4
19320801 19320831     0.0
19320901 19320930    41.1
19321001 19321031    63.3
19321101 19321130    50.7
19321201 19321231    75.0
19330101 19330131   191.9
19330201 19330228   118.2
19330301 19330331    12.7
19330401 19330430    25.6
19330501 19330531    12.5
19330601 19330630    48.0
19330701 19330731   111.5
19330801 19330831    59.6
19330901 19330930   111.4
19331001 19331031   114.1
19331101 19331130   100.6
19331201 19331231    94.2
19340101 19340131     1.8
19340201 19340228   110.7
19340301 19340331    13.0
19340401 19340430    25.3
19340501 19340531    46.0
19340601 19340630    58.1
19340701 19340731    55.2
19340801 19340831     0.5
19340901 19340930    19.3
19341001 19341031    35.8
19341101 19341130   238.5
19341201 19341231   146.3
19350101 19350131    89.8
19350201 19350228    10.2
19350301 19350331     0.0
19350401 19350430     6.6
19350501 19350531    16.6
19350601 19350630     0.8
19350701 19350731    71.1
19350801 19350831    17.8
19350901 19350930    79.0
19351001 19351031   155.1
19351101 19351130     5.3
19351201 19351231    29.4
19360101 19360131    65.3
19360201 19360229    83.3
19360301 19360331    59.7
19360401 19360430     2.8
19360501 19360531    21.6
19360601 19360630    24.3
19360701 19360731    24.1
19360801 19360831     4.6
19360901 19360930     5.0
19361001 19361031     6.1
19361101 19361130    38.6
19361201 19361231    60.6
19370101 19370131    41.7
19370201 19370228   197.1
19370301 19370331    94.2
19370401 19370430     3.3
19370501 19370531    26.4
19370601 19370630    30.7
19370701 19370731    30.2
19370801 19370831     6.3
19370901 19370930    13.5
19371001 19371031    77.2
19371101 19371130   106.0
19371201 19371231    85.7
19380101 19380131    83.8
19380201 19380228     5.6
19380301 19380331    88.3
19380401 19380430    31.0
19380501 19380531   157.0
19380601 19380630    27.7
19380701 19380731    21.8
19380801 19380831    36.6
19380901 19380930    30.2
19381001 19381031    63.8
19381101 19381130    80.1
19381201 19381231     1.0
19390101 19390131   234.9
19390201 19390228    35.8
19390301 19390331   187.9
19390401 19390430    75.7
19390501 19390531    10.7
19390601 19390630    37.1
19390701 19390731    74.0
19390801 19390831    26.6
19390901 19390930     0.0
19391001 19391031    11.6
19391101 19391130    22.6
19391201 19391231    74.4
19400101 19400131    56.1
19400201 19400229   305.1
19400301 19400331   181.9
19400401 19400430     5.5
19400501 19400531    19.2
19400601 19400630     0.0
19400701 19400731    46.8
19400801 19400831     7.9
19400901 19400930    17.5
19401001 19401031     2.3
19401101 19401130   150.9
19401201 19401231   110.5
19410101 19410131   199.9
19410201 19410228    46.5
19410301 19410331    34.0
19410401 19410430    26.7
19410501 19410531    39.3
19410601 19410630    48.3
19410701 19410731     0.0
19410801 19410831     1.6
19410901 19410930     3.8
19411001 19411031    31.0
19411101 19411130    54.2
19411201 19411231     6.3
19420101 19420131    95.8
19420201 19420228   155.4
