PRCP       010536 19100101 20171231 missing_value=99999.9 CORRIGIN                                  
19451101 19451130     5.0
19451201 19451231     3.8
19460101 19460131     0.8
19460201 19460228     0.0
19460301 19460331     5.7
19460401 19460430    16.5
19460501 19460531    57.3
19460601 19460630   107.7
19460701 19460731   140.2
19460801 19460831    49.9
19460901 19460930     9.2
19461001 19461031     2.3
19461101 19461130    34.3
19461201 19461231     1.3
19470101 19470131     0.0
19470201 19470228     4.3
19470301 19470331    11.7
19470401 19470430    32.9
19470501 19470531    64.7
19470601 19470630    73.5
19470701 19470731    34.8
19470801 19470831    16.1
19470901 19470930    12.8
19471001 19471031    55.2
19471101 19471130    23.7
19471201 19471231     1.8
19480101 19480131     6.9
19480201 19480229     0.8
19480301 19480331     4.8
19480401 19480430    16.0
19480501 19480531     5.6
19480601 19480630    95.7
19480701 19480731    66.0
19480801 19480831    42.8
19480901 19480930    65.6
19481001 19481031    16.5
19481101 19481130    12.7
19481201 19481231     4.3
19490101 19490131     0.0
19490201 19490228     0.0
19490301 19490331     9.2
19490401 19490430    14.2
19490501 19490531     3.2
19490601 19490630    43.5
19490701 19490731    86.7
19490801 19490831    58.3
19490901 19490930    14.1
19491001 19491031    24.9
19491101 19491130    13.3
19491201 19491231     3.6
19500101 19500131     5.8
19500201 19500228     0.0
19500301 19500331     2.3
19500401 19500430     0.0
19500501 19500531    91.5
19500601 19500630    35.2
19500701 19500731    37.5
19500801 19500831    22.5
19500901 19500930    31.9
19501001 19501031    22.2
19501101 19501130    18.6
19501201 19501231     0.8
19510101 19510131    10.3
19510201 19510228    63.5
19510301 19510331     4.2
19510401 19510430   106.5
19510501 19510531    16.4
19510601 19510630   108.5
19510701 19510731    36.6
19510801 19510831    32.1
19510901 19510930    13.2
19511001 19511031    12.9
19511101 19511130     2.4
19511201 19511231    25.3
19520101 19520131    14.2
19520201 19520229     3.0
19520301 19520331    13.2
19520401 19520430     2.3
19520501 19520531    46.0
19520601 19520630    52.8
19520701 19520731    60.5
19520801 19520831    18.8
19520901 19520930    36.2
19521001 19521031    38.7
19521101 19521130    13.8
19521201 19521231    34.1
19530101 19530131     0.0
19530201 19530228     8.9
19530301 19530331    79.7
19530401 19530430    35.1
19530501 19530531    95.1
19530601 19530630    78.8
19530701 19530731    37.8
19530801 19530831    39.8
19530901 19530930    21.5
19531001 19531031    54.4
19531101 19531130     6.9
19531201 19531231     0.0
19540101 19540131     5.3
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     8.6
19540501 19540531    66.6
19540601 19540630    34.0
19540701 19540731    67.4
19540801 19540831    30.9
19540901 19540930     7.9
19541001 19541031     3.0
19541101 19541130     6.4
19541201 19541231     8.6
19550101 19550131     4.6
19550201 19550228   184.2
19550301 19550331    56.1
19550401 19550430    31.4
19550501 19550531    36.1
19550601 19550630    16.2
19550701 19550731    40.6
19550801 19550831   117.5
19550901 19550930    48.6
19551001 19551031    34.7
19551101 19551130     0.8
19551201 19551231     5.6
19560101 19560131     0.0
19560201 19560229     3.3
19560301 19560331     6.8
19560401 19560430    19.1
19560501 19560531    44.3
19560601 19560630    79.4
19560701 19560731    88.8
19560801 19560831     3.9
19560901 19560930    11.5
19561001 19561031    29.3
19561101 19561130    22.0
19561201 19561231     2.1
19570101 19570131    21.2
19570201 19570228     1.3
19570301 19570331    10.5
19570401 19570430    14.3
19570501 19570531    48.3
19570601 19570630   110.4
19570701 19570731    14.6
19570801 19570831    31.7
19570901 19570930     8.6
19571001 19571031    54.4
19571101 19571130     0.8
19571201 19571231     0.0
19580101 19580131     1.6
19580201 19580228     1.0
19580301 19580331     0.6
19580401 19580430     3.6
19580501 19580531    70.7
19580601 19580630    34.0
19580701 19580731   118.5
19580801 19580831    19.3
19580901 19580930    56.3
19581001 19581031    18.1
19581101 19581130    27.8
19581201 19581231    22.2
19590101 19590131     7.6
19590201 19590228    15.6
19590301 19590331    14.3
19590401 19590430     5.9
19590501 19590531    13.3
19590601 19590630   103.9
19590701 19590731    15.5
19590801 19590831    41.6
19590901 19590930    12.9
19591001 19591031    17.8
19591101 19591130    17.6
19591201 19591231     6.2
19600101 19600131    42.7
19600201 19600229    16.0
19600301 19600331    31.3
19600401 19600430    19.8
19600501 19600531    78.9
19600601 19600630    37.4
19600701 19600731   106.9
19600801 19600831    20.2
19600901 19600930    28.0
19601001 19601031     4.1
19601101 19601130     0.0
19601201 19601231     2.6
19610101 19610131    34.0
19610201 19610228     2.8
19610301 19610331    11.7
19610401 19610430    33.2
19610501 19610531     5.9
19610601 19610630    88.5
19610701 19610731    57.9
19610801 19610831    46.5
19610901 19610930    21.2
19611001 19611031     6.7
19611101 19611130     0.0
19611201 19611231     8.1
19620101 19620131     5.8
19620201 19620228     2.5
19620301 19620331     2.6
19620401 19620430     1.4
19620501 19620531    90.2
19620601 19620630    45.6
19620701 19620731    30.1
19620801 19620831    22.5
19620901 19620930    13.9
19621001 19621031    19.1
19621101 19621130     4.6
19621201 19621231    10.6
19630101 19630131     3.8
19630201 19630228    50.4
19630301 19630331    23.6
19630401 19630430    31.4
19630501 19630531    84.8
19630601 19630630   101.0
19630701 19630731    96.7
19630801 19630831    81.0
19630901 19630930    23.3
19631001 19631031     6.8
19631101 19631130    23.2
19631201 19631231     4.9
19640101 19640131     5.6
19640201 19640229    11.1
19640301 19640331    19.1
19640401 19640430    61.1
19640501 19640531    10.5
19640601 19640630    88.7
19640701 19640731   125.0
19640801 19640831    63.8
19640901 19640930    31.5
19641001 19641031    12.8
19641101 19641130     7.4
19641201 19641231     4.4
19650101 19650131     3.6
19650201 19650228     7.7
19650301 19650331    11.7
19650401 19650430     7.0
19650501 19650531    68.4
