PRCP       087053 18840601 20170131 missing_value=99999.9 PORTARLINGTON                             
19221201 19221231    59.4
19230101 19230131    33.9
19230201 19230228     9.9
19230301 19230331     3.6
19230401 19230430     0.0
19230501 19230531    53.9
19230601 19230630    80.8
19230701 19230731    67.4
19230801 19230831    50.2
19230901 19230930    67.8
19231001 19231031   115.4
19231101 19231130    49.3
19231201 19231231    45.5
19240101 19240131    54.5
19240201 19240229   155.7
19240301 19240331   143.5
19240401 19240430    73.5
19240501 19240531    30.8
19240601 19240630    43.7
19240701 19240731    33.0
19240801 19240831   105.4
19240901 19240930    57.4
19241001 19241031    56.2
19241101 19241130    86.3
19241201 19241231    66.6
19250101 19250131    47.6
19250201 19250228    21.6
19250301 19250331    11.4
19250401 19250430    34.1
19250501 19250531    38.6
19250601 19250630    22.4
19250701 19250731    45.1
19250801 19250831    87.6
19250901 19250930    53.7
19251001 19251031    25.2
19251101 19251130    58.8
19251201 19251231    10.1
19260101 19260131    53.2
19260201 19260228     1.3
19260301 19260331    30.5
19260401 19260430    37.8
19260501 19260531    53.5
19260601 19260630    57.1
19260701 19260731    56.1
19260801 19260831    41.7
19260901 19260930    41.1
19261001 19261031    60.2
19261101 19261130    25.7
19261201 19261231    29.3
19270101 19270131     7.6
19270201 19270228     6.7
19270301 19270331    28.1
19270401 19270430    13.9
19270501 19270531    78.8
19270601 19270630    30.4
19270701 19270731    63.8
19270801 19270831    50.5
19270901 19270930    32.8
19271001 19271031    48.6
19271101 19271130    26.2
19271201 19271231    48.4
19280101 19280131    48.4
19280201 19280229   108.2
19280301 19280331   100.1
19280401 19280430    23.1
19280501 19280531    73.9
19280601 19280630    49.4
19280701 19280731    12.3
19280801 19280831    12.7
19280901 19280930    25.3
19281001 19281031    71.3
19281101 19281130    25.9
19281201 19281231    19.5
19290101 19290131    28.3
19290201 19290228    10.4
19290301 19290331    34.6
19290401 19290430    72.8
19290501 19290531    41.4
19290601 19290630    29.0
19290701 19290731    45.5
19290801 19290831    63.3
19290901 19290930    32.8
19291001 19291031    45.6
19291101 19291130    85.5
19291201 19291231    63.0
19300101 19300131     0.8
19300201 19300228    60.5
19300301 19300331     4.9
19300401 19300430    46.0
19300501 19300531    63.2
19300601 19300630    46.7
19300701 19300731    37.7
19300801 19300831    88.2
19300901 19300930    45.1
19301001 19301031    50.0
19301101 19301130    57.5
19301201 19301231    74.4
19310101 19310131    20.8
19310201 19310228    36.6
19310301 19310331   151.4
19310401 19310430    69.6
19310501 19310531    83.9
19310601 19310630    81.0
19310701 19310731    51.8
19310801 19310831    51.3
19310901 19310930    34.5
19311001 19311031    31.4
19311101 19311130    95.4
19311201 19311231    18.1
19320101 19320131     0.0
19320201 19320229    60.1
19320301 19320331   102.6
19320401 19320430    88.9
19320501 19320531     8.9
19320601 19320630    53.8
19320701 19320731    39.1
19320801 19320831    74.0
19320901 19320930    19.8
19321001 19321031    84.0
19321101 19321130    13.3
19321201 19321231    87.6
19330101 19330131     8.5
19330201 19330228     9.9
19330301 19330331    25.1
19330401 19330430    28.7
19330501 19330531    49.6
19330601 19330630    37.0
19330701 19330731    60.1
19330801 19330831    57.4
19330901 19330930    41.8
19331001 19331031    35.2
19331101 19331130    56.2
19331201 19331231   122.8
19340101 19340131    54.9
19340201 19340228    32.8
19340301 19340331     4.6
19340401 19340430   162.9
19340501 19340531     3.8
19340601 19340630    51.7
19340701 19340731    48.5
19340801 19340831    66.1
19340901 19340930    39.2
19341001 19341031   142.4
19341101 19341130   166.5
19341201 19341231    73.5
19350101 19350131    46.5
19350201 19350228    51.0
19350301 19350331    40.7
19350401 19350430   131.4
19350501 19350531    27.2
19350601 19350630    57.8
19350701 19350731    42.8
19350801 19350831    52.7
19350901 19350930    55.9
19351001 19351031    69.2
19351101 19351130    33.3
19351201 19351231    28.0
19360101 19360131    19.7
19360201 19360229     8.7
19360301 19360331    24.2
19360401 19360430    60.0
19360501 19360531    25.8
19360601 19360630    43.0
19360701 19360731   116.2
19360801 19360831    55.2
19360901 19360930    29.3
19361001 19361031    70.5
19361101 19361130    38.4
19361201 19361231    71.7
19370101 19370131    49.4
19370201 19370228    32.5
19370301 19370331    27.4
19370401 19370430    22.8
19370501 19370531    58.6
19370601 19370630    24.9
19370701 19370731    41.4
19370801 19370831    34.0
19370901 19370930    56.8
19371001 19371031   106.9
19371101 19371130    17.8
19371201 19371231    34.1
19380101 19380131    35.0
19380201 19380228    44.0
19380301 19380331    31.4
19380401 19380430    23.7
19380501 19380531    22.0
19380601 19380630   101.2
19380701 19380731    51.8
19380801 19380831    31.6
19380901 19380930    24.1
19381001 19381031    10.1
19381101 19381130    33.8
19381201 19381231     3.8
19390101 19390131     2.4
19390201 19390228   152.7
19390301 19390331    15.0
19390401 19390430    51.2
19390501 19390531    53.4
19390601 19390630    94.4
19390701 19390731    28.2
19390801 19390831   114.2
19390901 19390930    48.8
19391001 19391031    51.0
19391101 19391130   109.2
19391201 19391231    14.8
19400101 19400131    48.5
19400201 19400229     8.1
19400301 19400331    13.5
19400401 19400430    47.1
19400501 19400531    35.4
19400601 19400630    47.9
19400701 19400731    62.5
19400801 19400831    24.6
19400901 19400930    32.1
19401001 19401031    20.6
19401101 19401130    58.7
19401201 19401231    46.0
19410101 19410131    70.6
19410201 19410228    26.9
19410301 19410331    71.0
19410401 19410430    52.4
19410501 19410531    21.7
19410601 19410630    96.2
19410701 19410731    52.1
19410801 19410831    74.8
19410901 19410930    69.0
19411001 19411031    44.0
19411101 19411130    59.9
19411201 19411231    40.6
19420101 19420131    26.4
19420201 19420228    32.5
19420301 19420331    51.4
19420401 19420430    30.0
19420501 19420531   111.0
19420601 19420630    37.8
19420701 19420731    23.5
19420801 19420831    68.8
19420901 19420930    61.4
19421001 19421031    38.5
19421101 19421130    74.4
19421201 19421231    25.9
19430101 19430131    38.2
19430201 19430228    35.3
19430301 19430331     9.2
19430401 19430430    53.0
19430501 19430531     9.2
19430601 19430630    63.1
19430701 19430731    50.5
19430801 19430831    52.3
19430901 19430930    81.3
19431001 19431031    17.0
19431101 19431130    39.7
19431201 19431231    15.9
19440101 19440131    29.0
19440201 19440229     8.2
19440301 19440331    30.4
19440401 19440430    65.7
19440501 19440531   126.9
19440601 19440630    26.2
19440701 19440731    24.5
19440801 19440831    24.0
19440901 19440930    38.5
19441001 19441031    67.3
19441101 19441130    19.4
19441201 19441231    49.5
19450101 19450131    47.5
19450201 19450228    61.1
19450301 19450331     7.2
19450401 19450430    20.5
19450501 19450531    73.2
19450601 19450630    27.8
19450701 19450731    74.7
19450801 19450831    53.5
19450901 19450930    34.7
19451001 19451031    33.9
19451101 19451130    59.7
19451201 19451231    11.2
19460101 19460131    58.5
19460201 19460228   101.3
19460301 19460331    54.1
19460401 19460430    36.6
19460501 19460531    36.0
19460601 19460630    74.6
19460701 19460731    34.1
19460801 19460831    37.1
19460901 19460930    56.0
19461001 19461031    50.3
19461101 19461130    28.7
19461201 19461231    28.8
19470101 19470131     8.4
19470201 19470228    42.9
19470301 19470331    95.3
19470401 19470430    45.1
19470501 19470531    22.2
19470601 19470630    36.5
19470701 19470731    59.0
19470801 19470831    36.0
19470901 19470930    58.6
19471001 19471031    72.7
19471101 19471130    60.7
19471201 19471231   112.7
19480101 19480131    16.6
19480201 19480229    52.8
19480301 19480331     7.1
19480401 19480430    88.0
19480501 19480531    49.5
19480601 19480630    40.6
19480701 19480731    24.0
19480801 19480831    22.8
19480901 19480930    34.3
19481001 19481031   113.3
19481101 19481130    23.4
19481201 19481231    45.0
19490101 19490131    24.4
19490201 19490228    90.2
19490301 19490331    79.4
19490401 19490430    24.1
19490501 19490531    58.0
19490601 19490630    62.8
19490701 19490731    49.9
19490801 19490831    29.5
19490901 19490930    40.3
19491001 19491031   136.5
19491101 19491130   105.3
19491201 19491231    28.0
19500101 19500131    14.9
19500201 19500228    84.5
19500301 19500331    54.5
19500401 19500430    80.9
19500501 19500531    63.3
19500601 19500630    31.0
19500701 19500731    48.0
19500801 19500831    48.5
19500901 19500930   102.1
19501001 19501031    63.3
19501101 19501130    33.8
19501201 19501231    35.5
19510101 19510131    24.9
19510201 19510228   219.0
19510301 19510331     2.8
19510401 19510430    91.3
19510501 19510531    82.1
19510601 19510630    53.6
19510701 19510731    81.3
19510801 19510831   128.3
19510901 19510930    32.1
19511001 19511031    40.6
19511101 19511130    29.5
19511201 19511231    50.6
19520101 19520131    17.5
19520201 19520229    42.0
19520301 19520331    15.1
19520401 19520430    88.4
19520501 19520531    78.4
19520601 19520630    85.8
19520701 19520731   137.5
19520801 19520831    52.6
19520901 19520930    54.8
19521001 19521031   106.5
19521101 19521130   111.0
19521201 19521231    50.1
19530101 19530131    30.3
19530201 19530228    45.7
19530301 19530331     8.9
19530401 19530430    36.3
19530501 19530531    67.5
19530601 19530630    46.8
19530701 19530731    43.1
19530801 19530831    52.2
19530901 19530930    67.8
19531001 19531031    84.9
19531101 19531130    95.8
19531201 19531231    26.9
19540101 19540131    58.4
19540201 19540228    39.9
19540301 19540331     9.4
19540401 19540430    47.6
19540501 19540531    41.7
19540601 19540630    49.2
19540701 19540731    37.5
19540801 19540831    42.2
19540901 19540930    52.2
19541001 19541031    51.5
19541101 19541130   125.6
19541201 19541231    72.0
19550101 19550131    30.2
19550201 19550228    48.4
19550301 19550331    79.0
19550401 19550430    35.3
19550501 19550531    85.1
19550601 19550630    84.1
19550701 19550731    49.0
19550801 19550831    90.5
19550901 19550930    68.5
19551001 19551031    67.4
19551101 19551130    42.3
19551201 19551231    68.3
19560101 19560131    46.7
19560201 19560229     8.9
19560301 19560331    39.8
19560401 19560430    32.1
19560501 19560531   107.2
19560601 19560630    31.9
19560701 19560731    59.2
19560801 19560831    79.1
19560901 19560930    82.0
19561001 19561031   115.7
19561101 19561130    50.5
19561201 19561231    22.5
19570101 19570131     4.8
19570201 19570228    47.3
19570301 19570331    34.8
19570401 19570430    19.5
19570501 19570531    45.5
19570601 19570630    43.7
19570701 19570731    92.3
19570801 19570831    41.0
19570901 19570930   121.5
19571001 19571031    76.1
19571101 19571130    37.8
19571201 19571231    42.2
19580101 19580131    13.5
19580201 19580228    59.2
19580301 19580331    17.6
19580401 19580430    19.3
19580501 19580531    85.5
19580601 19580630    33.2
19580701 19580731    92.1
19580801 19580831   100.9
19580901 19580930    54.1
19581001 19581031   102.0
19581101 19581130    46.2
19581201 19581231    36.8
19590101 19590131    11.4
19590201 19590228    39.6
19590301 19590331    86.3
19590401 19590430    20.9
19590501 19590531    33.4
19590601 19590630    46.1
19590701 19590731    46.9
19590801 19590831    67.2
19590901 19590930    86.9
19591001 19591031    51.6
19591101 19591130    24.7
19591201 19591231    80.0
19600101 19600131    48.8
19600201 19600229    48.2
19600301 19600331    11.4
19600401 19600430   176.6
19600501 19600531   130.2
19600601 19600630    38.4
19600701 19600731    85.9
19600801 19600831    62.6
19600901 19600930    55.0
19601001 19601031    26.8
19601101 19601130    90.6
19601201 19601231    24.2
19610101 19610131    10.0
19610201 19610228    31.7
19610301 19610331    50.1
19610401 19610430    63.5
19610501 19610531    57.5
19610601 19610630    63.2
19610701 19610731    74.0
19610801 19610831    80.4
19610901 19610930    22.3
19611001 19611031    43.5
19611101 19611130    20.5
19611201 19611231    35.6
19620101 19620131    41.9
