PRCP       037051 18840101 20120531 missing_value=99999.9 WINTON POST OFFICE                        
19160901 19160930     8.4
19161001 19161031    23.8
19161101 19161130   113.8
19161201 19161231   128.5
19170101 19170131    71.2
19170201 19170228   136.9
19170301 19170331   249.8
19170401 19170430     0.0
19170501 19170531     0.0
19170601 19170630     1.8
19170701 19170731     1.0
19170801 19170831    34.3
19170901 19170930    27.7
19171001 19171031    31.3
19171101 19171130   126.5
19171201 19171231    91.2
19180101 19180131   362.6
19180201 19180228    40.4
19180301 19180331    76.4
19180401 19180430     8.6
19180501 19180531     0.0
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831     0.8
19180901 19180930     5.3
19181001 19181031     0.5
19181101 19181130     0.0
19181201 19181231    28.7
19190101 19190131    56.1
19190201 19190228   109.5
19190301 19190331    67.6
19190401 19190430    10.2
19190501 19190531    15.1
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831     3.0
19190901 19190930     0.0
19191001 19191031     0.0
19191101 19191130     0.0
19191201 19191231     7.4
19200101 19200131   212.3
19200201 19200229     0.0
19200301 19200331    14.0
19200401 19200430    67.0
19200501 19200531    67.4
19200601 19200630    24.2
19200701 19200731   102.6
19200801 19200831     6.4
19200901 19200930     8.1
19201001 19201031    44.0
19201101 19201130   114.0
19201201 19201231    85.6
19210101 19210131     7.9
19210201 19210228    57.4
19210301 19210331    59.5
19210401 19210430    32.5
19210501 19210531    15.0
19210601 19210630    47.7
19210701 19210731    30.5
19210801 19210831     8.5
19210901 19210930     0.0
19211001 19211031   119.0
19211101 19211130     0.0
19211201 19211231   175.2
19220101 19220131   214.1
19220201 19220228    60.4
19220301 19220331     0.0
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630    11.4
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031     8.4
19221101 19221130    11.1
19221201 19221231   110.1
19230101 19230131    54.7
19230201 19230228    31.2
19230301 19230331     6.1
19230401 19230430     1.5
19230501 19230531     6.9
19230601 19230630    54.3
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    25.2
19231101 19231130     4.8
19231201 19231231    40.7
19240101 19240131    94.7
19240201 19240229   208.6
19240301 19240331    92.4
19240401 19240430    49.5
19240501 19240531     0.5
19240601 19240630     4.1
19240701 19240731     0.0
19240801 19240831    10.2
19240901 19240930     4.3
19241001 19241031    24.4
19241101 19241130    91.3
19241201 19241231    67.6
19250101 19250131    32.7
19250201 19250228    97.7
19250301 19250331   120.6
19250401 19250430     0.0
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731     0.3
19250801 19250831     0.0
19250901 19250930    10.4
19251001 19251031     0.0
19251101 19251130    50.0
19251201 19251231    13.0
19260101 19260131    16.9
19260201 19260228     0.5
19260301 19260331     0.0
19260401 19260430     2.0
19260501 19260531    13.5
19260601 19260630     0.0
19260701 19260731     1.8
19260801 19260831     0.0
19260901 19260930    58.0
19261001 19261031     5.8
19261101 19261130     3.3
19261201 19261231    32.8
19270101 19270131    62.5
19270201 19270228    30.9
19270301 19270331    19.0
19270401 19270430     0.5
19270501 19270531     0.0
19270601 19270630    16.5
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     7.6
19271001 19271031     6.4
19271101 19271130     1.0
19271201 19271231    42.9
19280101 19280131     0.0
19280201 19280229    38.7
19280301 19280331     6.9
19280401 19280430    10.2
19280501 19280531     0.0
19280601 19280630    19.3
19280701 19280731     9.1
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     1.8
19281101 19281130    22.8
19281201 19281231    89.3
19290101 19290131   136.2
19290201 19290228    16.3
19290301 19290331    50.3
19290401 19290430    63.7
19290501 19290531     0.0
19290601 19290630     2.1
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    19.8
19291201 19291231    10.5
19300101 19300131   142.3
19300201 19300228   153.0
19300301 19300331    18.8
19300401 19300430     0.0
19300501 19300531    66.6
19300601 19300630    18.8
19300701 19300731     0.5
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031   171.8
19301101 19301130    26.3
19301201 19301231    27.5
19310101 19310131    29.4
19310201 19310228     0.0
19310301 19310331    93.9
19310401 19310430     7.1
19310501 19310531    23.9
19310601 19310630     7.1
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930    13.5
19311001 19311031    16.8
19311101 19311130    36.8
19311201 19311231    58.2
19320101 19320131    16.8
19320201 19320229    24.2
19320301 19320331    11.2
19320401 19320430     2.8
19320501 19320531    72.4
19320601 19320630    17.3
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031    13.0
19321101 19321130    21.7
19321201 19321231     4.0
19330101 19330131    37.1
19330201 19330228   154.0
19330301 19330331     5.3
19330401 19330430     0.0
19330501 19330531     0.8
19330601 19330630    17.5
19330701 19330731    56.6
19330801 19330831     1.6
19330901 19330930     2.5
19331001 19331031     5.3
19331101 19331130    49.1
19331201 19331231    20.3
19340101 19340131    79.7
19340201 19340228   111.1
19340301 19340331     5.1
19340401 19340430    42.9
19340501 19340531     0.8
19340601 19340630    29.2
19340701 19340731    44.5
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031    20.1
19341101 19341130     4.1
19341201 19341231     1.3
19350101 19350131    35.6
19350201 19350228     0.8
19350301 19350331     0.0
19350401 19350430     0.0
19350501 19350531     2.5
19350601 19350630   155.5
19350701 19350731     0.0
19350801 19350831     3.5
19350901 19350930    21.4
19351001 19351031    10.4
19351101 19351130    37.0
19351201 19351231     6.1
19360101 19360131    63.0
19360201 19360229    71.8
19360301 19360331   142.6
19360401 19360430     3.1
19360501 19360531    86.4
19360601 19360630     6.7
19360701 19360731    11.4
19360801 19360831     3.6
19360901 19360930     5.3
19361001 19361031     0.0
19361101 19361130    21.6
19361201 19361231    28.2
19370101 19370131    57.9
19370201 19370228    54.6
19370301 19370331   240.3
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    52.7
19370701 19370731     0.0
19370801 19370831     3.3
19370901 19370930     2.5
19371001 19371031     3.0
19371101 19371130    63.4
19371201 19371231     5.4
19380101 19380131    47.6
19380201 19380228   224.0
19380301 19380331     1.3
19380401 19380430     0.0
19380501 19380531     8.1
19380601 19380630    19.9
19380701 19380731    40.9
19380801 19380831     0.5
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    41.2
19381201 19381231     0.0
19390101 19390131    27.2
19390201 19390228   138.6
19390301 19390331     4.8
19390401 19390430    42.0
19390501 19390531     0.0
19390601 19390630    37.1
19390701 19390731    11.4
19390801 19390831    14.0
19390901 19390930     3.6
19391001 19391031   140.1
19391101 19391130    39.5
19391201 19391231    30.2
19400101 19400131    76.7
19400201 19400229   328.1
19400301 19400331    15.4
19400401 19400430     4.0
19400501 19400531     0.5
19400601 19400630    43.5
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    18.6
19401201 19401231    47.6
19410101 19410131   235.5
19410201 19410228    11.4
19410301 19410331   239.1
19410401 19410430   120.9
19410501 19410531    16.3
19410601 19410630    63.4
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     8.7
19411101 19411130    32.3
19411201 19411231    57.6
19420101 19420131    23.1
19420201 19420228    66.7
19420301 19420331     0.0
19420401 19420430    31.6
19420501 19420531    42.2
19420601 19420630     0.5
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930    17.5
19421001 19421031    17.8
19421101 19421130     3.3
19421201 19421231    61.7
19430101 19430131    21.6
19430201 19430228    58.1
19430301 19430331     4.1
19430401 19430430    14.2
19430501 19430531     8.7
19430601 19430630     0.8
19430701 19430731     0.0
19430801 19430831     0.3
19430901 19430930    39.4
19431001 19431031     3.8
19431101 19431130     9.3
19431201 19431231    25.5
19440101 19440131    28.7
19440201 19440229   277.4
19440301 19440331     9.9
19440401 19440430     0.0
19440501 19440531    43.4
19440601 19440630     0.5
19440701 19440731    54.8
19440801 19440831     2.3
19440901 19440930     0.5
19441001 19441031     6.3
19441101 19441130     1.5
19441201 19441231    48.1
19450101 19450131    24.1
19450201 19450228    64.8
19450301 19450331    14.3
19450401 19450430     2.6
19450501 19450531    37.6
19450601 19450630    19.7
19450701 19450731    41.1
19450801 19450831     0.0
19450901 19450930     0.5
19451001 19451031     2.8
19451101 19451130     0.3
19451201 19451231    55.3
19460101 19460131   147.1
19460201 19460228    42.2
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.8
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130    27.7
19461201 19461231    17.6
19470101 19470131    22.3
19470201 19470228   165.0
19470301 19470331    24.9
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     1.5
19470701 19470731     0.0
19470801 19470831    49.6
19470901 19470930    62.8
19471001 19471031    12.8
19471101 19471130    28.7
19471201 19471231    39.8
19480101 19480131    38.1
19480201 19480229    12.9
19480301 19480331    14.5
19480401 19480430     0.0
19480501 19480531     2.0
19480601 19480630    11.5
19480701 19480731    16.5
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031    12.9
19481101 19481130     3.5
19481201 19481231    60.6
19490101 19490131    55.4
19490201 19490228    56.5
19490301 19490331   201.8
19490401 19490430     1.5
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     1.9
19491001 19491031   131.3
19491101 19491130     0.0
19491201 19491231   146.1
19500101 19500131   222.8
19500201 19500228    98.3
19500301 19500331   245.8
19500401 19500430    78.6
19500501 19500531    63.3
19500601 19500630    63.5
19500701 19500731    99.3
19500801 19500831     0.0
19500901 19500930    24.2
19501001 19501031    29.3
19501101 19501130   100.8
19501201 19501231    35.4
19510101 19510131   225.0
19510201 19510228    18.5
19510301 19510331    17.0
19510401 19510430     0.0
19510501 19510531     1.8
19510601 19510630    26.2
19510701 19510731     0.0
19510801 19510831     3.8
19510901 19510930     0.8
19511001 19511031     6.4
19511101 19511130    16.3
19511201 19511231     6.6
19520101 19520131     6.1
19520201 19520229    59.4
19520301 19520331     0.0
19520401 19520430    32.8
19520501 19520531    49.1
19520601 19520630     0.0
19520701 19520731     0.5
19520801 19520831    15.5
19520901 19520930     0.3
19521001 19521031    20.5
19521101 19521130    57.6
19521201 19521231     9.4
19530101 19530131   120.7
19530201 19530228   105.8
19530301 19530331     3.6
19530401 19530430     0.0
19530501 19530531    17.5
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    17.5
19530901 19530930     0.3
19531001 19531031     7.4
19531101 19531130     1.6
19531201 19531231     7.1
19540101 19540131   231.0
19540201 19540228   141.8
19540301 19540331    23.3
