PRCP       050052 18800201 20180131 missing_value=99999.9 CONDOBOLIN AG RESEARCH STN                
19371001 19371031    23.6
19371101 19371130    25.7
19371201 19371231    22.1
19380101 19380131    28.3
19380201 19380228    25.6
19380301 19380331     0.9
19380401 19380430    41.4
19380501 19380531    11.9
19380601 19380630    48.6
19380701 19380731    38.1
19380801 19380831    30.4
19380901 19380930     5.5
19381001 19381031    47.1
19381101 19381130    20.5
19381201 19381231     2.3
19390101 19390131     2.1
19390201 19390228    68.9
19390301 19390331    48.9
19390401 19390430    46.0
19390501 19390531     9.0
19390601 19390630    43.0
19390701 19390731    21.4
19390801 19390831    54.4
19390901 19390930     8.2
19391001 19391031    32.9
19391101 19391130    59.6
19391201 19391231    10.6
19400101 19400131    13.7
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    79.1
19400501 19400531     3.3
19400601 19400630     3.6
19400701 19400731     9.9
19400801 19400831     1.3
19400901 19400930    37.9
19401001 19401031     0.0
19401101 19401130    21.6
19401201 19401231    32.2
19410101 19410131   168.3
19410201 19410228    16.7
19410301 19410331    42.5
19410401 19410430     2.4
19410501 19410531    24.0
19410601 19410630    34.3
19410701 19410731    23.0
19410801 19410831     7.0
19410901 19410930    15.2
19411001 19411031     1.7
19411101 19411130    13.6
19411201 19411231    26.2
19420101 19420131     1.5
19420201 19420228    30.2
19420301 19420331    25.2
19420401 19420430     1.9
19420501 19420531    81.9
19420601 19420630    78.3
19420701 19420731    16.7
19420801 19420831    24.7
19420901 19420930    20.0
19421001 19421031    42.0
19421101 19421130    31.5
19421201 19421231    55.1
19430101 19430131    21.0
19430201 19430228     7.4
19430301 19430331     0.0
19430401 19430430    68.2
19430501 19430531    36.4
19430601 19430630     9.6
19430701 19430731    19.3
19430801 19430831    30.6
19430901 19430930    36.8
19431001 19431031    20.6
19431101 19431130    88.1
19431201 19431231    20.6
19440101 19440131     0.0
19440201 19440229     3.3
19440301 19440331    35.6
19440401 19440430    22.2
19440501 19440531    38.2
19440601 19440630     6.2
19440701 19440731     3.5
19440801 19440831    41.8
19440901 19440930     7.5
19441001 19441031    16.8
19441101 19441130    16.2
19441201 19441231    10.3
19450101 19450131    86.8
19450201 19450228    33.9
19450301 19450331    15.9
19450401 19450430    15.4
19450501 19450531    11.4
19450601 19450630    61.5
19450701 19450731    12.1
19450801 19450831    30.1
19450901 19450930    10.7
19451001 19451031    24.7
19451101 19451130    21.2
19451201 19451231    22.1
19460101 19460131    58.8
19460201 19460228    71.5
19460301 19460331    37.8
19460401 19460430    12.4
19460501 19460531    10.0
19460601 19460630    15.2
19460701 19460731    10.6
19460801 19460831     5.5
19460901 19460930     3.7
19461001 19461031    11.3
19461101 19461130    36.9
19461201 19461231    39.4
19470101 19470131     5.3
19470201 19470228    74.4
19470301 19470331    10.6
19470401 19470430    23.0
19470501 19470531    27.9
19470601 19470630    22.3
19470701 19470731    51.9
19470801 19470831    24.8
19470901 19470930    30.9
19471001 19471031    23.5
19471101 19471130    47.3
19471201 19471231   187.2
19480101 19480131    55.7
19480201 19480229    21.6
19480301 19480331     0.0
19480401 19480430    28.5
19480501 19480531    23.3
19480601 19480630    90.9
19480701 19480731     0.0
19480801 19480831    36.3
19480901 19480930    41.1
19481001 19481031     9.9
19481101 19481130     8.7
19481201 19481231    12.2
19490101 19490131     9.5
19490201 19490228    30.4
19490301 19490331    97.2
19490401 19490430    16.0
19490501 19490531    68.8
19490601 19490630    26.7
19490701 19490731    32.1
19490801 19490831    22.3
19490901 19490930    35.2
19491001 19491031    86.2
19491101 19491130    71.0
19491201 19491231    17.3
19500101 19500131    56.1
19500201 19500228    90.3
19500301 19500331   197.8
19500401 19500430    80.4
19500501 19500531    31.5
19500601 19500630    48.2
19500701 19500731    78.3
19500801 19500831    36.9
19500901 19500930    71.6
19501001 19501031   101.1
19501101 19501130    79.9
19501201 19501231     0.0
19510101 19510131    25.4
19510201 19510228     9.4
19510301 19510331    10.1
19510401 19510430    16.4
19510501 19510531    30.2
19510601 19510630    26.8
19510701 19510731    34.1
19510801 19510831    36.4
19510901 19510930    26.0
19511001 19511031     8.2
19511101 19511130     9.9
19511201 19511231    20.7
19520101 19520131     0.0
19520201 19520229     0.0
19520301 19520331    33.9
19520401 19520430    43.8
19520501 19520531    59.6
19520601 19520630    26.2
19520701 19520731    46.0
19520801 19520831    29.0
19520901 19520930     9.8
