PRCP       082001 18760101 20180131 missing_value=99999.9 BEECHWORTH COMPOSITE                      
19190101 19190131     1.1
19190201 19190228    78.5
19190301 19190331    70.0
19190401 19190430    46.5
19190501 19190531    86.1
19190601 19190630    91.6
19190701 19190731    39.8
19190801 19190831    51.5
19190901 19190930    66.7
19191001 19191031    41.1
19191101 19191130    46.8
19191201 19191231   140.1
19200101 19200131     9.4
19200201 19200229     0.6
19200301 19200331    35.0
19200401 19200430    23.8
19200501 19200531    53.7
19200601 19200630   176.5
19200701 19200731   182.5
19200801 19200831   195.1
19200901 19200930   149.9
19201001 19201031   101.9
19201101 19201130    71.4
19201201 19201231    58.8
19210101 19210131    45.0
19210201 19210228    90.2
19210301 19210331    60.7
19210401 19210430    39.6
19210501 19210531   135.1
19210601 19210630   140.6
19210701 19210731   142.9
19210801 19210831   131.2
19210901 19210930   179.7
19211001 19211031    87.1
19211101 19211130    36.1
19211201 19211231    67.0
19220101 19220131    43.5
19220201 19220228    56.2
19220301 19220331     0.3
19220401 19220430    16.6
19220501 19220531    71.1
19220601 19220630    86.3
19220701 19220731   172.8
19220801 19220831   111.8
19220901 19220930    89.9
19221001 19221031    70.2
19221101 19221130     4.0
19221201 19221231    39.4
19230101 19230131     7.4
19230201 19230228     0.3
19230301 19230331     2.3
19230401 19230430     0.0
19230501 19230531   138.4
19230601 19230630   258.9
19230701 19230731   178.5
19230801 19230831    95.0
19230901 19230930    59.2
19231001 19231031   112.6
19231101 19231130    50.4
19231201 19231231   114.8
19240101 19240131    68.9
19240201 19240229    80.0
19240301 19240331    80.5
19240401 19240430    91.2
19240501 19240531    74.2
19240601 19240630   101.9
19240701 19240731    44.9
19240801 19240831   147.7
19240901 19240930   107.1
19241001 19241031   100.0
19241101 19241130   180.3
19241201 19241231    88.9
19250101 19250131   115.7
19250201 19250228    84.9
19250301 19250331    18.6
19250401 19250430    15.2
19250501 19250531    70.4
19250601 19250630    87.5
19250701 19250731   116.1
19250801 19250831    96.6
19250901 19250930    93.8
19251001 19251031    37.1
19251101 19251130    30.3
19251201 19251231     0.5
19260101 19260131    11.7
19260201 19260228     0.0
19260301 19260331    97.2
19260401 19260430   157.8
19260501 19260531   180.6
19260601 19260630   174.4
19260701 19260731    95.3
19260801 19260831   151.1
19260901 19260930    52.9
19261001 19261031    84.9
19261101 19261130    27.0
19261201 19261231    33.3
19270101 19270131    29.8
19270201 19270228    15.9
19270301 19270331    21.4
19270401 19270430     2.3
19270501 19270531    76.2
19270601 19270630    55.6
19270701 19270731   114.8
19270801 19270831   158.4
19270901 19270930    35.8
