PRCP       075012 18960101 20180131 missing_value=99999.9 WAKOOL (CALIMO)                           
19700501 19700531    16.0
19700601 19700630    42.7
19700701 19700731    10.9
19700801 19700831    48.0
19700901 19700930    69.9
19701001 19701031     8.6
19701101 19701130    38.9
19701201 19701231    18.3
19710101 19710131    49.0
19710201 19710228    34.3
19710301 19710331    41.4
19710401 19710430    47.5
19710501 19710531    23.6
19710601 19710630    14.1
19710701 19710731    20.9
19710801 19710831    17.2
19710901 19710930    22.4
19711001 19711031     7.9
19711101 19711130   104.4
19711201 19711231    53.1
19720101 19720131    10.4
19720201 19720229    37.8
19720301 19720331     0.0
19720401 19720430    19.3
19720501 19720531    14.0
19720601 19720630     6.1
19720701 19720731    10.7
19720801 19720831    58.7
19720901 19720930     5.1
19721001 19721031     7.9
19721101 19721130    21.6
19721201 19721231     0.8
19730101 19730131    21.4
19730201 19730228   104.4
19730301 19730331    41.6
19730401 19730430    78.0
19730501 19730531    56.8
19730601 19730630    55.9
19730701 19730731    25.1
19730801 19730831   116.3
19730901 19730930    50.7
19731001 19731031   115.1
19731101 19731130    54.3
19731201 19731231    46.2
19740101 19740131   154.8
19740201 19740228    41.4
19740301 19740331    43.7
19740401 19740430   119.2
19740501 19740531    76.5
19740601 19740630     9.2
19740701 19740731    57.2
19740801 19740831    58.2
19740901 19740930    52.4
19741001 19741031    46.7
19741101 19741130    13.4
19741201 19741231     4.8
19750101 19750131    20.3
19750201 19750228     3.0
19750301 19750331    41.2
19750401 19750430     7.0
19750501 19750531    25.6
19750601 19750630     3.0
19750701 19750731    36.6
19750801 19750831    71.8
19750901 19750930   106.4
19751001 19751031   109.0
19751101 19751130     5.8
19751201 19751231   115.2
19760101 19760131    52.2
19760201 19760229    19.8
19760301 19760331     7.8
19760401 19760430     1.4
19760501 19760531     3.2
19760601 19760630    11.6
19760701 19760731    14.4
19760801 19760831    19.0
19760901 19760930    22.8
19761001 19761031    82.2
19761101 19761130    23.0
19761201 19761231    30.6
19770101 19770131    29.6
19770201 19770228    46.4
19770301 19770331    15.2
19770401 19770430    30.2
19770501 19770531    26.6
19770601 19770630    27.0
19770701 19770731     8.4
19770801 19770831     6.4
19770901 19770930    22.8
19771001 19771031     9.2
19771101 19771130     8.4
19771201 19771231     0.0
19780101 19780131    24.2
19780201 19780228     0.9
19780301 19780331    93.6
19780401 19780430    22.7
19780501 19780531    51.2
19780601 19780630    57.1
19780701 19780731    85.0
19780801 19780831    25.0
19780901 19780930    84.4
19781001 19781031    31.1
19781101 19781130    47.2
19781201 19781231    24.2
19790101 19790131    22.4
19790201 19790228     9.9
19790301 19790331    14.6
19790401 19790430    57.0
19790501 19790531    42.9
19790601 19790630    29.7
19790701 19790731     6.2
19790801 19790831    44.6
19790901 19790930    78.6
19791001 19791031    48.2
19791101 19791130    13.6
19791201 19791231     0.0
19800101 19800131     5.5
19800201 19800229     0.2
19800301 19800331    16.3
19800401 19800430    51.2
19800501 19800531    30.5
19800601 19800630    30.9
19800701 19800731    28.5
19800801 19800831    14.9
19800901 19800930    13.3
19801001 19801031    24.4
19801101 19801130    10.4
19801201 19801231    38.4
19810101 19810131    56.4
19810201 19810228    10.2
19810301 19810331    54.2
19810401 19810430     0.6
19810501 19810531    41.2
19810601 19810630   111.2
19810701 19810731    74.7
19810801 19810831    51.5
19810901 19810930    33.8
19811001 19811031    13.8
19811101 19811130    29.2
19811201 19811231    13.2
19820101 19820131    27.8
19820201 19820228     0.0
19820301 19820331    56.0
19820401 19820430     9.9
19820501 19820531    16.2
19820601 19820630    12.8
19820701 19820731     1.6
19820801 19820831     3.2
19820901 19820930    24.7
19821001 19821031     5.4
19821101 19821130     5.2
19821201 19821231     3.9
19830101 19830131     0.0
19830201 19830228     0.9
19830301 19830331   126.4
19830401 19830430    32.0
19830501 19830531    61.0
19830601 19830630    20.2
19830701 19830731    61.1
19830801 19830831    46.1
19830901 19830930    40.8
19831001 19831031    31.4
19831101 19831130    18.0
19831201 19831231    51.7
19840101 19840131   116.0
19840201 19840229     7.2
19840301 19840331    11.4
19840401 19840430    33.0
19840501 19840531     2.8
19840601 19840630     6.6
19840701 19840731    62.4
19840801 19840831    62.0
19840901 19840930    30.3
19841001 19841031    40.1
19841101 19841130    22.0
19841201 19841231     0.8
19850101 19850131    10.2
19850201 19850228     2.2
19850301 19850331     2.2
19850401 19850430    10.1
19850501 19850531    31.2
19850601 19850630    11.0
19850701 19850731    11.6
19850801 19850831    84.6
19850901 19850930    39.0
19851001 19851031    21.4
19851101 19851130    17.8
19851201 19851231    82.2
19860101 19860131     0.4
19860201 19860228    13.0
19860301 19860331     0.0
19860401 19860430    25.4
19860501 19860531    41.9
19860601 19860630    14.6
19860701 19860731    79.1
19860801 19860831    65.5
19860901 19860930    53.2
19861001 19861031    59.0
19861101 19861130    18.6
19861201 19861231    38.0
19870101 19870131    12.4
19870201 19870228     4.2
19870301 19870331    18.9
19870401 19870430    22.4
19870501 19870531    38.3
19870601 19870630    59.4
19870701 19870731    36.0
19870801 19870831    50.5
19870901 19870930    13.4
19871001 19871031    28.2
19871101 19871130    19.4
19871201 19871231    32.0
19880101 19880131    55.9
19880201 19880229     8.4
19880301 19880331    15.0
19880401 19880430    44.8
19880501 19880531    77.8
19880601 19880630    37.7
19880701 19880731    54.8
19880801 19880831    11.0
19880901 19880930    32.8
19881001 19881031    11.2
19881101 19881130    88.8
19881201 19881231    60.5
19890101 19890131    19.0
19890201 19890228    21.6
19890301 19890331    71.3
19890401 19890430    90.0
19890501 19890531    59.9
19890601 19890630    42.8
19890701 19890731    29.0
19890801 19890831    70.6
19890901 19890930    25.0
19891001 19891031    27.4
19891101 19891130    15.8
19891201 19891231    16.2
19900101 19900131    11.4
19900201 19900228    58.3
19900301 19900331     6.2
19900401 19900430    49.6
19900501 19900531    79.1
19900601 19900630    26.8
19900701 19900731    61.0
19900801 19900831    35.1
19900901 19900930    12.2
19901001 19901031    15.3
19901101 19901130     4.8
19901201 19901231     7.8
19910101 19910131    38.6
19910201 19910228     0.2
19910301 19910331     0.0
19910401 19910430    30.5
19910501 19910531     5.5
19910601 19910630    80.0
19910701 19910731    34.6
19910801 19910831    28.1
19910901 19910930    49.4
19911001 19911031     0.6
19911101 19911130     4.2
19911201 19911231    36.0
19920101 19920131    27.5
19920201 19920229     9.8
19920301 19920331     3.4
19920401 19920430    17.1
