PRCP       039250 19120601 20160229 missing_value=99999.9 ROCKLEY                                   
19540401 19540430    68.0
19540501 19540531     2.5
19540601 19540630    13.2
19540701 19540731    83.8
19540801 19540831     6.6
19540901 19540930    15.1
19541001 19541031    25.9
19541101 19541130    81.9
19541201 19541231    53.9
19550101 19550131   260.5
19550201 19550228   331.1
19550301 19550331   256.7
19550401 19550430   118.0
19550501 19550531   148.3
19550601 19550630     4.0
19550701 19550731    78.5
19550801 19550831     0.0
19550901 19550930     6.6
19551001 19551031   146.7
19551101 19551130    84.7
19551201 19551231   135.8
19560101 19560131   393.2
19560201 19560229   359.7
19560301 19560331   413.4
19560401 19560430    81.8
19560501 19560531    50.5
19560601 19560630   129.3
19560701 19560731    55.9
19560801 19560831    10.9
19560901 19560930    10.2
19561001 19561031    66.8
19561101 19561130   156.8
19561201 19561231   417.2
19570101 19570131    50.8
19570201 19570228    75.7
19570301 19570331    15.2
19570401 19570430     4.9
19570501 19570531     3.6
19570601 19570630    29.5
19570701 19570731    29.5
19570801 19570831    23.6
19570901 19570930     5.6
19571001 19571031     3.6
19571101 19571130    76.2
19571201 19571231     9.4
19580101 19580131   175.4
19580201 19580228   169.9
19580301 19580331    91.4
19580401 19580430    94.5
19580501 19580531    16.0
19580601 19580630   142.4
19580701 19580731     8.4
19580801 19580831    28.5
19580901 19580930     9.9
19581001 19581031    27.1
19581101 19581130     8.9
19581201 19581231   184.5
19590101 19590131   134.2
19590201 19590228   100.6
19590301 19590331    39.7
19590401 19590430     0.0
19590501 19590531     7.1
19590601 19590630     0.0
19590701 19590731    42.4
19590801 19590831     0.0
19590901 19590930    25.9
19591001 19591031    87.5
19591101 19591130    63.2
19591201 19591231   171.3
19600101 19600131   215.7
19600201 19600229   119.1
19600301 19600331     0.0
19600401 19600430    56.7
19600501 19600531   133.6
19600601 19600630    27.2
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     5.1
19601001 19601031    53.5
19601101 19601130    50.8
19601201 19601231    33.5
19610101 19610131   100.5
19610201 19610228   244.7
19610301 19610331    29.8
19610401 19610430    22.9
19610501 19610531    29.0
19610601 19610630     0.0
19610701 19610731    25.2
19610801 19610831    22.6
19610901 19610930     3.8
19611001 19611031   111.8
19611101 19611130   183.4
19611201 19611231   144.3
19620101 19620131    62.8
19620201 19620228    89.2
19620301 19620331   207.5
19620401 19620430    38.1
19620501 19620531    55.6
19620601 19620630    37.1
19620701 19620731    13.5
19620801 19620831     0.0
19620901 19620930    26.4
19621001 19621031     2.8
19621101 19621130    38.6
19621201 19621231   148.7
19630101 19630131   164.6
19630201 19630228    75.2
19630301 19630331   185.8
19630401 19630430     4.1
19630501 19630531    15.3
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831    76.4
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130    30.4
19631201 19631231   138.7
19640101 19640131    25.4
19640201 19640229    49.6
19640301 19640331    43.6
19640401 19640430    10.2
19640501 19640531    42.9
19640601 19640630    17.6
19640701 19640731   118.2
19640801 19640831    63.6
19640901 19640930   117.6
19641001 19641031    55.9
19641101 19641130    30.5
19641201 19641231    36.9
19650101 19650131    81.8
19650201 19650228    15.2
19650301 19650331    42.0
19650401 19650430   228.1
19650501 19650531    20.4
19650601 19650630     0.0
19650701 19650731     6.4
19650801 19650831     0.0
19650901 19650930    12.7
19651001 19651031    43.1
19651101 19651130    17.8
19651201 19651231   200.2
19660101 19660131   124.6
19660201 19660228   187.7
19660301 19660331    34.8
19660401 19660430    15.2
19660501 19660531     8.9
19660601 19660630    66.5
19660701 19660731    39.6
19660801 19660831    84.6
19660901 19660930     0.0
19661001 19661031    19.5
19661101 19661130   120.0
19661201 19661231   134.6
19670101 19670131    75.0
19670201 19670228     0.0
19670301 19670331    99.2
19670401 19670430    12.7
19670501 19670531    14.0
19670601 19670630   190.5
19670701 19670731     0.0
19670801 19670831    22.9
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130    39.9
19671201 19671231   105.7
19680101 19680131    30.5
19680201 19680229   229.5
19680301 19680331   175.3
19680401 19680430    38.6
19680501 19680531    39.4
19680601 19680630     0.0
19680701 19680731     0.0
19680801 19680831     0.0
19680901 19680930    12.7
19681001 19681031    58.4
19681101 19681130   114.8
19681201 19681231   120.8
19690101 19690131    12.7
19690201 19690228    21.6
19690301 19690331    38.1
19690401 19690430     0.0
19690501 19690531    61.1
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831    28.0
19690901 19690930    20.3
19691001 19691031   138.4
19691101 19691130    56.9
19691201 19691231   137.8
19700101 19700131    87.5
19700201 19700228    57.9
19700301 19700331    18.2
19700401 19700430     0.0
19700501 19700531     0.0
19700601 19700630   177.0
19700701 19700731     0.0
19700801 19700831    10.2
19700901 19700930    32.5
19701001 19701031    62.6
19701101 19701130   136.4
19701201 19701231   173.1
19710101 19710131   337.0
19710201 19710228   395.7
19710301 19710331    32.1
19710401 19710430    10.2
19710501 19710531     0.0
19710601 19710630    16.5
19710701 19710731    19.6
19710801 19710831    53.8
19710901 19710930     0.0
19711001 19711031    41.6
19711101 19711130    96.2
19711201 19711231   161.1
19720101 19720131   150.7
19720201 19720229   187.5
19720301 19720331     8.9
19720401 19720430     0.0
19720501 19720531    55.4
19720601 19720630    12.7
19720701 19720731     0.0
19720801 19720831    12.7
19720901 19720930     0.0
19721001 19721031    47.7
19721101 19721130   246.2
19721201 19721231    17.8
19730101 19730131   267.6
19730201 19730228   129.1
19730301 19730331    59.7
19730401 19730430    25.4
19730501 19730531    25.4
19730601 19730630    41.3
19730701 19730731   123.7
19730801 19730831    36.3
19730901 19730930   106.1
19731001 19731031    92.3
19731101 19731130   133.1
19731201 19731231   870.0
19740101 19740131   690.3
19740201 19740228    59.2
19740301 19740331    25.6
19740401 19740430    43.8
19740501 19740531    19.6
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    54.2
19740901 19740930    49.2
19741001 19741031    77.0
19741101 19741130   135.4
19741201 19741231   295.6
19750101 19750131    17.4
19750201 19750228   115.0
19750301 19750331     8.2
19750401 19750430    49.2
19750501 19750531     0.0
19750601 19750630    23.0
19750701 19750731    16.1
19750801 19750831    32.0
19750901 19750930    73.6
19751001 19751031   185.2
19751101 19751130    60.4
19751201 19751231   133.5
19760101 19760131    75.8
19760201 19760229    57.8
19760301 19760331   222.2
19760401 19760430    28.0
19760501 19760531    33.6
19760601 19760630    28.0
19760701 19760731     6.1
19760801 19760831     0.0
19760901 19760930    42.9
19761001 19761031    82.6
19761101 19761130   204.2
19761201 19761231   116.3
19770101 19770131    85.4
19770201 19770228   146.6
19770301 19770331   302.8
19770401 19770430    33.6
19770501 19770531   242.7
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031    25.8
19771101 19771130    55.8
19771201 19771231    22.2
19780101 19780131   709.0
19780201 19780228    70.0
19780301 19780331    21.8
19780401 19780430    29.7
19780501 19780531    95.8
19780601 19780630    72.0
19780701 19780731   103.4
19780801 19780831    66.2
19780901 19780930    66.0
19781001 19781031     0.0
19781101 19781130   131.2
19781201 19781231    82.5
19790101 19790131   101.8
19790201 19790228    52.0
19790301 19790331   298.4
19790401 19790430    55.0
19790501 19790531    20.0
19790601 19790630    20.4
19790701 19790731     0.0
19790801 19790831    11.0
19790901 19790930     0.0
19791001 19791031    11.7
19791101 19791130    60.2
19791201 19791231    29.6
19800101 19800131   245.1
19800201 19800229    54.8
19800301 19800331    13.8
19800401 19800430     0.0
19800501 19800531    46.0
19800601 19800630     0.0
19800701 19800731    52.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031    14.2
19801101 19801130    33.4
19801201 19801231   168.0
19810101 19810131    82.7
19810201 19810228   157.7
19810301 19810331    52.4
