PRCP       014902 18900701 20180131 missing_value=99999.9 KATHERINE COUNCIL                         
19191101 19191130    91.6
19191201 19191231   121.4
19200101 19200131   192.1
19200201 19200229    46.4
19200301 19200331   176.2
19200401 19200430     0.0
19200501 19200531     0.0
19200601 19200630     0.0
19200701 19200731     6.4
19200801 19200831     0.0
19200901 19200930     2.8
19201001 19201031    35.9
19201101 19201130   124.0
19201201 19201231   187.6
19210101 19210131   182.4
19210201 19210228   250.4
19210301 19210331   331.0
19210401 19210430     0.0
19210501 19210531     0.0
19210601 19210630     0.0
19210701 19210731     0.0
19210801 19210831     0.0
19210901 19210930     1.3
19211001 19211031     3.0
19211101 19211130    94.7
19211201 19211231    91.1
19220101 19220131   171.1
19220201 19220228   144.8
19220301 19220331   336.3
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630     0.0
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.8
19221001 19221031    44.5
19221101 19221130     9.2
19221201 19221231   283.7
19230101 19230131   184.2
19230201 19230228   123.7
19230301 19230331   147.4
19230401 19230430   192.0
19230501 19230531    38.1
19230601 19230630    10.2
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    64.0
19231101 19231130    49.7
19231201 19231231   433.2
19240101 19240131    83.3
19240201 19240229   324.8
19240301 19240331   118.4
19240401 19240430     0.0
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.0
19240801 19240831     0.0
19240901 19240930     2.5
19241001 19241031     0.8
19241101 19241130    66.1
19241201 19241231   146.2
19250101 19250131   210.8
19250201 19250228   318.8
19250301 19250331   100.8
19250401 19250430    21.9
19250501 19250531     0.0
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130     9.4
19251201 19251231   104.9
19260101 19260131   262.2
19260201 19260228    84.2
19260301 19260331    90.4
19260401 19260430     8.9
19260501 19260531    40.1
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031    20.4
19261101 19261130     6.6
19261201 19261231   357.3
19270101 19270131   190.8
19270201 19270228    10.1
19270301 19270331    77.6
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630     0.0
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031    54.0
19271101 19271130   161.6
19271201 19271231   108.5
19280101 19280131    96.5
19280201 19280229   133.4
19280301 19280331   219.4
19280401 19280430     7.6
19280501 19280531     0.0
19280601 19280630     0.0
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     3.1
19281101 19281130    11.9
19281201 19281231   129.3
19290101 19290131   118.3
19290201 19290228    66.1
19290301 19290331   141.9
19290401 19290430    35.5
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     7.7
19291101 19291130    23.6
19291201 19291231   281.9
19300101 19300131   146.8
19300201 19300228   446.4
19300301 19300331   148.3
19300401 19300430     0.0
19300501 19300531     0.0
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031    24.4
19301101 19301130    62.5
19301201 19301231   293.2
19310101 19310131   316.0
19310201 19310228   108.6
19310301 19310331   242.0
19310401 19310430    98.9
19310501 19310531     0.0
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930    40.4
19311001 19311031     7.3
19311101 19311130    74.9
19311201 19311231   123.5
19320101 19320131   107.7
19320201 19320229    75.2
19320301 19320331   267.6
19320401 19320430     0.0
19320501 19320531     3.5
19320601 19320630     4.0
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031    26.1
19321101 19321130    65.6
19321201 19321231   303.4
19330101 19330131   125.9
19330201 19330228    57.7
19330301 19330331   149.1
19330401 19330430     0.0
19330501 19330531     2.5
19330601 19330630     3.0
19330701 19330731     0.0
19330801 19330831     0.0
19330901 19330930     0.0
19331001 19331031    57.4
19331101 19331130   107.7
19331201 19331231   281.0
19340101 19340131   228.9
19340201 19340228   131.3
19340301 19340331   152.3
19340401 19340430    10.2
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731     0.8
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031    62.5
19341101 19341130   156.2
19341201 19341231    84.0
19350101 19350131   287.3
19350201 19350228   193.6
19350301 19350331   289.6
19350401 19350430     0.5
19350501 19350531     8.2
19350601 19350630    54.1
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     5.8
19351001 19351031     6.6
19351101 19351130    69.9
19351201 19351231   213.4
19360101 19360131   179.9
19360201 19360229   212.1
19360301 19360331    25.9
19360401 19360430    25.4
19360501 19360531    19.8
19360601 19360630     4.8
