PRCP       092037 19040101 20041031 missing_value=99999.9 SWAN ISLAND LIGHTHOUSE                    
19491001 19491031   141.9
19491101 19491130   114.9
19491201 19491231    39.9
19500101 19500131    29.9
19500201 19500228     5.5
19500301 19500331    41.0
19500401 19500430    29.7
19500501 19500531    77.5
19500601 19500630    30.2
19500701 19500731    33.8
19500801 19500831    41.6
19500901 19500930    47.4
19501001 19501031    75.7
19501101 19501130    58.0
19501201 19501231    44.5
19510101 19510131     9.6
19510201 19510228    29.4
19510301 19510331     7.1
19510401 19510430    66.8
19510501 19510531    36.0
19510601 19510630    35.6
19510701 19510731    61.0
19510801 19510831    37.0
19510901 19510930    20.5
19511001 19511031    34.1
19511101 19511130    52.8
19511201 19511231    50.5
19520101 19520131    21.4
19520201 19520229    20.3
19520301 19520331     3.5
19520401 19520430    83.9
19520501 19520531   132.5
19520601 19520630   144.2
19520701 19520731    62.5
19520801 19520831    41.0
19520901 19520930    79.8
19521001 19521031   113.5
19521101 19521130   121.3
19521201 19521231     5.9
19530101 19530131    34.7
19530201 19530228    23.4
19530301 19530331    19.7
19530401 19530430    52.0
19530501 19530531    46.2
19530601 19530630    57.3
19530701 19530731    40.5
19530801 19530831    59.2
19530901 19530930    80.1
19531001 19531031    74.1
19531101 19531130    72.2
19531201 19531231    26.8
19540101 19540131     9.6
19540201 19540228    49.4
19540301 19540331    30.1
19540401 19540430    49.6
19540501 19540531    27.5
19540601 19540630    91.0
19540701 19540731    35.3
19540801 19540831    74.7
19540901 19540930    29.8
19541001 19541031    18.6
19541101 19541130    47.0
19541201 19541231    33.6
19550101 19550131    17.5
19550201 19550228    47.8
19550301 19550331    21.6
19550401 19550430    56.0
19550501 19550531    80.7
19550601 19550630   124.2
19550701 19550731    54.6
19550801 19550831   202.2
19550901 19550930    59.4
19551001 19551031    84.0
19551101 19551130    36.4
19551201 19551231    72.9
19560101 19560131    59.1
19560201 19560229    79.3
19560301 19560331    92.0
19560401 19560430   131.3
19560501 19560531    73.8
19560601 19560630   135.9
19560701 19560731    32.3
19560801 19560831    52.2
19560901 19560930    32.2
19561001 19561031    70.1
19561101 19561130    33.2
19561201 19561231    29.3
19570101 19570131    13.7
19570201 19570228    22.7
19570301 19570331    27.4
19570401 19570430    74.1
19570501 19570531    32.7
19570601 19570630    25.4
19570701 19570731    33.5
19570801 19570831    17.2
19570901 19570930    35.0
19571001 19571031    55.7
19571101 19571130    74.3
19571201 19571231    58.4
19580101 19580131     4.3
19580201 19580228    21.8
19580301 19580331    45.2
19580401 19580430     7.4
19580501 19580531   113.9
19580601 19580630    25.7
19580701 19580731    95.3
19580801 19580831    97.3
19580901 19580930    13.8
19581001 19581031   135.5
19581101 19581130    30.2
19581201 19581231    65.7
19590101 19590131    18.6
19590201 19590228    48.3
19590301 19590331    23.1
19590401 19590430    27.9
19590501 19590531     5.9
19590601 19590630    44.8
19590701 19590731    59.1
19590801 19590831    50.2
19590901 19590930    90.0
19591001 19591031    15.3
19591101 19591130    31.9
19591201 19591231    39.1
19600101 19600131     5.7
19600201 19600229    22.7
19600301 19600331    38.1
19600401 19600430    97.6
19600501 19600531   219.3
19600601 19600630    20.8
19600701 19600731    84.7
19600801 19600831    63.6
19600901 19600930    39.5
19601001 19601031    49.8
19601101 19601130    56.8
19601201 19601231     5.8
19610101 19610131     8.4
19610201 19610228    22.3
19610301 19610331    18.6
19610401 19610430    99.1
19610501 19610531    21.4
19610601 19610630    47.3
19610701 19610731    46.6
19610801 19610831    27.1
19610901 19610930    15.3
19611001 19611031    43.2
19611101 19611130    35.8
19611201 19611231    55.8
19620101 19620131    48.1
19620201 19620228    61.0
19620301 19620331    11.1
19620401 19620430    15.2
19620501 19620531   137.7
19620601 19620630    86.2
19620701 19620731    65.5
19620801 19620831    91.9
19620901 19620930    34.2
19621001 19621031    62.2
19621101 19621130    38.4
19621201 19621231    25.5
19630101 19630131    63.8
19630201 19630228    36.1
19630301 19630331    44.1
19630401 19630430     2.1
19630501 19630531    45.8
19630601 19630630    39.7
19630701 19630731    57.1
19630801 19630831    31.7
19630901 19630930    62.3
19631001 19631031    60.8
19631101 19631130    18.7
19631201 19631231    23.7
19640101 19640131     9.7
19640201 19640229   140.2
19640301 19640331    29.0
19640401 19640430    48.2
19640501 19640531    74.5
19640601 19640630    97.7
19640701 19640731   128.7
19640801 19640831    53.9
19640901 19640930    45.9
19641001 19641031    55.2
19641101 19641130    58.5
19641201 19641231   119.9
19650101 19650131    36.6
19650201 19650228     0.5
19650301 19650331    39.6
19650401 19650430   103.7
19650501 19650531    84.7
19650601 19650630    20.1
19650701 19650731    63.9
19650801 19650831    41.3
19650901 19650930    39.8
19651001 19651031    16.5
19651101 19651130    52.5
19651201 19651231    48.0
19660101 19660131    14.2
19660201 19660228    49.8
19660301 19660331    37.1
19660401 19660430    56.2
19660501 19660531    44.2
19660601 19660630    30.6
19660701 19660731    56.0
19660801 19660831    36.3
19660901 19660930   117.0
19661001 19661031    55.1
19661101 19661130    29.4
19661201 19661231    44.5
19670101 19670131    11.8
19670201 19670228    13.5
19670301 19670331     3.1
19670401 19670430     9.1
19670501 19670531    22.9
19670601 19670630    20.0
19670701 19670731   120.8
19670801 19670831   119.3
19670901 19670930    72.5
19671001 19671031    22.0
19671101 19671130    35.7
19671201 19671231    41.9
19680101 19680131     9.8
19680201 19680229     6.3
19680301 19680331    36.4
19680401 19680430    82.6
19680501 19680531    94.0
19680601 19680630    30.2
19680701 19680731    33.9
19680801 19680831   102.9
19680901 19680930    14.9
19681001 19681031    64.7
19681101 19681130    80.5
19681201 19681231    19.9
19690101 19690131    27.2
19690201 19690228    43.0
19690301 19690331    47.3
19690401 19690430    44.0
19690501 19690531   102.5
19690601 19690630    22.3
19690701 19690731    41.0
19690801 19690831    56.7
19690901 19690930    68.6
19691001 19691031    16.1
19691101 19691130    75.5
19691201 19691231    83.1
19700101 19700131    49.9
19700201 19700228    33.4
19700301 19700331   142.1
19700401 19700430    68.7
19700501 19700531    57.9
19700601 19700630    86.6
19700701 19700731    76.6
19700801 19700831   120.2
19700901 19700930    65.4
19701001 19701031    12.5
19701101 19701130    57.4
19701201 19701231   159.4
19710101 19710131    27.7
19710201 19710228    55.9
19710301 19710331    28.0
19710401 19710430    92.3
19710501 19710531   156.9
19710601 19710630   138.8
19710701 19710731    27.6
19710801 19710831   240.4
