PRCP       045022 19300901 20170630 missing_value=99999.9 WHYNOT STATION                            
19791101 19791130     7.0
19791201 19791231    24.2
19800101 19800131    14.8
19800201 19800229     1.0
19800301 19800331    38.6
19800401 19800430     3.4
19800501 19800531    33.0
19800601 19800630     5.6
19800701 19800731    12.2
19800801 19800831     7.8
19800901 19800930     0.0
19801001 19801031    20.6
19801101 19801130     3.0
19801201 19801231    16.8
19810101 19810131    23.4
19810201 19810228    12.8
19810301 19810331    50.0
19810401 19810430    16.4
19810501 19810531    80.2
19810601 19810630    24.8
19810701 19810731    55.4
19810801 19810831     0.0
19810901 19810930     4.0
19811001 19811031    12.0
19811101 19811130    46.8
19811201 19811231    28.4
19820101 19820131    16.4
19820201 19820228     0.0
19820301 19820331    91.8
19820401 19820430     0.0
19820501 19820531     7.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     1.4
19820901 19820930     9.4
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231     0.0
19830101 19830131     6.6
19830201 19830228    12.4
19830301 19830331    56.4
19830401 19830430    61.2
19830501 19830531   160.6
19830601 19830630    19.4
19830701 19830731     0.4
19830801 19830831    27.6
19830901 19830930     1.4
19831001 19831031     3.0
19831101 19831130    69.4
19831201 19831231    24.0
19840101 19840131   147.8
19840201 19840229     2.6
19840301 19840331     6.0
19840401 19840430    10.2
19840501 19840531     0.0
19840601 19840630    33.0
19840701 19840731    66.6
19840801 19840831     0.0
19840901 19840930     8.4
19841001 19841031    21.2
19841101 19841130     4.2
19841201 19841231     3.6
19850101 19850131     0.0
19850201 19850228    67.8
19850301 19850331     0.0
19850401 19850430     0.0
19850501 19850531     0.0
19850601 19850630    10.0
19850701 19850731     3.4
19850801 19850831    27.6
19850901 19850930     6.6
19851001 19851031     9.0
19851101 19851130   159.6
19851201 19851231    28.0
19860101 19860131     7.8
19860201 19860228     3.4
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531    18.0
19860601 19860630    13.0
19860701 19860731    42.0
19860801 19860831    11.4
19860901 19860930     0.0
19861001 19861031     6.0
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131    51.6
19870201 19870228    65.6
19870301 19870331    21.2
19870401 19870430     0.0
19870501 19870531     6.4
19870601 19870630    52.6
19870701 19870731     0.0
19870801 19870831    11.2
19870901 19870930     0.0
19871001 19871031     1.0
19871101 19871130    11.6
19871201 19871231    60.0
19880101 19880131     1.0
19880201 19880229     4.0
19880301 19880331    32.0
19880401 19880430    14.0
19880501 19880531     7.0
19880601 19880630     0.0
19880701 19880731     8.6
19880801 19880831    28.0
19880901 19880930    19.0
19881001 19881031     0.0
19881101 19881130     0.0
19881201 19881231    46.0
19890101 19890131     0.0
19890201 19890228    13.6
19890301 19890331    73.0
19890401 19890430   192.0
19890501 19890531   161.6
19890601 19890630     9.4
19890701 19890731     6.6
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031    15.0
19891101 19891130     5.0
19891201 19891231    20.0
19900101 19900131    27.4
19900201 19900228    54.0
19900301 19900331    19.0
19900401 19900430   250.4
19900501 19900531    61.8
19900601 19900630    23.0
19900701 19900731    23.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     6.0
19901101 19901130     0.0
19901201 19901231     7.0
19910101 19910131    79.6
19910201 19910228    89.0
19910301 19910331     0.0
