PRCP       007007 18910101 20161130 missing_value=99999.9 BOOLARDY                                  
19210101 19210131     0.5
19210201 19210228    11.0
19210301 19210331    10.6
19210401 19210430     0.0
19210501 19210531   127.9
19210601 19210630    27.8
19210701 19210731    10.9
19210801 19210831    12.8
19210901 19210930     3.6
19211001 19211031     0.3
19211101 19211130     0.0
19211201 19211231    11.4
19220101 19220131     6.9
19220201 19220228     4.9
19220301 19220331    36.6
19220401 19220430    18.0
19220501 19220531    17.5
19220601 19220630     8.9
19220701 19220731    21.1
19220801 19220831    21.6
19220901 19220930     0.8
19221001 19221031     0.0
19221101 19221130     0.0
19221201 19221231     0.0
19230101 19230131    11.0
19230201 19230228    22.9
19230301 19230331     5.1
19230401 19230430    46.9
19230501 19230531     5.8
19230601 19230630    64.3
19230701 19230731    88.2
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231     4.3
19240101 19240131     4.6
19240201 19240229     4.3
19240301 19240331    21.6
19240401 19240430     3.8
19240501 19240531    23.0
19240601 19240630    17.3
19240701 19240731    15.8
19240801 19240831     9.5
19240901 19240930     0.8
19241001 19241031     2.5
19241101 19241130     5.8
19241201 19241231     0.0
19250101 19250131    63.8
19250201 19250228    32.7
19250301 19250331    67.3
19250401 19250430     0.0
19250501 19250531     9.9
19250601 19250630     9.7
19250701 19250731     8.4
19250801 19250831    11.6
19250901 19250930    12.0
19251001 19251031     3.8
19251101 19251130     0.8
19251201 19251231    12.1
19260101 19260131    16.3
19260201 19260228    33.8
19260301 19260331    79.3
19260401 19260430    15.2
19260501 19260531    39.9
19260601 19260630    16.3
19260701 19260731    29.3
19260801 19260831     1.6
19260901 19260930     0.8
19261001 19261031     3.1
19261101 19261130    25.7
19261201 19261231     0.0
19270101 19270131    19.0
19270201 19270228     0.0
19270301 19270331    72.4
19270401 19270430     6.9
19270501 19270531    34.5
19270601 19270630    99.9
19270701 19270731    36.7
19270801 19270831     6.1
19270901 19270930     4.1
19271001 19271031     3.8
19271101 19271130     0.0
19271201 19271231     0.0
19280101 19280131    39.1
19280201 19280229     2.0
19280301 19280331    12.7
19280401 19280430     5.6
19280501 19280531    49.0
19280601 19280630    21.3
19280701 19280731    38.3
19280801 19280831     1.5
19280901 19280930     4.1
19281001 19281031     0.0
19281101 19281130     0.8
19281201 19281231    13.4
19290101 19290131    57.2
19290201 19290228    61.3
19290301 19290331    44.5
19290401 19290430     0.0
19290501 19290531   101.2
19290601 19290630    31.5
19290701 19290731     1.3
19290801 19290831    33.5
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130     2.8
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     1.8
19300301 19300331    38.7
19300401 19300430    13.1
19300501 19300531    12.9
19300601 19300630    34.7
19300701 19300731     7.4
19300801 19300831    17.5
19300901 19300930     0.0
19301001 19301031     2.3
19301101 19301130     0.0
19301201 19301231     6.3
19310101 19310131     0.0
19310201 19310228     6.2
19310301 19310331     5.1
19310401 19310430    33.0
19310501 19310531    16.0
19310601 19310630    30.6
19310701 19310731    47.9
19310801 19310831    17.8
19310901 19310930     6.8
19311001 19311031     1.0
19311101 19311130     5.3
19311201 19311231    14.0
19320101 19320131    20.8
19320201 19320229    12.2
19320301 19320331    14.0
19320401 19320430    23.7
19320501 19320531    26.7
19320601 19320630     8.7
19320701 19320731    11.0
19320801 19320831    49.1
19320901 19320930     0.5
19321001 19321031     1.5
