PRCP       022009 18791001 20171130 missing_value=99999.9 MINLATON                                  
19140801 19140831     8.7
19140901 19140930    23.2
19141001 19141031     8.7
19141101 19141130    53.8
19141201 19141231    20.3
19150101 19150131     7.1
19150201 19150228     0.5
19150301 19150331     8.2
19150401 19150430    49.0
19150501 19150531    68.6
19150601 19150630   124.5
19150701 19150731    79.5
19150801 19150831    81.1
19150901 19150930    81.7
19151001 19151031    15.9
19151101 19151130     3.3
19151201 19151231     0.0
19160101 19160131     5.0
19160201 19160229     1.6
19160301 19160331     6.1
19160401 19160430    37.4
19160501 19160531    26.6
19160601 19160630   181.2
19160701 19160731   122.2
19160801 19160831    91.0
19160901 19160930    76.2
19161001 19161031    37.3
19161101 19161130    54.2
19161201 19161231    14.2
19170101 19170131     5.9
19170201 19170228    90.5
19170301 19170331    62.6
19170401 19170430     9.0
19170501 19170531    89.5
19170601 19170630   108.4
19170701 19170731    76.4
19170801 19170831    87.3
19170901 19170930   111.6
19171001 19171031    44.4
19171101 19171130    26.1
19171201 19171231    14.2
19180101 19180131     5.9
19180201 19180228     1.8
19180301 19180331    16.5
19180401 19180430    13.2
19180501 19180531    62.8
19180601 19180630    43.9
19180701 19180731    56.8
19180801 19180831    65.5
19180901 19180930    11.6
19181001 19181031    62.8
19181101 19181130     5.1
19181201 19181231    10.8
19190101 19190131     9.9
19190201 19190228    66.5
19190301 19190331     2.8
19190401 19190430     3.9
19190501 19190531    85.2
19190601 19190630    40.5
19190701 19190731    45.8
19190801 19190831    65.1
19190901 19190930    72.8
19191001 19191031    34.8
19191101 19191130     5.9
19191201 19191231    18.9
19200101 19200131    13.7
19200201 19200229     0.3
19200301 19200331    18.4
19200401 19200430    15.3
19200501 19200531    66.8
19200601 19200630   137.0
19200701 19200731    68.9
19200801 19200831    63.0
19200901 19200930    38.3
19201001 19201031    34.0
19201101 19201130    45.4
19201201 19201231    39.8
19210101 19210131    42.9
19210201 19210228     4.9
19210301 19210331    74.2
19210401 19210430     7.9
19210501 19210531   114.6
19210601 19210630    58.7
19210701 19210731    56.4
19210801 19210831    55.9
19210901 19210930    55.3
19211001 19211031    39.4
19211101 19211130    63.8
19211201 19211231     7.9
19220101 19220131    55.8
19220201 19220228     3.0
19220301 19220331     5.6
19220401 19220430    24.7
19220501 19220531    72.1
19220601 19220630    39.6
19220701 19220731    59.1
19220801 19220831    44.6
19220901 19220930    39.9
19221001 19221031    40.7
19221101 19221130     4.5
19221201 19221231    55.4
19230101 19230131    10.7
19230201 19230228     3.3
19230301 19230331     0.5
