PRCP       091011 18960401 20170731 missing_value=99999.9 CAPE GRIM (WOOLNORTH)                     
19500201 19500228    41.4
19500301 19500331    32.8
19500401 19500430    23.0
19500501 19500531    68.9
19500601 19500630    60.4
19500701 19500731    68.5
19500801 19500831    92.6
19500901 19500930    86.3
19501001 19501031   121.4
19501101 19501130   113.2
19501201 19501231    40.3
19510101 19510131    27.8
19510201 19510228    13.8
19510301 19510331    34.0
19510401 19510430   161.0
19510501 19510531   155.2
19510601 19510630    42.3
19510701 19510731   216.2
19510801 19510831   181.9
19510901 19510930    48.1
19511001 19511031    62.7
19511101 19511130    81.6
19511201 19511231    57.1
19520101 19520131   101.4
19520201 19520229    20.3
19520301 19520331    16.1
19520401 19520430   117.0
19520501 19520531   145.8
19520601 19520630   202.9
19520701 19520731   104.8
19520801 19520831    74.5
19520901 19520930   102.6
19521001 19521031    94.5
19521101 19521130   168.6
19521201 19521231    37.3
19530101 19530131    24.4
19530201 19530228    10.2
19530301 19530331    24.4
19530401 19530430    63.2
19530501 19530531    80.3
19530601 19530630   166.4
19530701 19530731   113.3
19530801 19530831   152.1
19530901 19530930    86.9
19531001 19531031   107.5
19531101 19531130   102.7
19531201 19531231    94.3
19540101 19540131    14.0
19540201 19540228    54.1
19540301 19540331    54.4
19540401 19540430   108.8
19540501 19540531   141.7
19540601 19540630   119.8
19540701 19540731   138.1
19540801 19540831    70.6
19540901 19540930   116.5
19541001 19541031    84.4
19541101 19541130   102.4
19541201 19541231    76.6
19550101 19550131    17.6
19550201 19550228    28.2
19550301 19550331    21.1
19550401 19550430    94.7
19550501 19550531   149.8
19550601 19550630    90.8
19550701 19550731   122.5
19550801 19550831   211.4
19550901 19550930    59.4
19551001 19551031    88.4
19551101 19551130    52.2
19551201 19551231    80.0
19560101 19560131    73.1
19560201 19560229    50.9
19560301 19560331    31.4
19560401 19560430   178.2
19560501 19560531    83.6
19560601 19560630   124.6
19560701 19560731   156.8
19560801 19560831   143.1
19560901 19560930    91.7
19561001 19561031   114.9
19561101 19561130    80.9
19561201 19561231    81.2
19570101 19570131    31.1
19570201 19570228    79.8
19570301 19570331    75.1
19570401 19570430   128.5
19570501 19570531   183.7
19570601 19570630    77.9
19570701 19570731    54.7
19570801 19570831    46.7
19570901 19570930    56.3
19571001 19571031    80.6
19571101 19571130    65.2
19571201 19571231    82.2
19580101 19580131    26.4
19580201 19580228    30.5
19580301 19580331    53.2
19580401 19580430    40.9
19580501 19580531   193.4
19580601 19580630    92.7
19580701 19580731   174.3
19580801 19580831   125.3
19580901 19580930    60.1
19581001 19581031   159.0
19581101 19581130    93.8
19581201 19581231     9.0
19590101 19590131    34.6
19590201 19590228   109.7
19590301 19590331    29.4
19590401 19590430    36.9
19590501 19590531    29.9
19590601 19590630    52.0
19590701 19590731    71.5
19590801 19590831    81.3
19590901 19590930    55.0
19591001 19591031    52.3
19591101 19591130    45.1
19591201 19591231    99.8
19600101 19600131    85.9
19600201 19600229    78.7
19600301 19600331    56.6
19600401 19600430   173.6
19600501 19600531    97.9
19600601 19600630    67.3
19600701 19600731   121.3
19600801 19600831    63.2
19600901 19600930   101.4
19601001 19601031    62.9
19601101 19601130    90.3
19601201 19601231    10.6
19610101 19610131    14.7
19610201 19610228    26.9
19610301 19610331    11.5
