PRCP       015086 18890101 20171130 missing_value=99999.9 NEWCASTLE WATERS                          
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.4
19771001 19771031     2.5
19771101 19771130   113.1
19771201 19771231   140.8
19780101 19780131   231.4
19780201 19780228    60.5
19780301 19780331     8.4
19780401 19780430    40.0
19780501 19780531     0.0
19780601 19780630    20.0
19780701 19780731    33.2
19780801 19780831     0.0
19780901 19780930    36.0
19781001 19781031    28.4
19781101 19781130    67.2
19781201 19781231    87.2
19790101 19790131   220.8
19790201 19790228   179.0
19790301 19790331   115.8
19790401 19790430     0.0
19790501 19790531     0.0
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     8.0
19791001 19791031     1.0
19791101 19791130    38.2
19791201 19791231    18.6
19800101 19800131    82.0
19800201 19800229   167.0
19800301 19800331    23.4
19800401 19800430     0.0
19800501 19800531    13.0
19800601 19800630     0.9
19800701 19800731     0.0
19800801 19800831     0.2
19800901 19800930     0.9
19801001 19801031    29.3
19801101 19801130    20.7
19801201 19801231    86.0
19810101 19810131   152.8
19810201 19810228   263.3
19810301 19810331    12.8
19810401 19810430     0.0
19810501 19810531     2.4
19810601 19810630     0.0
19810701 19810731     0.0
19810801 19810831     3.0
19810901 19810930     8.0
19811001 19811031    22.8
19811101 19811130   153.6
19811201 19811231    41.2
19820101 19820131    50.8
19820201 19820228   274.8
19820301 19820331   126.6
19820401 19820430     0.2
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130    26.3
19821201 19821231   109.8
19830101 19830131    39.2
19830201 19830228    66.0
19830301 19830331   272.3
19830401 19830430    55.2
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031    29.5
19831101 19831130    76.6
19831201 19831231    66.4
19840101 19840131   218.1
19840201 19840229   201.5
19840301 19840331   154.8
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.6
19840901 19840930    24.2
19841001 19841031     0.0
19841101 19841130    53.4
19841201 19841231   113.0
19850101 19850131    70.6
19850201 19850228   131.2
19850301 19850331   176.7
19850401 19850430     5.4
