PRCP       043038 18970901 20180131 missing_value=99999.9 WALLUMBILLA POST OFFICE                   
19290701 19290731     4.8
19290801 19290831     9.4
19290901 19290930     0.0
19291001 19291031    57.2
19291101 19291130    18.8
19291201 19291231    56.1
19300101 19300131    30.1
19300201 19300228    32.5
19300301 19300331    74.8
19300401 19300430    43.2
19300501 19300531    65.9
19300601 19300630    44.5
19300701 19300731    22.4
19300801 19300831    31.8
19300901 19300930    18.8
19301001 19301031    42.0
19301101 19301130    31.1
19301201 19301231    11.7
19310101 19310131    14.9
19310201 19310228    37.8
19310301 19310331    50.5
19310401 19310430    19.1
19310501 19310531    36.5
19310601 19310630    22.6
19310701 19310731    18.3
19310801 19310831     4.3
19310901 19310930    11.4
19311001 19311031    59.7
19311101 19311130   130.6
19311201 19311231   147.8
19320101 19320131    16.8
19320201 19320229    10.6
19320301 19320331    12.0
19320401 19320430    54.5
19320501 19320531    43.4
19320601 19320630    13.5
19320701 19320731    13.7
19320801 19320831     2.0
19320901 19320930    32.3
19321001 19321031    16.7
19321101 19321130    73.2
19321201 19321231    45.8
19330101 19330131    40.6
19330201 19330228    17.7
19330301 19330331     1.8
19330401 19330430    54.9
19330501 19330531     3.6
19330601 19330630    32.0
19330701 19330731    89.1
19330801 19330831    32.5
19330901 19330930    71.6
19331001 19331031    91.7
19331101 19331130    95.6
19331201 19331231    42.9
19340101 19340131    15.0
19340201 19340228    84.6
19340301 19340331     9.4
19340401 19340430    36.0
19340501 19340531    17.8
19340601 19340630    33.2
19340701 19340731    46.0
19340801 19340831    10.7
19340901 19340930     8.7
19341001 19341031    58.4
19341101 19341130   164.8
19341201 19341231    54.4
19350101 19350131    61.4
19350201 19350228    10.2
19350301 19350331     4.8
19350401 19350430    11.7
19350501 19350531     4.1
19350601 19350630    17.5
19350701 19350731    37.6
19350801 19350831    17.8
19350901 19350930    83.1
19351001 19351031    90.2
19351101 19351130    11.0
19351201 19351231    26.8
19360101 19360131    42.0
19360201 19360229    60.5
19360301 19360331   134.6
19360401 19360430    12.2
19360501 19360531     1.8
19360601 19360630    30.5
19360701 19360731    63.9
19360801 19360831     8.1
19360901 19360930    14.9
19361001 19361031     8.9
19361101 19361130    27.1
19361201 19361231    96.6
19370101 19370131    47.3
19370201 19370228    84.4
19370301 19370331   170.9
19370401 19370430    11.9
19370501 19370531     1.0
19370601 19370630    11.7
19370701 19370731    21.6
19370801 19370831    21.4
19370901 19370930    10.9
19371001 19371031    24.1
19371101 19371130    45.1
19371201 19371231    24.7
19380101 19380131   180.3
19380201 19380228     5.8
19380301 19380331    60.6
19380401 19380430    27.2
19380501 19380531   125.0
19380601 19380630    22.4
19380701 19380731    11.5
19380801 19380831    16.7
19380901 19380930    16.5
19381001 19381031    72.8
19381101 19381130    42.5
19381201 19381231     0.0
19390101 19390131   163.1
19390201 19390228     3.3
19390301 19390331   137.2
19390401 19390430    44.6
19390501 19390531     1.3
19390601 19390630    34.7
19390701 19390731    48.4
19390801 19390831    23.7
19390901 19390930     0.0
19391001 19391031    18.3
19391101 19391130    20.3
19391201 19391231    68.8
19400101 19400131    35.9
19400201 19400229   384.4
19400301 19400331   101.8
19400401 19400430    23.7
19400501 19400531    38.9
19400601 19400630     0.8
19400701 19400731     8.7
19400801 19400831     2.3
19400901 19400930    14.7
19401001 19401031     6.1
