PRCP       010149 19021001 20171231 missing_value=99999.9 CODG CODGEN                               
19870101 19870131     1.0
19870201 19870228     2.0
19870301 19870331     2.0
19870401 19870430    18.6
19870501 19870531    46.8
19870601 19870630    50.4
19870701 19870731    49.6
19870801 19870831    36.2
19870901 19870930    19.6
19871001 19871031    17.2
19871101 19871130    22.2
19871201 19871231    33.0
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    22.0
19880401 19880430    81.0
19880501 19880531    56.6
19880601 19880630    70.0
19880701 19880731    58.0
19880801 19880831    54.0
19880901 19880930    16.4
19881001 19881031     7.6
19881101 19881130     5.8
19881201 19881231    21.2
19890101 19890131    13.0
19890201 19890228    36.6
19890301 19890331     3.0
19890401 19890430    36.2
19890501 19890531    69.4
19890601 19890630    91.8
19890701 19890731    28.8
19890801 19890831    12.4
19890901 19890930     7.8
19891001 19891031    13.0
19891101 19891130     6.0
19891201 19891231     1.8
19900101 19900131   124.4
19900201 19900228     8.4
19900301 19900331    51.6
19900401 19900430    28.4
19900501 19900531     7.0
19900601 19900630    34.4
19900701 19900731    64.0
19900801 19900831    32.2
19900901 19900930    17.8
19901001 19901031    36.0
19901101 19901130     4.2
19901201 19901231     0.2
19910101 19910131     9.4
19910201 19910228     0.0
19910301 19910331     3.0
19910401 19910430    15.0
19910501 19910531    33.4
19910601 19910630    50.4
19910701 19910731    65.2
19910801 19910831    25.8
19910901 19910930    21.8
19911001 19911031    11.8
19911101 19911130    19.8
19911201 19911231    75.6
19920101 19920131    28.8
19920201 19920229    52.8
19920301 19920331    42.1
19920401 19920430    37.8
19920501 19920531     8.6
19920601 19920630    70.8
19920701 19920731    42.4
19920801 19920831   118.2
19920901 19920930    66.8
19921001 19921031    10.6
19921101 19921130    11.2
19921201 19921231     3.6
19930101 19930131     0.2
19930201 19930228     3.4
19930301 19930331    16.4
19930401 19930430    14.6
19930501 19930531   102.9
19930601 19930630    58.6
19930701 19930731    36.7
19930801 19930831    56.2
19930901 19930930    29.6
19931001 19931031     9.0
19931101 19931130    36.0
19931201 19931231     8.4
19940101 19940131     0.0
19940201 19940228    15.8
19940301 19940331     0.6
19940401 19940430     0.0
19940501 19940531    47.0
19940601 19940630    35.2
19940701 19940731    25.2
19940801 19940831    49.2
19940901 19940930    12.8
19941001 19941031     1.6
19941101 19941130     0.0
19941201 19941231    15.2
19950101 19950131     8.4
19950201 19950228    19.0
19950301 19950331    22.6
19950401 19950430    12.6
19950501 19950531    64.0
19950601 19950630    45.6
19950701 19950731   110.8
19950801 19950831    23.4
19950901 19950930    48.6
19951001 19951031    35.2
19951101 19951130     3.0
19951201 19951231    16.2
19960101 19960131     0.0
19960201 19960229     2.4
19960301 19960331     1.4
19960401 19960430    30.6
19960501 19960531    22.6
19960601 19960630    62.6
19960701 19960731    78.8
19960801 19960831    41.0
19960901 19960930    51.2
19961001 19961031    16.8
19961101 19961130    42.6
19961201 19961231     1.2
19970101 19970131     0.0
19970201 19970228    25.2
19970301 19970331    30.8
19970401 19970430    25.6
19970501 19970531    39.0
19970601 19970630    21.4
19970701 19970731    54.4
19970801 19970831    59.6
19970901 19970930    19.4
19971001 19971031     9.4
19971101 19971130    20.6
19971201 19971231     0.0
19980101 19980131     0.2
19980201 19980228     0.0
19980301 19980331     5.4
19980401 19980430    74.0
19980501 19980531    37.2
19980601 19980630    98.2
19980701 19980731    63.6
19980801 19980831    44.8
19980901 19980930    25.4
19981001 19981031     3.8
19981101 19981130     1.2
19981201 19981231     8.0
19990101 19990131    35.8
19990201 19990228     1.0
