PRCP       016032 19030101 20170430 missing_value=99999.9 NONNING                                   
19440101 19440131     0.0
19440201 19440229    68.6
19440301 19440331     0.0
19440401 19440430    30.3
19440501 19440531    19.5
19440601 19440630     2.6
19440701 19440731    11.4
19440801 19440831     9.7
19440901 19440930     7.4
19441001 19441031     5.8
19441101 19441130     6.9
19441201 19441231    36.5
19450101 19450131    26.2
19450201 19450228     0.0
19450301 19450331     1.0
19450401 19450430     0.0
19450501 19450531     5.9
19450601 19450630    27.9
19450701 19450731     7.3
19450801 19450831     8.0
19450901 19450930     5.8
19451001 19451031    17.0
19451101 19451130     4.9
19451201 19451231    42.7
19460101 19460131    40.6
19460201 19460228   157.7
19460301 19460331     2.5
19460401 19460430     7.9
19460501 19460531    11.9
19460601 19460630    10.2
19460701 19460731    20.8
19460801 19460831     6.9
19460901 19460930     3.8
19461001 19461031     3.6
19461101 19461130    56.9
19461201 19461231    52.6
19470101 19470131     1.0
19470201 19470228    34.7
19470301 19470331    82.4
19470401 19470430    13.2
19470501 19470531     0.8
19470601 19470630    16.6
19470701 19470731    26.8
19470801 19470831    24.2
19470901 19470930    44.2
19471001 19471031    39.8
19471101 19471130     4.3
19471201 19471231     8.9
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     0.0
19480401 19480430    14.3
19480501 19480531     7.6
19480601 19480630    10.4
19480701 19480731     3.3
19480801 19480831    15.1
19480901 19480930     0.0
19481001 19481031    49.5
19481101 19481130    12.1
19481201 19481231    16.0
19490101 19490131     0.0
19490201 19490228    22.6
19490301 19490331     0.0
19490401 19490430     0.8
19490501 19490531    43.9
19490601 19490630     7.6
19490701 19490731    19.0
19490801 19490831     4.5
19490901 19490930    36.2
19491001 19491031    57.0
19491101 19491130    27.7
19491201 19491231    11.2
19500101 19500131     0.0
19500201 19500228    22.1
19500301 19500331    19.8
19500401 19500430     3.3
19500501 19500531   102.7
19500601 19500630    20.8
19500701 19500731    16.3
19500801 19500831    18.3
19500901 19500930     9.9
19501001 19501031    20.6
19501101 19501130    19.5
19501201 19501231    12.9
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331     5.1
19510401 19510430     4.7
19510501 19510531    28.0
19510601 19510630    69.9
19510701 19510731    49.7
19510801 19510831    43.0
19510901 19510930    12.2
19511001 19511031    18.9
19511101 19511130     0.0
19511201 19511231    15.7
19520101 19520131    26.9
19520201 19520229     0.0
19520301 19520331    38.1
19520401 19520430    25.4
19520501 19520531    50.7
19520601 19520630     7.9
19520701 19520731    22.7
19520801 19520831    30.2
19520901 19520930    16.8
19521001 19521031    24.8
19521101 19521130    33.8
19521201 19521231     6.4
19530101 19530131    22.0
19530201 19530228    18.1
19530301 19530331     2.0
19530401 19530430     4.6
19530501 19530531     5.4
19530601 19530630    34.3
19530701 19530731    18.7
19530801 19530831    26.1
19530901 19530930    55.4
19531001 19531031    16.5
19531101 19531130    11.0
19531201 19531231    28.5
19540101 19540131    25.1
19540201 19540228     0.0
19540301 19540331     0.0
