PRCP       006055 19040101 20180131 missing_value=99999.9 WOOLGORONG                                
19730801 19730831    12.5
19730901 19730930     4.3
19731001 19731031     8.1
19731101 19731130     9.6
19731201 19731231     0.0
19740101 19740131    23.4
19740201 19740228    13.4
19740301 19740331    19.0
19740401 19740430    22.8
19740501 19740531    84.3
19740601 19740630    18.8
19740701 19740731   142.4
19740801 19740831    48.6
19740901 19740930    52.4
19741001 19741031    22.5
19741101 19741130     0.0
19741201 19741231     0.0
19750101 19750131     0.8
19750201 19750228    74.4
19750301 19750331    34.5
19750401 19750430    78.4
19750501 19750531    33.8
19750601 19750630    57.6
19750701 19750731    40.0
19750801 19750831    10.6
19750901 19750930     5.4
19751001 19751031    63.6
19751101 19751130     8.0
19751201 19751231     0.0
19760101 19760131    16.0
19760201 19760229    15.6
19760301 19760331     7.0
19760401 19760430    10.8
19760501 19760531    18.8
19760601 19760630     4.8
19760701 19760731     4.2
19760801 19760831    19.8
19760901 19760930    10.1
19761001 19761031     5.0
19761101 19761130     0.0
19761201 19761231     1.2
19770101 19770131     0.0
19770201 19770228    10.0
19770301 19770331     0.4
19770401 19770430     5.5
19770501 19770531    17.8
19770601 19770630    30.2
19770701 19770731     2.2
19770801 19770831    14.8
19770901 19770930     0.0
19771001 19771031     7.6
19771101 19771130     0.0
19771201 19771231     0.0
19780101 19780131    29.0
19780201 19780228    97.8
19780301 19780331     6.4
19780401 19780430    10.6
19780501 19780531    11.0
19780601 19780630     8.0
19780701 19780731    50.8
19780801 19780831    32.0
19780901 19780930    26.2
19781001 19781031     0.0
19781101 19781130     3.0
19781201 19781231     0.0
19790101 19790131     0.0
19790201 19790228     3.2
19790301 19790331     6.8
19790401 19790430    12.4
19790501 19790531    10.6
19790601 19790630    14.6
19790701 19790731     6.7
19790801 19790831    24.4
19790901 19790930     0.0
19791001 19791031     0.0
19791101 19791130     6.2
19791201 19791231     0.0
19800101 19800131     0.8
19800201 19800229     8.5
19800301 19800331     0.0
19800401 19800430    20.4
19800501 19800531    53.8
19800601 19800630    86.8
19800701 19800731    20.6
19800801 19800831    14.8
19800901 19800930     0.4
19801001 19801031    15.5
19801101 19801130     2.4
19801201 19801231     0.0
19810101 19810131    27.0
19810201 19810228     2.8
19810301 19810331     7.0
19810401 19810430     0.0
19810501 19810531    59.0
19810601 19810630    70.2
19810701 19810731    25.8
19810801 19810831    39.0
19810901 19810930     0.8
19811001 19811031     2.4
19811101 19811130     0.0
19811201 19811231     2.3
19820101 19820131    22.6
19820201 19820228     5.8
19820301 19820331    60.7
19820401 19820430    36.8
19820501 19820531     1.0
19820601 19820630    27.4
19820701 19820731     3.2
19820801 19820831     3.8
19820901 19820930    33.7
19821001 19821031     7.4
19821101 19821130     0.0
19821201 19821231     1.8
19830101 19830131     5.0
19830201 19830228     0.0
19830301 19830331    34.8
19830401 19830430     2.4
19830501 19830531     0.6
19830601 19830630    60.0
19830701 19830731    34.0
19830801 19830831    23.2
19830901 19830930    23.4
19831001 19831031     3.4
19831101 19831130    25.0
