PRCP       008088 18960101 20171231 missing_value=99999.9 MINGENEW POST OFFICE                      
19480501 19480531     1.0
19480601 19480630    63.7
19480701 19480731    44.2
19480801 19480831    69.5
19480901 19480930    23.6
19481001 19481031     2.6
19481101 19481130    16.5
19481201 19481231     0.0
19490101 19490131     2.5
19490201 19490228    26.2
19490301 19490331     7.1
19490401 19490430    16.3
19490501 19490531     2.1
19490601 19490630    39.9
19490701 19490731   123.7
19490801 19490831    91.5
19490901 19490930    53.9
19491001 19491031    22.7
19491101 19491130    27.5
19491201 19491231     0.0
19500101 19500131     6.6
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531   132.8
19500601 19500630    57.4
19500701 19500731    68.8
19500801 19500831    59.1
19500901 19500930    35.9
19501001 19501031    18.8
19501101 19501130    10.4
19501201 19501231     0.5
19510101 19510131    13.0
19510201 19510228    16.5
19510301 19510331     2.3
19510401 19510430    69.9
19510501 19510531    32.0
19510601 19510630   158.1
19510701 19510731    81.3
19510801 19510831    45.2
19510901 19510930    39.9
19511001 19511031    19.8
19511101 19511130     0.6
19511201 19511231     9.6
19520101 19520131     1.9
19520201 19520229    27.9
19520301 19520331     4.8
19520401 19520430     4.5
19520501 19520531    45.5
19520601 19520630    32.6
19520701 19520731    77.3
19520801 19520831    25.7
19520901 19520930    30.0
19521001 19521031    15.8
19521101 19521130     2.3
19521201 19521231     2.1
19530101 19530131     0.0
19530201 19530228     2.8
19530301 19530331    33.5
19530401 19530430    14.0
19530501 19530531    97.2
19530601 19530630    71.4
19530701 19530731    60.5
19530801 19530831    13.9
19530901 19530930    13.3
19531001 19531031    23.9
19531101 19531130     4.0
19531201 19531231    13.3
19540101 19540131     8.3
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    18.6
19540501 19540531    54.1
19540601 19540630    33.1
19540701 19540731    80.5
19540801 19540831    42.7
19540901 19540930    18.3
19541001 19541031     6.5
19541101 19541130     3.3
19541201 19541231     5.8
19550101 19550131    28.5
19550201 19550228    85.9
19550301 19550331     0.0
19550401 19550430    37.6
19550501 19550531    64.5
19550601 19550630    40.1
19550701 19550731    61.2
19550801 19550831   159.7
19550901 19550930    23.9
19551001 19551031    30.4
19551101 19551130     0.0
19551201 19551231     2.0
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331    10.7
19560401 19560430     7.6
19560501 19560531   105.2
19560601 19560630   112.1
19560701 19560731   113.5
19560801 19560831    12.2
19560901 19560930     4.3
19561001 19561031     6.4
19561101 19561130     1.3
19561201 19561231     1.0
19570101 19570131     7.4
19570201 19570228     0.0
19570301 19570331     9.1
19570401 19570430     2.5
19570501 19570531    40.9
19570601 19570630   165.0
19570701 19570731    25.8
19570801 19570831    89.9
19570901 19570930     6.1
19571001 19571031    45.4
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131    12.7
19580201 19580228    15.2
19580301 19580331    30.5
19580401 19580430     2.5
19580501 19580531    75.6
19580601 19580630    32.7
19580701 19580731   210.3
19580801 19580831    86.0
19580901 19580930    95.0
19581001 19581031    17.3
19581101 19581130    15.7
19581201 19581231    10.1
19590101 19590131     3.0
19590201 19590228     0.0
19590301 19590331     1.0
19590401 19590430     4.6
19590501 19590531    12.2
19590601 19590630   100.9
19590701 19590731    26.3
19590801 19590831    75.8
19590901 19590930     2.3
19591001 19591031    26.2
19591101 19591130     6.4
19591201 19591231     2.1
19600101 19600131    11.2
19600201 19600229    71.1
19600301 19600331    35.5
19600401 19600430     9.2
