PRCP       055045 19030101 20171231 missing_value=99999.9 CURLEWIS (PINE CLIFF)                     
19540901 19540930    25.8
19541001 19541031   144.4
19541101 19541130    83.8
19541201 19541231    32.8
19550101 19550131   148.6
19550201 19550228   193.0
19550301 19550331     0.0
19550401 19550430    37.3
19550501 19550531    42.1
19550601 19550630    30.6
19550701 19550731    29.7
19550801 19550831    49.5
19550901 19550930    39.1
19551001 19551031   132.2
19551101 19551130    60.4
19551201 19551231    33.8
19560101 19560131   119.6
19560201 19560229   136.5
19560301 19560331    59.8
19560401 19560430    54.4
19560501 19560531    78.8
19560601 19560630    83.6
19560701 19560731    57.1
19560801 19560831     7.3
19560901 19560930    17.6
19561001 19561031    73.1
19561101 19561130    10.7
19561201 19561231    25.8
19570101 19570131    31.9
19570201 19570228    77.6
19570301 19570331    13.0
19570401 19570430    55.9
19570501 19570531     2.5
19570601 19570630    25.4
19570701 19570731    15.1
19570801 19570831    22.1
19570901 19570930     2.6
19571001 19571031     5.4
19571101 19571130    14.5
19571201 19571231    66.4
19580101 19580131    86.2
19580201 19580228    34.1
19580301 19580331    22.4
19580401 19580430     8.2
19580501 19580531    71.5
19580601 19580630    37.8
19580701 19580731    13.2
19580801 19580831    28.2
19580901 19580930    89.8
19581001 19581031    93.6
19581101 19581130    32.6
19581201 19581231    25.3
19590101 19590131    40.6
19590201 19590228    77.0
19590301 19590331    64.7
19590401 19590430    69.2
19590501 19590531    13.7
19590601 19590630    15.2
19590701 19590731    34.1
19590801 19590831     0.0
19590901 19590930    44.6
19591001 19591031    55.7
19591101 19591130    69.1
19591201 19591231   124.2
19600101 19600131    54.5
19600201 19600229    19.8
19600301 19600331    26.2
19600401 19600430    46.2
19600501 19600531    32.2
19600601 19600630    14.0
19600701 19600731    51.5
19600801 19600831    25.7
19600901 19600930    74.7
19601001 19601031    71.1
19601101 19601130   107.7
19601201 19601231   103.7
19610101 19610131    53.8
19610201 19610228    72.9
19610301 19610331   122.1
19610401 19610430    41.4
19610501 19610531     3.1
19610601 19610630     7.1
19610701 19610731    38.1
19610801 19610831    47.5
19610901 19610930     5.1
19611001 19611031    49.0
19611101 19611130   137.1
19611201 19611231   133.4
19620101 19620131   127.3
19620201 19620228    57.0
19620301 19620331    23.4
19620401 19620430    38.7
19620501 19620531    27.7
19620601 19620630     9.1
19620701 19620731    21.7
19620801 19620831    52.2
19620901 19620930    59.5
19621001 19621031   152.4
19621101 19621130    31.0
19621201 19621231    58.3
19630101 19630131    94.3
19630201 19630228    24.9
19630301 19630331   104.4
19630401 19630430    38.8
19630501 19630531   128.8
19630601 19630630    49.0
19630701 19630731    10.2
19630801 19630831    40.8
19630901 19630930    39.1
19631001 19631031    22.0
19631101 19631130    58.3
19631201 19631231   105.0
19640101 19640131    97.0
19640201 19640229    12.7
19640301 19640331    50.4
19640401 19640430   151.2
19640501 19640531    51.3
19640601 19640630    34.6
19640701 19640731    30.5
19640801 19640831    22.1
19640901 19640930    88.1
19641001 19641031    68.4
19641101 19641130     9.4
19641201 19641231    25.4
19650101 19650131    14.4
19650201 19650228     1.8
19650301 19650331     1.0
19650401 19650430    28.2
19650501 19650531     1.9
19650601 19650630     5.3
19650701 19650731     7.4
19650801 19650831    33.4
19650901 19650930    58.5
19651001 19651031    65.3
19651101 19651130    29.5
19651201 19651231   137.4
19660101 19660131    14.2
19660201 19660228    24.2
19660301 19660331    48.3
19660401 19660430     6.8
19660501 19660531    15.8
19660601 19660630    68.6
19660701 19660731    12.7
19660801 19660831   115.0
19660901 19660930    35.6
19661001 19661031    56.5
19661101 19661130   129.1
19661201 19661231    71.1
19670101 19670131    59.1
19670201 19670228    37.4
19670301 19670331   135.0
19670401 19670430     8.6
19670501 19670531    36.8
19670601 19670630    41.7
19670701 19670731    10.4
19670801 19670831    31.0
19670901 19670930     8.3
19671001 19671031    75.9
19671101 19671130     4.6
19671201 19671231    26.1
19680101 19680131   166.1
19680201 19680229    17.5
19680301 19680331    79.2
19680401 19680430     9.7
19680501 19680531   118.4
19680601 19680630     9.7
19680701 19680731    36.6
19680801 19680831    69.6
19680901 19680930    40.0
19681001 19681031    21.3
19681101 19681130    29.2
19681201 19681231    74.2
19690101 19690131   133.6
19690201 19690228   127.7
19690301 19690331    58.8
19690401 19690430    59.2
19690501 19690531    53.8
19690601 19690630    48.8
19690701 19690731    62.1
19690801 19690831    58.9
19690901 19690930    48.6
19691001 19691031   140.2
19691101 19691130    76.6
19691201 19691231    96.4
19700101 19700131    72.1
19700201 19700228    40.6
19700301 19700331    22.5
19700401 19700430    48.7
19700501 19700531    29.5
19700601 19700630    15.0
19700701 19700731     0.5
19700801 19700831    22.7
19700901 19700930   122.1
19701001 19701031    36.4
19701101 19701130   128.5
19701201 19701231   164.5
19710101 19710131   164.3
19710201 19710228   191.4
19710301 19710331     2.3
19710401 19710430     3.0
19710501 19710531     2.1
19710601 19710630     2.0
19710701 19710731    56.4
19710801 19710831    60.9
19710901 19710930    55.2
19711001 19711031    18.0
19711101 19711130    72.9
19711201 19711231    40.4
19720101 19720131   110.3
19720201 19720229    73.4
19720301 19720331    28.2
19720401 19720430    26.6
19720501 19720531    26.7
19720601 19720630    15.7
19720701 19720731     3.1
19720801 19720831    16.1
19720901 19720930     1.8
19721001 19721031   130.0
19721101 19721130   169.0
19721201 19721231    50.4
19730101 19730131   130.5
19730201 19730228    95.5
19730301 19730331    16.8
19730401 19730430     9.3
19730501 19730531    40.1
19730601 19730630    48.0
19730701 19730731    58.1
19730801 19730831    88.4
19730901 19730930    40.4
19731001 19731031   120.8
19731101 19731130    72.4
19731201 19731231   101.5
19740101 19740131   287.1
19740201 19740228     8.4
19740301 19740331     3.8
19740401 19740430    51.2
19740501 19740531    37.2
19740601 19740630    27.8
19740701 19740731    11.8
19740801 19740831    33.4
19740901 19740930    12.6
19741001 19741031    61.0
19741101 19741130    45.0
19741201 19741231     0.0
19750101 19750131    93.0
19750201 19750228   124.6
19750301 19750331    30.8
19750401 19750430     7.8
19750501 19750531     2.8
19750601 19750630    77.6
19750701 19750731    26.8
19750801 19750831    32.0
19750901 19750930    32.6
19751001 19751031    62.2
19751101 19751130    29.2
19751201 19751231    68.8
19760101 19760131   259.8
19760201 19760229   140.4
19760301 19760331    63.4
19760401 19760430    10.4
19760501 19760531    18.4
19760601 19760630    60.6
19760701 19760731    64.8
19760801 19760831    11.4
19760901 19760930    56.2
19761001 19761031    75.8
19761101 19761130    37.4
19761201 19761231    41.8
19770101 19770131   164.7
19770201 19770228   161.6
19770301 19770331   119.8
19770401 19770430    92.4
19770501 19770531   156.1
19770601 19770630    21.5
19770701 19770731     0.0
19770801 19770831    23.0
19770901 19770930    27.2
19771001 19771031    16.2
19771101 19771130    33.2
19771201 19771231    33.7
19780101 19780131   134.1
19780201 19780228    66.5
19780301 19780331    44.8
19780401 19780430     8.8
19780501 19780531    83.2
19780601 19780630    79.4
19780701 19780731    59.7
19780801 19780831     9.0
19780901 19780930   109.2
19781001 19781031    32.6
19781101 19781130    50.5
19781201 19781231    81.0
19790101 19790131    23.6
19790201 19790228     0.0
19790301 19790331    47.2
19790401 19790430     8.0
19790501 19790531    54.2
19790601 19790630    38.6
19790701 19790731    14.4
19790801 19790831    12.0
19790901 19790930    68.2
19791001 19791031    56.6
19791101 19791130    90.6
19791201 19791231     6.0
19800101 19800131   115.4
19800201 19800229    10.2
19800301 19800331    32.4
19800401 19800430     1.6
19800501 19800531    69.4
19800601 19800630    26.8
19800701 19800731    24.2
19800801 19800831    21.8
19800901 19800930     0.0
19801001 19801031    66.2
19801101 19801130     2.6
19801201 19801231    98.2
19810101 19810131     3.4
19810201 19810228   104.4
19810301 19810331     0.0
19810401 19810430     6.2
19810501 19810531    52.2
19810601 19810630    59.4
19810701 19810731    41.4
19810801 19810831     8.6
19810901 19810930    13.4
19811001 19811031   107.8
19811101 19811130    79.4
19811201 19811231    17.6
19820101 19820131    77.8
19820201 19820228    21.6
19820301 19820331   117.6
19820401 19820430     0.4
19820501 19820531     8.4
19820601 19820630    18.0
19820701 19820731    17.8
19820801 19820831     0.0
19820901 19820930    13.6
19821001 19821031    20.0
19821101 19821130     9.6
19821201 19821231    52.8
19830101 19830131    75.2
19830201 19830228    36.0
19830301 19830331    46.6
19830401 19830430   135.6
19830501 19830531   133.0
19830601 19830630    18.8
19830701 19830731    57.8
19830801 19830831    48.4
19830901 19830930    58.0
19831001 19831031    51.4
19831101 19831130    75.2
19831201 19831231    64.6
19840101 19840131   252.8
19840201 19840229    37.8
19840301 19840331    33.0
19840401 19840430    38.0
19840501 19840531     4.6
19840601 19840630     5.2
19840701 19840731   110.6
19840801 19840831    24.4
19840901 19840930    30.2
19841001 19841031    44.8
19841101 19841130   105.4
19841201 19841231    64.0
19850101 19850131    22.4
19850201 19850228    14.8
19850301 19850331    19.4
19850401 19850430    60.0
19850501 19850531    27.8
19850601 19850630    20.6
19850701 19850731     8.4
19850801 19850831    86.8
19850901 19850930    14.0
19851001 19851031    96.4
19851101 19851130    55.8
19851201 19851231    92.6
19860101 19860131    86.8
19860201 19860228    37.4
19860301 19860331     3.8
19860401 19860430    37.6
19860501 19860531    39.4
19860601 19860630     2.2
19860701 19860731   142.6
19860801 19860831    28.4
19860901 19860930    48.0
19861001 19861031    31.4
19861101 19861130    45.8
19861201 19861231    25.4
19870101 19870131   107.0
19870201 19870228    37.2
19870301 19870331   111.8
19870401 19870430     0.8
19870501 19870531    82.2
19870601 19870630    29.6
19870701 19870731    18.2
19870801 19870831    87.6
19870901 19870930    13.2
19871001 19871031    82.0
19871101 19871130    21.4
19871201 19871231    59.0
19880101 19880131   144.0
19880201 19880229    73.4
19880301 19880331    11.4
19880401 19880430   151.2
19880501 19880531    46.0
19880601 19880630    47.8
19880701 19880731    48.0
19880801 19880831    58.2
19880901 19880930    55.2
19881001 19881031     7.4
19881101 19881130    38.8
19881201 19881231   145.8
19890101 19890131    58.4
19890201 19890228    56.4
19890301 19890331    98.6
19890401 19890430   149.0
19890501 19890531   103.4
19890601 19890630    77.8
19890701 19890731    71.4
19890801 19890831     2.2
19890901 19890930     0.0
19891001 19891031    41.8
19891101 19891130   102.2
19891201 19891231    57.2
19900101 19900131    94.6
19900201 19900228    75.2
19900301 19900331    58.8
19900401 19900430   135.0
19900501 19900531    66.6
19900601 19900630    25.8
19900701 19900731    74.2
19900801 19900831    18.0
