PRCP       010039 19100101 20171231 missing_value=99999.9 DOODARDING WELL                           
19430601 19430630    64.1
19430701 19430731    26.9
19430801 19430831    32.4
19430901 19430930    25.1
19431001 19431031    13.8
19431101 19431130     0.0
19431201 19431231    11.1
19440101 19440131     4.6
19440201 19440229     5.8
19440301 19440331     7.6
19440401 19440430     2.1
19440501 19440531    64.3
19440601 19440630    22.6
19440701 19440731    71.7
19440801 19440831    50.6
19440901 19440930     8.9
19441001 19441031     2.5
19441101 19441130     3.3
19441201 19441231     4.8
19450101 19450131     0.0
19450201 19450228     5.6
19450301 19450331    19.9
19450401 19450430    17.8
19450501 19450531    41.3
19450601 19450630   137.5
19450701 19450731    32.9
19450801 19450831   104.4
19450901 19450930    23.9
19451001 19451031     3.6
19451101 19451130     9.2
19451201 19451231     1.3
19460101 19460131     0.8
19460201 19460228     6.4
19460301 19460331     0.0
19460401 19460430    26.2
19460501 19460531    41.6
19460601 19460630    76.7
19460701 19460731    91.0
19460801 19460831    37.3
19460901 19460930     5.1
19461001 19461031     1.3
19461101 19461130    20.1
19461201 19461231     6.6
19470101 19470131     3.3
19470201 19470228     7.6
19470301 19470331     5.3
19470401 19470430    23.1
19470501 19470531    48.1
19470601 19470630    67.5
19470701 19470731    45.4
19470801 19470831    11.7
19470901 19470930    11.1
19471001 19471031    42.2
19471101 19471130     9.7
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229     2.0
19480301 19480331    48.3
19480401 19480430    46.0
19480501 19480531     0.3
19480601 19480630    34.2
19480701 19480731    51.8
19480801 19480831    65.5
19480901 19480930    18.9
19481001 19481031     5.9
19481101 19481130     9.1
19481201 19481231     8.6
19490101 19490131     6.4
19490201 19490228     8.7
19490301 19490331     4.1
19490401 19490430     2.8
19490501 19490531     2.3
19490601 19490630    34.0
19490701 19490731    68.7
19490801 19490831    48.9
19490901 19490930    27.5
19491001 19491031    10.4
19491101 19491130    30.0
19491201 19491231     0.0
19500101 19500131     3.6
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    44.6
19500601 19500630    30.3
19500701 19500731    40.9
19500801 19500831    30.0
19500901 19500930    28.7
19501001 19501031    17.9
19501101 19501130     4.4
19501201 19501231     0.5
19510101 19510131    38.9
19510201 19510228    38.6
19510301 19510331    15.7
19510401 19510430    71.8
19510501 19510531    21.0
19510601 19510630    72.5
19510701 19510731    45.2
19510801 19510831    31.0
19510901 19510930    10.6
