PRCP       016022 19050701 20171231 missing_value=99999.9 KONDOOLKA                                 
19430201 19430228    63.2
19430301 19430331     3.6
19430401 19430430    24.7
19430501 19430531     6.6
19430601 19430630    12.4
19430701 19430731    26.5
19430801 19430831    36.5
19430901 19430930     9.4
19431001 19431031    11.1
19431101 19431130     3.6
19431201 19431231     3.0
19440101 19440131     0.0
19440201 19440229     7.2
19440301 19440331     1.8
19440401 19440430    20.1
19440501 19440531    29.5
19440601 19440630     8.3
19440701 19440731    19.7
19440801 19440831     9.1
19440901 19440930    19.4
19441001 19441031     3.1
19441101 19441130    18.5
19441201 19441231    38.1
19450101 19450131    21.1
19450201 19450228     0.0
19450301 19450331     1.0
19450401 19450430     1.0
19450501 19450531    13.9
19450601 19450630    20.3
19450701 19450731     8.2
19450801 19450831    13.7
19450901 19450930    15.9
19451001 19451031    29.6
19451101 19451130    14.2
19451201 19451231    82.8
19460101 19460131    21.6
19460201 19460228   118.3
19460301 19460331     7.1
19460401 19460430    16.3
19460501 19460531    17.9
19460601 19460630    31.4
19460701 19460731    22.0
19460801 19460831    18.0
19460901 19460930    36.6
19461001 19461031    14.2
19461101 19461130    39.4
19461201 19461231    56.0
19470101 19470131     0.8
19470201 19470228    34.4
19470301 19470331    35.3
19470401 19470430     7.1
19470501 19470531    11.0
19470601 19470630    27.0
19470701 19470731    32.9
19470801 19470831    33.2
19470901 19470930    39.6
19471001 19471031    63.9
19471101 19471130    14.5
19471201 19471231    12.5
19480101 19480131     0.0
19480201 19480229     0.5
19480301 19480331     0.0
19480401 19480430     7.6
19480501 19480531    13.7
19480601 19480630    12.9
19480701 19480731    11.7
19480801 19480831    34.6
19480901 19480930     3.6
19481001 19481031    30.3
19481101 19481130    35.1
19481201 19481231     3.5
19490101 19490131     0.0
19490201 19490228    52.8
19490301 19490331     0.0
19490401 19490430     0.0
19490501 19490531    33.4
19490601 19490630    12.0
19490701 19490731    33.6
19490801 19490831     7.1
19490901 19490930    53.7
19491001 19491031    51.8
19491101 19491130    49.8
19491201 19491231    11.7
19500101 19500131     0.0
19500201 19500228    35.1
19500301 19500331     0.0
19500401 19500430     5.8
19500501 19500531    36.5
19500601 19500630    25.2
19500701 19500731    16.6
19500801 19500831    27.2
19500901 19500930    15.0
19501001 19501031    43.4
19501101 19501130    32.6
19501201 19501231   107.7
19510101 19510131     0.0
19510201 19510228     4.6
19510301 19510331    12.9
19510401 19510430    16.2
19510501 19510531    43.5
19510601 19510630   110.8
19510701 19510731   101.3
19510801 19510831    64.7
19510901 19510930    18.5
19511001 19511031    24.6
19511101 19511130     1.3
19511201 19511231     0.0
19520101 19520131    26.4
19520201 19520229     0.0
19520301 19520331    21.3
19520401 19520430    42.2
19520501 19520531    62.6
19520601 19520630    26.2
19520701 19520731    33.2
19520801 19520831    19.5
19520901 19520930    17.2
19521001 19521031    32.6
19521101 19521130    52.6
19521201 19521231     2.1
19530101 19530131    20.3
19530201 19530228    13.4
19530301 19530331     0.0
19530401 19530430     0.0
19530501 19530531     1.3
19530601 19530630    34.1
19530701 19530731    15.8
19530801 19530831    47.5
19530901 19530930     6.2
19531001 19531031    20.6
19531101 19531130    11.7
19531201 19531231    39.1
19540101 19540131    15.2
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    27.5
19540501 19540531     9.4
19540601 19540630    27.0
19540701 19540731     8.3
19540801 19540831    19.8
19540901 19540930    16.4
19541001 19541031    38.8
19541101 19541130    13.5
19541201 19541231    11.9
19550101 19550131    11.0
19550201 19550228    47.8
19550301 19550331     6.1
19550401 19550430    15.7
19550501 19550531    44.0
19550601 19550630    72.7
19550701 19550731    19.4
19550801 19550831    37.5
19550901 19550930     3.0
19551001 19551031    11.4
19551101 19551130    23.1
19551201 19551231     0.0
19560101 19560131     0.0
19560201 19560229     4.8
19560301 19560331     2.5
19560401 19560430    43.7
19560501 19560531    62.9
19560601 19560630    42.4
19560701 19560731    47.5
19560801 19560831    20.0
19560901 19560930    26.9
19561001 19561031    56.7
19561101 19561130     4.8
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228     4.3
19570301 19570331     3.0
19570401 19570430     2.8
19570501 19570531     0.0
19570601 19570630    52.6
19570701 19570731    29.7
19570801 19570831    14.9
19570901 19570930    12.4
19571001 19571031     3.8
19571101 19571130     0.0
19571201 19571231    38.3
19580101 19580131     0.0
19580201 19580228     0.0
19580301 19580331    34.6
19580401 19580430     3.8
19580501 19580531    60.7
19580601 19580630     0.0
19580701 19580731    24.4
19580801 19580831    92.4
19580901 19580930    69.3
19581001 19581031    35.6
19581101 19581130    12.4
19581201 19581231    39.3
19590101 19590131    14.5
19590201 19590228    20.8
19590301 19590331    28.6
19590401 19590430     0.0
19590501 19590531    10.4
19590601 19590630     7.6
19590701 19590731    29.6
19590801 19590831     5.6
19590901 19590930     9.1
19591001 19591031    13.7
19591101 19591130    38.2
19591201 19591231    10.7
19600101 19600131    23.1
19600201 19600229    11.4
19600301 19600331     4.6
19600401 19600430    28.2
19600501 19600531    62.8
19600601 19600630    26.9
19600701 19600731    18.0
19600801 19600831    31.0
19600901 19600930    61.2
19601001 19601031     0.0
19601101 19601130    14.0
19601201 19601231    17.2
19610101 19610131     0.0
19610201 19610228     2.8
19610301 19610331     3.0
19610401 19610430    64.9
19610501 19610531     0.0
19610601 19610630    23.3
19610701 19610731    29.1
19610801 19610831    46.8
19610901 19610930    12.9
19611001 19611031     0.0
19611101 19611130    31.2
19611201 19611231    18.1
19620101 19620131     3.5
19620201 19620228    22.6
19620301 19620331    14.7
19620401 19620430    29.7
19620501 19620531    59.8
19620601 19620630     9.8
19620701 19620731    10.9
19620801 19620831    31.9
19620901 19620930    22.1
19621001 19621031    57.8
19621101 19621130     0.0
19621201 19621231     3.8
19630101 19630131     8.9
19630201 19630228     0.0
19630301 19630331     0.0
19630401 19630430    61.2
19630501 19630531    86.6
19630601 19630630    87.3
19630701 19630731    41.1
19630801 19630831    18.3
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231     0.0
19640101 19640131     3.3
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430    10.7
19640501 19640531    34.6
19640601 19640630    29.8
19640701 19640731    33.5
19640801 19640831    15.5
19640901 19640930    72.5
19641001 19641031    35.4
19641101 19641130     6.8
19641201 19641231     6.6
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     3.6
19650501 19650531    32.0
19650601 19650630    13.2
19650701 19650731    15.3
19650801 19650831    39.9
19650901 19650930    10.9
19651001 19651031     0.0
19651101 19651130     9.1
19651201 19651231    26.4
19660101 19660131     0.0
19660201 19660228    44.9
19660301 19660331    33.0
19660401 19660430     1.3
19660501 19660531    37.6
19660601 19660630    13.0
19660701 19660731    22.6
19660801 19660831    40.7
19660901 19660930    35.6
19661001 19661031     9.7
19661101 19661130    27.9
19661201 19661231   121.2
19670101 19670131    26.7
19670201 19670228    21.9
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531    13.0
19670601 19670630     3.6
19670701 19670731    39.5
19670801 19670831    21.6
19670901 19670930    18.3
19671001 19671031     5.1
