PRCP       009561 19050101 20180131 missing_value=99999.9 KENDENUP POST OFFICE                      
19420901 19420930    79.2
19421001 19421031    46.3
19421101 19421130    23.4
19421201 19421231    62.0
19430101 19430131    50.5
19430201 19430228    28.7
19430301 19430331    91.3
19430401 19430430    60.8
19430501 19430531    34.9
19430601 19430630    57.3
19430701 19430731   111.2
19430801 19430831    77.0
19430901 19430930    59.1
19431001 19431031    22.1
19431101 19431130    10.6
19431201 19431231    19.3
19440101 19440131     0.6
19440201 19440229     5.6
19440301 19440331    11.1
19440401 19440430    25.4
19440501 19440531    73.4
19440601 19440630    46.3
19440701 19440731    97.0
19440801 19440831    76.3
19440901 19440930    34.2
19441001 19441031     5.4
19441101 19441130    20.7
19441201 19441231    33.6
19450101 19450131     2.6
19450201 19450228     8.2
19450301 19450331    44.5
19450401 19450430    20.4
19450501 19450531    74.7
19450601 19450630   158.8
19450701 19450731   121.9
19450801 19450831   183.5
19450901 19450930    92.4
19451001 19451031    19.7
19451101 19451130    21.4
19451201 19451231    21.6
19460101 19460131     8.9
19460201 19460228     2.1
19460301 19460331    10.2
19460401 19460430    24.4
19460501 19460531    95.5
19460601 19460630    92.4
19460701 19460731   114.7
19460801 19460831    69.0
19460901 19460930    42.7
19461001 19461031    25.3
19461101 19461130    60.3
19461201 19461231    38.8
19470101 19470131     1.3
19470201 19470228    24.6
19470301 19470331     6.4
19470401 19470430   148.2
19470501 19470531   134.8
19470601 19470630   171.2
19470701 19470731   107.2
19470801 19470831    40.6
19470901 19470930    68.9
19471001 19471031   104.8
19471101 19471130    31.8
19471201 19471231    19.0
19480101 19480131     0.0
19480201 19480229     3.3
19480301 19480331     7.8
19480401 19480430    26.8
19480501 19480531    17.7
19480601 19480630    50.1
19480701 19480731   110.7
19480801 19480831    84.1
19480901 19480930    86.8
19481001 19481031    31.6
19481101 19481130    56.1
19481201 19481231    29.8
19490101 19490131    11.4
19490201 19490228    11.7
19490301 19490331    34.3
19490401 19490430    24.9
19490501 19490531    27.4
19490601 19490630    65.2
19490701 19490731   115.2
19490801 19490831   107.8
19490901 19490930    48.2
19491001 19491031   101.4
19491101 19491130    59.2
19491201 19491231     3.4
19500101 19500131     9.2
19500201 19500228     3.8
19500301 19500331     2.3
19500401 19500430     0.5
19500501 19500531   207.3
19500601 19500630    82.0
19500701 19500731   109.7
19500801 19500831    50.5
19500901 19500930    56.4
19501001 19501031    48.3
19501101 19501130    35.8
19501201 19501231    12.4
19510101 19510131    38.4
19510201 19510228    35.3
19510301 19510331     6.3
19510401 19510430    67.2
19510501 19510531    57.1
19510601 19510630   143.0
19510701 19510731    54.1
19510801 19510831    91.0
19510901 19510930    82.4
19511001 19511031    54.3
19511101 19511130    52.7
19511201 19511231    78.7
19520101 19520131    31.5
19520201 19520229     7.1
19520301 19520331    27.9
19520401 19520430    23.7
19520501 19520531    96.8
19520601 19520630   118.3
19520701 19520731    52.3
19520801 19520831    45.1
19520901 19520930    51.3
19521001 19521031    85.1
19521101 19521130    34.1
19521201 19521231    25.1
19530101 19530131     3.3
19530201 19530228    35.1
19530301 19530331     4.2
19530401 19530430    11.3
19530501 19530531    73.4
19530601 19530630    80.9
19530701 19530731    67.1
19530801 19530831    51.3
19530901 19530930    60.5
19531001 19531031    64.0
19531101 19531130    46.1
19531201 19531231     5.6
19540101 19540131    11.0
19540201 19540228     3.6
19540301 19540331     8.4
19540401 19540430    29.7
19540501 19540531    58.5
19540601 19540630    35.5
19540701 19540731    55.9
19540801 19540831    33.8
19540901 19540930    22.7
19541001 19541031    31.8
19541101 19541130    22.7
19541201 19541231     9.1
19550101 19550131     5.1
19550201 19550228   175.5
19550301 19550331     6.2
19550401 19550430    93.2
19550501 19550531    57.4
19550601 19550630    77.4
19550701 19550731    82.6
19550801 19550831   139.4
19550901 19550930    60.4
19551001 19551031    77.2
19551101 19551130     9.7
19551201 19551231    23.0
19560101 19560131     0.0
19560201 19560229     1.1
19560301 19560331    58.7
19560401 19560430    22.6
19560501 19560531    93.0
19560601 19560630    86.3
19560701 19560731   116.3
19560801 19560831    31.0
19560901 19560930    39.6
19561001 19561031    47.6
19561101 19561130    25.9
19561201 19561231    14.3
19570101 19570131     6.6
19570201 19570228     4.7
19570301 19570331     8.2
19570401 19570430    50.0
19570501 19570531    69.0
19570601 19570630   163.5
19570701 19570731    31.3
19570801 19570831    63.6
19570901 19570930    32.9
19571001 19571031    33.6
19571101 19571130     1.0
19571201 19571231    13.8
19580101 19580131    11.8
19580201 19580228    12.2
19580301 19580331    10.1
19580401 19580430    30.7
19580501 19580531    79.2
19580601 19580630    44.2
19580701 19580731   131.7
19580801 19580831    70.0
19580901 19580930    88.3
19581001 19581031    40.4
19581101 19581130    20.1
19581201 19581231    39.9
19590101 19590131     6.1
19590201 19590228    34.9
19590301 19590331    13.2
19590401 19590430    61.9
19590501 19590531    31.5
19590601 19590630    96.3
19590701 19590731    41.1
19590801 19590831    71.8
19590901 19590930    87.1
19591001 19591031    56.9
19591101 19591130    89.9
19591201 19591231    53.8
19600101 19600131    30.8
19600201 19600229     4.6
19600301 19600331    63.0
19600401 19600430    44.5
19600501 19600531    73.2
19600601 19600630    51.4
19600701 19600731   126.9
19600801 19600831    44.4
19600901 19600930    48.5
19601001 19601031    15.6
19601101 19601130    14.6
19601201 19601231    10.6
19610101 19610131    37.1
19610201 19610228    32.3
19610301 19610331    27.8
19610401 19610430   127.4
19610501 19610531    23.1
19610601 19610630   105.2
19610701 19610731   122.5
19610801 19610831    73.5
19610901 19610930    51.4
19611001 19611031    32.0
19611101 19611130     6.4
19611201 19611231    71.9
19620101 19620131     0.0
19620201 19620228    15.0
19620301 19620331    15.8
19620401 19620430     4.1
19620501 19620531    62.5
19620601 19620630   102.8
19620701 19620731    61.6
19620801 19620831   107.0
19620901 19620930    33.7
19621001 19621031    76.1
