PRCP       077030 18860901 20160731 missing_value=99999.9 NARRAPORT                                 
19421001 19421031    37.2
19421101 19421130    25.4
19421201 19421231     5.3
19430101 19430131     9.7
19430201 19430228     8.1
19430301 19430331     0.8
19430401 19430430    17.4
19430501 19430531    11.2
19430601 19430630    18.2
19430701 19430731    23.3
19430801 19430831    24.7
19430901 19430930    31.3
19431001 19431031    17.5
19431101 19431130     4.0
19431201 19431231     5.8
19440101 19440131     6.4
19440201 19440229     6.3
19440301 19440331     1.5
19440401 19440430    26.2
19440501 19440531    24.3
19440601 19440630     2.8
19440701 19440731    24.6
19440801 19440831     0.0
19440901 19440930    12.7
19441001 19441031    20.5
19441101 19441130    19.1
19441201 19441231    12.7
19450101 19450131     2.3
19450201 19450228    11.5
19450301 19450331     2.5
19450401 19450430     0.0
19450501 19450531     9.4
19450601 19450630    94.2
19450701 19450731    23.7
19450801 19450831    45.1
19450901 19450930    14.7
19451001 19451031    47.3
19451101 19451130    26.1
19451201 19451231     9.2
19460101 19460131    75.5
19460201 19460228    61.7
19460301 19460331    36.0
19460401 19460430    11.9
19460501 19460531    48.5
19460601 19460630    41.5
19460701 19460731    48.8
19460801 19460831    18.0
19460901 19460930     9.9
19461001 19461031    24.0
19461101 19461130    20.1
19461201 19461231    14.2
19470101 19470131     2.3
19470201 19470228    26.7
19470301 19470331    50.9
19470401 19470430    15.3
19470501 19470531     9.6
19470601 19470630    33.9
19470701 19470731    59.0
19470801 19470831    25.1
19470901 19470930    22.8
19471001 19471031    66.6
19471101 19471130    42.8
19471201 19471231    34.2
19480101 19480131     2.0
19480201 19480229    19.3
19480301 19480331     0.0
19480401 19480430    22.3
19480501 19480531    24.4
19480601 19480630    50.0
19480701 19480731    22.4
19480801 19480831     3.4
19480901 19480930    15.7
19481001 19481031    68.2
19481101 19481130    18.3
19481201 19481231    54.2
19490101 19490131     1.3
19490201 19490228    62.7
19490301 19490331    31.7
19490401 19490430     0.0
19490501 19490531    62.2
19490601 19490630     8.7
19490701 19490731    28.0
19490801 19490831    10.4
19490901 19490930    26.7
19491001 19491031    64.1
19491101 19491130    26.8
19491201 19491231     3.0
19500101 19500131     0.0
19500201 19500228    98.4
19500301 19500331    84.6
19500401 19500430    38.6
19500501 19500531    57.2
19500601 19500630    21.9
19500701 19500731    49.1
19500801 19500831    30.8
19500901 19500930    43.3
19501001 19501031    39.1
19501101 19501130    37.4
19501201 19501231    15.2
19510101 19510131    10.7
19510201 19510228    53.1
19510301 19510331     0.0
19510401 19510430    18.8
19510501 19510531    64.8
19510601 19510630    54.5
19510701 19510731    49.8
19510801 19510831    46.0
19510901 19510930     3.1
19511001 19511031    37.6
19511101 19511130     8.4
19511201 19511231     6.8
19520101 19520131    14.2
19520201 19520229     8.6
19520301 19520331    13.9
19520401 19520430    57.5
19520501 19520531    62.8
19520601 19520630    62.3
19520701 19520731    16.6
19520801 19520831    29.4
19520901 19520930    23.4
19521001 19521031    65.1
19521101 19521130    83.0
19521201 19521231    12.0
19530101 19530131    48.4
19530201 19530228     6.1
19530301 19530331     0.0
19530401 19530430    13.2
19530501 19530531     6.3
19530601 19530630    35.7
19530701 19530731    23.7
19530801 19530831    59.4
19530901 19530930    32.7
19531001 19531031    27.8
19531101 19531130    51.8
19531201 19531231    10.4
19540101 19540131    25.3
19540201 19540228     0.0
19540301 19540331     5.1
19540401 19540430    63.5
19540501 19540531     7.8
19540601 19540630    25.6
19540701 19540731    35.3
19540801 19540831    48.6
19540901 19540930    24.2
19541001 19541031    29.3
19541101 19541130    30.5
19541201 19541231    60.7
19550101 19550131     0.8
19550201 19550228    73.4
19550301 19550331    16.6
19550401 19550430     8.4
19550501 19550531    54.9
19550601 19550630    83.4
19550701 19550731    33.3
19550801 19550831    53.8
19550901 19550930   101.6
19551001 19551031    42.1
19551101 19551130    22.9
19551201 19551231     4.1
19560101 19560131    18.0
19560201 19560229     0.0
19560301 19560331   143.2
19560401 19560430    53.1
19560501 19560531   109.3
19560601 19560630    43.8
19560701 19560731    68.6
19560801 19560831    27.0
19560901 19560930    51.7
19561001 19561031    78.5
19561101 19561130    10.9
19561201 19561231     4.3
19570101 19570131     1.5
19570201 19570228    98.3
19570301 19570331    10.9
19570401 19570430    13.8
19570501 19570531     8.4
19570601 19570630    38.5
19570701 19570731    17.0
19570801 19570831    21.1
19570901 19570930    17.5
19571001 19571031    32.6
19571101 19571130    18.2
19571201 19571231    12.5
19580101 19580131    25.4
19580201 19580228    16.3
19580301 19580331     6.8
19580401 19580430     7.4
19580501 19580531    47.1
19580601 19580630     6.1
19580701 19580731    62.9
19580801 19580831    56.4
19580901 19580930    26.9
19581001 19581031    82.6
19581101 19581130    37.8
19581201 19581231     5.9
19590101 19590131    20.8
19590201 19590228    31.5
19590301 19590331    31.5
19590401 19590430     7.4
19590501 19590531    10.2
19590601 19590630     8.5
19590701 19590731     7.7
19590801 19590831    33.5
19590901 19590930    35.6
19591001 19591031    71.0
19591101 19591130     9.9
19591201 19591231    33.6
19600101 19600131    31.4
19600201 19600229    64.1
19600301 19600331    24.7
19600401 19600430    30.1
19600501 19600531    86.2
19600601 19600630    49.9
19600701 19600731    45.0
19600801 19600831    47.0
19600901 19600930   131.9
19601001 19601031     8.3
19601101 19601130    81.4
19601201 19601231     7.1
19610101 19610131     2.8
19610201 19610228    13.2
19610301 19610331    21.6
19610401 19610430    50.8
19610501 19610531     8.9
19610601 19610630    24.6
19610701 19610731    38.4
19610801 19610831    26.7
19610901 19610930    36.1
19611001 19611031    34.3
19611101 19611130    37.6
19611201 19611231   106.4
19620101 19620131    42.6
19620201 19620228     6.4
19620301 19620331     8.7
19620401 19620430     3.1
19620501 19620531    42.0
19620601 19620630    33.3
19620701 19620731    29.8
19620801 19620831    48.8
19620901 19620930    49.1
19621001 19621031    26.7
19621101 19621130    15.5
19621201 19621231    35.6
19630101 19630131    46.8
19630201 19630228     0.0
19630301 19630331    35.1
19630401 19630430    19.8
19630501 19630531    34.3
19630601 19630630    65.8
19630701 19630731    40.5
19630801 19630831    36.7
19630901 19630930    28.3
19631001 19631031    23.9
19631101 19631130     6.8
19631201 19631231     4.4
19640101 19640131     5.1
19640201 19640229     1.5
19640301 19640331     2.5
