PRCP       050018 18890601 20180131 missing_value=99999.9 DANDALOO (KELVIN)                         
19210401 19210430    99.7
19210501 19210531    58.0
19210601 19210630    67.9
19210701 19210731    54.7
19210801 19210831    25.3
19210901 19210930    23.6
19211001 19211031    13.7
19211101 19211130    14.0
19211201 19211231    93.7
19220101 19220131    29.9
19220201 19220228    22.1
19220301 19220331     0.0
19220401 19220430    13.9
19220501 19220531     9.4
19220601 19220630    21.9
19220701 19220731    38.6
19220801 19220831     9.9
19220901 19220930    10.9
19221001 19221031    14.2
19221101 19221130     0.0
19221201 19221231    32.1
19230101 19230131     5.8
19230201 19230228     5.6
19230301 19230331    12.4
19230401 19230430     0.0
19230501 19230531     9.4
19230601 19230630    86.4
19230701 19230731    43.5
19230801 19230831     9.7
19230901 19230930     9.6
19231001 19231031    17.8
19231101 19231130    29.2
19231201 19231231    27.4
19240101 19240131    15.2
19240201 19240229    48.7
19240301 19240331     5.1
19240401 19240430    44.3
19240501 19240531    11.0
19240601 19240630    30.8
19240701 19240731    35.0
19240801 19240831    30.7
19240901 19240930    54.8
19241001 19241031    18.7
19241101 19241130   134.3
19241201 19241231    35.9
19250101 19250131   138.9
19250201 19250228    17.8
19250301 19250331    22.8
19250401 19250430    13.0
19250501 19250531    67.9
19250601 19250630   157.8
19250701 19250731    27.9
19250801 19250831    17.0
19250901 19250930     0.0
19251001 19251031     9.7
19251101 19251130    63.4
19251201 19251231    21.8
19260101 19260131    23.4
19260201 19260228     7.9
19260301 19260331    95.0
19260401 19260430    98.5
19260501 19260531    47.2
19260601 19260630    28.5
19260701 19260731    10.4
19260801 19260831    13.4
19260901 19260930    41.0
19261001 19261031     3.8
19261101 19261130     2.0
19261201 19261231    95.0
19270101 19270131    63.0
19270201 19270228     0.0
19270301 19270331    28.4
19270401 19270430    37.1
19270501 19270531    19.1
19270601 19270630    43.5
19270701 19270731     0.0
19270801 19270831    24.4
19270901 19270930    60.0
19271001 19271031    17.8
19271101 19271130    57.5
19271201 19271231    37.8
19280101 19280131   101.9
19280201 19280229   189.7
19280301 19280331    34.3
19280401 19280430    68.9
19280501 19280531     6.9
19280601 19280630    30.1
19280701 19280731    44.4
19280801 19280831     7.4
19280901 19280930     0.0
19281001 19281031    23.4
19281101 19281130    24.6
19281201 19281231     6.1
19290101 19290131     3.8
19290201 19290228    43.2
19290301 19290331    19.6
19290401 19290430    41.0
19290501 19290531     0.0
19290601 19290630     8.6
19290701 19290731    16.8
19290801 19290831    38.2
19290901 19290930    14.5
19291001 19291031    44.2
19291101 19291130    17.3
19291201 19291231    72.4
19300101 19300131    13.2
19300201 19300228    62.7
19300301 19300331    22.7
19300401 19300430     9.7
19300501 19300531    19.8
19300601 19300630    78.0
19300701 19300731    36.2
19300801 19300831    71.7
19300901 19300930     3.3
19301001 19301031    66.4
19301101 19301130    25.4
19301201 19301231    92.7
19310101 19310131    36.1
19310201 19310228    12.4
19310301 19310331    86.0
19310401 19310430    88.2
19310501 19310531    82.3
19310601 19310630    72.1
19310701 19310731    63.3
19310801 19310831     5.3
19310901 19310930    13.7
19311001 19311031     8.9
19311101 19311130    25.2
19311201 19311231   136.8
19320101 19320131    14.5
19320201 19320229    24.9
19320301 19320331    55.7
19320401 19320430    63.9
19320501 19320531    20.6
19320601 19320630     8.1
19320701 19320731    26.3
19320801 19320831    30.3
19320901 19320930    58.7
19321001 19321031    17.6
19321101 19321130    72.6
19321201 19321231    23.1
19330101 19330131     5.8
19330201 19330228     1.3
19330301 19330331    27.0
19330401 19330430    30.9
19330501 19330531    37.4
19330601 19330630    21.1
19330701 19330731    26.9
19330801 19330831    14.2
19330901 19330930    61.2
19331001 19331031    77.0
19331101 19331130    62.3
19331201 19331231    78.6
19340101 19340131    40.1
19340201 19340228   109.8
19340301 19340331     0.0
19340401 19340430    35.1
19340501 19340531     0.5
19340601 19340630    46.4
19340701 19340731    64.2
19340801 19340831    71.4
19340901 19340930    26.5
19341001 19341031   149.1
19341101 19341130    97.9
19341201 19341231    17.3
19350101 19350131    17.2
19350201 19350228    29.7
19350301 19350331     0.0
19350401 19350430    30.2
19350501 19350531    10.7
19350601 19350630    14.4
19350701 19350731    32.5
19350801 19350831     8.5
19350901 19350930    37.9
19351001 19351031    56.4
19351101 19351130     9.4
19351201 19351231    10.4
19360101 19360131    69.3
19360201 19360229    95.5
19360301 19360331   106.1
19360401 19360430     6.1
19360501 19360531    12.2
19360601 19360630    35.8
19360701 19360731    68.9
19360801 19360831    33.1
19360901 19360930     9.3
19361001 19361031    18.0
19361101 19361130     2.6
19361201 19361231   134.4
19370101 19370131    40.9
19370201 19370228    24.6
19370301 19370331    51.4
19370401 19370430     8.4
19370501 19370531    28.4
19370601 19370630    44.5
19370701 19370731     1.5
19370801 19370831    39.9
19370901 19370930    15.7
19371001 19371031    14.0
19371101 19371130    37.8
19371201 19371231    15.5
19380101 19380131    53.6
19380201 19380228     4.0
19380301 19380331     0.0
19380401 19380430    27.2
19380501 19380531    36.2
19380601 19380630    66.0
19380701 19380731    47.8
19380801 19380831    62.8
19380901 19380930     9.2
19381001 19381031    56.5
19381101 19381130    40.6
19381201 19381231     0.0
19390101 19390131    37.2
19390201 19390228    91.5
19390301 19390331    84.8
19390401 19390430    65.4
19390501 19390531     9.4
19390601 19390630    40.8
19390701 19390731    22.6
19390801 19390831    71.5
19390901 19390930     1.8
19391001 19391031    26.5
19391101 19391130    38.9
19391201 19391231    12.7
19400101 19400131     4.3
19400201 19400229     1.8
19400301 19400331     2.6
19400401 19400430    93.2
19400501 19400531     8.1
19400601 19400630     3.3
19400701 19400731     2.0
19400801 19400831    17.8
19400901 19400930    58.2
19401001 19401031     4.6
19401101 19401130     5.4
19401201 19401231    63.2
19410101 19410131   139.5
19410201 19410228     0.3
19410301 19410331    63.7
19410401 19410430     2.0
19410501 19410531    33.6
19410601 19410630    42.9
19410701 19410731    16.3
19410801 19410831    14.0
19410901 19410930    10.1
19411001 19411031     3.8
19411101 19411130    16.3
19411201 19411231    31.3
19420101 19420131     7.1
19420201 19420228    97.0
19420301 19420331     4.4
19420401 19420430     1.6
19420501 19420531    33.3
19420601 19420630    66.8
19420701 19420731    29.7
19420801 19420831    10.0
19420901 19420930    24.4
19421001 19421031    34.7
19421101 19421130    92.0
19421201 19421231   112.2
19430101 19430131    86.7
19430201 19430228    38.2
19430301 19430331     3.8
19430401 19430430    46.6
19430501 19430531    53.4
19430601 19430630    22.4
19430701 19430731    21.1
19430801 19430831    26.4
19430901 19430930    21.5
19431001 19431031    44.2
19431101 19431130   108.0
19431201 19431231     5.8
19440101 19440131     9.4
19440201 19440229    46.5
19440301 19440331    14.1
