PRCP       090135 18900101 20180131 missing_value=99999.9 CASTERTON SHOWGROUNDS                     
19390901 19390930    66.7
19391001 19391031    84.3
19391101 19391130    82.1
19391201 19391231    25.9
19400101 19400131    48.1
19400201 19400229    14.1
19400301 19400331    24.1
19400401 19400430    52.2
19400501 19400531    39.6
19400601 19400630    47.3
19400701 19400731    77.9
19400801 19400831    42.8
19400901 19400930    20.4
19401001 19401031    22.5
19401101 19401130    40.2
19401201 19401231    52.8
19410101 19410131    96.7
19410201 19410228    19.4
19410301 19410331    73.7
19410401 19410430    74.5
19410501 19410531    50.2
19410601 19410630    54.4
19410701 19410731    78.6
19410801 19410831    48.5
19410901 19410930   107.5
19411001 19411031    37.6
19411101 19411130    16.3
19411201 19411231    22.1
19420101 19420131    24.2
19420201 19420228    25.2
19420301 19420331    19.0
19420401 19420430    29.0
19420501 19420531   127.4
19420601 19420630    74.4
19420701 19420731   102.5
19420801 19420831   108.7
19420901 19420930    94.9
19421001 19421031    21.5
19421101 19421130    53.1
19421201 19421231    27.0
19430101 19430131    12.6
19430201 19430228    33.8
19430301 19430331     7.1
19430401 19430430    54.8
19430501 19430531    43.1
19430601 19430630    64.1
19430701 19430731   100.4
19430801 19430831    92.1
19430901 19430930    85.8
19431001 19431031    30.4
19431101 19431130    21.6
19431201 19431231     9.6
19440101 19440131    12.1
19440201 19440229    31.2
19440301 19440331    14.9
19440401 19440430    68.1
19440501 19440531    92.1
19440601 19440630    29.0
19440701 19440731    70.1
19440801 19440831    17.7
19440901 19440930    46.0
19441001 19441031    81.6
19441101 19441130    43.1
19441201 19441231    60.4
19450101 19450131    21.9
19450201 19450228   104.6
19450301 19450331     7.5
19450401 19450430     8.9
19450501 19450531    41.0
19450601 19450630    47.2
19450701 19450731    52.9
19450801 19450831    93.5
19450901 19450930    57.5
19451001 19451031    88.4
19451101 19451130    56.6
19451201 19451231    48.3
19460101 19460131    88.6
19460201 19460228    79.4
19460301 19460331   290.9
19460401 19460430    34.0
19460501 19460531    50.9
19460601 19460630    72.4
19460701 19460731   144.9
19460801 19460831    65.7
19460901 19460930    64.6
19461001 19461031    47.8
19461101 19461130    17.3
19461201 19461231    39.2
19470101 19470131    20.9
19470201 19470228    45.7
19470301 19470331   127.7
19470401 19470430    32.2
19470501 19470531    23.4
19470601 19470630    73.9
19470701 19470731   120.6
19470801 19470831    72.9
19470901 19470930    53.3
19471001 19471031    85.5
19471101 19471130    54.1
19471201 19471231    54.6
19480101 19480131    15.6
19480201 19480229     7.1
19480301 19480331    18.0
19480401 19480430    76.2
19480501 19480531    69.1
19480601 19480630    33.1
19480701 19480731    62.8
19480801 19480831    69.0
19480901 19480930    42.4
19481001 19481031   113.4
19481101 19481130    34.6
19481201 19481231    37.6
19490101 19490131    36.3
19490201 19490228    92.6
19490301 19490331    12.5
19490401 19490430    14.5
19490501 19490531    47.4
