PRCP       040014 18920501 20120930 missing_value=99999.9 BEAUDESERT                                
19211101 19211130    29.5
19211201 19211231   365.2
19220101 19220131    44.5
19220201 19220228   157.6
19220301 19220331    50.2
19220401 19220430     0.0
19220501 19220531    24.0
19220601 19220630    39.5
19220701 19220731    92.6
19220801 19220831     6.1
19220901 19220930    55.7
19221001 19221031    34.6
19221101 19221130    45.7
19221201 19221231   103.4
19230101 19230131    39.5
19230201 19230228     4.8
19230301 19230331    59.9
19230401 19230430    45.4
19230501 19230531     6.7
19230601 19230630    68.9
19230701 19230731    20.4
19230801 19230831    18.1
19230901 19230930    38.6
19231001 19231031     6.6
19231101 19231130    52.6
19231201 19231231   168.0
19240101 19240131    50.2
19240201 19240229   157.7
19240301 19240331    69.6
19240401 19240430    53.9
19240501 19240531     6.9
19240601 19240630    74.3
19240701 19240731    91.0
19240801 19240831    60.1
19240901 19240930    52.6
19241001 19241031    71.6
19241101 19241130   123.2
19241201 19241231    82.5
19250101 19250131   176.6
19250201 19250228    65.8
19250301 19250331   140.3
19250401 19250430    10.2
19250501 19250531    84.1
19250601 19250630    65.4
19250701 19250731    13.8
19250801 19250831    49.0
19250901 19250930     8.3
19251001 19251031     4.9
19251101 19251130   145.2
19251201 19251231    75.4
19260101 19260131    86.9
19260201 19260228     1.3
19260301 19260331    23.6
19260401 19260430    19.2
19260501 19260531    13.1
19260601 19260630   128.2
19260701 19260731     6.4
19260801 19260831    25.7
19260901 19260930    37.4
19261001 19261031    20.4
19261101 19261130    12.7
19261201 19261231   126.4
19270101 19270131   451.5
19270201 19270228   106.1
19270301 19270331   118.0
19270401 19270430    35.7
19270501 19270531     1.5
19270601 19270630    49.3
19270701 19270731    11.2
19270801 19270831     5.6
19270901 19270930    48.0
19271001 19271031   111.6
19271101 19271130   126.0
19271201 19271231    96.6
19280101 19280131   117.3
19280201 19280229   458.3
19280301 19280331    27.1
19280401 19280430   241.3
19280501 19280531    30.3
19280601 19280630    46.8
19280701 19280731    35.6
19280801 19280831    17.3
19280901 19280930     6.4
19281001 19281031    19.5
19281101 19281130    24.7
19281201 19281231    67.0
19290101 19290131   154.9
19290201 19290228   270.0
19290301 19290331   196.3
19290401 19290430   193.1
19290501 19290531     6.6
19290601 19290630    58.0
19290701 19290731    14.7
19290801 19290831    28.6
19290901 19290930     9.1
19291001 19291031   109.8
19291101 19291130    41.0
19291201 19291231   101.1
19300101 19300131   211.9
19300201 19300228   146.0
19300301 19300331    54.7
19300401 19300430   114.1
19300501 19300531   196.1
19300601 19300630   185.2
19300701 19300731    26.5
19300801 19300831    51.3
19300901 19300930    41.4
19301001 19301031   142.7
19301101 19301130    33.4
19301201 19301231    56.1
19310101 19310131    89.5
19310201 19310228   247.3
19310301 19310331   190.0
19310401 19310430    65.3
19310501 19310531    67.5
19310601 19310630    17.6
19310701 19310731    41.4
19310801 19310831     8.9
19310901 19310930    18.9
19311001 19311031    35.3
19311101 19311130   127.4
19311201 19311231   191.4
19320101 19320131    47.8
19320201 19320229    86.3
19320301 19320331    21.0
19320401 19320430   136.0
19320501 19320531    17.7
19320601 19320630    14.0
19320701 19320731    19.8
19320801 19320831    12.2
19320901 19320930   103.4
19321001 19321031    30.3
19321101 19321130    90.7
19321201 19321231    40.2
19330101 19330131   246.9
19330201 19330228    92.2
19330301 19330331     9.2
19330401 19330430   162.5
19330501 19330531    21.6
19330601 19330630    17.9
19330701 19330731    75.2
19330801 19330831     6.4
19330901 19330930    49.5
19331001 19331031    72.6
19331101 19331130   163.3
19331201 19331231   121.5
19340101 19340131   127.2
19340201 19340228   276.5
19340301 19340331     2.8
19340401 19340430   121.3
19340501 19340531    42.9
19340601 19340630    20.7
19340701 19340731   139.0
19340801 19340831    30.3
19340901 19340930    23.6
19341001 19341031    59.2
19341101 19341130    39.1
19341201 19341231   175.7
19350101 19350131   115.3
19350201 19350228   234.5
19350301 19350331    41.5
19350401 19350430    74.0
19350501 19350531    43.4
19350601 19350630     0.0
19350701 19350731    33.1
19350801 19350831    12.7
19350901 19350930   116.3
19351001 19351031   126.8
19351101 19351130    30.2
19351201 19351231   141.9
19360101 19360131   158.4
19360201 19360229    39.9
19360301 19360331    93.4
19360401 19360430     6.6
19360501 19360531    45.5
19360601 19360630    48.4
19360701 19360731    35.0
19360801 19360831     4.1
19360901 19360930    31.6
19361001 19361031    16.8
19361101 19361130    46.5
19361201 19361231    65.8
19370101 19370131    44.2
19370201 19370228    49.8
19370301 19370331   179.9
19370401 19370430    14.4
19370501 19370531     6.3
19370601 19370630    18.0
19370701 19370731    32.5
19370801 19370831    53.8
19370901 19370930     9.2
