PRCP       033060 18930101 20180131 missing_value=99999.9 PLEYSTOWE SUGAR MILL                      
19361201 19361231   197.5
19370101 19370131   163.6
19370201 19370228   505.9
19370301 19370331   490.0
19370401 19370430    21.8
19370501 19370531    14.7
19370601 19370630    49.5
19370701 19370731    13.6
19370801 19370831    10.1
19370901 19370930     8.5
19371001 19371031    40.4
19371101 19371130    70.8
19371201 19371231    58.0
19380101 19380131    91.8
19380201 19380228   398.6
19380301 19380331   456.3
19380401 19380430     0.5
19380501 19380531    86.0
19380601 19380630    29.1
19380701 19380731    71.4
19380801 19380831     1.7
19380901 19380930     6.8
19381001 19381031    63.5
19381101 19381130    92.1
19381201 19381231    67.5
19390101 19390131   138.7
19390201 19390228   366.5
19390301 19390331   287.9
19390401 19390430   229.9
19390501 19390531   162.2
19390601 19390630    66.3
19390701 19390731     0.0
19390801 19390831    28.1
19390901 19390930     2.6
19391001 19391031    24.2
19391101 19391130    65.1
19391201 19391231    97.4
19400101 19400131   229.3
19400201 19400229  1006.2
19400301 19400331   337.1
19400401 19400430   298.1
19400501 19400531    21.1
19400601 19400630    19.2
19400701 19400731     0.0
19400801 19400831   186.4
19400901 19400930     0.0
19401001 19401031     6.3
19401101 19401130    15.8
19401201 19401231    14.4
19410101 19410131   618.7
19410201 19410228   135.2
19410301 19410331   254.0
19410401 19410430   436.9
19410501 19410531   101.6
19410601 19410630    89.4
19410701 19410731     0.8
19410801 19410831     5.1
19410901 19410930     8.1
19411001 19411031     7.1
19411101 19411130   114.1
19411201 19411231    36.8
19420101 19420131   102.6
19420201 19420228   993.7
19420301 19420331    56.3
19420401 19420430   148.5
19420501 19420531    69.9
19420601 19420630    80.5
19420701 19420731    80.0
19420801 19420831    28.1
19420901 19420930    50.6
19421001 19421031    93.5
19421101 19421130    52.3
19421201 19421231   522.4
19430101 19430131   363.2
19430201 19430228   512.3
19430301 19430331    27.2
19430401 19430430    85.4
19430501 19430531    52.6
19430601 19430630    76.4
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    84.3
19431001 19431031    62.7
19431101 19431130     0.0
19431201 19431231    69.7
19440101 19440131   160.3
19440201 19440229   471.1
19440301 19440331   437.2
19440401 19440430    37.5
19440501 19440531    26.0
19440601 19440630    65.6
19440701 19440731    24.3
19440801 19440831    20.5
19440901 19440930    20.4
19441001 19441031     7.1
19441101 19441130    34.3
19441201 19441231    31.8
19450101 19450131   107.9
19450201 19450228    75.5
19450301 19450331   340.9
19450401 19450430    51.2
19450501 19450531    41.3
19450601 19450630    88.2
19450701 19450731    93.0
19450801 19450831     6.6
19450901 19450930    26.4
19451001 19451031   190.0
19451101 19451130    46.6
19451201 19451231   108.1
19460101 19460131   598.5
19460201 19460228   127.0
19460301 19460331   591.3
19460401 19460430     7.1
19460501 19460531    48.8
19460601 19460630     1.0
19460701 19460731    10.1
19460801 19460831     0.0
19460901 19460930     2.5
19461001 19461031    12.7
19461101 19461130    17.7
19461201 19461231    45.5
19470101 19470131    47.5
19470201 19470228   895.3
19470301 19470331   200.5
19470401 19470430    26.2
19470501 19470531    41.1
19470601 19470630    16.0
19470701 19470731     8.1
19470801 19470831    24.5
19470901 19470930    31.8
19471001 19471031    25.5
19471101 19471130    64.7
19471201 19471231    12.9
19480101 19480131   206.8
19480201 19480229   339.6
19480301 19480331    88.5
19480401 19480430    61.9
19480501 19480531    24.4
19480601 19480630    42.0
19480701 19480731    71.0
19480801 19480831     0.3
19480901 19480930     0.5
19481001 19481031    23.4
19481101 19481130    15.0
19481201 19481231   175.6
19490101 19490131   125.5
19490201 19490228   389.5
19490301 19490331   205.0
19490401 19490430    42.8
19490501 19490531    31.4
19490601 19490630     3.3
19490701 19490731     2.6
19490801 19490831     0.5
19490901 19490930     3.6
19491001 19491031    83.1
19491101 19491130    77.6
19491201 19491231    74.0
19500101 19500131   611.9
19500201 19500228   303.7
19500301 19500331   645.1
19500401 19500430   252.3
19500501 19500531    59.0
19500601 19500630    30.3
19500701 19500731   318.3
19500801 19500831    56.8
19500901 19500930     7.9
19501001 19501031   175.0
19501101 19501130   216.2
19501201 19501231   137.6
19510101 19510131  1353.3
19510201 19510228   136.4
19510301 19510331    88.2
19510401 19510430     5.1
19510501 19510531    41.4
19510601 19510630    49.4
19510701 19510731    10.7
19510801 19510831     0.0
19510901 19510930     6.1
19511001 19511031    18.8
19511101 19511130     0.5
19511201 19511231    38.2
19520101 19520131   214.3
