PRCP       088060 18840201 20180131 missing_value=99999.9 WALLABY CREEK WEIR                        
19131201 19131231    38.7
19140101 19140131    25.2
19140201 19140228     2.9
19140301 19140331    48.0
19140401 19140430    84.2
19140501 19140531   122.3
19140601 19140630    59.4
19140701 19140731   108.5
19140801 19140831    28.6
19140901 19140930    91.0
19141001 19141031     4.1
19141101 19141130    65.7
19141201 19141231    97.8
19150101 19150131    54.2
19150201 19150228    37.1
19150301 19150331    15.9
19150401 19150430    83.6
19150501 19150531   213.5
19150601 19150630   134.6
19150701 19150731    70.4
19150801 19150831   165.9
19150901 19150930   130.1
19151001 19151031   127.4
19151101 19151130    46.6
19151201 19151231    12.6
19160101 19160131   113.5
19160201 19160229    88.1
19160301 19160331    15.7
19160401 19160430    78.5
19160501 19160531   113.5
19160601 19160630   131.9
19160701 19160731   171.0
19160801 19160831   146.3
19160901 19160930   237.3
19161001 19161031   186.8
19161101 19161130   243.6
19161201 19161231   148.0
19170101 19170131    33.4
19170201 19170228    61.3
19170301 19170331    67.8
19170401 19170430    69.4
19170501 19170531   128.0
19170601 19170630   210.6
19170701 19170731   123.6
19170801 19170831   175.5
19170901 19170930   138.1
19171001 19171031   151.2
19171101 19171130    87.3
19171201 19171231    61.1
19180101 19180131    60.8
19180201 19180228    46.8
19180301 19180331   128.3
19180401 19180430    80.4
19180501 19180531   211.6
19180601 19180630   126.1
19180701 19180731   114.2
19180801 19180831   199.4
19180901 19180930   114.1
19181001 19181031    83.7
19181101 19181130    40.8
19181201 19181231    66.2
19190101 19190131    15.7
19190201 19190228    99.7
19190301 19190331   162.4
19190401 19190430    35.1
19190501 19190531    81.1
19190601 19190630   101.2
19190701 19190731   113.4
19190801 19190831    51.2
19190901 19190930    65.1
19191001 19191031    69.2
19191101 19191130    41.4
19191201 19191231   118.5
19200101 19200131    31.5
19200201 19200229    18.6
19200301 19200331    73.1
19200401 19200430    66.0
19200501 19200531    90.6
19200601 19200630   169.3
19200701 19200731   125.0
19200801 19200831   179.7
19200901 19200930   265.9
19201001 19201031   199.9
19201101 19201130   100.6
19201201 19201231    26.8
19210101 19210131    76.7
19210201 19210228    55.5
19210301 19210331    56.5
19210401 19210430    22.6
19210501 19210531   128.0
19210601 19210630   108.7
19210701 19210731   104.5
19210801 19210831   173.2
19210901 19210930   155.0
19211001 19211031   108.5
19211101 19211130    65.4
19211201 19211231    52.4
19220101 19220131    66.0
19220201 19220228    70.3
19220301 19220331     7.9
19220401 19220430    50.2
19220501 19220531    74.1
19220601 19220630    79.4
19220701 19220731   131.8
19220801 19220831   125.2
19220901 19220930   151.0
19221001 19221031   129.6
19221101 19221130    48.3
19221201 19221231    55.4
19230101 19230131    39.6
19230201 19230228     8.7
19230301 19230331    10.9
19230401 19230430     0.0
19230501 19230531   125.3
19230601 19230630   136.2
19230701 19230731   208.9
19230801 19230831   113.0
19230901 19230930   132.8
19231001 19231031   243.0
19231101 19231130   155.3
19231201 19231231    68.0
19240101 19240131   124.9
19240201 19240229   102.5
19240301 19240331   154.0
19240401 19240430   127.1
19240501 19240531    54.2
19240601 19240630   124.4
19240701 19240731    54.3
19240801 19240831   211.4
19240901 19240930   102.1
19241001 19241031   135.5
19241101 19241130   190.8
19241201 19241231    63.6
19250101 19250131   118.4
19250201 19250228    62.6
19250301 19250331    33.4
19250401 19250430    58.7
19250501 19250531    74.7
19250601 19250630    47.2
19250701 19250731   165.6
19250801 19250831   104.5
19250901 19250930   129.9
19251001 19251031    37.1
