PRCP       015528 19520201 20170131 missing_value=99999.9 YUENDUMU                                  
19841101 19841130    40.0
19841201 19841231    29.4
19850101 19850131     0.7
19850201 19850228    68.4
19850301 19850331     7.8
19850401 19850430    11.2
19850501 19850531     0.2
19850601 19850630    25.0
19850701 19850731     4.6
19850801 19850831     0.6
19850901 19850930     0.0
19851001 19851031    20.6
19851101 19851130    15.2
19851201 19851231    13.6
19860101 19860131    68.2
19860201 19860228     9.4
19860301 19860331     0.4
19860401 19860430     0.2
19860501 19860531    11.6
19860601 19860630    60.8
19860701 19860731   159.8
19860801 19860831     1.4
19860901 19860930    10.6
19861001 19861031     7.4
19861101 19861130    20.0
19861201 19861231     8.8
19870101 19870131    36.8
19870201 19870228    61.2
19870301 19870331    14.7
19870401 19870430    53.4
19870501 19870531     0.0
19870601 19870630    10.3
19870701 19870731     0.0
19870801 19870831     1.4
19870901 19870930     1.2
19871001 19871031     1.6
19871101 19871130    75.1
19871201 19871231    50.2
19880101 19880131    33.4
19880201 19880229    24.2
19880301 19880331    26.4
19880401 19880430     7.2
19880501 19880531    74.8
19880601 19880630     0.0
19880701 19880731     1.0
19880801 19880831     4.4
19880901 19880930    18.4
19881001 19881031    15.6
19881101 19881130    48.2
19881201 19881231    97.8
19890101 19890131     0.4
19890201 19890228     2.6
19890301 19890331   273.6
19890401 19890430     8.2
19890501 19890531    11.2
19890601 19890630     0.0
19890701 19890731     7.2
19890801 19890831     1.4
19890901 19890930     4.4
19891001 19891031    14.6
19891101 19891130    16.4
19891201 19891231    47.6
19900101 19900131    89.0
19900201 19900228    32.0
19900301 19900331     0.0
19900401 19900430    28.9
19900501 19900531    57.4
19900601 19900630     0.0
19900701 19900731     0.0
19900801 19900831     7.0
19900901 19900930     4.4
19901001 19901031     4.2
19901101 19901130     5.8
19901201 19901231    12.2
19910101 19910131    43.6
19910201 19910228    47.0
19910301 19910331    15.8
19910401 19910430     0.0
19910501 19910531     1.0
19910601 19910630    37.6
19910701 19910731     8.6
19910801 19910831     0.0
19910901 19910930     1.8
19911001 19911031     0.0
19911101 19911130    27.5
19911201 19911231     4.6
19920101 19920131    17.6
19920201 19920229    16.4
19920301 19920331    11.6
19920401 19920430     1.0
19920501 19920531   125.4
19920601 19920630     2.6
