PRCP       043026 19100101 20101231 missing_value=99999.9 NORMANDY                                  
19380801 19380831    22.9
19380901 19380930    14.0
19381001 19381031    26.1
19381101 19381130    67.6
19381201 19381231     0.0
19390101 19390131   197.9
19390201 19390228     2.5
19390301 19390331   125.4
19390401 19390430    48.3
19390501 19390531     5.3
19390601 19390630    24.7
19390701 19390731    48.7
19390801 19390831    41.7
19390901 19390930     0.0
19391001 19391031    15.7
19391101 19391130    52.0
19391201 19391231    14.9
19400101 19400131    13.2
19400201 19400229    99.1
19400301 19400331    92.9
19400401 19400430    11.7
19400501 19400531     0.0
19400601 19400630     3.3
19400701 19400731     0.0
19400801 19400831     4.8
19400901 19400930    28.0
19401001 19401031    11.2
19401101 19401130    22.3
19401201 19401231    87.4
19410101 19410131   333.5
19410201 19410228     1.3
19410301 19410331   236.8
19410401 19410430     8.4
19410501 19410531    34.5
19410601 19410630    20.9
19410701 19410731    10.2
19410801 19410831     5.6
19410901 19410930     0.0
19411001 19411031    18.3
19411101 19411130    46.7
19411201 19411231    84.4
19420101 19420131    45.4
19420201 19420228    44.8
19420301 19420331     7.9
19420401 19420430    57.7
19420501 19420531    23.0
19420601 19420630    20.4
19420701 19420731    38.3
19420801 19420831     2.8
19420901 19420930     0.0
19421001 19421031    43.7
19421101 19421130   129.0
19421201 19421231   196.6
19430101 19430131   100.7
19430201 19430228     8.6
19430301 19430331    10.4
19430401 19430430    55.9
19430501 19430531    27.2
19430601 19430630    32.0
19430701 19430731     7.4
19430801 19430831    52.6
19430901 19430930    96.0
19431001 19431031    68.3
19431101 19431130    97.0
19431201 19431231    18.8
19440101 19440131     9.8
19440201 19440229    22.3
19440301 19440331     0.0
19440401 19440430     8.4
19440501 19440531     6.6
19440601 19440630    18.0
19440701 19440731    54.1
19440801 19440831   111.4
19440901 19440930    21.4
19441001 19441031    24.1
19441101 19441130    29.5
19441201 19441231    84.3
19450101 19450131    39.9
19450201 19450228    84.5
19450301 19450331    11.4
19450401 19450430    54.4
19450501 19450531    10.7
19450601 19450630    54.9
19450701 19450731    58.9
19450801 19450831    56.9
19450901 19450930     2.5
19451001 19451031     7.6
19451101 19451130    23.9
19451201 19451231    29.4
19460101 19460131    86.8
19460201 19460228    33.0
19460301 19460331     7.6
19460401 19460430     2.5
19460501 19460531     2.1
19460601 19460630     1.0
19460701 19460731     1.3
19460801 19460831     0.0
19460901 19460930    23.9
19461001 19461031     0.0
19461101 19461130    19.8
19461201 19461231    77.0
19470101 19470131     7.3
19470201 19470228   204.4
19470301 19470331    64.5
19470401 19470430     5.3
19470501 19470531    27.2
19470601 19470630     9.7
19470701 19470731     0.0
19470801 19470831    59.2
19470901 19470930    43.1
19471001 19471031    44.9
19471101 19471130    79.9
19471201 19471231   120.3
19480101 19480131    20.1
19480201 19480229    55.0
19480301 19480331    33.0
19480401 19480430     1.3
19480501 19480531    42.5
19480601 19480630    66.9
19480701 19480731    28.2
19480801 19480831     0.0
19480901 19480930    97.3
19481001 19481031    10.2
19481101 19481130    33.5
19481201 19481231    66.1
19490101 19490131    75.7
19490201 19490228   110.3
19490301 19490331   134.7
19490401 19490430     9.4
19490501 19490531    18.5
19490601 19490630    42.2
19490701 19490731     1.3
19490801 19490831     0.0
19490901 19490930    35.3
19491001 19491031   202.4
19491101 19491130    69.8
19491201 19491231    28.9
19500101 19500131    71.9
19500201 19500228   193.4
19500301 19500331    83.1
19500401 19500430    83.5
19500501 19500531    38.4
19500601 19500630    51.3
19500701 19500731   341.7
19500801 19500831     5.8
19500901 19500930    36.4
19501001 19501031   117.2
19501101 19501130   184.5
19501201 19501231     0.0
19510101 19510131    44.4
19510201 19510228    16.5
19510301 19510331    24.1
19510401 19510430     0.0
19510501 19510531     2.3
19510601 19510630    25.9
19510701 19510731     0.0
19510801 19510831    15.8
19510901 19510930    25.9
19511001 19511031    23.7
19511101 19511130    37.3
19511201 19511231    40.6
19520101 19520131    23.6
19520201 19520229    86.3
19520301 19520331    86.3
19520401 19520430    65.8
19520501 19520531    87.2
19520601 19520630    18.8
19520701 19520731     9.6
19520801 19520831     6.6
19520901 19520930     3.0
19521001 19521031    99.9
19521101 19521130     8.6
19521201 19521231    33.1
19530101 19530131    89.6
19530201 19530228   187.2
19530301 19530331     3.6
19530401 19530430    65.3
19530501 19530531    72.2
19530601 19530630     2.3
19530701 19530731     3.8
19530801 19530831    19.8
19530901 19530930     0.0
19531001 19531031    95.5
19531101 19531130    64.1
19531201 19531231     2.3
19540101 19540131   237.4
19540201 19540228   256.6
19540301 19540331     0.0
19540401 19540430    20.4
19540501 19540531     5.3
19540601 19540630     8.1
19540701 19540731    69.4
19540801 19540831    75.5
19540901 19540930    18.9
19541001 19541031   214.3
19541101 19541130    40.2
19541201 19541231    47.4
19550101 19550131   153.4
19550201 19550228   133.9
19550301 19550331    69.4
19550401 19550430   136.6
19550501 19550531    69.3
19550601 19550630     9.4
19550701 19550731    40.0
19550801 19550831    13.7
19550901 19550930    11.4
19551001 19551031    90.6
19551101 19551130     7.2
19551201 19551231    66.6
19560101 19560131   192.3
19560201 19560229   182.2
19560301 19560331   138.1
19560401 19560430    35.0
19560501 19560531    64.8
19560601 19560630    75.0
19560701 19560731    47.6
19560801 19560831     2.6
19560901 19560930    24.2
19561001 19561031    19.5
19561101 19561130    54.5
19561201 19561231   134.3
19570101 19570131    64.0
19570201 19570228    41.1
19570301 19570331    24.1
19570401 19570430    16.6
19570501 19570531     0.5
19570601 19570630    39.1
19570701 19570731    44.2
19570801 19570831    10.1
19570901 19570930     0.3
19571001 19571031    11.0
19571101 19571130    13.7
19571201 19571231    17.8
19580101 19580131   114.7
19580201 19580228    21.6
19580301 19580331    22.2
19580401 19580430    43.7
19580501 19580531     2.8
19580601 19580630   114.9
19580701 19580731    12.5
19580801 19580831    38.3
19580901 19580930    15.7
19581001 19581031    49.1
19581101 19581130    34.2
19581201 19581231   106.5
19590101 19590131   100.6
19590201 19590228   175.4
19590301 19590331    73.7
19590401 19590430    22.5
19590501 19590531    33.5
19590601 19590630     3.1
19590701 19590731    52.7
19590801 19590831     0.0
19590901 19590930     4.0
19591001 19591031    98.7
19591101 19591130    36.9
19591201 19591231    44.5
19600101 19600131    20.3
19600201 19600229    32.0
19600301 19600331    21.1
19600401 19600430    30.7
19600501 19600531    56.6
19600601 19600630    26.4
19600701 19600731    17.4
19600801 19600831    34.8
19600901 19600930     6.1
19601001 19601031    25.4
19601101 19601130    57.0
19601201 19601231    26.6
19610101 19610131    27.9
19610201 19610228   119.1
19610301 19610331    32.3
19610401 19610430    45.8
19610501 19610531    35.3
19610601 19610630    17.8
19610701 19610731    66.5
19610801 19610831     5.9
19610901 19610930     5.6
19611001 19611031    43.5
19611101 19611130    79.7
19611201 19611231   126.2
19620101 19620131   158.1
19620201 19620228    43.4
19620301 19620331   104.7
19620401 19620430    26.9
19620501 19620531     5.1
19620601 19620630    18.6
19620701 19620731    15.5
19620801 19620831    25.2
19620901 19620930    26.9
19621001 19621031    30.0
19621101 19621130    22.8
19621201 19621231    82.9
19630101 19630131   232.0
19630201 19630228    11.9
19630301 19630331   270.8
19630401 19630430     1.3
19630501 19630531    33.8
19630601 19630630    20.8
19630701 19630731     0.0
19630801 19630831    84.1
19630901 19630930    13.5
19631001 19631031     4.5
19631101 19631130    92.2
19631201 19631231    22.3
