PRCP       014015 19010401 20180131 missing_value=99999.9 DARWIN AIRPORT                            
19610401 19610430    97.3
19610501 19610531     0.3
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.5
19611001 19611031    61.2
19611101 19611130   179.7
19611201 19611231    55.6
19620101 19620131   571.0
19620201 19620228   464.8
19620301 19620331   175.2
19620401 19620430    26.5
19620501 19620531     0.3
19620601 19620630     0.3
19620701 19620731     0.3
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031    53.7
19621101 19621130   142.3
19621201 19621231   187.4
19630101 19630131   310.6
19630201 19630228   330.4
19630301 19630331   228.2
19630401 19630430   125.3
19630501 19630531     0.9
19630601 19630630     0.3
19630701 19630731     0.9
19630801 19630831     0.3
19630901 19630930     0.0
19631001 19631031    46.1
19631101 19631130    61.8
19631201 19631231   228.9
19640101 19640131   319.3
19640201 19640229   117.3
19640301 19640331   350.8
19640401 19640430   126.2
19640501 19640531     1.8
19640601 19640630     2.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930    70.7
19641001 19641031    82.2
19641101 19641130   370.8
19641201 19641231   262.4
19650101 19650131   136.1
19650201 19650228   132.7
19650301 19650331   595.0
19650401 19650430     2.0
19650501 19650531    14.2
19650601 19650630     0.3
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930    21.6
19651001 19651031     4.8
19651101 19651130    64.8
19651201 19651231   582.9
19660101 19660131   432.7
19660201 19660228   263.9
19660301 19660331   130.5
19660401 19660430    39.1
19660501 19660531     0.8
19660601 19660630     1.0
19660701 19660731     0.0
19660801 19660831     3.8
19660901 19660930     1.8
19661001 19661031    85.0
19661101 19661130   118.0
19661201 19661231   293.0
19670101 19670131   434.2
19670201 19670228   641.6
19670301 19670331   289.3
19670401 19670430    29.7
19670501 19670531    37.1
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.5
19671001 19671031     6.1
19671101 19671130    82.1
19671201 19671231   106.7
19680101 19680131   547.9
19680201 19680229   673.1
19680301 19680331   227.3
19680401 19680430    96.6
19680501 19680531   298.9
19680601 19680630     0.0
19680701 19680731     9.4
19680801 19680831     5.7
19680901 19680930    13.2
19681001 19681031    69.6
19681101 19681130    57.0
19681201 19681231   122.5
19690101 19690131   374.1
19690201 19690228   814.6
19690301 19690331   346.0
19690401 19690430    13.1
19690501 19690531     3.0
19690601 19690630     0.0
19690701 19690731     5.1
19690801 19690831     0.0
19690901 19690930    18.8
19691001 19691031   170.7
19691101 19691130    40.9
19691201 19691231   160.4
19700101 19700131   220.2
19700201 19700228   312.4
19700301 19700331   124.5
19700401 19700430    33.4
19700501 19700531    19.1
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    17.5
19701001 19701031   169.2
19701101 19701130   130.1
19701201 19701231   198.0
19710101 19710131   388.7
19710201 19710228   298.0
19710301 19710331   471.8
19710401 19710430   186.6
19710501 19710531    28.7
19710601 19710630     0.0
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930    20.9
19711001 19711031    79.9
19711101 19711130   191.6
19711201 19711231   306.3
19720101 19720131   230.1
19720201 19720229   425.9
19720301 19720331   362.4
19720401 19720430    73.2
19720501 19720531    25.9
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     3.3
19720901 19720930    26.8
19721001 19721031    55.1
19721101 19721130   126.8
19721201 19721231   162.0
19730101 19730131   536.0
19730201 19730228   137.6
19730301 19730331   467.5
19730401 19730430    30.9
19730501 19730531    15.5
19730601 19730630    41.4
19730701 19730731     0.0
19730801 19730831     0.0
19730901 19730930     0.3
19731001 19731031    42.8
19731101 19731130   126.5
19731201 19731231   268.2
19740101 19740131   746.8
19740201 19740228   370.1
19740301 19740331   497.3
19740401 19740430    57.2
19740501 19740531     0.2
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    35.3
19740901 19740930    26.1
19741001 19741031   118.8
19741101 19741130   127.6
19741201 19741231   664.5
19750101 19750131   336.6
19750201 19750228   514.5
19750301 19750331   361.5
19750401 19750430   100.4
19750501 19750531     1.4
19750601 19750630     0.0
19750701 19750731     0.0
19750801 19750831     0.2
19750901 19750930     7.2
19751001 19751031   154.7
19751101 19751130   237.8
19751201 19751231   195.5
19760101 19760131   531.6
19760201 19760229   380.9
19760301 19760331   502.2
19760401 19760430    36.2
19760501 19760531     0.6
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    16.2
19761101 19761130    17.2
19761201 19761231    77.8
19770101 19770131   532.8
19770201 19770228   407.7
19770301 19770331  1013.6
19770401 19770430   147.6
19770501 19770531    28.8
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     3.2
19771001 19771031    18.8
19771101 19771130    38.6
19771201 19771231   194.0
19780101 19780131   508.4
19780201 19780228   278.4
19780301 19780331    88.0
19780401 19780430    66.2
19780501 19780531     5.0
19780601 19780630     0.4
19780701 19780731     6.8
19780801 19780831     0.0
19780901 19780930    22.4
