PRCP       010658 19040801 20171231 missing_value=99999.9 WONNAMINTA                                
19500801 19500831    32.2
19500901 19500930    50.3
19501001 19501031    11.1
19501101 19501130    41.9
19501201 19501231     0.0
19510101 19510131     0.0
19510201 19510228    36.3
19510301 19510331    12.7
19510401 19510430   127.4
19510501 19510531    31.0
19510601 19510630   124.1
19510701 19510731    54.8
19510801 19510831    49.2
19510901 19510930    11.4
19511001 19511031    29.3
19511101 19511130    43.2
19511201 19511231    43.6
19520101 19520131     0.0
19520201 19520229     0.0
19520301 19520331    22.1
19520401 19520430     0.0
19520501 19520531    53.7
19520601 19520630   134.3
19520701 19520731    74.8
19520801 19520831    53.9
19520901 19520930    44.3
19521001 19521031    45.7
19521101 19521130     3.6
19521201 19521231     8.4
19530101 19530131     0.0
19530201 19530228     9.6
19530301 19530331     2.1
19530401 19530430    41.2
19530501 19530531   119.7
19530601 19530630   103.8
19530701 19530731    94.6
19530801 19530831    29.5
19530901 19530930    32.1
19531001 19531031    70.8
19531101 19531130     9.2
19531201 19531231     0.0
19540101 19540131     5.3
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    12.1
19540501 19540531    69.6
19540601 19540630    42.8
19540701 19540731   106.8
19540801 19540831    20.8
19540901 19540930    29.4
19541001 19541031     1.3
19541101 19541130    18.0
19541201 19541231     0.0
19550101 19550131     0.0
19550201 19550228   224.1
19550301 19550331     2.8
19550401 19550430    48.9
19550501 19550531    54.3
19550601 19550630    47.0
19550701 19550731    71.9
19550801 19550831   193.6
19550901 19550930    63.7
19551001 19551031    58.3
19551101 19551130     5.3
19551201 19551231     8.6
19560101 19560131     0.0
19560201 19560229     5.6
19560301 19560331    14.7
19560401 19560430    17.8
19560501 19560531   100.6
19560601 19560630    95.0
19560701 19560731   103.9
19560801 19560831    14.4
19560901 19560930    40.9
19561001 19561031     8.1
19561101 19561130    39.9
19561201 19561231     1.0
19570101 19570131    18.3
19570201 19570228     0.0
19570301 19570331     0.0
19570401 19570430    32.6
19570501 19570531    74.2
19570601 19570630   161.1
19570701 19570731    22.9
19570801 19570831    58.1
19570901 19570930    20.9
19571001 19571031    19.7
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     1.3
19580201 19580228    13.2
19580301 19580331     0.0
19580401 19580430     9.1
19580501 19580531    83.3
19580601 19580630    44.9
19580701 19580731   312.0
19580801 19580831    37.3
19580901 19580930    52.3
19581001 19581031    12.0
19581101 19581130    34.5
19581201 19581231    11.9
