PRCP       025015 19060801 20171130 missing_value=99999.9 PINNAROO                                  
19460801 19460831    29.8
19460901 19460930    16.0
19461001 19461031    11.2
19461101 19461130    27.8
19461201 19461231    43.0
19470101 19470131     0.0
19470201 19470228    53.0
19470301 19470331    58.7
19470401 19470430    12.0
19470501 19470531     7.1
19470601 19470630    23.0
19470701 19470731    46.2
19470801 19470831    32.5
19470901 19470930    46.1
19471001 19471031    52.1
19471101 19471130    23.9
19471201 19471231    33.0
19480101 19480131     0.6
19480201 19480229     9.7
19480301 19480331     2.5
19480401 19480430    68.2
19480501 19480531    23.9
19480601 19480630    55.2
19480701 19480731    19.0
19480801 19480831    22.0
19480901 19480930     4.8
19481001 19481031    75.2
19481101 19481130    46.8
19481201 19481231    25.2
19490101 19490131     5.4
19490201 19490228    40.1
19490301 19490331     4.1
19490401 19490430     1.5
19490501 19490531    40.3
19490601 19490630     6.8
19490701 19490731    16.0
19490801 19490831     8.2
19490901 19490930    21.6
19491001 19491031    47.5
19491101 19491130    47.0
19491201 19491231     0.0
19500101 19500131     0.8
19500201 19500228    77.2
19500301 19500331    43.7
19500401 19500430    37.0
19500501 19500531    76.5
19500601 19500630    15.0
19500701 19500731    23.3
19500801 19500831    24.4
19500901 19500930    35.1
19501001 19501031    27.5
19501101 19501130    17.3
19501201 19501231    16.9
19510101 19510131    16.0
19510201 19510228     4.9
19510301 19510331     6.3
19510401 19510430    19.4
19510501 19510531    45.8
19510601 19510630    87.8
19510701 19510731    37.8
19510801 19510831    68.9
19510901 19510930     8.9
19511001 19511031    48.4
19511101 19511130     1.6
19511201 19511231    31.0
19520101 19520131    41.9
19520201 19520229    10.1
19520301 19520331    23.4
19520401 19520430    18.1
19520501 19520531    60.1
19520601 19520630    32.8
19520701 19520731    21.8
19520801 19520831    18.2
19520901 19520930    17.8
19521001 19521031    32.4
19521101 19521130    38.4
19521201 19521231     6.1
19530101 19530131    36.4
19530201 19530228     0.5
19530301 19530331     4.3
19530401 19530430     9.5
19530501 19530531    10.7
19530601 19530630    46.6
19530701 19530731    51.3
19530801 19530831    39.9
19530901 19530930    29.3
19531001 19531031    29.2
19531101 19531130    28.4
19531201 19531231    34.8
19540101 19540131    40.2
19540201 19540228     0.0
19540301 19540331     1.8
19540401 19540430    88.6
19540501 19540531    15.5
19540601 19540630    26.0
19540701 19540731    30.8
19540801 19540831    23.2
19540901 19540930     8.5
19541001 19541031    26.0
19541101 19541130    31.2
