PRCP       051033 19230101 20171231 missing_value=99999.9 NYNGAN (MUDALL)                           
19670201 19670228     2.5
19670301 19670331    45.4
19670401 19670430     0.0
19670501 19670531    16.2
19670601 19670630    64.3
19670701 19670731     1.0
19670801 19670831    24.9
19670901 19670930     2.3
19671001 19671031    33.8
19671101 19671130    11.9
19671201 19671231     0.0
19680101 19680131   196.8
19680201 19680229     6.6
19680301 19680331    33.3
19680401 19680430    17.6
19680501 19680531    80.2
19680601 19680630    12.0
19680701 19680731    35.3
19680801 19680831    15.9
19680901 19680930    16.0
19681001 19681031     4.9
19681101 19681130    23.6
19681201 19681231    80.2
19690101 19690131    10.9
19690201 19690228    56.7
19690301 19690331   129.4
19690401 19690430    42.2
19690501 19690531    66.1
19690601 19690630    22.3
19690701 19690731    53.1
19690801 19690831    27.1
19690901 19690930    28.7
19691001 19691031    95.0
19691101 19691130    44.5
19691201 19691231     7.7
19700101 19700131    68.4
19700201 19700228    22.8
19700301 19700331    56.6
19700401 19700430    29.0
19700501 19700531    15.2
19700601 19700630     8.0
19700701 19700731     0.0
19700801 19700831    41.4
19700901 19700930    48.3
19701001 19701031    86.9
19701101 19701130    37.7
19701201 19701231    16.0
19710101 19710131   111.2
19710201 19710228    71.2
19710301 19710331    22.6
19710401 19710430    14.0
19710501 19710531     6.4
19710601 19710630     6.6
19710701 19710731    45.2
19710801 19710831    27.0
19710901 19710930    15.5
19711001 19711031     1.3
19711101 19711130   102.0
19711201 19711231    44.5
19720101 19720131   118.9
19720201 19720229    17.4
19720301 19720331     0.0
19720401 19720430    17.8
19720501 19720531    12.1
19720601 19720630    30.8
19720701 19720731     3.0
19720801 19720831    19.9
19720901 19720930     1.5
19721001 19721031    49.8
19721101 19721130     8.2
19721201 19721231     3.5
19730101 19730131    75.2
19730201 19730228   158.0
19730301 19730331    18.8
19730401 19730430    17.0
19730501 19730531    14.5
19730601 19730630    57.2
19730701 19730731    20.0
19730801 19730831    66.3
19730901 19730930    44.9
19731001 19731031   114.6
19731101 19731130    83.9
19731201 19731231   112.9
19740101 19740131   142.1
19740201 19740228    63.4
19740301 19740331     6.2
19740401 19740430   215.4
19740501 19740531    26.4
19740601 19740630    12.0
19740701 19740731    20.8
19740801 19740831    49.6
19740901 19740930    37.8
19741001 19741031    80.0
19741101 19741130    39.0
19741201 19741231     2.0
19750101 19750131    11.2
19750201 19750228    49.0
19750301 19750331    20.6
19750401 19750430     6.4
19750501 19750531     1.6
19750601 19750630    61.8
19750701 19750731    18.4
19750801 19750831    56.6
19750901 19750930    53.4
19751001 19751031    77.0
19751101 19751130     0.0
19751201 19751231    80.0
19760101 19760131   307.0
19760201 19760229   220.2
19760301 19760331    42.8
19760401 19760430    25.2
19760501 19760531    19.6
19760601 19760630    67.8
19760701 19760731    46.2
19760801 19760831    17.8
19760901 19760930    38.0
19761001 19761031    63.8
19761101 19761130    25.2
19761201 19761231    23.4
19770101 19770131     7.4
19770201 19770228    81.0
19770301 19770331   110.1
19770401 19770430     0.0
19770501 19770531   147.6
19770601 19770630    10.6
19770701 19770731     3.0
19770801 19770831     7.0
19770901 19770930    16.8
19771001 19771031    23.6
19771101 19771130     1.2
19771201 19771231    11.0
19780101 19780131   242.8
19780201 19780228     0.6
19780301 19780331    41.6
19780401 19780430     0.0
19780501 19780531    92.4
19780601 19780630    37.4
19780701 19780731    47.8
19780801 19780831     4.8
19780901 19780930    73.0
19781001 19781031     6.0
19781101 19781130    96.0
19781201 19781231   103.2
19790101 19790131     5.4
19790201 19790228    22.6
19790301 19790331    24.6
19790401 19790430    45.0
19790501 19790531    59.6
19790601 19790630    52.4
19790701 19790731    26.0
19790801 19790831    16.0
19790901 19790930    28.0
19791001 19791031    51.6
19791101 19791130    29.4
19791201 19791231     0.2
19800101 19800131    38.6
19800201 19800229    18.0
19800301 19800331    24.8
19800401 19800430    13.2
19800501 19800531   113.6
19800601 19800630    25.2
19800701 19800731    17.2
19800801 19800831    13.4
19800901 19800930     0.2
19801001 19801031    46.6
19801101 19801130     3.0
19801201 19801231    19.2
19810101 19810131    30.4
19810201 19810228    28.8
19810301 19810331    36.8
19810401 19810430    24.0
19810501 19810531    61.0
19810601 19810630    45.6
19810701 19810731    58.4
19810801 19810831     6.8
19810901 19810930    13.8
19811001 19811031    64.0
19811101 19811130    89.0
19811201 19811231     6.2
19820101 19820131    48.8
19820201 19820228    47.6
19820301 19820331   101.4
19820401 19820430     7.2
19820501 19820531     5.8
19820601 19820630     3.0
19820701 19820731     5.6
19820801 19820831     5.0
19820901 19820930     3.4
19821001 19821031    11.2
19821101 19821130     3.4
19821201 19821231    21.8
19830101 19830131    53.8
19830201 19830228    33.2
19830301 19830331    71.8
19830401 19830430    28.2
19830501 19830531   129.6
19830601 19830630    18.6
19830701 19830731    39.4
19830801 19830831    58.8
19830901 19830930    12.8
19831001 19831031    49.2
19831101 19831130    87.6
19831201 19831231    43.8
19840101 19840131   240.6
19840201 19840229    35.4
19840301 19840331    30.0
19840401 19840430    35.2
19840501 19840531     6.2
19840601 19840630     0.0
19840701 19840731    87.4
19840801 19840831    26.8
19840901 19840930    16.0
19841001 19841031    96.6
19841101 19841130    29.8
19841201 19841231     4.0
19850101 19850131     4.2
19850201 19850228    18.4
19850301 19850331    32.4
19850401 19850430    28.2
19850501 19850531    25.2
19850601 19850630    39.6
19850701 19850731     1.2
19850801 19850831    59.8
19850901 19850930    11.2
19851001 19851031    30.0
19851101 19851130    73.0
19851201 19851231    50.0
19860101 19860131     9.6
19860201 19860228     0.0
19860301 19860331     0.4
19860401 19860430    13.4
19860501 19860531    19.8
19860601 19860630     0.0
19860701 19860731    49.4
19860801 19860831    56.0
19860901 19860930    20.4
19861001 19861031    36.2
19861101 19861130    16.2
19861201 19861231     9.0
19870101 19870131    31.8
19870201 19870228     5.6
19870301 19870331    84.6
19870401 19870430     0.0
19870501 19870531    13.4
19870601 19870630    25.2
19870701 19870731    10.6
19870801 19870831    74.0
19870901 19870930     8.6
19871001 19871031    56.6
19871101 19871130     5.6
19871201 19871231    57.7
19880101 19880131     5.6
19880201 19880229    20.4
19880301 19880331    11.0
19880401 19880430   142.0
19880501 19880531    10.8
19880601 19880630    39.5
19880701 19880731    81.6
19880801 19880831    23.8
19880901 19880930    30.0
19881001 19881031     7.6
19881101 19881130    17.6
19881201 19881231   132.0
19890101 19890131    15.6
19890201 19890228     0.0
19890301 19890331    72.0
19890401 19890430   121.0
19890501 19890531   110.8
19890601 19890630    18.6
19890701 19890731    24.8
19890801 19890831    13.0
19890901 19890930     0.2
19891001 19891031    52.2
19891101 19891130     9.0
19891201 19891231    25.4
19900101 19900131    31.6
19900201 19900228    42.2
19900301 19900331    64.0
19900401 19900430   381.7
19900501 19900531    40.2
19900601 19900630    22.4
19900701 19900731    60.2
19900801 19900831    24.3
19900901 19900930    17.4
19901001 19901031    20.2
19901101 19901130    16.8
19901201 19901231    34.4
19910101 19910131    67.6
19910201 19910228     2.7
19910301 19910331     7.2
19910401 19910430     2.4
19910501 19910531    61.2
19910601 19910630    34.2
19910701 19910731    12.8
19910801 19910831    14.6
19910901 19910930    13.0
19911001 19911031    20.4
19911101 19911130     0.0
19911201 19911231    76.2
19920101 19920131    31.6
19920201 19920229   383.0
19920301 19920331     2.0
19920401 19920430     8.0
19920501 19920531     5.6
19920601 19920630     9.2
19920701 19920731     7.8
19920801 19920831    60.8
19920901 19920930    37.4
19921001 19921031    31.4
19921101 19921130    59.0
19921201 19921231   147.8
19930101 19930131    56.8
19930201 19930228    30.6
19930301 19930331    20.2
19930401 19930430     0.0
19930501 19930531    62.6
19930601 19930630    21.6
19930701 19930731    53.0
19930801 19930831    11.2
19930901 19930930   107.4
19931001 19931031    35.8
19931101 19931130    21.0
19931201 19931231    23.6
19940101 19940131    43.4
19940201 19940228    79.6
19940301 19940331    72.2
19940401 19940430     7.6
19940501 19940531     6.0
