PRCP       008066 19070901 20171231 missing_value=99999.9 KOKARDINE                                 
19531001 19531031     6.5
19531101 19531130     3.0
19531201 19531231     0.0
19540101 19540131     6.1
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     8.9
19540501 19540531    55.4
19540601 19540630    16.6
19540701 19540731    48.7
19540801 19540831    34.0
19540901 19540930    21.4
19541001 19541031     0.0
19541101 19541130     0.0
19541201 19541231    18.0
19550101 19550131    10.2
19550201 19550228    55.4
19550301 19550331     2.5
19550401 19550430    10.5
19550501 19550531    41.0
19550601 19550630    27.2
19550701 19550731    49.8
19550801 19550831    83.8
19550901 19550930    45.2
19551001 19551031    19.1
19551101 19551130     0.0
19551201 19551231     4.6
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     3.1
19560401 19560430    15.1
19560501 19560531    80.8
19560601 19560630    81.9
19560701 19560731    98.1
19560801 19560831     5.2
19560901 19560930     4.9
19561001 19561031    19.1
19561101 19561130    30.2
19561201 19561231     3.0
19570101 19570131    22.8
19570201 19570228     0.0
19570301 19570331     5.1
19570401 19570430    11.7
19570501 19570531    32.8
19570601 19570630   130.7
19570701 19570731    18.1
19570801 19570831    38.1
19570901 19570930     7.2
19571001 19571031     5.6
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     1.8
19580201 19580228     0.0
19580301 19580331     5.1
19580401 19580430     2.9
19580501 19580531    73.7
19580601 19580630    29.7
19580701 19580731   134.1
19580801 19580831    45.2
19580901 19580930    45.9
19581001 19581031     6.9
19581101 19581130     4.4
19581201 19581231    14.2
19590101 19590131     5.3
19590201 19590228    13.5
19590301 19590331    19.7
19590401 19590430     5.8
19590501 19590531     7.0
19590601 19590630    91.7
19590701 19590731    33.9
19590801 19590831    90.3
19590901 19590930     7.9
19591001 19591031    21.8
19591101 19591130    27.7
19591201 19591231     0.0
19600101 19600131    21.1
19600201 19600229    13.8
19600301 19600331    17.0
19600401 19600430    14.0
19600501 19600531    73.6
19600601 19600630    28.2
19600701 19600731    99.9
19600801 19600831    14.9
19600901 19600930    26.2
19601001 19601031     2.5
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    62.2
19610201 19610228     7.3
19610301 19610331     3.6
19610401 19610430    63.8
19610501 19610531    19.6
19610601 19610630    83.3
19610701 19610731    57.3
19610801 19610831    33.6
19610901 19610930     8.9
19611001 19611031     5.6
19611101 19611130     0.0
19611201 19611231     9.3
19620101 19620131    16.3
19620201 19620228     0.0
19620301 19620331     1.5
19620401 19620430     6.9
19620501 19620531    79.8
19620601 19620630    53.6
19620701 19620731    64.0
19620801 19620831    20.4
19620901 19620930    22.6
19621001 19621031    19.4
19621101 19621130    12.7
19621201 19621231    36.2
19630101 19630131    45.7
19630201 19630228    26.3
19630301 19630331    62.2
19630401 19630430    24.0
19630501 19630531   141.5
19630601 19630630    82.5
19630701 19630731    85.4
19630801 19630831   104.8
19630901 19630930    14.6
19631001 19631031     1.6
19631101 19631130     1.8
19631201 19631231    13.2
19640101 19640131     0.0
19640201 19640229    22.1
19640301 19640331     4.9
19640401 19640430    12.0
19640501 19640531     0.6
19640601 19640630   132.9
19640701 19640731    91.4
19640801 19640831    46.6
19640901 19640930    12.8
19641001 19641031    14.0
19641101 19641130    14.5
19641201 19641231     5.1
19650101 19650131    14.0
19650201 19650228     7.4
19650301 19650331     3.6
19650401 19650430    20.1
19650501 19650531    71.1
19650601 19650630   109.7
19650701 19650731    66.5
19650801 19650831    48.9
19650901 19650930    14.2
19651001 19651031    28.3
19651101 19651130    42.7
19651201 19651231     6.6
19660101 19660131     5.5
19660201 19660228    28.9
19660301 19660331     0.0
19660401 19660430    80.9
19660501 19660531     6.9
19660601 19660630    74.5
19660701 19660731    63.6
19660801 19660831    37.2
19660901 19660930    22.6
19661001 19661031    27.0
19661101 19661130    14.7
19661201 19661231     1.8
19670101 19670131    14.2
19670201 19670228     1.5
19670301 19670331     0.9
19670401 19670430     7.0
19670501 19670531    60.8
19670601 19670630    59.7
19670701 19670731    70.5
19670801 19670831    19.2
19670901 19670930     3.9
19671001 19671031    15.7
19671101 19671130    30.3
19671201 19671231     9.2
19680101 19680131    58.9
19680201 19680229     5.9
19680301 19680331    50.4
19680401 19680430    23.3
19680501 19680531    18.4
19680601 19680630   159.7
19680701 19680731    43.4
19680801 19680831    34.6
