PRCP       010112 19070101 20180131 missing_value=99999.9 NUNGARIN POST OFFICE                      
19830501 19830531     4.2
19830601 19830630    69.9
19830701 19830731    44.5
19830801 19830831    33.4
19830901 19830930    38.4
19831001 19831031     1.8
19831101 19831130    77.6
19831201 19831231    22.4
19840101 19840131     0.6
19840201 19840229    20.6
19840301 19840331    46.6
19840401 19840430    38.6
19840501 19840531    88.2
19840601 19840630    20.0
19840701 19840731    40.2
19840801 19840831    16.4
19840901 19840930    13.2
19841001 19841031     4.6
19841101 19841130     9.8
19841201 19841231     0.8
19850101 19850131     0.0
19850201 19850228    38.6
19850301 19850331    15.6
19850401 19850430     5.2
19850501 19850531    15.4
19850601 19850630    20.2
19850701 19850731    51.6
19850801 19850831    31.4
19850901 19850930    18.0
19851001 19851031    20.9
19851101 19851130    17.3
19851201 19851231     5.2
19860101 19860131     3.0
19860201 19860228    35.1
19860301 19860331     8.4
19860401 19860430     8.2
19860501 19860531    47.8
19860601 19860630    83.4
19860701 19860731    28.4
19860801 19860831    38.8
19860901 19860930    19.0
19861001 19861031     8.6
19861101 19861130    15.8
19861201 19861231     6.0
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331     4.6
19870401 19870430    21.5
19870501 19870531    38.8
19870601 19870630    34.0
19870701 19870731    40.6
19870801 19870831    28.2
19870901 19870930    14.6
19871001 19871031    18.0
19871101 19871130    33.4
19871201 19871231    20.4
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331     7.0
19880401 19880430    19.7
19880501 19880531    70.7
19880601 19880630    53.4
19880701 19880731    43.8
19880801 19880831    65.0
19880901 19880930    16.6
19881001 19881031     0.0
19881101 19881130     0.0
19881201 19881231     9.0
19890101 19890131    14.2
19890201 19890228    43.0
19890301 19890331     3.6
19890401 19890430    34.0
19890501 19890531    77.9
19890601 19890630    10.4
19890701 19890731    39.4
19890801 19890831    16.0
19890901 19890930     3.8
19891001 19891031     8.1
19891101 19891130     0.8
19891201 19891231     0.8
19900101 19900131    93.6
19900201 19900228    17.6
19900301 19900331    53.9
19900401 19900430    17.0
19900501 19900531    15.4
19900601 19900630    31.0
19900701 19900731    52.0
19900801 19900831    29.6
19900901 19900930    19.8
19901001 19901031    25.4
19901101 19901130     0.0
19901201 19901231     1.2
19910101 19910131    20.4
19910201 19910228     0.0
19910301 19910331     0.8
19910401 19910430    13.0
19910501 19910531    28.3
19910601 19910630    45.6
19910701 19910731    48.5
19910801 19910831    16.5
19910901 19910930    19.4
19911001 19911031     7.2
19911101 19911130    11.9
19911201 19911231    40.0
19920101 19920131     0.0
19920201 19920229    51.0
19920301 19920331    88.6
19920401 19920430    45.8
19920501 19920531    10.6
19920601 19920630    66.3
19920701 19920731    35.7
19920801 19920831    82.2
19920901 19920930    53.4
19921001 19921031     2.6
19921101 19921130    17.6
19921201 19921231    11.5
