PRCP       079036 19061101 20180131 missing_value=99999.9 NATIMUK                                   
19880201 19880229    13.1
19880301 19880331    29.0
19880401 19880430     6.4
19880501 19880531   100.4
19880601 19880630    90.4
19880701 19880731    55.4
19880801 19880831    22.2
19880901 19880930    51.8
19881001 19881031    18.0
19881101 19881130    17.0
19881201 19881231    20.6
19890101 19890131     4.0
19890201 19890228     7.2
19890301 19890331    21.8
19890401 19890430    16.6
19890501 19890531    46.6
19890601 19890630    60.8
19890701 19890731    59.4
19890801 19890831    41.2
19890901 19890930    38.0
19891001 19891031    46.8
19891101 19891130    33.2
19891201 19891231     9.6
19900101 19900131     7.8
19900201 19900228    43.8
19900301 19900331    20.6
19900401 19900430    22.0
19900501 19900531    12.6
19900601 19900630    50.6
19900701 19900731    55.6
19900801 19900831    63.2
19900901 19900930    24.6
19901001 19901031    33.0
19901101 19901130    19.4
19901201 19901231    17.6
19910101 19910131    22.2
19910201 19910228     0.0
19910301 19910331    13.8
19910401 19910430    17.4
19910501 19910531     7.8
19910601 19910630   152.8
19910701 19910731    56.4
19910801 19910831    84.0
19910901 19910930    57.6
19911001 19911031     3.8
19911101 19911130    38.6
19911201 19911231     8.4
19920101 19920131    13.4
19920201 19920229    22.4
19920301 19920331    26.0
19920401 19920430    45.6
19920501 19920531    68.6
19920601 19920630    36.8
19920701 19920731    24.8
19920801 19920831    81.9
19920901 19920930    93.2
19921001 19921031    78.8
19921101 19921130    56.0
19921201 19921231    60.2
19930101 19930131    67.2
19930201 19930228    11.3
19930301 19930331    15.8
19930401 19930430     3.6
19930501 19930531    13.2
19930601 19930630    23.4
19930701 19930731   103.6
19930801 19930831    37.0
19930901 19930930    86.0
19931001 19931031    58.2
19931101 19931130    45.6
19931201 19931231    35.8
19940101 19940131    23.8
19940201 19940228    36.4
19940301 19940331     0.0
19940401 19940430     5.0
19940501 19940531    32.6
19940601 19940630    58.0
19940701 19940731    29.0
19940801 19940831    24.2
19940901 19940930    18.4
19941001 19941031    42.2
19941101 19941130    19.0
19941201 19941231     0.6
19950101 19950131    17.8
19950201 19950228    15.6
19950301 19950331     7.2
19950401 19950430    51.6
19950501 19950531    49.0
19950601 19950630    81.0
19950701 19950731   105.0
19950801 19950831    33.4
19950901 19950930    17.8
19951001 19951031    53.0
19951101 19951130     1.6
19951201 19951231    10.0
19960101 19960131    21.6
19960201 19960229    25.2
19960301 19960331    27.8
19960401 19960430    16.2
19960501 19960531     9.4
19960601 19960630   100.6
19960701 19960731    54.2
19960801 19960831    68.6
19960901 19960930    90.0
19961001 19961031 99999.9
19961101 19961130     4.0
19961201 19961231    12.2
19970101 19970131    18.0
19970201 19970228     4.2
19970301 19970331     5.4
19970401 19970430     3.8
19970501 19970531    57.0
19970601 19970630    12.6
19970701 19970731 99999.9
19970801 19970831    32.6
19970901 19970930    90.8
19971001 19971031    29.6
19971101 19971130    39.0
19971201 19971231     3.2
19980101 19980131    16.4
19980201 19980228    10.2
19980301 19980331     3.8
19980401 19980430    78.8
19980501 19980531    21.0
19980601 19980630    32.2
19980701 19980731    42.8
19980801 19980831    20.1
19980901 19980930    43.0
19981001 19981031    67.2
19981101 19981130    28.2
19981201 19981231    20.4
19990101 19990131    11.6
19990201 19990228    33.6
19990301 19990331    39.8
19990401 19990430     0.6
19990501 19990531    51.2
19990601 19990630    17.6
19990701 19990731    38.4
19990801 19990831    49.6
19990901 19990930    17.4
19991001 19991031    58.0
19991101 19991130    35.0
19991201 19991231    41.9
20000101 20000131     5.8
20000201 20000229    36.2
20000301 20000331    10.2
20000401 20000430    24.4
20000501 20000531    19.0
20000601 20000630    21.4
20000701 20000731    36.2
20000801 20000831    29.4
20000901 20000930    64.6
20001001 20001031    44.8
20001101 20001130    40.6
20001201 20001231    16.4
20010101 20010131    14.0
20010201 20010228    11.2
20010301 20010331    21.0
20010401 20010430    13.8
20010501 20010531    13.4
20010601 20010630    46.4
20010701 20010731    41.6
20010801 20010831    44.6
20010901 20010930    70.8
20011001 20011031    46.0
20011101 20011130    25.8
20011201 20011231    20.0
20020101 20020131    17.0
20020201 20020228     3.2
20020301 20020331     1.6
20020401 20020430    11.8
20020501 20020531    34.8
20020601 20020630    28.2
20020701 20020731    29.4
20020801 20020831    24.8
20020901 20020930    25.0
20021001 20021031    21.2
