PRCP       003030 18910101 20180131 missing_value=99999.9 BIDYADANGA                                
19571201 19571231    78.6
19580101 19580131    26.6
19580201 19580228    10.4
19580301 19580331    22.8
19580401 19580430     2.3
19580501 19580531     4.6
19580601 19580630     0.0
19580701 19580731    11.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130     1.6
19581201 19581231     1.8
19590101 19590131    14.7
19590201 19590228    25.4
19590301 19590331    40.4
19590401 19590430    11.4
19590501 19590531    46.5
19590601 19590630     0.0
19590701 19590731     4.3
19590801 19590831     0.0
19590901 19590930     1.8
19591001 19591031     0.0
19591101 19591130     0.0
19591201 19591231     0.0
19600101 19600131   174.1
19600201 19600229   196.1
19600301 19600331    51.1
19600401 19600430     0.0
19600501 19600531    36.1
19600601 19600630     2.4
19600701 19600731     5.4
19600801 19600831     0.0
19600901 19600930     0.5
19601001 19601031     0.0
19601101 19601130     2.0
19601201 19601231    12.7
19610101 19610131    22.9
19610201 19610228   147.1
19610301 19610331    61.7
19610401 19610430     1.8
19610501 19610531     2.6
19610601 19610630     0.5
19610701 19610731     0.3
19610801 19610831     0.1
19610901 19610930     0.1
19611001 19611031     0.1
19611101 19611130     5.1
19611201 19611231     3.4
19620101 19620131   434.5
19620201 19620228   269.5
19620301 19620331     4.3
19620401 19620430     0.0
19620501 19620531     8.1
19620601 19620630    24.6
19620701 19620731    12.5
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     0.0
19621101 19621130     9.4
19621201 19621231    22.9
19630101 19630131   135.4
19630201 19630228   213.6
19630301 19630331    52.5
19630401 19630430    36.3
19630501 19630531    95.0
19630601 19630630    12.7
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     3.1
19631101 19631130     0.0
19631201 19631231     0.0
19640101 19640131   764.3
19640201 19640229    19.5
19640301 19640331    19.8
19640401 19640430    15.8
19640501 19640531    55.9
19640601 19640630     5.8
19640701 19640731     0.0
19640801 19640831     0.5
19640901 19640930     0.5
19641001 19641031     0.0
19641101 19641130     9.4
19641201 19641231    12.2
19650101 19650131    39.9
19650201 19650228    54.4
19650301 19650331   195.3
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630    22.5
19650701 19650731     0.0
