PRCP       010041 19100101 20180131 missing_value=99999.9 DOONGIN PEAK                              
19570901 19570930     1.8
19571001 19571031    12.5
19571101 19571130     0.0
19571201 19571231     6.6
19580101 19580131     0.0
19580201 19580228     0.0
19580301 19580331     3.8
19580401 19580430     2.0
19580501 19580531    67.0
19580601 19580630    29.2
19580701 19580731   137.1
19580801 19580831    22.8
19580901 19580930    28.6
19581001 19581031    10.2
19581101 19581130    10.7
19581201 19581231    30.5
19590101 19590131     0.0
19590201 19590228     6.6
19590301 19590331     4.4
19590401 19590430     1.5
19590501 19590531     8.1
19590601 19590630    81.1
19590701 19590731    17.0
19590801 19590831    53.1
19590901 19590930    14.2
19591001 19591031    16.0
19591101 19591130     9.0
19591201 19591231     4.3
19600101 19600131    21.6
19600201 19600229     4.6
19600301 19600331    28.2
19600401 19600430     8.1
19600501 19600531    66.7
19600601 19600630    45.0
19600701 19600731    91.5
19600801 19600831    16.1
19600901 19600930    43.5
19601001 19601031     1.5
19601101 19601130     0.0
19601201 19601231     2.8
19610101 19610131    36.3
19610201 19610228     6.6
19610301 19610331     3.1
19610401 19610430    37.5
19610501 19610531    10.1
19610601 19610630    56.1
19610701 19610731    50.2
19610801 19610831    25.1
19610901 19610930    12.8
19611001 19611031     1.3
19611101 19611130     0.0
19611201 19611231     8.1
19620101 19620131    29.6
19620201 19620228     3.0
19620301 19620331     3.1
19620401 19620430     2.3
19620501 19620531    96.4
19620601 19620630    52.0
19620701 19620731    43.3
19620801 19620831    24.4
19620901 19620930    15.5
19621001 19621031    27.5
19621101 19621130    10.5
19621201 19621231     7.2
19630101 19630131    19.1
19630201 19630228    63.8
19630301 19630331    33.0
19630401 19630430    27.7
19630501 19630531    83.9
19630601 19630630   137.8
19630701 19630731    77.4
19630801 19630831    89.2
19630901 19630930    14.4
19631001 19631031     4.3
19631101 19631130    11.2
19631201 19631231     4.0
19640101 19640131     8.9
19640201 19640229     0.0
19640301 19640331    16.7
19640401 19640430    23.9
19640501 19640531     2.3
19640601 19640630    95.5
19640701 19640731   108.2
19640801 19640831    55.9
19640901 19640930    25.6
19641001 19641031    13.0
19641101 19641130     4.8
19641201 19641231    10.7
19650101 19650131     1.8
19650201 19650228     0.0
19650301 19650331    11.7
19650401 19650430    15.5
19650501 19650531    56.2
19650601 19650630    68.5
19650701 19650731    58.9
19650801 19650831    38.2
19650901 19650930    15.7
19651001 19651031    27.6
19651101 19651130    24.7
19651201 19651231    24.7
19660101 19660131    14.0
19660201 19660228     7.4
19660301 19660331     0.5
19660401 19660430    86.6
19660501 19660531     6.8
19660601 19660630    63.7
19660701 19660731    77.0
19660801 19660831    37.0
19660901 19660930    36.3
19661001 19661031    40.4
19661101 19661130     1.0
19661201 19661231     0.0
19670101 19670131    15.2
19670201 19670228     0.0
19670301 19670331     5.0
19670401 19670430    15.7
19670501 19670531    72.1
19670601 19670630    59.7
19670701 19670731    52.0
19670801 19670831    29.2
19670901 19670930     9.6
19671001 19671031    20.3
19671101 19671130     8.6
19671201 19671231     2.8
19680101 19680131    64.3
19680201 19680229    36.5
19680301 19680331    71.5
19680401 19680430    26.9
19680501 19680531    32.0
19680601 19680630   157.1
19680701 19680731    39.6
19680801 19680831    41.3
19680901 19680930    38.3
19681001 19681031    11.2
19681101 19681130     1.8
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228     5.4
19690301 19690331    17.0
19690401 19690430    31.0
19690501 19690531    27.9
19690601 19690630    46.0
19690701 19690731    21.5
19690801 19690831    13.0
19690901 19690930     8.2
19691001 19691031     4.6
19691101 19691130    10.2
19691201 19691231     0.0
19700101 19700131     0.0
19700201 19700228    99.0
19700301 19700331     0.0
19700401 19700430    36.0
19700501 19700531    29.1
19700601 19700630    62.1
19700701 19700731    21.6
19700801 19700831    15.5
19700901 19700930    43.2
19701001 19701031    20.8
19701101 19701130     0.5
19701201 19701231     5.9
19710101 19710131     5.6
19710201 19710228     7.9
19710301 19710331    99.6
19710401 19710430     5.1
19710501 19710531    17.6
19710601 19710630    28.0
19710701 19710731    33.1
19710801 19710831    32.5
19710901 19710930    48.3
19711001 19711031    23.6
19711101 19711130    23.4
19711201 19711231     0.0
19720101 19720131     0.0
19720201 19720229     2.5
19720301 19720331    11.2
19720401 19720430     7.8
19720501 19720531    21.6
19720601 19720630    47.4
19720701 19720731    33.7
19720801 19720831    48.6
19720901 19720930    14.3
19721001 19721031    10.1
19721101 19721130     1.0
19721201 19721231     0.0
19730101 19730131    12.0
19730201 19730228     0.0
19730301 19730331     0.0
19730401 19730430    17.0
19730501 19730531    32.9
19730601 19730630    73.7
19730701 19730731    71.0
19730801 19730831    39.0
19730901 19730930    71.1
19731001 19731031    23.1
19731101 19731130    15.2
19731201 19731231     0.0
19740101 19740131     0.0
19740201 19740228     0.0
19740301 19740331    14.0
19740401 19740430    66.1
19740501 19740531   127.4
19740601 19740630    31.6
19740701 19740731    69.8
19740801 19740831    54.8
19740901 19740930    43.9
19741001 19741031    19.3
19741101 19741130    26.8
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     3.0
19750301 19750331    10.2
19750401 19750430    50.2
19750501 19750531    29.2
19750601 19750630    35.3
19750701 19750731    63.7
19750801 19750831    20.7
19750901 19750930    24.0
19751001 19751031    27.8
19751101 19751130     8.7
19751201 19751231    20.0
19760101 19760131    12.2
19760201 19760229    24.9
19760301 19760331     0.0
19760401 19760430    28.8
19760501 19760531    35.2
19760601 19760630    33.8
19760701 19760731    11.3
19760801 19760831    59.2
19760901 19760930    55.2
19761001 19761031    23.3
19761101 19761130    14.1
19761201 19761231     0.0
19770101 19770131     0.4
19770201 19770228     5.4
19770301 19770331     0.0
19770401 19770430    20.0
19770501 19770531    30.8
19770601 19770630    39.1
19770701 19770731    30.1
19770801 19770831    49.4
19770901 19770930     6.9
19771001 19771031    47.6
19771101 19771130     8.4
19771201 19771231     8.6
19780101 19780131    33.0
19780201 19780228    47.2
19780301 19780331     0.4
19780401 19780430    22.4
19780501 19780531    37.9
19780601 19780630    37.8
19780701 19780731    64.3
19780801 19780831    17.4
19780901 19780930    21.5
19781001 19781031     8.4
19781101 19781130     7.2
19781201 19781231    48.7
19790101 19790131    16.0
19790201 19790228   111.0
19790301 19790331    22.0
19790401 19790430    13.8
19790501 19790531    18.8
19790601 19790630    56.8
19790701 19790731    28.4
19790801 19790831    56.3
19790901 19790930    11.6
19791001 19791031     2.7
19791101 19791130    11.9
19791201 19791231     1.0
19800101 19800131     3.8
19800201 19800229    16.8
19800301 19800331     1.2
19800401 19800430    17.4
19800501 19800531    24.1
19800601 19800630    25.4
19800701 19800731    29.8
19800801 19800831    27.0
19800901 19800930     6.4
19801001 19801031    20.8
19801101 19801130     2.2
19801201 19801231    10.6
19810101 19810131     2.0
19810201 19810228    37.0
19810301 19810331     2.0
19810401 19810430    25.4
19810501 19810531    70.4
19810601 19810630    62.6
19810701 19810731    48.9
19810801 19810831    48.6
19810901 19810930    14.2
19811001 19811031    19.0
19811101 19811130    27.6
19811201 19811231    22.4
19820101 19820131    51.6
19820201 19820228     0.0
19820301 19820331     1.2
19820401 19820430     0.0
19820501 19820531    27.3
19820601 19820630    62.5
19820701 19820731    20.6
19820801 19820831    65.2
19820901 19820930    27.6
19821001 19821031    10.6
19821101 19821130     1.4
19821201 19821231     0.0
19830101 19830131     0.0
19830201 19830228     5.0
19830301 19830331    28.2
19830401 19830430     9.2
19830501 19830531    16.7
19830601 19830630    76.0
19830701 19830731    75.4
19830801 19830831    29.4
19830901 19830930    26.9
19831001 19831031     7.4
19831101 19831130    79.4
19831201 19831231    17.2
19840101 19840131     0.0
19840201 19840229     9.2
19840301 19840331    48.1
19840401 19840430    67.0
19840501 19840531    84.6
19840601 19840630    20.8
19840701 19840731    45.4
19840801 19840831    30.0
19840901 19840930    20.4
19841001 19841031     5.8
19841101 19841130    16.0
19841201 19841231     2.8
19850101 19850131     0.0
19850201 19850228    22.2
19850301 19850331    20.4
19850401 19850430     5.2
19850501 19850531     5.4
19850601 19850630    23.6
19850701 19850731    64.5
19850801 19850831    40.2
19850901 19850930    22.6
19851001 19851031     4.8
19851101 19851130     7.8
19851201 19851231     0.0
19860101 19860131     2.0
19860201 19860228    50.8
19860301 19860331    11.4
19860401 19860430     4.6
19860501 19860531    60.6
19860601 19860630    81.6
19860701 19860731    38.6
19860801 19860831    43.8
19860901 19860930    17.6
19861001 19861031     9.6
19861101 19861130    12.0
19861201 19861231     0.0
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331     2.6
19870401 19870430    29.0
19870501 19870531    42.5
19870601 19870630    42.6
19870701 19870731    57.2
19870801 19870831    47.8
19870901 19870930    17.8
19871001 19871031    11.4
19871101 19871130    26.2
19871201 19871231    25.2
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    38.0
19880401 19880430    22.6
19880501 19880531    39.9
19880601 19880630    51.8
19880701 19880731    55.6
19880801 19880831    51.4
19880901 19880930    28.6
19881001 19881031    10.6
19881101 19881130    12.0
19881201 19881231    20.2
19890101 19890131     8.2
19890201 19890228    25.8
19890301 19890331     1.0
19890401 19890430    29.0
19890501 19890531    90.2
19890601 19890630    54.6
19890701 19890731    40.6
19890801 19890831    17.2
19890901 19890930     7.4
19891001 19891031    25.6
19891101 19891130     4.4
19891201 19891231     0.0
19900101 19900131   100.0
19900201 19900228    19.6
19900301 19900331    29.0
19900401 19900430    24.6
19900501 19900531    14.8
19900601 19900630    28.6
19900701 19900731    75.0
19900801 19900831    19.0
19900901 19900930    21.9
19901001 19901031    26.2
19901101 19901130     0.0
19901201 19901231     1.0
19910101 19910131    12.0
19910201 19910228     1.2
19910301 19910331     6.4
19910401 19910430     9.0
19910501 19910531    38.9
19910601 19910630    68.4
19910701 19910731    62.0
19910801 19910831    32.0
19910901 19910930    20.6
19911001 19911031    17.0
19911101 19911130    21.8
19911201 19911231    30.6
19920101 19920131     1.0
19920201 19920229    24.6
19920301 19920331    26.9
19920401 19920430    44.0
19920501 19920531    11.8
19920601 19920630   103.2
19920701 19920731    43.0
19920801 19920831    99.7
19920901 19920930    47.8
19921001 19921031     7.0
19921101 19921130    14.3
19921201 19921231     1.0
19930101 19930131     0.0
19930201 19930228     0.0
19930301 19930331    14.8
19930401 19930430    11.8
19930501 19930531   103.0
19930601 19930630    55.6
19930701 19930731    36.7
19930801 19930831    41.8
19930901 19930930    28.0
19931001 19931031     6.2
19931101 19931130    30.6
19931201 19931231     1.0
19940101 19940131     0.0
19940201 19940228     2.7
19940301 19940331     0.0
19940401 19940430     0.4
19940501 19940531    65.6
19940601 19940630    33.2
19940701 19940731    20.4
19940801 19940831    35.8
19940901 19940930    24.7
19941001 19941031     3.6
19941101 19941130     0.0
19941201 19941231 99999.9
19950101 19950131     9.2
19950201 19950228    16.5
19950301 19950331    20.1
19950401 19950430    11.8
19950501 19950531    59.0
19950601 19950630    87.1
19950701 19950731    93.7
19950801 19950831    20.4
19950901 19950930    35.8
19951001 19951031    34.8
19951101 19951130     2.6
19951201 19951231    42.4
19960101 19960131     0.0
19960201 19960229     0.0
19960301 19960331     2.0
19960401 19960430    15.8
19960501 19960531    19.2
19960601 19960630    77.0
19960701 19960731    68.4
19960801 19960831    37.4
19960901 19960930    50.4
19961001 19961031    18.2
19961101 19961130    29.2
19961201 19961231     1.2
19970101 19970131     1.0
19970201 19970228    25.0
19970301 19970331    17.2
19970401 19970430    42.4
19970501 19970531    31.4
19970601 19970630    19.8
19970701 19970731    62.8
19970801 19970831    48.6
19970901 19970930    31.5
19971001 19971031    16.0
19971101 19971130    16.0
19971201 19971231     0.0
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     8.0
19980401 19980430    38.6
19980501 19980531    19.8
19980601 19980630   103.4
19980701 19980731    49.3
19980801 19980831    51.8
19980901 19980930    22.8
19981001 19981031     4.6
19981101 19981130     1.0
19981201 19981231     7.6
19990101 19990131     4.0
19990201 19990228     0.0
19990301 19990331    55.8
19990401 19990430    12.9
19990501 19990531   105.6
19990601 19990630    51.6
19990701 19990731    75.2
19990801 19990831    58.2
19990901 19990930    47.6
19991001 19991031    30.6
19991101 19991130     2.4
19991201 19991231    60.4
20000101 20000131   121.8
20000201 20000229     0.0
20000301 20000331    23.6
20000401 20000430    14.4
20000501 20000531    11.2
20000601 20000630    25.5
20000701 20000731    56.8
20000801 20000831    40.4
20000901 20000930    14.6
20001001 20001031     0.0
20001101 20001130     2.0
20001201 20001231     0.0
20010101 20010131    38.4
20010201 20010228    19.2
20010301 20010331     0.0
20010401 20010430    18.8
20010501 20010531    51.2
20010601 20010630     8.0
20010701 20010731    63.0
20010801 20010831    34.8
20010901 20010930    29.0
20011001 20011031    10.2
20011101 20011130    18.8
20011201 20011231     1.0
20020101 20020131    26.6
20020201 20020228     4.6
20020301 20020331     0.8
20020401 20020430    28.4
20020501 20020531     8.6
20020601 20020630    40.8
20020701 20020731    36.6
20020801 20020831    31.6
20020901 20020930    13.2
20021001 20021031    16.6
20021101 20021130    15.0
20021201 20021231     9.0
20030101 20030131     0.0
20030201 20030228    88.3
20030301 20030331    14.2
20030401 20030430    33.6
20030501 20030531    46.2
20030601 20030630    48.4
20030701 20030731    37.6
20030801 20030831    73.8
20030901 20030930    34.0
20031001 20031031     2.6
20031101 20031130    13.6
20031201 20031231     5.4
20040101 20040131    11.4
20040201 20040229    34.6
20040301 20040331     0.0
20040401 20040430    10.8
20040501 20040531    35.2
20040601 20040630    58.2
20040701 20040731    34.0
20040801 20040831    41.8
20040901 20040930    11.4
20041001 20041031    13.0
20041101 20041130     6.6
20041201 20041231     5.4
20050101 20050131     0.0
20050201 20050228     0.0
20050301 20050331    19.2
20050401 20050430    20.6
20050501 20050531    74.4
20050601 20050630 99999.9
20050701 20050731     7.6
20050801 20050831    52.2
20050901 20050930    28.0
20051001 20051031    14.8
20051101 20051130     9.2
20051201 20051231     2.8
20060101 20060131   106.6
20060201 20060228    28.1
20060301 20060331     5.4
20060401 20060430    12.8
