PRCP       041011 19090101 20140228 missing_value=99999.9 CAMBOOYA POST OFFICE                      
19711101 19711130   130.1
19711201 19711231   120.9
19720101 19720131   133.4
19720201 19720229    34.0
19720301 19720331    37.5
19720401 19720430    20.3
19720501 19720531    12.2
19720601 19720630    16.8
19720701 19720731     0.5
19720801 19720831    30.0
19720901 19720930     8.4
19721001 19721031   209.1
19721101 19721130    72.8
19721201 19721231   100.4
19730101 19730131   102.6
19730201 19730228    75.8
19730301 19730331    20.1
19730401 19730430     1.8
19730501 19730531    18.0
19730601 19730630    12.4
19730701 19730731    91.1
19730801 19730831    38.7
19730901 19730930    38.8
19731001 19731031    31.6
19731101 19731130    89.7
19731201 19731231   123.0
19740101 19740131   342.7
19740201 19740228     4.4
19740301 19740331    34.5
19740401 19740430    25.0
19740501 19740531    63.8
19740601 19740630    41.2
19740701 19740731     4.6
19740801 19740831    45.7
19740901 19740930    35.8
19741001 19741031    66.6
19741101 19741130   185.0
19741201 19741231    81.8
19750101 19750131    55.6
19750201 19750228   106.0
19750301 19750331   110.4
19750401 19750430    36.8
19750501 19750531     3.2
19750601 19750630    41.2
19750701 19750731    61.4
19750801 19750831    36.0
19750901 19750930    68.0
19751001 19751031   114.2
19751101 19751130    90.2
19751201 19751231   285.2
19760101 19760131    94.4
19760201 19760229   170.8
19760301 19760331    74.6
19760401 19760430    21.6
19760501 19760531    54.0
19760601 19760630    17.4
19760701 19760731    34.2
19760801 19760831     7.6
19760901 19760930    68.4
19761001 19761031    41.6
19761101 19761130   162.0
19761201 19761231    55.4
19770101 19770131    63.4
19770201 19770228    37.6
19770301 19770331   112.6
19770401 19770430   103.4
19770501 19770531    88.2
19770601 19770630    10.6
19770701 19770731     0.2
19770801 19770831     9.8
19770901 19770930     5.0
19771001 19771031    19.8
19771101 19771130   146.0
19771201 19771231    10.0
19780101 19780131   114.4
19780201 19780228    66.4
19780301 19780331    84.6
19780401 19780430    71.8
19780501 19780531    19.8
19780601 19780630    52.4
19780701 19780731    60.6
19780801 19780831    54.2
19780901 19780930    81.0
19781001 19781031    33.0
19781101 19781130    74.0
19781201 19781231   176.2
19790101 19790131    71.2
19790201 19790228    54.2
19790301 19790331   131.0
19790401 19790430    13.8
19790501 19790531    51.0
19790601 19790630    68.4
19790701 19790731    34.0
19790801 19790831     4.6
19790901 19790930    35.2
19791001 19791031    39.6
19791101 19791130    66.2
19791201 19791231    50.6
19800101 19800131   111.6
19800201 19800229    88.6
19800301 19800331    18.8
19800401 19800430     2.4
19800501 19800531    49.0
19800601 19800630     7.6
19800701 19800731    40.4
19800801 19800831    16.4
19800901 19800930     0.0
19801001 19801031   104.8
19801101 19801130    23.0
19801201 19801231   146.0
19810101 19810131    35.6
19810201 19810228   288.4
