PRCP       010636 19061001 20121231 missing_value=99999.9 THE OAKS                                  
19381101 19381130     7.1
19381201 19381231     7.6
19390101 19390131    59.7
19390201 19390228    34.0
19390301 19390331     0.3
19390401 19390430    13.0
19390501 19390531    95.7
19390601 19390630    66.3
19390701 19390731   145.3
19390801 19390831    64.0
19390901 19390930     4.6
19391001 19391031    72.3
19391101 19391130    27.8
19391201 19391231     0.0
19400101 19400131     6.9
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    10.0
19400501 19400531    12.9
19400601 19400630    35.6
19400701 19400731    39.0
19400801 19400831    18.1
19400901 19400930    23.4
19401001 19401031    12.3
19401101 19401130     4.6
19401201 19401231    49.3
19410101 19410131     0.0
19410201 19410228     2.3
19410301 19410331    18.7
19410401 19410430    29.3
19410501 19410531    45.0
19410601 19410630    70.4
19410701 19410731    57.9
19410801 19410831    51.2
19410901 19410930    46.4
19411001 19411031    10.9
19411101 19411130     7.4
19411201 19411231     0.0
19420101 19420131     2.0
19420201 19420228     3.3
19420301 19420331    52.7
19420401 19420430    19.8
19420501 19420531    70.5
19420601 19420630    45.8
19420701 19420731    45.2
19420801 19420831    76.2
19420901 19420930    29.0
19421001 19421031    31.5
19421101 19421130     0.0
19421201 19421231    43.7
19430101 19430131    40.4
19430201 19430228    33.0
19430301 19430331    40.7
19430401 19430430    39.3
19430501 19430531    47.6
19430601 19430630    63.3
19430701 19430731    62.1
19430801 19430831    47.2
19430901 19430930    39.2
19431001 19431031    16.5
19431101 19431130     0.0
19431201 19431231    14.7
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     2.8
19440401 19440430    10.6
19440501 19440531    49.7
19440601 19440630    24.4
19440701 19440731    71.3
19440801 19440831    41.4
19440901 19440930     9.1
19441001 19441031     0.8
19441101 19441130     4.3
19441201 19441231     7.1
19450101 19450131     0.0
19450201 19450228     0.5
19450301 19450331    21.6
19450401 19450430    12.0
19450501 19450531    35.8
19450601 19450630   251.4
19450701 19450731    64.0
19450801 19450831   104.2
19450901 19450930    26.6
19451001 19451031     1.6
19451101 19451130    12.5
19451201 19451231     0.0
19460101 19460131     0.0
19460201 19460228     0.0
19460301 19460331     1.5
19460401 19460430    17.3
19460501 19460531    92.5
19460601 19460630   119.1
19460701 19460731   142.5
19460801 19460831    43.3
19460901 19460930    10.2
19461001 19461031     7.9
19461101 19461130    26.7
19461201 19461231     6.4
19470101 19470131     0.5
19470201 19470228    26.5
19470301 19470331     1.3
19470401 19470430    59.8
19470501 19470531    82.0
19470601 19470630   127.5
19470701 19470731    35.7
19470801 19470831    20.5
19470901 19470930    24.4
19471001 19471031    83.8
19471101 19471130     2.6
19471201 19471231     1.0
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331    10.3
19480401 19480430    17.6
19480501 19480531     4.1
19480601 19480630    42.1
19480701 19480731    76.9
19480801 19480831    45.4
19480901 19480930    73.4
19481001 19481031    22.7
19481101 19481130    18.1
19481201 19481231    20.0
19490101 19490131     0.5
19490201 19490228     5.1
19490301 19490331    12.4
19490401 19490430    21.0
19490501 19490531    17.8
19490601 19490630    48.0
19490701 19490731    62.0
19490801 19490831    85.4
19490901 19490930    23.1
19491001 19491031    42.7
19491101 19491130    17.4
19491201 19491231     0.0
19500101 19500131     1.8
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    73.2
19500601 19500630    49.5
19500701 19500731    56.8
19500801 19500831    21.8
19500901 19500930    28.5
19501001 19501031    31.8
19501101 19501130    11.0
19501201 19501231     0.8
19510101 19510131     8.1
19510201 19510228    48.0
19510301 19510331     5.9
19510401 19510430   101.9
19510501 19510531    26.2
19510601 19510630    60.7
19510701 19510731    43.6
19510801 19510831    40.0
19510901 19510930    41.6
19511001 19511031    25.2
19511101 19511130    12.1
19511201 19511231   129.0
19520101 19520131     2.5
19520201 19520229     1.5
19520301 19520331    15.6
19520401 19520430     3.6
19520501 19520531    57.6
19520601 19520630   122.7
19520701 19520731    52.2
19520801 19520831    32.4
19520901 19520930    37.9
19521001 19521031    30.9
19521101 19521130    23.8
19521201 19521231    14.0
19530101 19530131     0.0
19530201 19530228     4.3
19530301 19530331    14.0
19530401 19530430    19.9
19530501 19530531    89.6
19530601 19530630    83.2
19530701 19530731    73.4
19530801 19530831    23.6
19530901 19530930    40.0
19531001 19531031    60.5
19531101 19531130    12.9
19531201 19531231     0.0
19540101 19540131     2.0
19540201 19540228     5.8
19540301 19540331     0.0
19540401 19540430     6.1
19540501 19540531    41.3
19540601 19540630    25.6
19540701 19540731    88.5
