PRCP       033082 18980101 20180131 missing_value=99999.9 STRATHMORE                                
19270301 19270331    76.4
19270401 19270430    25.6
19270501 19270531     0.0
19270601 19270630    95.5
19270701 19270731    95.4
19270801 19270831     0.0
19270901 19270930     8.6
19271001 19271031     0.0
19271101 19271130    30.5
19271201 19271231    83.1
19280101 19280131    69.7
19280201 19280229   290.0
19280301 19280331   117.3
19280401 19280430    38.1
19280501 19280531     0.0
19280601 19280630    32.5
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130   104.8
19281201 19281231   145.2
19290101 19290131   251.9
19290201 19290228   111.0
19290301 19290331   119.6
19290401 19290430    92.2
19290501 19290531     0.0
19290601 19290630    60.4
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    23.4
19291201 19291231    77.5
19300101 19300131   348.8
19300201 19300228    66.2
19300301 19300331    51.8
19300401 19300430    20.1
19300501 19300531    60.9
19300601 19300630    51.1
19300701 19300731    20.6
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031    24.1
19301101 19301130    26.7
19301201 19301231    23.3
19310101 19310131    43.6
19310201 19310228    30.0
19310301 19310331     0.0
19310401 19310430     0.0
19310501 19310531    33.5
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     7.6
19311001 19311031     7.9
19311101 19311130    74.2
19311201 19311231    94.7
19320101 19320131   215.3
19320201 19320229    23.6
19320301 19320331     0.0
19320401 19320430     0.0
19320501 19320531    66.1
19320601 19320630     0.0
19320701 19320731    14.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031    16.5
19321101 19321130     0.0
19321201 19321231    99.6
19330101 19330131    91.4
19330201 19330228   180.5
19330301 19330331     0.0
19330401 19330430    95.5
19330501 19330531    13.5
19330601 19330630    47.0
19330701 19330731    98.7
19330801 19330831    50.3
19330901 19330930    43.5
19331001 19331031    40.6
19331101 19331130   313.4
19331201 19331231   181.0
19340101 19340131    90.9
19340201 19340228   446.4
19340301 19340331    44.1
19340401 19340430    24.3
19340501 19340531    29.6
19340601 19340630    30.5
19340701 19340731    26.4
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031    79.7
19341101 19341130   128.5
19341201 19341231    70.1
19350101 19350131    23.1
19350201 19350228    34.6
19350301 19350331    59.8
19350401 19350430    13.4
19350501 19350531    23.1
19350601 19350630    10.4
19350701 19350731    22.9
19350801 19350831     0.0
19350901 19350930    34.1
19351001 19351031    39.3
19351101 19351130     0.0
19351201 19351231     0.0
19360101 19360131   102.0
19360201 19360229   169.2
19360301 19360331   213.0
19360401 19360430     0.0
19360501 19360531    13.7
19360601 19360630   180.8
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130     0.0
19361201 19361231   189.5
19370101 19370131   142.5
19370201 19370228    83.8
19370301 19370331   155.7
19370401 19370430     0.0
19370501 19370531     0.0
