PRCP       018033 19081001 20171231 missing_value=99999.9 GOODE                                     
19371201 19371231    21.9
19380101 19380131     1.8
19380201 19380228   139.1
19380301 19380331     2.3
19380401 19380430    43.1
19380501 19380531    18.4
19380601 19380630    45.5
19380701 19380731    72.4
19380801 19380831    42.4
19380901 19380930     4.9
19381001 19381031    16.5
19381101 19381130     3.1
19381201 19381231    15.2
19390101 19390131     0.5
19390201 19390228     1.8
19390301 19390331    49.8
19390401 19390430     7.5
19390501 19390531    25.4
19390601 19390630    60.7
19390701 19390731    55.8
19390801 19390831    55.1
19390901 19390930     5.4
19391001 19391031    15.0
19391101 19391130    42.9
19391201 19391231     4.0
19400101 19400131    30.4
19400201 19400229    50.1
19400301 19400331    26.4
19400401 19400430    24.7
19400501 19400531    24.2
19400601 19400630     6.9
19400701 19400731    30.1
19400801 19400831     2.9
19400901 19400930    20.4
19401001 19401031    11.9
19401101 19401130     9.4
19401201 19401231     1.5
19410101 19410131    41.2
19410201 19410228     0.0
19410301 19410331    45.8
19410401 19410430    45.2
19410501 19410531     6.1
19410601 19410630    15.8
19410701 19410731    37.3
19410801 19410831    54.1
19410901 19410930    42.8
19411001 19411031    13.5
19411101 19411130    22.2
19411201 19411231     2.8
19420101 19420131    24.1
19420201 19420228     3.0
19420301 19420331    22.0
19420401 19420430     7.2
19420501 19420531    18.0
19420601 19420630    62.7
19420701 19420731    51.1
19420801 19420831    49.3
19420901 19420930    32.9
19421001 19421031    10.2
19421101 19421130    73.2
19421201 19421231    50.0
19430101 19430131     2.8
19430201 19430228    44.8
19430301 19430331     1.8
19430401 19430430    22.9
19430501 19430531    10.3
19430601 19430630    28.8
19430701 19430731    32.6
19430801 19430831    45.7
19430901 19430930    20.6
19431001 19431031    25.6
19431101 19431130     8.7
19431201 19431231     3.5
19440101 19440131     0.5
19440201 19440229     5.5
19440301 19440331     1.3
19440401 19440430    30.4
19440501 19440531    81.0
19440601 19440630    16.6
19440701 19440731    44.2
19440801 19440831     8.2
19440901 19440930     6.6
19441001 19441031     8.7
19441101 19441130    14.3
19441201 19441231    18.6
19450101 19450131    24.9
19450201 19450228    46.5
19450301 19450331     0.0
19450401 19450430     1.3
19450501 19450531    24.7
19450601 19450630    22.6
19450701 19450731    11.5
19450801 19450831    10.1
19450901 19450930    29.8
19451001 19451031    21.8
19451101 19451130    38.6
19451201 19451231    80.7
19460101 19460131    34.6
19460201 19460228    65.2
19460301 19460331    10.1
19460401 19460430    26.3
19460501 19460531    18.5
19460601 19460630    59.5
19460701 19460731    25.4
19460801 19460831    17.1
19460901 19460930     4.1
19461001 19461031    16.0
19461101 19461130    29.5
19461201 19461231     6.6
19470101 19470131     6.9
19470201 19470228    12.5
19470301 19470331    30.5
19470401 19470430    11.2
19470501 19470531    26.0
19470601 19470630    31.8
19470701 19470731    29.5
19470801 19470831    40.3
19470901 19470930    31.5
19471001 19471031    50.7
19471101 19471130    23.1
19471201 19471231    22.3
19480101 19480131     1.8
19480201 19480229     3.6
19480301 19480331     0.0
19480401 19480430    13.0
19480501 19480531    29.1
19480601 19480630    27.1
19480701 19480731    22.1
19480801 19480831    54.9
19480901 19480930    13.2
19481001 19481031    26.5
19481101 19481130    42.3
19481201 19481231    25.8
19490101 19490131     0.0
19490201 19490228    31.5
19490301 19490331     0.0
19490401 19490430    14.2
19490501 19490531    34.6
19490601 19490630    30.9
19490701 19490731    40.9
19490801 19490831    17.0
19490901 19490930    53.7
19491001 19491031    38.3
19491101 19491130    47.9
19491201 19491231    13.5
19500101 19500131     0.0
19500201 19500228    32.5
19500301 19500331     0.0
19500401 19500430     5.3
19500501 19500531    20.9
19500601 19500630    34.7
19500701 19500731    23.4
19500801 19500831    64.0
19500901 19500930    11.1
19501001 19501031    83.0
19501101 19501130    40.4
19501201 19501231    47.6
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331    15.3
19510401 19510430    27.4
19510501 19510531    56.9
19510601 19510630    80.5
19510701 19510731   109.5
19510801 19510831    58.3
19510901 19510930    10.8
19511001 19511031    19.8
19511101 19511130     0.0
19511201 19511231     8.4
19520101 19520131    20.3
19520201 19520229     3.3
19520301 19520331    18.8
19520401 19520430    42.0
19520501 19520531    66.1
19520601 19520630    13.7
19520701 19520731    29.4
19520801 19520831    35.4
19520901 19520930    28.2
19521001 19521031    26.4
19521101 19521130    38.6
19521201 19521231     6.8
19530101 19530131    15.5
19530201 19530228    21.6
19530301 19530331     3.0
19530401 19530430     8.9
19530501 19530531    13.7
19530601 19530630    45.0
19530701 19530731    26.0
19530801 19530831    65.7
19530901 19530930    22.5
19531001 19531031    42.4
19531101 19531130    24.3
19531201 19531231    81.7
19540101 19540131    13.0
19540201 19540228     2.3
19540301 19540331     1.8
19540401 19540430    41.3
19540501 19540531    14.7
19540601 19540630    73.1
19540701 19540731    17.3
19540801 19540831    16.3
19540901 19540930    13.7
19541001 19541031    26.4
19541101 19541130     9.4
19541201 19541231    30.4
19550101 19550131     8.9
19550201 19550228    88.4
19550301 19550331    36.8
19550401 19550430    18.1
19550501 19550531    81.9
19550601 19550630    77.9
19550701 19550731    43.5
19550801 19550831    41.6
19550901 19550930    17.6
19551001 19551031    22.1
19551101 19551130    30.5
19551201 19551231     6.4
19560101 19560131     0.0
19560201 19560229     9.1
19560301 19560331     3.0
19560401 19560430    67.7
19560501 19560531    65.3
19560601 19560630    88.5
19560701 19560731    58.0
19560801 19560831    27.7
19560901 19560930    24.9
19561001 19561031    98.6
19561101 19561130     5.3
19561201 19561231     8.1
19570101 19570131     0.0
19570201 19570228     0.0
19570301 19570331     2.8
19570401 19570430     4.1
19570501 19570531    10.7
19570601 19570630    50.5
19570701 19570731    62.9
19570801 19570831    21.3
19570901 19570930    25.9
19571001 19571031     3.8
19571101 19571130     5.6
19571201 19571231     6.6
19580101 19580131     0.0
19580201 19580228     0.0
19580301 19580331    63.0
19580401 19580430     8.6
19580501 19580531    65.8
19580601 19580630    11.0
19580701 19580731    25.7
19580801 19580831    77.9
19580901 19580930    63.6
19581001 19581031    34.8
19581101 19581130     6.9
19581201 19581231    29.5
19590101 19590131     1.3
19590201 19590228     8.5
19590301 19590331     2.3
19590401 19590430     2.0
19590501 19590531     0.5
19590601 19590630    12.0
19590701 19590731    42.8
19590801 19590831     5.3
19590901 19590930    13.1
19591001 19591031    18.2
19591101 19591130    19.0
19591201 19591231    12.9
19600101 19600131    10.6
19600201 19600229    28.0
19600301 19600331     5.8
19600401 19600430    42.1
19600501 19600531    49.0
19600601 19600630    26.2
19600701 19600731    36.6
19600801 19600831    37.3
19600901 19600930    83.4
19601001 19601031     2.5
19601101 19601130    25.1
19601201 19601231    10.4
19610101 19610131     0.0
19610201 19610228     7.1
19610301 19610331     4.1
19610401 19610430    74.4
19610501 19610531     7.4
19610601 19610630    34.0
19610701 19610731    31.3
19610801 19610831    33.2
19610901 19610930    19.1
19611001 19611031    11.5
19611101 19611130    31.5
19611201 19611231    19.0
19620101 19620131     0.0
19620201 19620228     4.1
19620301 19620331    19.1
19620401 19620430     2.1
19620501 19620531    64.2
19620601 19620630    11.3
19620701 19620731    19.4
19620801 19620831    38.4
19620901 19620930    31.8
19621001 19621031    43.6
19621101 19621130     2.3
19621201 19621231     8.6
19630101 19630131    10.2
19630201 19630228     2.0
19630301 19630331     3.8
19630401 19630430    59.2
19630501 19630531    94.0
19630601 19630630    75.3
19630701 19630731    54.3
19630801 19630831    29.4
19630901 19630930     5.1
19631001 19631031     3.8
19631101 19631130     3.3
19631201 19631231     0.0
19640101 19640131     2.0
19640201 19640229     4.8
19640301 19640331     0.0
19640401 19640430    17.7
19640501 19640531    49.0
19640601 19640630    40.7
19640701 19640731    40.8
19640801 19640831    22.9
19640901 19640930    85.1
19641001 19641031    46.8
19641101 19641130    34.2
19641201 19641231     9.7
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     1.8
19650401 19650430     0.0
19650501 19650531    28.8
19650601 19650630    14.0
19650701 19650731    27.5
19650801 19650831    48.9
19650901 19650930    25.0
19651001 19651031    21.3
19651101 19651130     4.3
19651201 19651231    11.6
19660101 19660131     4.8
19660201 19660228    19.7
19660301 19660331    42.5
19660401 19660430     2.5
19660501 19660531    33.3
19660601 19660630    32.2
19660701 19660731    23.7
19660801 19660831    61.1
19660901 19660930    29.3
19661001 19661031    35.3
19661101 19661130    18.0
19661201 19661231   124.4
19670101 19670131    29.7
19670201 19670228    25.5
19670301 19670331     0.0
19670401 19670430     1.0
19670501 19670531    29.6
19670601 19670630     6.8
19670701 19670731    45.2
19670801 19670831    19.8
19670901 19670930    12.7
19671001 19671031     3.6
19671101 19671130     2.0
19671201 19671231     2.6
19680101 19680131    15.6
19680201 19680229    22.4
19680301 19680331    77.5
19680401 19680430    32.5
19680501 19680531    48.0
19680601 19680630    78.2
19680701 19680731    40.6
19680801 19680831    57.5
19680901 19680930    16.3
19681001 19681031    18.3
19681101 19681130    16.8
19681201 19681231    36.1
19690101 19690131    16.3
19690201 19690228    59.9
19690301 19690331    86.1
19690401 19690430    15.3
19690501 19690531    67.6
19690601 19690630    45.6
19690701 19690731    27.9
19690801 19690831    32.1
19690901 19690930    41.8
19691001 19691031     2.3
19691101 19691130     4.0
19691201 19691231     1.1
19700101 19700131     5.1
19700201 19700228     1.3
19700301 19700331     1.0
19700401 19700430     4.1
19700501 19700531    22.7
19700601 19700630    18.6
19700701 19700731    15.5
19700801 19700831    44.6
19700901 19700930    48.0
19701001 19701031     6.3
19701101 19701130    18.3
19701201 19701231     1.8
19710101 19710131     6.1
19710201 19710228     6.1
19710301 19710331    26.4
19710401 19710430    51.3
19710501 19710531    23.9
19710601 19710630    33.0
19710701 19710731    46.2
19710801 19710831    41.5
19710901 19710930    13.0
19711001 19711031     4.0
19711101 19711130    52.6
19711201 19711231    22.3
19720101 19720131     7.4
19720201 19720229    11.1
19720301 19720331     0.0
19720401 19720430     8.8
19720501 19720531     4.3
19720601 19720630    20.8
19720701 19720731    41.9
19720801 19720831    71.8
19720901 19720930    10.9
19721001 19721031    21.3
19721101 19721130     4.9
19721201 19721231     1.6
19730101 19730131     8.7
19730201 19730228    21.3
19730301 19730331    35.4
19730401 19730430    20.7
19730501 19730531    33.6
19730601 19730630    57.7
19730701 19730731    40.7
19730801 19730831    85.7
19730901 19730930    40.6
19731001 19731031    19.3
19731101 19731130    16.2
19731201 19731231    44.9
19740101 19740131    24.5
19740201 19740228     6.4
19740301 19740331     0.0
19740401 19740430    28.0
19740501 19740531    56.8
19740601 19740630    13.8
19740701 19740731    82.8
19740801 19740831    17.0
19740901 19740930    64.6
19741001 19741031    68.8
19741101 19741130     8.0
19741201 19741231     2.0
19750101 19750131     0.0
19750201 19750228    42.2
19750301 19750331    22.0
19750401 19750430    22.0
19750501 19750531    16.8
19750601 19750630    17.6
19750701 19750731    20.6
19750801 19750831    26.4
19750901 19750930    72.4
19751001 19751031    43.0
19751101 19751130    12.4
19751201 19751231     8.4
19760101 19760131     6.6
19760201 19760229    31.2
19760301 19760331     7.6
19760401 19760430     8.8
19760501 19760531    13.0
19760601 19760630    20.0
19760701 19760731     4.4
19760801 19760831    13.2
19760901 19760930    35.8
19761001 19761031    68.0
19761101 19761130    36.6
19761201 19761231     1.4
19770101 19770131    16.4
19770201 19770228    16.2
19770301 19770331     5.0
19770401 19770430     2.4
19770501 19770531    53.6
19770601 19770630    15.8
19770701 19770731    11.8
19770801 19770831     5.4
19770901 19770930    33.4
19771001 19771031     5.8
19771101 19771130    29.6
19771201 19771231     1.0
19780101 19780131    20.0
19780201 19780228     0.0
19780301 19780331     5.6
19780401 19780430    11.0
19780501 19780531    37.4
19780601 19780630    64.2
19780701 19780731    60.8
19780801 19780831    52.0
19780901 19780930    82.8
19781001 19781031     7.2
19781101 19781130    54.8
19781201 19781231     5.6
19790101 19790131     3.2
19790201 19790228     0.0
19790301 19790331     1.0
19790401 19790430    35.8
19790501 19790531    79.0
19790601 19790630    19.5
19790701 19790731    40.4
19790801 19790831    38.4
19790901 19790930    94.8
19791001 19791031     3.4
19791101 19791130    30.2
19791201 19791231     2.2
19800101 19800131     1.4
19800201 19800229     5.0
19800301 19800331     0.0
19800401 19800430    44.4
19800501 19800531    38.3
19800601 19800630    33.8
19800701 19800731    27.0
19800801 19800831     6.6
19800901 19800930    10.0
19801001 19801031    54.6
19801101 19801130    42.4
19801201 19801231    25.2
19810101 19810131    13.8
19810201 19810228    52.6
19810301 19810331    17.2
19810401 19810430     0.0
19810501 19810531    15.8
19810601 19810630    83.8
19810701 19810731    24.0
19810801 19810831    37.0
19810901 19810930     0.6
19811001 19811031    10.8
19811101 19811130    13.4
19811201 19811231     0.0
19820101 19820131     2.0
19820201 19820228    16.0
19820301 19820331    48.6
19820401 19820430    16.4
19820501 19820531    24.4
19820601 19820630    34.6
19820701 19820731    24.8
19820801 19820831     4.0
19820901 19820930    27.6
19821001 19821031     4.6
19821101 19821130     0.0
19821201 19821231    19.4
19830101 19830131     0.0
19830201 19830228     1.0
19830301 19830331    57.4
19830401 19830430    98.8
19830501 19830531    38.4
19830601 19830630     8.2
19830701 19830731    77.4
19830801 19830831    26.8
19830901 19830930    23.0
19831001 19831031    16.2
19831101 19831130    25.0
19831201 19831231    11.6
19840101 19840131     7.4
19840201 19840229     0.0
19840301 19840331     6.0
19840401 19840430    33.0
19840501 19840531    11.0
19840601 19840630     7.8
19840701 19840731    57.0
19840801 19840831    49.6
19840901 19840930    60.8
19841001 19841031    23.2
19841101 19841130     2.2
19841201 19841231    11.4
19850101 19850131     0.8
19850201 19850228     0.0
19850301 19850331    19.2
19850401 19850430    18.4
19850501 19850531    12.8
19850601 19850630    15.6
19850701 19850731    17.4
19850801 19850831    72.4
19850901 19850930    16.6
19851001 19851031    52.6
19851101 19851130     7.8
19851201 19851231    21.4
19860101 19860131    12.6
19860201 19860228     5.8
19860301 19860331     0.0
19860401 19860430    16.4
19860501 19860531    20.6
19860601 19860630    25.8
19860701 19860731    88.2
19860801 19860831    39.4
19860901 19860930    19.6
19861001 19861031    52.0
19861101 19861130    21.0
19861201 19861231    16.6
19870101 19870131    12.6
19870201 19870228    33.8
19870301 19870331     1.2
19870401 19870430     6.0
19870501 19870531    27.8
19870601 19870630    41.8
19870701 19870731    42.0
19870801 19870831    36.2
19870901 19870930    14.8
19871001 19871031     7.6
19871101 19871130     3.0
19871201 19871231    23.4
19880101 19880131    18.6
19880201 19880229    14.2
19880301 19880331     5.4
19880401 19880430     0.0
19880501 19880531    15.6
19880601 19880630    11.8
19880701 19880731    33.2
19880801 19880831     8.2
19880901 19880930    17.2
19881001 19881031     5.4
19881101 19881130    19.6
19881201 19881231    20.8
19890101 19890131     2.2
19890201 19890228     0.0
19890301 19890331    16.0
19890401 19890430    20.0
19890501 19890531    40.8
19890601 19890630    45.6
19890701 19890731   112.4
19890801 19890831    22.8
19890901 19890930    18.0
19891001 19891031     5.0
19891101 19891130    13.4
19891201 19891231     1.8
19900101 19900131     1.2
19900201 19900228    20.2
19900301 19900331     5.2
19900401 19900430     6.2
19900501 19900531    34.2
19900601 19900630    55.8
19900701 19900731    51.4
19900801 19900831    29.4
19900901 19900930    33.6
19901001 19901031    18.6
19901101 19901130     0.0
19901201 19901231    90.6
19910101 19910131     2.4
19910201 19910228     0.0
19910301 19910331     1.6
19910401 19910430    27.2
19910501 19910531    16.0
19910601 19910630    78.8
19910701 19910731    38.0
19910801 19910831    33.2
19910901 19910930    15.2
19911001 19911031     7.2
19911101 19911130    32.0
19911201 19911231     2.2
19920101 19920131     0.4
19920201 19920229     1.2
19920301 19920331    25.8
19920401 19920430    32.6
19920501 19920531    32.6
19920601 19920630    24.8
19920701 19920731    25.4
19920801 19920831    65.8
19920901 19920930    54.2
19921001 19921031   126.2
19921101 19921130    35.8
19921201 19921231   107.6
19930101 19930131    40.5
19930201 19930228     3.0
19930301 19930331     1.0
19930401 19930430     1.4
19930501 19930531    12.8
19930601 19930630    12.8
19930701 19930731    19.8
19930801 19930831    30.4
19930901 19930930    22.2
19931001 19931031    50.8
19931101 19931130     9.4
19931201 19931231    59.0
19940101 19940131     3.6
19940201 19940228    13.4
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531    12.8
19940601 19940630    37.2
19940701 19940731    31.6
19940801 19940831    12.8
19940901 19940930     6.2
19941001 19941031     9.0
19941101 19941130     5.8
19941201 19941231     2.6
19950101 19950131    43.0
19950201 19950228     6.4
19950301 19950331     8.0
19950401 19950430    28.2
19950501 19950531    27.6
19950601 19950630    48.0
19950701 19950731    54.8
19950801 19950831    11.0
19950901 19950930    21.8
19951001 19951031    18.0
19951101 19951130     3.6
19951201 19951231     9.6
19960101 19960131     1.4
19960201 19960229     3.0
19960301 19960331     7.6
19960401 19960430     2.6
19960501 19960531     6.8
19960601 19960630    27.6
19960701 19960731    48.0
19960801 19960831    45.2
19960901 19960930    66.6
19961001 19961031    14.8
19961101 19961130     7.0
19961201 19961231     6.6
19970101 19970131     6.2
19970201 19970228    18.2
19970301 19970331     4.2
19970401 19970430     0.0
19970501 19970531    70.6
19970601 19970630     5.8
19970701 19970731     6.4
19970801 19970831    31.0
19970901 19970930    87.0
19971001 19971031    43.4
19971101 19971130    11.4
19971201 19971231    61.0
19980101 19980131     4.0
19980201 19980228     4.6
19980301 19980331    21.0
19980401 19980430    22.0
19980501 19980531    17.0
19980601 19980630    29.6
19980701 19980731    77.4
19980801 19980831     5.1
19980901 19980930    23.8
19981001 19981031    20.0
19981101 19981130    27.0
19981201 19981231     7.8
19990101 19990131    15.0
19990201 19990228     9.6
19990301 19990331    13.0
19990401 19990430     0.0
