PRCP       003023 19030101 20110131 missing_value=99999.9 ROEBUCK PLAINS                            
19320901 19320930     0.0
19321001 19321031     0.0
19321101 19321130     0.0
19321201 19321231   166.4
19330101 19330131    24.4
19330201 19330228   104.1
19330301 19330331   183.2
19330401 19330430     0.0
19330501 19330531    67.3
19330601 19330630     0.0
19330701 19330731     0.0
19330801 19330831     0.0
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130    23.9
19331201 19331231    63.8
19340101 19340131   160.0
19340201 19340228   163.5
19340301 19340331   267.0
19340401 19340430    48.5
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     0.0
19341101 19341130     0.0
19341201 19341231    96.0
19350101 19350131    69.0
19350201 19350228   123.7
19350301 19350331   350.3
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031     0.0
19351101 19351130     0.0
19351201 19351231    49.5
19360101 19360131   196.8
19360201 19360229    97.5
19360301 19360331     4.8
19360401 19360430     0.0
19360501 19360531     0.0
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130    19.6
19361201 19361231    28.2
19370101 19370131   217.0
19370201 19370228    71.9
19370301 19370331    36.7
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    20.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031     0.0
19371101 19371130    34.3
19371201 19371231   122.9
19380101 19380131    83.4
19380201 19380228    30.5
19380301 19380331     3.6
19380401 19380430     8.9
19380501 19380531     0.0
19380601 19380630    55.4
19380701 19380731     0.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    60.6
19381201 19381231    97.6
19390101 19390131   147.8
19390201 19390228   209.0
19390301 19390331    22.2
19390401 19390430    71.9
19390501 19390531     0.0
19390601 19390630    33.6
19390701 19390731    41.7
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130     0.0
19391201 19391231    60.0
19400101 19400131   498.9
19400201 19400229   101.0
19400301 19400331   125.7
19400401 19400430    95.5
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130     2.8
19401201 19401231    94.5
19410101 19410131    52.5
19410201 19410228    40.6
19410301 19410331    98.2
19410401 19410430    13.8
19410501 19410531    44.6
19410601 19410630    49.8
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130    15.7
19411201 19411231   109.5
19420101 19420131   333.3
19420201 19420228   403.2
19420301 19420331   135.7
19420401 19420430     0.0
19420501 19420531     0.0
19420601 19420630     0.0
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130    38.4
19421201 19421231   108.6
19430101 19430131   165.2
19430201 19430228   158.5
19430301 19430331   382.0
19430401 19430430    55.6
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130    43.2
19431201 19431231    49.1
19440101 19440131    29.7
19440201 19440229    40.5
19440301 19440331   141.5
19440401 19440430    22.9
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130    17.8
19441201 19441231    62.0
19450101 19450131   121.4
19450201 19450228   105.1
19450301 19450331   205.8
19450401 19450430     0.0
19450501 19450531     0.0
19450601 19450630     8.9
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     6.4
19451101 19451130     0.0
19451201 19451231    98.3
19460101 19460131   141.6
19460201 19460228   181.6
19460301 19460331    33.8
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     0.0
19461201 19461231     5.1
19470101 19470131   127.3
19470201 19470228   158.5
19470301 19470331   265.6
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     3.3
19470701 19470731     2.5
19470801 19470831    17.4
19470901 19470930     0.0
19471001 19471031     0.0
19471101 19471130     2.8
19471201 19471231    69.2
19480101 19480131    50.1
19480201 19480229   144.0
19480301 19480331   151.7
19480401 19480430   265.4
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     0.0
19481201 19481231    23.6
19490101 19490131    30.7
19490201 19490228   157.2
19490301 19490331    23.8
19490401 19490430     3.0
19490501 19490531   108.6
19490601 19490630     2.4
19490701 19490731     0.0
19490801 19490831     0.3
19490901 19490930     0.1
19491001 19491031     0.1
19491101 19491130     1.8
19491201 19491231   139.9
19500101 19500131   161.4
19500201 19500228   143.2
19500301 19500331    18.8
19500401 19500430     5.3
19500501 19500531    67.0
19500601 19500630    12.7
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     0.0
19501101 19501130     4.8
19501201 19501231    23.9
19510101 19510131    10.6
19510201 19510228   187.4
19510301 19510331    64.2
19510401 19510430    24.4
19510501 19510531     0.0
19510601 19510630    73.4
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     8.4
19511201 19511231    19.8
19520101 19520131   211.9
19520201 19520229    55.8
19520301 19520331     7.6
19520401 19520430     2.5
19520501 19520531    46.6
19520601 19520630     3.7
19520701 19520731     0.2
19520801 19520831     0.0
19520901 19520930     0.1
19521001 19521031     0.0
19521101 19521130     0.1
19521201 19521231    13.6
19530101 19530131   148.2
19530201 19530228    25.8
19530301 19530331    39.1
19530401 19530430    41.6
19530501 19530531     6.8
19530601 19530630     3.9
19530701 19530731     0.0
19530801 19530831     0.3
19530901 19530930     0.9
19531001 19531031     0.6
19531101 19531130     8.2
19531201 19531231    33.5
19540101 19540131   266.5
19540201 19540228    33.4
19540301 19540331    46.8
19540401 19540430   236.4
19540501 19540531     0.1
19540601 19540630    38.1
19540701 19540731     0.8
19540801 19540831     0.3
19540901 19540930     0.1
19541001 19541031     6.4
19541101 19541130     1.0
19541201 19541231    61.9
19550101 19550131   144.3
19550201 19550228   233.6
19550301 19550331    40.5
19550401 19550430    36.7
19550501 19550531    76.0
19550601 19550630    54.8
19550701 19550731     8.4
19550801 19550831     0.0
19550901 19550930     0.9
19551001 19551031     0.6
19551101 19551130    54.6
19551201 19551231    21.8
19560101 19560131    77.9
19560201 19560229   371.2
19560301 19560331    16.3
19560401 19560430     1.4
19560501 19560531    19.7
19560601 19560630    17.8
19560701 19560731    30.9
19560801 19560831     0.6
19560901 19560930     5.5
19561001 19561031     0.0
19561101 19561130     0.0
19561201 19561231     3.3
19570101 19570131    95.8
19570201 19570228   213.9
19570301 19570331    46.5
19570401 19570430     0.7
19570501 19570531    19.6
19570601 19570630    36.2
19570701 19570731    14.0
19570801 19570831     0.1
19570901 19570930     0.0
19571001 19571031     0.1
19571101 19571130     7.8
19571201 19571231   121.7
19580101 19580131    43.1
19580201 19580228    36.8
19580301 19580331    70.0
19580401 19580430     9.2
19580501 19580531     1.1
19580601 19580630     3.8
19580701 19580731     1.8
19580801 19580831     0.0
19580901 19580930     0.7
19581001 19581031     0.1
19581101 19581130     5.8
19581201 19581231    18.2
19590101 19590131    40.0
19590201 19590228    31.7
19590301 19590331    13.6
19590401 19590430    10.3
19590501 19590531    27.1
19590601 19590630     0.4
19590701 19590731     0.2
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.4
19591101 19591130     0.3
19591201 19591231    16.0
19600101 19600131    57.2
19600201 19600229   203.3
19600301 19600331    31.2
19600401 19600430    19.1
19600501 19600531    82.1
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231    48.0
19610101 19610131    31.7
