PRCP       059019 19280101 20171231 missing_value=99999.9 THE RACECOURSE                            
19600201 19600229   172.1
19600301 19600331   122.4
19600401 19600430    50.4
19600501 19600531    75.8
19600601 19600630    39.9
19600701 19600731    36.4
19600801 19600831    20.7
19600901 19600930    20.0
19601001 19601031    55.5
19601101 19601130    64.1
19601201 19601231    74.1
19610101 19610131    88.3
19610201 19610228   206.5
19610301 19610331    74.4
19610401 19610430    64.8
19610501 19610531    37.7
19610601 19610630    65.5
19610701 19610731    55.4
19610801 19610831    76.0
19610901 19610930   111.8
19611001 19611031   136.2
19611101 19611130    95.8
19611201 19611231   116.9
19620101 19620131   235.4
19620201 19620228   118.9
19620301 19620331   165.3
19620401 19620430   339.5
19620501 19620531    93.8
19620601 19620630     5.2
19620701 19620731   401.4
19620801 19620831    60.3
19620901 19620930    43.1
19621001 19621031    77.4
19621101 19621130   112.3
19621201 19621231   261.1
19630101 19630131   192.6
19630201 19630228    60.2
19630301 19630331   139.0
19630401 19630430   124.5
19630501 19630531   367.3
19630601 19630630   123.9
19630701 19630731    11.2
19630801 19630831    51.5
19630901 19630930    26.7
19631001 19631031   138.8
19631101 19631130   125.9
19631201 19631231   211.0
19640101 19640131   108.8
19640201 19640229   111.9
19640301 19640331   298.8
19640401 19640430   139.8
19640501 19640531    36.1
19640601 19640630    21.1
19640701 19640731    41.9
19640801 19640831    31.4
19640901 19640930    42.2
19641001 19641031    82.2
19641101 19641130    93.3
19641201 19641231    66.6
19650101 19650131   162.1
19650201 19650228    74.0
19650301 19650331    10.5
19650401 19650430    57.5
19650501 19650531    30.9
19650601 19650630    89.9
19650701 19650731   296.2
19650801 19650831    28.2
19650901 19650930    32.1
19651001 19651031    74.9
19651101 19651130    88.1
19651201 19651231   145.5
19660101 19660131   101.7
19660201 19660228    75.0
19660301 19660331    82.6
19660401 19660430    57.4
19660501 19660531    40.4
19660601 19660630    53.7
19660701 19660731     9.2
19660801 19660831    92.7
19660901 19660930    45.3
19661001 19661031   100.1
19661101 19661130   114.9
19661201 19661231   111.8
19670101 19670131   307.2
19670201 19670228    62.7
19670301 19670331   225.7
19670401 19670430   218.5
19670501 19670531    29.8
19670601 19670630   614.2
19670701 19670731    36.6
19670801 19670831    63.3
19670901 19670930    47.0
19671001 19671031   237.7
19671101 19671130    36.3
19671201 19671231    64.5
19680101 19680131   385.1
19680201 19680229    65.6
19680301 19680331   100.5
19680401 19680430     6.5
19680501 19680531    46.0
19680601 19680630     5.1
19680701 19680731    32.2
19680801 19680831   240.7
19680901 19680930    23.4
19681001 19681031    37.1
19681101 19681130    82.2
19681201 19681231    95.9
19690101 19690131    91.9
19690201 19690228   132.2
19690301 19690331    60.1
19690401 19690430    49.3
