PRCP       022815 19100101 20161031 missing_value=99999.9 PIONEER BEND                              
19700401 19700430    55.3
19700501 19700531    50.3
19700601 19700630   113.2
19700701 19700731    62.3
19700801 19700831   111.5
19700901 19700930    75.8
19701001 19701031    13.0
19701101 19701130    22.0
19701201 19701231    14.9
19710101 19710131     1.8
19710201 19710228     2.7
19710301 19710331    25.4
19710401 19710430   147.1
19710501 19710531   104.1
19710601 19710630   100.7
19710701 19710731    65.7
19710801 19710831   159.2
19710901 19710930    68.6
19711001 19711031    41.5
19711101 19711130    61.9
19711201 19711231    56.8
19720101 19720131    68.2
19720201 19720229    22.1
19720301 19720331     0.0
19720401 19720430    22.9
19720501 19720531    28.8
19720601 19720630    69.5
19720701 19720731   192.5
19720801 19720831   157.9
19720901 19720930    23.8
19721001 19721031    35.6
19721101 19721130    15.5
19721201 19721231     6.7
19730101 19730131     4.1
19730201 19730228     3.0
19730301 19730331    58.9
19730401 19730430    51.1
19730501 19730531    59.9
19730601 19730630   103.3
19730701 19730731    92.7
19730801 19730831   159.4
19730901 19730930    89.2
19731001 19731031    51.2
19731101 19731130     8.7
19731201 19731231    46.0
19740101 19740131    42.5
19740201 19740228     7.8
19740301 19740331    57.0
19740401 19740430    62.3
19740501 19740531    88.6
19740601 19740630    84.4
19740701 19740731   165.0
19740801 19740831    83.4
19740901 19740930    62.6
19741001 19741031   111.6
19741101 19741130    13.8
19741201 19741231     6.4
19750101 19750131    21.0
19750201 19750228     0.2
19750301 19750331    51.6
19750401 19750430    22.6
19750501 19750531    93.2
19750601 19750630    45.2
19750701 19750731   139.8
19750801 19750831    85.0
19750901 19750930    48.6
19751001 19751031    80.6
19751101 19751130    32.4
19751201 19751231     8.0
19760101 19760131    42.4
19760201 19760229    59.4
19760301 19760331     1.8
19760401 19760430    28.8
19760501 19760531    37.8
19760601 19760630    92.6
19760701 19760731    62.0
19760801 19760831    68.6
19760901 19760930    56.8
19761001 19761031    36.6
19761101 19761130    39.0
19761201 19761231    26.2
19770101 19770131    34.7
19770201 19770228    10.8
19770301 19770331    26.6
19770401 19770430     7.0
19770501 19770531    95.0
19770601 19770630    69.2
19770701 19770731    36.4
19770801 19770831    62.2
19770901 19770930    58.4
19771001 19771031    17.0
19771101 19771130    33.6
19771201 19771231    11.2
19780101 19780131     3.8
19780201 19780228     2.0
19780301 19780331     7.2
19780401 19780430    12.2
19780501 19780531    54.6
19780601 19780630   148.6
19780701 19780731   174.6
19780801 19780831   113.2
19780901 19780930    85.8
19781001 19781031    18.8
19781101 19781130    15.4
19781201 19781231     8.2
19790101 19790131     1.0
19790201 19790228    30.6
19790301 19790331     9.8
19790401 19790430    52.6
19790501 19790531    76.7
19790601 19790630    60.0
19790701 19790731    85.1
19790801 19790831   104.0
19790901 19790930   101.8
19791001 19791031    72.8
19791101 19791130    66.4
19791201 19791231    12.2
19800101 19800131     4.4
19800201 19800229     1.2
19800301 19800331     0.2
19800401 19800430    78.8
19800501 19800531    46.0
19800601 19800630   136.2
19800701 19800731    92.6
19800801 19800831    50.0
19800901 19800930    41.0
19801001 19801031    77.8
19801101 19801130    33.0
19801201 19801231    27.2
19810101 19810131    26.8
19810201 19810228     8.4
19810301 19810331    51.4
19810401 19810430     5.8
19810501 19810531   129.2
19810601 19810630   165.0
19810701 19810731   124.5
19810801 19810831   146.0
19810901 19810930    14.2
19811001 19811031    25.8
19811101 19811130    15.0
19811201 19811231     4.6
19820101 19820131    17.6
19820201 19820228     7.0
19820301 19820331    45.3
19820401 19820430    31.9
19820501 19820531    67.5
19820601 19820630   114.8
19820701 19820731    42.0
19820801 19820831    40.2
19820901 19820930    29.0
19821001 19821031    10.2
19821101 19821130     0.4
19821201 19821231     8.8
19830101 19830131     2.6
19830201 19830228     4.2
19830301 19830331    84.8
19830401 19830430   124.0
19830501 19830531    86.3
19830601 19830630    44.4
19830701 19830731   193.0
19830801 19830831    89.9
19830901 19830930    65.5
19831001 19831031    36.5
19831101 19831130    34.6
19831201 19831231    31.7
19840101 19840131     3.0
19840201 19840229     2.0
19840301 19840331    30.4
19840401 19840430    18.6
19840501 19840531    49.3
19840601 19840630    71.9
19840701 19840731   173.7
19840801 19840831   175.6
19840901 19840930   134.7
19841001 19841031    26.5
19841101 19841130    31.8
19841201 19841231    17.0
19850101 19850131    10.0
19850201 19850228     2.1
19850301 19850331    29.0
19850401 19850430    57.2
19850501 19850531    61.3
19850601 19850630    98.8
19850701 19850731    57.0
19850801 19850831   105.6
19850901 19850930    51.8
19851001 19851031    44.2
19851101 19851130    13.2
19851201 19851231    24.8
19860101 19860131     0.0
19860201 19860228     0.0
19860301 19860331     1.3
19860401 19860430    50.6
19860501 19860531    52.0
19860601 19860630    40.6
19860701 19860731   146.6
19860801 19860831   127.8
19860901 19860930    64.6
19861001 19861031    53.2
19861101 19861130    14.2
19861201 19861231    36.4
19870101 19870131     0.4
19870201 19870228     4.0
19870301 19870331     1.8
19870401 19870430    17.5
19870501 19870531   131.4
19870601 19870630    68.3
19870701 19870731   143.4
19870801 19870831    47.4
19870901 19870930     8.0
19871001 19871031    45.2
19871101 19871130     3.8
19871201 19871231    36.8
19880101 19880131    31.2
19880201 19880229    17.6
19880301 19880331    34.2
19880401 19880430    12.5
19880501 19880531   146.0
19880601 19880630    59.2
19880701 19880731   105.0
19880801 19880831    72.2
19880901 19880930    44.3
19881001 19881031    14.4
19881101 19881130    34.8
19881201 19881231    18.8
19890101 19890131     3.4
19890201 19890228     2.0
19890301 19890331     7.7
19890401 19890430    33.2
19890501 19890531   105.9
19890601 19890630   123.2
19890701 19890731   165.4
19890801 19890831    87.2
19890901 19890930    49.0
19891001 19891031    58.6
19891101 19891130    11.0
19891201 19891231     0.1
19900101 19900131     5.4
19900201 19900228    31.3
19900301 19900331     0.7
19900401 19900430    18.5
19900501 19900531    28.3
19900601 19900630    77.7
19900701 19900731   144.6
19900801 19900831   159.4
19900901 19900930    48.8
19901001 19901031    48.0
19901101 19901130     6.6
19901201 19901231    86.8
19910101 19910131     8.4
19910201 19910228     0.0
19910301 19910331    17.6
19910401 19910430    19.3
19910501 19910531    23.6
19910601 19910630   161.7
19910701 19910731    90.2
19910801 19910831   110.7
19910901 19910930    88.4
19911001 19911031     1.6
19911101 19911130     6.6
19911201 19911231    13.8
19920101 19920131     4.0
19920201 19920229     0.2
19920301 19920331    81.6
19920401 19920430    51.9
19920501 19920531   100.8
19920601 19920630    85.9
19920701 19920731    85.2
19920801 19920831   107.3
19920901 19920930   140.4
19921001 19921031   105.2
19921101 19921130    54.0
19921201 19921231    70.3
19930101 19930131    16.5
19930201 19930228     7.6
19930301 19930331    23.4
19930401 19930430     2.4
19930501 19930531    37.4
19930601 19930630    60.6
19930701 19930731   125.3
19930801 19930831   117.8
19930901 19930930    82.4
19931001 19931031    57.7
19931101 19931130    24.1
19931201 19931231    21.9
19940101 19940131    20.6
19940201 19940228     6.2
19940301 19940331     0.8
19940401 19940430    10.9
19940501 19940531    56.0
19940601 19940630   134.4
19940701 19940731    44.9
19940801 19940831    34.6
19940901 19940930    19.1
19941001 19941031    44.5
19941101 19941130    15.6
19941201 19941231    23.6
19950101 19950131    80.2
19950201 19950228    16.2
19950301 19950331    15.0
19950401 19950430    38.6
19950501 19950531    81.0
19950601 19950630   110.8
19950701 19950731   175.0
19950801 19950831    40.8
19950901 19950930    51.9
19951001 19951031    18.2
19951101 19951130    10.6
19951201 19951231    11.6
19960101 19960131     7.0
19960201 19960229    14.4
19960301 19960331    32.8
19960401 19960430    23.5
19960501 19960531    17.0
19960601 19960630   151.8
19960701 19960731   126.4
19960801 19960831   132.0
19960901 19960930    82.4
19961001 19961031    18.4
19961101 19961130     4.2
19961201 19961231     3.2
19970101 19970131    53.6
19970201 19970228     7.6
19970301 19970331     2.8
19970401 19970430    12.6
19970501 19970531    74.2
19970601 19970630    80.8
19970701 19970731    42.6
19970801 19970831    97.2
19970901 19970930   119.8
19971001 19971031    26.6
19971101 19971130    16.6
19971201 19971231    31.2
19980101 19980131     5.2
19980201 19980228     7.8
19980301 19980331     7.6
19980401 19980430    56.6
19980501 19980531    35.2
19980601 19980630   134.2
19980701 19980731    87.0
19980801 19980831    97.0
19980901 19980930    51.0
19981001 19981031    22.6
19981101 19981130    19.4
19981201 19981231    17.6
19990101 19990131    16.6
19990201 19990228     6.4
19990301 19990331    45.2
19990401 19990430    18.2
19990501 19990531    71.0
19990601 19990630    81.4
19990701 19990731    61.8
19990801 19990831    58.6
19990901 19990930    57.0
19991001 19991031    62.4
19991101 19991130    18.6
19991201 19991231    20.2
20000101 20000131    28.8
20000201 20000229    75.4
20000301 20000331    27.6
20000401 20000430   121.8
20000501 20000531    96.0
20000601 20000630    98.2
20000701 20000731   165.2
20000801 20000831   110.0
20000901 20000930    30.8
20001001 20001031    81.0
20001101 20001130    13.6
20001201 20001231     6.4
20010101 20010131     5.6
20010201 20010228    13.6
20010301 20010331    58.4
20010401 20010430    12.0
20010501 20010531    78.6
20010601 20010630    84.6
20010701 20010731    35.8
20010801 20010831    93.2
20010901 20010930    84.2
20011001 20011031    71.2
20011101 20011130    73.2
20011201 20011231    17.3
20020101 20020131    13.8
20020201 20020228     1.0
20020301 20020331    13.8
20020401 20020430    22.6
20020501 20020531    53.0
20020601 20020630    65.8
20020701 20020731   112.6
20020801 20020831    70.4
20020901 20020930    82.4
20021001 20021031    49.2
20021101 20021130    44.2
20021201 20021231    15.6
20030101 20030131    22.8
20030201 20030228    16.8
20030301 20030331    10.2
20030401 20030430    32.2
20030501 20030531    92.6
20030601 20030630   175.8
20030701 20030731    72.0
20030801 20030831   103.2
20030901 20030930    31.0
20031001 20031031    74.0
20031101 20031130    22.4
20031201 20031231    25.4
20040101 20040131     7.6
20040201 20040229    11.4
20040301 20040331    37.8
20040401 20040430    17.4
20040501 20040531    79.2
20040601 20040630   118.8
20040701 20040731    98.8
20040801 20040831   110.2
20040901 20040930    50.8
20041001 20041031     9.8
20041101 20041130    33.0
20041201 20041231    12.2
20050101 20050131    13.4
20050201 20050228    22.0
20050301 20050331     0.0
20050401 20050430     6.6
20050501 20050531    14.8
20050601 20050630   179.8
20050701 20050731    69.0
20050801 20050831    92.2
20050901 20050930    48.8
20051001 20051031    84.4
20051101 20051130    54.0
20051201 20051231    35.8
20060101 20060131    53.0
20060201 20060228    33.6
20060301 20060331    55.6
20060401 20060430    42.2
20060501 20060531    50.6
