PRCP       015135 19690801 20180131 missing_value=99999.9 TENNANT CREEK AIRPORT                     
20050101 20050131    77.0
20050201 20050228    14.6
20050301 20050331     3.8
20050401 20050430     0.0
20050501 20050531     0.0
20050601 20050630    15.4
20050701 20050731     0.0
20050801 20050831     0.0
20050901 20050930    11.6
20051001 20051031   107.2
20051101 20051130    60.4
20051201 20051231    42.4
20060101 20060131   357.4
20060201 20060228    94.2
20060301 20060331    14.2
20060401 20060430    65.6
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731     9.8
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     8.0
20061101 20061130     8.0
20061201 20061231    52.8
20070101 20070131   228.6
20070201 20070228    10.4
20070301 20070331   112.8
20070401 20070430     0.0
20070501 20070531     3.2
20070601 20070630    33.0
20070701 20070731     0.0
20070801 20070831     0.0
20070901 20070930     0.8
20071001 20071031    11.0
20071101 20071130    14.0
20071201 20071231    37.4
20080101 20080131    17.2
20080201 20080229    38.0
20080301 20080331     4.0
20080401 20080430     0.0
20080501 20080531     0.0
20080601 20080630    10.8
20080701 20080731     0.0
20080801 20080831     0.0
20080901 20080930    34.0
20081001 20081031     0.0
20081101 20081130    85.8
20081201 20081231    35.6
20090101 20090131   348.2
20090201 20090228    26.4
20090301 20090331     0.0
20090401 20090430     1.0
20090501 20090531     2.0
20090601 20090630     0.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     5.6
20091001 20091031     2.6
20091101 20091130    12.8
20091201 20091231    58.2
20100101 20100131   176.8
20100201 20100228   275.0
20100301 20100331    13.2
20100401 20100430    46.6
20100501 20100531    53.6
20100601 20100630     0.0
20100701 20100731    37.4
20100801 20100831     0.4
20100901 20100930     9.4
20101001 20101031    25.4
20101101 20101130    82.8
20101201 20101231   103.0
20110101 20110131    80.0
20110201 20110228   309.6
20110301 20110331   222.6
20110401 20110430    20.4
20110501 20110531     0.0
20110601 20110630    10.0
20110701 20110731     0.2
20110801 20110831     0.0
20110901 20110930     0.0
20111001 20111031    65.0
20111101 20111130   109.8
20111201 20111231   106.4
20120101 20120131    31.6
20120201 20120229    78.2
20120301 20120331   102.0
20120401 20120430    70.6
20120501 20120531     0.0
20120601 20120630     0.0
20120701 20120731     0.0
20120801 20120831     0.0
20120901 20120930     9.0
20121001 20121031     3.2
20121101 20121130    83.0
20121201 20121231   117.8
20130101 20130131    11.7
20130201 20130228    62.7
20130301 20130331    15.2
20130401 20130430    39.2
20130501 20130531    22.5
20130601 20130630     0.0
20130701 20130731     0.2
20130801 20130831     0.0
20130901 20130930     1.4
20131001 20131031     9.0
20131101 20131130    39.6
20131201 20131231    42.0
20140101 20140131   169.3
20140201 20140228   201.3
20140301 20140331     0.0
20140401 20140430     3.2
20140501 20140531     0.0
20140601 20140630     0.0
20140701 20140731     0.0
20140801 20140831     0.0
20140901 20140930     0.0
20141001 20141031     0.0
20141101 20141130    19.6
20141201 20141231   119.2
20150101 20150131   316.9
20150201 20150228    17.6
20150301 20150331     6.0
20150401 20150430     2.9
20150501 20150531     0.0
20150601 20150630     1.4
20150701 20150731     0.0
20150801 20150831    42.7
20150901 20150930     0.0
20151001 20151031     2.0
20151101 20151130    34.0
20151201 20151231   256.6
20160101 20160131    48.3
20160201 20160229    71.2
20160301 20160331    17.0
20160401 20160430     0.0
20160501 20160531    26.8
20160601 20160630    39.6
20160701 20160731    22.0
20160801 20160831     9.8
20160901 20160930    27.2
20161001 20161031    20.6
20161101 20161130    59.8
20161201 20161231   192.9
20170101 20170131   338.8
20170201 20170228    33.2
20170301 20170331     6.6
20170401 20170430     0.0
20170501 20170531     0.0
20170601 20170630     0.0
20170701 20170731    25.6
20170801 20170831     0.0
20170901 20170930     0.0
20171001 20171031     5.8
20171101 20171130    72.8
20171201 20171231    22.4
20180101 20180131   135.0
