PRCP       040094 18960701 20180131 missing_value=99999.9 HARRISVILLE POST OFFICE                   
19350901 19350930    98.0
19351001 19351031    98.1
19351101 19351130     5.4
19351201 19351231   187.5
19360101 19360131   120.2
19360201 19360229     7.2
19360301 19360331    85.4
19360401 19360430     2.6
19360501 19360531    39.0
19360601 19360630    47.0
19360701 19360731    41.2
19360801 19360831     7.6
19360901 19360930    22.6
19361001 19361031    13.0
19361101 19361130    62.3
19361201 19361231    94.5
19370101 19370131    38.8
19370201 19370228    66.8
19370301 19370331   211.9
19370401 19370430     5.5
19370501 19370531     6.7
19370601 19370630    13.9
19370701 19370731    15.5
19370801 19370831    52.2
19370901 19370930     4.1
19371001 19371031   141.0
19371101 19371130   207.5
19371201 19371231   125.0
19380101 19380131   102.1
19380201 19380228    59.2
19380301 19380331    43.9
19380401 19380430    27.0
19380501 19380531   156.0
19380601 19380630    16.5
19380701 19380731    27.9
19380801 19380831    29.8
19380901 19380930    17.7
19381001 19381031   119.7
19381101 19381130    96.9
19381201 19381231     4.9
19390101 19390131   105.2
19390201 19390228    29.3
19390301 19390331   346.2
19390401 19390430    69.3
19390501 19390531    24.1
19390601 19390630    58.8
19390701 19390731    37.6
19390801 19390831    41.7
19390901 19390930     4.1
19391001 19391031    25.8
19391101 19391130    76.1
19391201 19391231   119.4
19400101 19400131   153.6
19400201 19400229   117.3
19400301 19400331   119.3
19400401 19400430    10.2
19400501 19400531    37.4
19400601 19400630    19.6
19400701 19400731     1.3
19400801 19400831     3.8
19400901 19400930    36.1
19401001 19401031    13.3
19401101 19401130   147.8
19401201 19401231   200.7
19410101 19410131   295.4
19410201 19410228    68.2
19410301 19410331   143.7
19410401 19410430    32.8
19410501 19410531    16.3
19410601 19410630    29.2
19410701 19410731     9.1
19410801 19410831     9.4
19410901 19410930     3.6
19411001 19411031    14.7
19411101 19411130    21.8
19411201 19411231     7.1
19420101 19420131    58.2
19420201 19420228   213.9
19420301 19420331   131.9
19420401 19420430    62.1
19420501 19420531    22.7
19420601 19420630    13.2
19420701 19420731    41.6
19420801 19420831    11.9
19420901 19420930     8.6
19421001 19421031   133.9
