PRCP       094063 18901101 20110630 missing_value=99999.9 SORELL (WHITLEA)                          
19290701 19290731    25.4
19290801 19290831     9.1
19290901 19290930    24.3
19291001 19291031    44.8
19291101 19291130    62.1
19291201 19291231    92.8
19300101 19300131    14.3
19300201 19300228    28.4
19300301 19300331    18.3
19300401 19300430    53.1
19300501 19300531    28.3
19300601 19300630    29.3
19300701 19300731    66.0
19300801 19300831    41.5
19300901 19300930    19.8
19301001 19301031    41.2
19301101 19301130    52.7
19301201 19301231    78.0
19310101 19310131    19.1
19310201 19310228    53.5
19310301 19310331   102.0
19310401 19310430    51.5
19310501 19310531    65.7
19310601 19310630    62.1
19310701 19310731    35.0
19310801 19310831    16.5
19310901 19310930    25.6
19311001 19311031    91.4
19311101 19311130    89.4
19311201 19311231    46.0
19320101 19320131    17.5
19320201 19320229    42.2
19320301 19320331   141.2
19320401 19320430    81.6
19320501 19320531     2.2
19320601 19320630    53.5
19320701 19320731    29.0
19320801 19320831   103.9
19320901 19320930    28.1
19321001 19321031   157.6
19321101 19321130    29.0
19321201 19321231    68.0
19330101 19330131    51.3
19330201 19330228    56.4
19330301 19330331    41.4
19330401 19330430    29.7
19330501 19330531    51.6
19330601 19330630    45.8
19330701 19330731    17.8
19330801 19330831    16.8
19330901 19330930    39.2
19331001 19331031    47.9
19331101 19331130    57.7
19331201 19331231    34.0
19340101 19340131    41.4
19340201 19340228    33.9
19340301 19340331    18.1
19340401 19340430    84.7
19340501 19340531     3.6
19340601 19340630    23.9
19340701 19340731    29.1
19340801 19340831    10.9
19340901 19340930    37.1
19341001 19341031    65.3
19341101 19341130    42.2
19341201 19341231   129.0
19350101 19350131    25.7
19350201 19350228    99.9
19350301 19350331    26.9
19350401 19350430   241.7
19350501 19350531    11.5
19350601 19350630    35.5
19350701 19350731    16.8
19350801 19350831    41.6
19350901 19350930    16.5
19351001 19351031    59.9
19351101 19351130    62.2
19351201 19351231    82.1
19360101 19360131    17.8
19360201 19360229    20.6
19360301 19360331    19.2
19360401 19360430    11.3
19360501 19360531    14.7
19360601 19360630    94.8
19360701 19360731    31.2
19360801 19360831    33.3
19360901 19360930    14.5
19361001 19361031    42.5
19361101 19361130    29.6
19361201 19361231   107.0
19370101 19370131    77.1
19370201 19370228    24.7
19370301 19370331    34.4
19370401 19370430    11.0
19370501 19370531    52.1
19370601 19370630    40.4
19370701 19370731     9.2
19370801 19370831    14.6
19370901 19370930    71.9
19371001 19371031    45.0
19371101 19371130     7.9
19371201 19371231    80.4
19380101 19380131   128.5
19380201 19380228   122.4
19380301 19380331   105.9
19380401 19380430    33.8
19380501 19380531    29.3
19380601 19380630    75.8
19380701 19380731    75.3
19380801 19380831    27.4
19380901 19380930    15.1
19381001 19381031    29.1
19381101 19381130    28.9
19381201 19381231    42.5
19390101 19390131     9.6
19390201 19390228    68.0
19390301 19390331    26.9
19390401 19390430    24.7
19390501 19390531    41.7
19390601 19390630   110.0
19390701 19390731    54.8
19390801 19390831   123.9
19390901 19390930    58.9
19391001 19391031    43.2
19391101 19391130    57.7
19391201 19391231    20.8
19400101 19400131    33.0
19400201 19400229    19.0
19400301 19400331    49.0
19400401 19400430    27.2
19400501 19400531    29.4
19400601 19400630    20.9
19400701 19400731    25.9
19400801 19400831     9.2
19400901 19400930    26.7
19401001 19401031    20.8
19401101 19401130    23.8
19401201 19401231    75.5
19410101 19410131   150.0
19410201 19410228    31.1
19410301 19410331    56.7
19410401 19410430    12.5
19410501 19410531     6.5
19410601 19410630    23.3
19410701 19410731    36.1
