PRCP       064008 18790401 20180131 missing_value=99999.9 COONABARABRAN (NAMOI STREET)              
19240101 19240131    75.2
19240201 19240229   131.7
19240301 19240331     3.9
19240401 19240430    29.2
19240501 19240531     8.9
19240601 19240630    38.3
19240701 19240731    58.7
19240801 19240831    47.6
19240901 19240930    83.1
19241001 19241031    48.0
19241101 19241130   245.4
19241201 19241231    10.8
19250101 19250131    53.1
19250201 19250228    88.0
19250301 19250331    38.0
19250401 19250430     1.3
19250501 19250531    85.8
19250601 19250630    49.7
19250701 19250731    43.5
19250801 19250831    58.5
19250901 19250930    14.2
19251001 19251031    11.2
19251101 19251130    87.9
19251201 19251231    55.9
19260101 19260131    45.7
19260201 19260228     0.6
19260301 19260331   245.1
19260401 19260430    98.1
19260501 19260531   122.9
19260601 19260630    23.7
19260701 19260731    38.9
19260801 19260831    14.1
19260901 19260930   100.9
19261001 19261031    15.5
19261101 19261130     7.0
19261201 19261231   173.1
19270101 19270131    60.5
19270201 19270228     3.0
19270301 19270331    16.6
19270401 19270430    51.6
19270501 19270531     5.1
19270601 19270630    41.7
19270701 19270731     2.4
19270801 19270831    16.3
19270901 19270930     8.1
19271001 19271031    64.6
19271101 19271130    93.1
19271201 19271231   111.5
19280101 19280131   111.1
19280201 19280229   158.1
19280301 19280331    69.4
19280401 19280430    32.5
19280501 19280531    10.2
19280601 19280630    43.1
19280701 19280731    64.8
19280801 19280831     4.6
19280901 19280930     3.1
19281001 19281031    28.4
19281101 19281130    29.2
19281201 19281231    16.5
19290101 19290131    32.5
19290201 19290228    89.9
19290301 19290331    22.8
19290401 19290430    78.9
19290501 19290531     5.1
19290601 19290630    32.1
19290701 19290731    17.8
19290801 19290831    62.3
19290901 19290930    24.7
19291001 19291031    51.8
19291101 19291130    40.7
19291201 19291231    28.1
19300101 19300131    90.9
19300201 19300228     3.4
19300301 19300331   110.4
19300401 19300430    22.9
19300501 19300531    31.4
19300601 19300630   160.6
19300701 19300731    74.7
19300801 19300831    38.6
19300901 19300930    31.0
19301001 19301031   138.0
19301101 19301130    33.5
19301201 19301231    54.6
19310101 19310131    41.1
19310201 19310228    34.0
19310301 19310331   173.1
19310401 19310430    84.7
19310501 19310531   147.8
19310601 19310630   145.5
19310701 19310731    19.6
19310801 19310831    21.3
19310901 19310930    15.8
19311001 19311031     4.8
19311101 19311130    98.1
19311201 19311231    63.4
19320101 19320131    10.7
19320201 19320229    18.5
19320301 19320331   154.9
19320401 19320430    45.2
19320501 19320531    27.5
19320601 19320630    32.2
19320701 19320731    52.6
19320801 19320831    22.3
19320901 19320930    84.6
19321001 19321031    37.0
19321101 19321130    35.3
19321201 19321231    37.9
19330101 19330131    81.6
19330201 19330228    20.6
19330301 19330331    47.4
19330401 19330430    81.0
19330501 19330531    30.2
19330601 19330630    48.7
19330701 19330731   117.2
19330801 19330831     7.1
19330901 19330930    81.8
19331001 19331031   108.2
19331101 19331130   125.4
19331201 19331231    78.9
19340101 19340131    54.9
19340201 19340228   279.3
19340301 19340331     0.3
19340401 19340430    19.3
19340501 19340531     5.9
19340601 19340630    39.9
19340701 19340731    76.3
19340801 19340831    47.4
19340901 19340930    68.4
19341001 19341031   193.8
19341101 19341130    76.1
19341201 19341231    21.1
19350101 19350131   121.1
19350201 19350228     1.8
19350301 19350331     3.3
19350401 19350430    29.7
19350501 19350531    15.7
19350601 19350630    21.7
19350701 19350731    45.4
19350801 19350831    29.9
19350901 19350930    71.8
19351001 19351031    84.6
19351101 19351130    12.5
19351201 19351231    30.7
19360101 19360131    41.7
19360201 19360229   167.4
19360301 19360331    70.1
19360401 19360430    14.3
19360501 19360531    32.3
19360601 19360630    21.6
19360701 19360731   120.4
19360801 19360831    63.7
19360901 19360930    42.4
19361001 19361031    18.8
19361101 19361130     1.8
19361201 19361231    96.7
19370101 19370131    77.9
19370201 19370228    95.8
19370301 19370331    78.7
19370401 19370430     8.1
19370501 19370531    12.9
19370601 19370630    54.4
19370701 19370731    33.0
19370801 19370831    34.0
19370901 19370930    20.1
19371001 19371031    26.1
19371101 19371130   130.0
19371201 19371231    45.3
19380101 19380131    57.1
19380201 19380228    42.7
19380301 19380331     6.3
19380401 19380430    32.2
19380501 19380531    50.5
19380601 19380630    35.9
19380701 19380731    66.3
19380801 19380831    60.4
19380901 19380930     7.7
19381001 19381031    29.0
19381101 19381130    60.2
19381201 19381231    19.1
19390101 19390131    64.0
19390201 19390228    18.8
19390301 19390331   179.4
19390401 19390430   114.7
19390501 19390531    33.6
19390601 19390630    50.8
19390701 19390731    25.1
19390801 19390831   123.4
19390901 19390930     6.1
19391001 19391031    37.1
19391101 19391130    27.3
19391201 19391231    22.1
19400101 19400131     9.9
19400201 19400229    10.7
19400301 19400331    31.2
19400401 19400430   111.8
19400501 19400531     1.0
19400601 19400630    10.9
19400701 19400731     0.3
19400801 19400831    13.2
19400901 19400930    45.0
19401001 19401031     2.1
19401101 19401130    23.1
19401201 19401231    62.0
19410101 19410131   230.4
19410201 19410228    26.4
19410301 19410331   152.7
19410401 19410430     1.5
19410501 19410531    50.1
19410601 19410630    90.4
19410701 19410731    11.7
19410801 19410831    18.1
19410901 19410930    29.2
19411001 19411031    60.5
19411101 19411130    78.2
19411201 19411231    16.4
19420101 19420131    29.2
19420201 19420228    54.9
19420301 19420331    44.2
19420401 19420430     1.5
19420501 19420531    82.3
19420601 19420630    88.4
19420701 19420731   123.8
19420801 19420831    27.0
19420901 19420930    38.1
19421001 19421031    41.0
19421101 19421130   120.0
19421201 19421231    47.0
19430101 19430131    62.2
19430201 19430228    28.4
19430301 19430331     8.2
19430401 19430430    82.5
19430501 19430531    44.3
19430601 19430630    23.1
19430701 19430731    28.3
19430801 19430831    29.0
19430901 19430930    28.2
19431001 19431031    42.7
19431101 19431130    86.2
19431201 19431231    53.9
19440101 19440131    28.1
19440201 19440229    53.9
19440301 19440331    19.8
19440401 19440430    12.9
19440501 19440531    80.8
19440601 19440630    24.9
19440701 19440731    42.2
19440801 19440831   128.8
19440901 19440930    30.3
19441001 19441031     9.5
19441101 19441130    13.5
19441201 19441231     0.0
19450101 19450131    98.0
19450201 19450228    37.1
19450301 19450331    28.9
19450401 19450430    57.6
19450501 19450531    69.8
19450601 19450630   131.5
19450701 19450731    28.6
19450801 19450831    80.8
19450901 19450930     1.3
19451001 19451031    38.9
19451101 19451130    26.2
19451201 19451231    31.5
19460101 19460131   118.5
19460201 19460228     9.9
19460301 19460331    26.4
19460401 19460430    14.3
19460501 19460531    17.8
19460601 19460630    26.6
19460701 19460731     9.7
19460801 19460831     1.8
19460901 19460930    51.0
19461001 19461031    15.3
19461101 19461130    16.9
19461201 19461231    42.4
19470101 19470131    25.9
19470201 19470228   204.2
19470301 19470331    80.0
19470401 19470430    13.0
19470501 19470531    26.4
19470601 19470630    23.6
19470701 19470731    62.8
19470801 19470831    60.1
19470901 19470930    77.2
19471001 19471031    82.8
19471101 19471130    80.6
19471201 19471231   234.1
19480101 19480131    65.3
19480201 19480229    78.5
19480301 19480331   126.9
19480401 19480430    54.9
19480501 19480531    40.6
19480601 19480630   134.3
19480701 19480731    24.2
19480801 19480831    24.9
19480901 19480930    43.1
19481001 19481031    25.0
19481101 19481130    21.9
19481201 19481231    58.0
19490101 19490131    17.5
19490201 19490228   179.8
19490301 19490331    63.1
19490401 19490430    40.9
19490501 19490531    15.6
19490601 19490630    38.5
19490701 19490731    27.0
19490801 19490831    36.6
19490901 19490930    99.2
19491001 19491031   121.4
19491101 19491130    90.5
19491201 19491231    36.9
19500101 19500131   193.8
19500201 19500228   171.8
19500301 19500331    68.8
19500401 19500430   342.6
19500501 19500531    58.0
19500601 19500630   151.5
19500701 19500731   100.5
19500801 19500831    56.2
19500901 19500930    37.8
19501001 19501031   151.3
19501101 19501130   262.1
19501201 19501231     2.3
19510101 19510131    95.7
19510201 19510228    50.5
19510301 19510331   113.4
19510401 19510430    20.9
19510501 19510531    42.4
19510601 19510630    66.0
19510701 19510731    50.3
19510801 19510831    73.0
19510901 19510930    37.1
19511001 19511031    13.2
19511101 19511130    30.5
19511201 19511231    35.8
19520101 19520131    14.0
19520201 19520229    83.7
19520301 19520331   122.9
19520401 19520430    75.7
19520501 19520531    38.9
19520601 19520630    67.4
19520701 19520731    81.6
19520801 19520831   141.3
19520901 19520930    19.6
19521001 19521031    59.4
19521101 19521130    22.4
19521201 19521231    32.6
19530101 19530131    35.9
19530201 19530228   121.0
19530301 19530331    59.0
19530401 19530430    31.8
19530501 19530531    85.6
19530601 19530630     4.8
19530701 19530731    15.1
19530801 19530831   105.9
19530901 19530930    28.2
19531001 19531031    48.5
19531101 19531130    60.1
19531201 19531231    30.6
19540101 19540131   116.8
19540201 19540228   213.5
19540301 19540331     0.0
19540401 19540430    24.7
19540501 19540531     0.0
19540601 19540630    60.2
19540701 19540731    13.8
19540801 19540831    27.6
19540901 19540930    39.6
19541001 19541031   183.3
19541101 19541130    58.7
19541201 19541231    35.0
19550101 19550131   214.5
19550201 19550228   296.6
19550301 19550331     6.6
19550401 19550430    42.5
19550501 19550531    66.6
19550601 19550630    56.9
19550701 19550731    50.6
19550801 19550831    71.3
19550901 19550930    78.3
19551001 19551031   120.7
19551101 19551130    70.6
19551201 19551231    38.3
19560101 19560131   144.0
19560201 19560229   171.8
19560301 19560331    94.5
19560401 19560430    70.9
19560501 19560531    98.6
19560601 19560630   109.1
19560701 19560731   107.9
19560801 19560831    21.5
19560901 19560930    30.5
19561001 19561031    83.1
19561101 19561130    15.0
19561201 19561231    47.7
19570101 19570131    18.6
19570201 19570228    87.0
19570301 19570331    72.9
19570401 19570430    57.1
19570501 19570531     1.9
19570601 19570630    41.4
